project,feature,arm,family,side,alpha,tasks,changed_tasks,pass_gain,pass_loss,net_pass,baseline_passes,current_passes,median_length_delta,median_common_prefix_fraction,unchanged,test_marker,imports,returns,function_structure,comments,other_logic_text
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,80,11,2,0,2,0,2,-9,0.7718978102189781,69,2,3,0,2,0,4
DSTK100,3048,f13801_control_neg1,feature_control,own,1.0,80,17,1,0,1,0,1,0,0.7718978102189781,63,2,4,0,3,0,8
DSTK100,3048,f13801_control_neg2,feature_control,own,2.0,80,23,4,0,4,0,4,-82,0.7718978102189781,57,3,7,1,2,1,9
DSTK100,3048,f13801_control_neg3,feature_control,own,3.0,80,28,3,0,3,0,3,-1.0,0.7814819075359674,52,3,6,3,1,2,13
DSTK100,3048,f13801_control_neg4,feature_control,own,4.0,80,38,4,0,4,0,4,-38.0,0.8353341872856593,42,6,8,3,2,5,14
DSTK100,3048,f13801_control_neg5,feature_control,own,5.0,80,42,4,0,4,0,4,-38.0,0.8185004593028282,38,6,10,3,3,5,15
DSTK100,3048,f13801_control_neg6,feature_control,own,6.0,80,47,6,0,6,0,6,-28,0.7849785407725322,33,10,9,3,3,6,16
DSTK100,3048,f15669_control_neg0.5,feature_control,own,0.5,80,10,0,0,0,0,0,21.0,0.8579158170474885,70,3,2,0,0,1,4
DSTK100,3048,f15669_control_neg1,feature_control,own,1.0,80,12,1,0,1,0,1,52.0,0.7570669175318493,68,5,3,0,1,0,3
DSTK100,3048,f15669_control_neg2,feature_control,own,2.0,80,20,2,0,2,0,2,0.0,0.7753702099380921,60,7,2,1,3,0,7
DSTK100,3048,f15669_control_neg3,feature_control,own,3.0,80,25,5,0,5,0,5,0,0.8109215017064847,55,9,3,0,4,0,9
DSTK100,3048,f15669_control_neg4,feature_control,own,4.0,80,34,7,0,7,0,7,-22.0,0.7753702099380921,46,9,8,0,5,3,9
DSTK100,3048,f15669_control_neg5,feature_control,own,5.0,80,36,7,0,7,0,7,-59.0,0.7753702099380921,44,11,8,0,6,2,9
DSTK100,3048,f15669_control_neg6,feature_control,own,6.0,80,44,9,0,9,0,9,-59.0,0.807641247521928,36,14,9,1,6,4,10
DSTK100,3048,f3048_own_neg0.5,target_own,own,0.5,80,13,1,0,1,0,1,4,0.701460248783126,67,3,4,0,3,0,3
