project,feature,arm,family,side,alpha,task_id,category,baseline_pass,current_pass,length_delta
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/1,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/5,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/7,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/21,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/24,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/30,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/81,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/88,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/97,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/109,other_logic_text,0,0,23
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/110,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/122,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/127,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/144,imports,0,0,277
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/166,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/178,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/188,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/203,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/204,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/236,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/260,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/268,other_logic_text,0,0,-130
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/270,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/275,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/316,test_marker,0,1,-958
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/336,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/349,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/358,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/361,other_logic_text,0,0,4
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/391,imports,0,0,4
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/415,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/435,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/459,test_marker,0,1,-979
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/475,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/490,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/496,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/497,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/561,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/576,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/625,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/626,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/634,function_structure,0,0,57
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/666,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/668,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/684,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/686,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/687,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/692,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/695,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/700,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/706,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/708,function_structure,0,0,-450
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/709,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/736,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/738,other_logic_text,0,0,-9
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/743,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/752,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/753,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/755,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/762,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/778,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/787,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/790,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/797,imports,0,0,-256
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/820,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/823,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/840,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/841,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/845,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/858,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/863,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/900,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/910,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/930,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/937,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/940,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/1030,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/1097,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/1109,unchanged,0,0,0
DSTK100,3048,f13801_control_neg0.5,feature_control,own,0.5,BigCodeBench/1119,unchanged,0,0,0
DSTK100,3048,f13801_control_neg1,feature_control,own,1.0,BigCodeBench/1,unchanged,0,0,0
DSTK100,3048,f13801_control_neg1,feature_control,own,1.0,BigCodeBench/5,unchanged,0,0,0
DSTK100,3048,f13801_control_neg1,feature_control,own,1.0,BigCodeBench/7,imports,0,0,53
DSTK100,3048,f13801_control_neg1,feature_control,own,1.0,BigCodeBench/21,unchanged,0,0,0
DSTK100,3048,f13801_control_neg1,feature_control,own,1.0,BigCodeBench/24,unchanged,0,0,0
DSTK100,3048,f13801_control_neg1,feature_control,own,1.0,BigCodeBench/30,unchanged,0,0,0
DSTK100,3048,f13801_control_neg1,feature_control,own,1.0,BigCodeBench/81,unchanged,0,0,0
DSTK100,3048,f13801_control_neg1,feature_control,own,1.0,BigCodeBench/88,unchanged,0,0,0
DSTK100,3048,f13801_control_neg1,feature_control,own,1.0,BigCodeBench/97,unchanged,0,0,0
DSTK100,3048,f13801_control_neg1,feature_control,own,1.0,BigCodeBench/109,other_logic_text,0,0,23
DSTK100,3048,f13801_control_neg1,feature_control,own,1.0,BigCodeBench/110,unchanged,0,0,0
DSTK100,3048,f13801_control_neg1,feature_control,own,1.0,BigCodeBench/122,unchanged,0,0,0
DSTK100,3048,f13801_control_neg1,feature_control,own,1.0,BigCodeBench/127,function_structure,0,0,-35
DSTK100,3048,f13801_control_neg1,feature_control,own,1.0,BigCodeBench/144,imports,0,0,277
DSTK100,3048,f13801_control_neg1,feature_control,own,1.0,BigCodeBench/166,unchanged,0,0,0
DSTK100,3048,f13801_control_neg1,feature_control,own,1.0,BigCodeBench/178,unchanged,0,0,0
DSTK100,3048,f13801_control_neg1,feature_control,own,1.0,BigCodeBench/188,unchanged,0,0,0
DSTK100,3048,f13801_control_neg1,feature_control,own,1.0,BigCodeBench/203,unchanged,0,0,0
DSTK100,3048,f13801_control_neg1,feature_control,own,1.0,BigCodeBench/204,other_logic_text,0,0,-2
DSTK100,3048,f13801_control_neg1,feature_control,own,1.0,BigCodeBench/236,unchanged,0,0,0
DSTK100,3048,f13801_control_neg1,feature_control,own,1.0,BigCodeBench/260,unchanged,0,0,0
DSTK100,3048,f13801_control_neg1,feature_control,own,1.0,BigCodeBench/268,other_logic_text,0,0,-130
DSTK100,3048,f13801_control_neg1,feature_control,own,1.0,BigCodeBench/270,unchanged,0,0,0
DSTK100,3048,f13801_control_neg1,feature_control,own,1.0,BigCodeBench/275,unchanged,0,0,0
DSTK100,3048,f13801_control_neg1,feature_control,own,1.0,BigCodeBench/316,test_marker,0,1,-958
DSTK100,3048,f13801_control_neg1,feature_control,own,1.0,BigCodeBench/336,unchanged,0,0,0
DSTK100,3048,f13801_control_neg1,feature_control,own,1.0,BigCodeBench/349,unchanged,0,0,0
DSTK100,3048,f13801_control_neg1,feature_control,own,1.0,BigCodeBench/358,other_logic_text,0,0,-5
