feature_id,rank,token_text,active_occurrences,activation_sum,mean_activation
4300,1,"
",3502,16534.49686819315,4.721443994344132
4300,2,  ,2427,11278.57087957859,4.647124383839551
4300,3,.,1727,7721.87155431509,4.471263204583145
4300,4,),642,3710.7469353079796,5.77997965001243
4300,5,ax,921,3569.250015735626,3.875407183209149
4300,6,#,678,2752.825748503208,4.060214968293818
4300,7,_,821,2434.9649513959885,2.965852559556624
4300,8,'),348,1949.4142518043518,5.601765091391815
4300,9,set,509,1667.675172150135,3.2763755837920137
4300,10,      ,469,1647.622018814087,3.513053345019375
4300,11,Set,156,927.695275425911,5.946764586063532
4300,12,the,247,897.2987723350525,3.6327885519637753
4300,13,)),151,786.5049904584885,5.208642320917142
4300,14,plot,240,767.477274954319,3.197821978976329
4300,15,(),232,739.7987117767334,3.188787550761782
4300,16,",",260,596.8680081367493,2.295646185141343
4300,17,plt,200,551.6200298070908,2.758100149035454
4300,18,:,234,480.62041288614273,2.0539333884023194
4300,19,=,190,451.1302917599678,2.3743699566314094
4300,20,x,170,439.3497372865677,2.584410219332751
4300,21,""")",83,428.48037230968475,5.162414124213069
4300,22,]),83,411.8848818540573,4.96246845607298
4300,23,0,91,275.9760482907295,3.032703827370654
4300,24,return,160,274.4243106842041,1.7151519417762757
4300,25,              ,70,264.923162817955,3.7846166116850717
4300,26,']),47,255.61226344108582,5.438558796618847
4300,27,df,123,252.92389076948166,2.0562917948738346
4300,28,(,104,239.07180327177048,2.298767339151639
4300,29,1,98,217.18786031007767,2.216202656225282
4300,30,Value,76,209.68774950504303,2.7590493355926715
3612,1,"
",13361,46240.85559383035,3.460882837649154
3612,2,.,11228,23731.06408968568,2.1135611052445387
3612,3,  ,6823,20462.841795235872,2.999097434447585
3612,4,1,9290,14972.325774133205,1.6116604708431868
3612,5,0,6743,14408.006026476622,2.136735284958716
3612,6,(,3788,12902.99455332756,3.4062815610685218
3612,7,      ,3129,11264.569260060787,3.6000540939791588
3612,8,=,3272,11223.477224469185,3.430158075938015
3612,9,_,3269,10889.174713492393,3.3310415152928705
3612,10,),2225,9083.186293840408,4.082330918579959
3612,11,----------------,13858,7305.3053884850815,0.5271543793105125
3612,12,Error,1394,7286.6661086678505,5.227163636060151
3612,13,#,2616,6783.233366504312,2.5929791156362048
3612,14,df,2065,6367.47977989912,3.0835253171424313
3612,15,",",1717,6136.598672986031,3.5740236884018817
3612,16,"""""""",2955,5621.220349878073,1.902274230077182
3612,17,random,1204,5499.176864504814,4.567422644937554
3612,18,',1667,5256.847397327423,3.153477742847884
3612,19,,1716,4584.811385333538,2.671801506604626
3612,20,:,1302,4338.750700891018,3.3323738102081553
3612,21,directory,751,3573.6376410722733,4.758505514077594
3612,22,data,1118,3466.908276975155,3.100991303197813
3612,23,"',",1070,3445.5612056851387,3.220150659518821
3612,24,raise,992,3373.442369699478,3.40064755010028
3612,25,[,962,3345.88030898571,3.478046059236705
3612,26,column,692,3142.501856148243,4.541187653393415
3612,27,return,926,3123.3042389154434,3.3728987461289885
3612,28,the,1040,3034.344364106655,2.9176388116410146
3612,29,(',1006,2891.302149474621,2.874057802658669
3612,30,socket,422,2861.0828552246094,6.779817192475377
8471,1,.,1755,6317.129916109145,3.599504225703216
8471,2,"
",2224,6153.431970894337,2.76683092216472
8471,3,  ,1226,3435.21613073349,2.8019707428495026
8471,4,_,890,2567.156195938587,2.8844451639759408
8471,5,plot,458,2291.0594810843468,5.002313277476739
8471,6,ax,860,2129.7369398474693,2.47643830214822
8471,7,),544,2055.95858925581,3.779335642014356
8471,8,the,462,1358.4316583275795,2.9403282647783104
8471,9,'),270,1333.1541174650192,4.937607842463034
8471,10,",",481,1196.8015948534012,2.488153003853225
8471,11,=,472,1166.035572707653,2.470414348956892
8471,12,#,371,1042.1253245472908,2.808963138941485
8471,13,(,359,1011.8519973754883,2.818529240600246
8471,14,set,378,917.6613928079605,2.4276756423491017
8471,15,1,304,810.2276778519154,2.6652226245128796
8471,16,(),210,705.3420773148537,3.3587717967373982
8471,17,h,135,669.3197873830795,4.957924350985774
8471,18,      ,254,658.2907555699348,2.5916958880706096
8471,19,a,182,650.2020242214203,3.5725385946231882
8471,20,,177,517.5544172525406,2.9240362556640713
8471,21,=',141,483.3428273200989,3.4279633143269423
8471,22,and,121,473.4198659658432,3.91256087575077
8471,23,sc,83,470.9988024234772,5.674684366547917
8471,24,ist,147,442.1488806605339,3.0078155146975094
8471,25,df,210,406.37716537714005,1.9351293589387621
8471,26,ns,108,405.2390081882477,3.752213038780071
8471,27,atter,86,381.39490830898285,4.434824515220731
8471,28,sub,152,366.0298494696617,2.408091114931985
8471,29,',116,357.36817359924316,3.080760117234855
8471,30,ogram,107,356.56763195991516,3.3324077753263097
14881,1,"
",5933,30847.50006315112,5.1993089605850535
14881,2,  ,3151,7367.676284193993,2.3382025655963163
14881,3,#,860,1888.281628370285,2.195676312058471
14881,4,.,2152,1391.9913182854652,0.6468361144449188
14881,5,),495,1048.1210041046143,2.117416169908312
14881,6,random,398,766.4625925719738,1.925785408472296
14881,7,1,972,708.3171357735991,0.7287213331004107
14881,8,      ,245,573.7612394690514,2.3418826100777608
14881,9,"""""""",110,424.40693897008896,3.8582448997280814
14881,10,:,151,423.14744567871094,2.802300964759675
14881,11,0,232,415.1401327550411,1.7893971239441429
14881,12,'),157,320.8214113712311,2.0434484800715356
14881,13,=,173,320.07252871990204,1.8501302238144626
14881,14,,107,288.4669353365898,2.695952666697101
14881,15,               ,83,274.943253159523,3.312569315174976
14881,16,(),108,250.16300666332245,2.316324135771504
14881,17,],79,247.48152923583984,3.1326775852637954
14881,18,""").",111,164.18438178300858,1.479138574621699
14881,19,',59,159.77435237169266,2.708039870706655
14881,20,').,108,133.91939878463745,1.2399944331910875
14881,21,          ,53,133.73453164100647,2.5232930498303108
14881,22,",",58,132.6217895746231,2.286582578872812
14881,23,return,51,129.64919382333755,2.54214105535956
14881,24,[,56,122.95196723937988,2.195570843560355
14881,25,pass,23,121.14704132080078,5.267262666121773
14881,26,Error,46,115.99398773908615,2.5216084291105685
14881,27,data,45,114.94703590869904,2.5543785757488675
14881,28,"',",25,113.71202075481415,4.548480830192566
14881,29,numbers,51,113.49322751164436,2.2253574021891054
14881,30,ate,77,105.32228255271912,1.3678218513340146
2910,1,(,700,3689.3797318935394,5.270542474133628
2910,2,.,1083,3224.607316762209,2.9774767467795096
2910,3,plot,398,2705.905384004116,6.798757246241498
2910,4,atter,87,2328.820939064026,26.768056770850873
2910,5,  ,643,2059.1832892894745,3.202462347262013
2910,6,",",437,2052.4602237939835,4.696705317606369
2910,7,"],",148,1321.9176342487335,8.931875907086038
2910,8,_,504,1318.9210187196732,2.6169067831739548
2910,9,"
",481,1214.5859732627869,2.5251267635400976
2910,10,=,391,1156.4239901900291,2.9576061130179774
2910,11,y,291,1147.0245671272278,3.941665179131367
2910,12,ist,162,1056.1786214113235,6.519621119822985
2910,13,),261,996.4831805825233,3.817943220622695
2910,14,bar,154,944.0562220811844,6.130235208319379
2910,15,sc,87,922.842288017273,10.607382620888195
2910,16,'),210,875.22110414505,4.167719543547857
2910,17,ax,373,786.2964526414871,2.1080333850978206
2910,18,(),131,711.6134293079376,5.432163582503341
2910,19,"'],",89,666.0684514045715,7.483915184321028
2910,20,1,164,663.5146523714066,4.045821051045162
2910,21,x,220,627.5330445170403,2.8524229296229104
2910,22,=',149,607.3714828491211,4.076318676839739
2910,23,0,205,572.0327211022377,2.790403517571891
2910,24,set,231,547.7527557015419,2.3712240506560254
2910,25,scatter,46,499.70067596435547,10.863058173138162
2910,26,label,195,496.2916566133499,2.5450854185299994
2910,27,c,63,492.9894771575928,7.825229796152266
2910,28,h,103,437.61263275146484,4.248666337392862
2910,29,the,146,397.4463664293289,2.722235386502253
2910,30,)),75,388.7063641548157,5.182751522064209
12671,1,"
",22099,102640.99216908216,4.644598948779681
12671,2,  ,937,2781.867800652981,2.968909072201687
12671,3,#,589,2086.196726500988,3.5419299261476875
12671,4,      ,178,639.0899692773819,3.590393085827988
12671,5,               ,116,386.24700874090195,3.329715592593982
12671,6,.,445,368.8280060440302,0.8288269798742252
12671,7,),116,299.20419907569885,2.579346543756025
12671,8,True,54,192.89222884178162,3.572078311884845
12671,9,'),67,169.03323757648468,2.522884142932607
12671,10,          ,43,140.0654298067093,3.257335576900216
12671,11,(),57,137.1217690706253,2.405645071414479
12671,12,   ,40,101.99978601932526,2.5499946504831312
12671,13,],23,73.64837729930878,3.202103360839512
12671,14,',19,67.92453408241272,3.574975478021722
12671,15,1,29,51.19332867860794,1.765287195814067
12671,16,""")",16,41.81080663204193,2.6131754145026207
12671,17,]),16,40.63612616062164,2.5397578850388527
12671,18,>>>,17,39.557719230651855,2.3269246606265797
12671,19,)),14,38.216647267341614,2.7297605190958296
12671,20,",",14,31.809306740760803,2.272093338625772
12671,21,,13,30.864801168441772,2.374215474495521
12671,22,"',",15,30.57771587371826,2.0385143915812174
12671,23,+,12,28.032676458358765,2.336056371529897
12671,24,...,5,26.921550273895264,5.384310054779053
12671,25,'],8,21.355125904083252,2.6693907380104065
12671,26,              ,9,20.211145758628845,2.245682862069872
12671,27,'>,6,20.039384126663208,3.339897354443868
12671,28,')),7,19.3093900680542,2.7584842954363142
12671,29,"."")",7,17.868706583976746,2.552672369139535
12671,30,).,8,17.002110719680786,2.1252638399600983
10890,1,  ,3033,11027.311157882214,3.635776840712896
10890,2,.,2141,6953.605715334415,3.2478307871716092
10890,3,=,1251,5532.66810798645,4.422596409261751
10890,4,(,1157,4587.279839873314,3.9648053931489318
10890,5,",",581,3126.0606333613396,5.380483017833631
10890,6,_,951,3012.1017783284187,3.1672994514494412
10890,7,),536,2437.4781370162964,4.547533837716971
10890,8,"
",914,2432.45248657465,2.6613265717446932
10890,9,the,519,1938.7458481192589,3.7355411331777626
10890,10,0,344,1938.5962235629559,5.635454138264406
10890,11,      ,449,1843.7290025949478,4.106300673930842
10890,12,ist,192,1731.2073361873627,9.016704875975847
10890,13,1,402,1612.5838404893875,4.011402588282058
10890,14,,431,1603.5879044532776,3.720621588058649
10890,15,df,614,1600.5869325399399,2.6068191083712375
10890,16,hist,195,1423.0309598445892,7.297594665869688
10890,17,(',250,1379.200391292572,5.516801565170288
10890,18,ins,115,1348.0797848701477,11.722432911914328
10890,19,b,117,1210.8436479568481,10.349091008178188
10890,20,(),281,1173.6217957735062,4.176590020546286
10890,21,of,237,1041.328293800354,4.393790269199806
10890,22,ogram,179,978.5127799510956,5.46655184330221
10890,23,[',304,964.4694396853447,3.172596841070213
10890,24,data,337,958.9636743664742,2.8455895381794485
10890,25,np,197,910.9285089969635,4.624002583740931
10890,26,#,324,824.6711562275887,2.5452813463814463
10890,27,x,195,774.0357035398483,3.9694138643069143
10890,28,plot,213,740.3833427429199,3.475978134943286
10890,29,'].,153,659.0434018373489,4.3074732146231955
10890,30,[,191,658.2579662799835,3.4463767868061965
1058,1,"
",11363,56441.349809587,4.967116941792397
1058,2,),1567,7156.997633695602,4.567324590743843
1058,3,.,2082,5405.322124063969,2.596216197917372
1058,4,  ,2034,4238.265918910503,2.083709891303099
1058,5,'),679,2807.448490679264,4.134681135021007
1058,6,(),600,2503.8520941734314,4.173086823622386
1058,7,#,812,2146.495039522648,2.6434667974416843
1058,8,1,1381,1967.1851319372654,1.4244642519458837
1058,9,0,853,1438.3379221707582,1.686210928687876
1058,10,:,444,1376.425442457199,3.1000573028315297
1058,11,=,415,1204.1035524606705,2.901454343278724
1058,12,],255,1165.6183500289917,4.57105235305487
1058,13,      ,415,1075.9444383382797,2.592637200815132
1058,14,]),228,981.915778696537,4.306648152177794
1058,15,"',",306,962.5370010733604,3.145545755141701
1058,16,',261,921.7795610427856,3.531722456102627
1058,17,""")",184,916.8398020267487,4.982825011014938
1058,18,(,286,759.6699180603027,2.6561885246863732
1058,19,",",284,748.2467584013939,2.63467168451195
1058,20,_,288,716.7871266007423,2.488844189585911
1058,21,"."")",149,703.9570589065552,4.724544019507082
1058,22,)),147,678.3128502368927,4.614373130863216
1058,23,):,178,632.1581646800041,3.55145036337081
1058,24,----------------,772,618.1132014617324,0.800664768732814
1058,25,"""""""",296,599.4815918803215,2.0252756482443295
1058,26,').,123,547.9158279299736,4.454600227072956
1058,27,-,158,468.9040635228157,2.9677472374861753
1058,28,,192,453.09303069114685,2.3598595348497233
1058,29,if,201,450.70323038101196,2.2423046287612536
1058,30,']),82,437.481503367424,5.335140284968586
6128,1,"
",16057,52031.78057432175,3.2404422105201314
6128,2,  ,11140,45458.25511068106,4.080633313346594
6128,3,.,7856,11010.90627197735,1.4015919388973206
6128,4,=,3269,8920.60585808754,2.728848534135069
