transition,candidate_rank,benchmark,feature_id,aggregation,evidence_rank,task_id,base_text_score,model_b_text_score,delta,base_text_tokens,model_b_text_tokens
regression,1,bigcodebench,4300,early_max,1,BigCodeBench/355,0.8794500827789307,7.680637836456299,6.801187753677368,174,503
regression,1,bigcodebench,4300,early_max,2,BigCodeBench/340,0.0,5.133297443389893,5.133297443389893,69,336
regression,1,bigcodebench,4300,early_max,3,BigCodeBench/393,3.8145668506622314,8.779561996459961,4.9649951457977295,146,513
regression,1,bigcodebench,4300,early_max,4,BigCodeBench/81,2.5373647212982178,6.742166519165039,4.204801797866821,79,72
regression,1,bigcodebench,4300,early_max,5,BigCodeBench/572,4.079671859741211,8.061261177062988,3.9815893173217773,177,503
regression,1,bigcodebench,4300,early_max,6,BigCodeBench/110,0.0,3.730039358139038,3.730039358139038,134,513
regression,1,bigcodebench,4300,early_max,7,BigCodeBench/261,3.1762845516204834,6.8157243728637695,3.639439821243286,108,513
regression,1,bigcodebench,4300,early_max,8,BigCodeBench/742,1.00609290599823,4.5378875732421875,3.5317946672439575,124,508
regression,1,bigcodebench,4300,early_max,9,BigCodeBench/1007,1.5229899883270264,5.036865711212158,3.513875722885132,155,504
regression,1,bigcodebench,4300,early_max,10,BigCodeBench/153,0.0,3.448180675506592,3.448180675506592,38,50
regression,2,bigcodebench,3612,max,1,BigCodeBench/315,2.541825294494629,26.019105911254883,23.477280616760254,236,336
regression,2,bigcodebench,3612,max,2,BigCodeBench/58,2.2725167274475098,20.871912002563477,18.599395275115967,243,169
regression,2,bigcodebench,3612,max,3,BigCodeBench/96,2.134582757949829,20.693635940551758,18.55905318260193,72,74
regression,2,bigcodebench,3612,max,4,BigCodeBench/1134,1.9139775037765503,20.465368270874023,18.551390767097473,227,346
regression,2,bigcodebench,3612,max,5,BigCodeBench/1062,1.3726269006729126,19.02623176574707,17.653604865074158,124,219
regression,2,bigcodebench,3612,max,6,BigCodeBench/277,0.0,17.642578125,17.642578125,92,36
regression,2,bigcodebench,3612,max,7,BigCodeBench/665,2.9918713569641113,20.41320037841797,17.421329021453857,77,54
regression,2,bigcodebench,3612,max,8,BigCodeBench/932,1.3703343868255615,17.93338394165039,16.56304955482483,103,177
regression,2,bigcodebench,3612,max,9,BigCodeBench/1013,3.0293025970458984,19.532989501953125,16.503686904907227,317,200
regression,2,bigcodebench,3612,max,10,BigCodeBench/811,4.7544097900390625,20.322818756103516,15.568408966064453,396,145
regression,3,bigcodebench,8471,early_max,1,BigCodeBench/393,6.402867794036865,15.397124290466309,8.994256496429443,146,513
regression,3,bigcodebench,8471,early_max,2,BigCodeBench/60,0.0,7.712831974029541,7.712831974029541,55,513
regression,3,bigcodebench,8471,early_max,3,BigCodeBench/340,0.0,7.382016658782959,7.382016658782959,69,336
regression,3,bigcodebench,8471,early_max,4,BigCodeBench/292,0.0,4.840822696685791,4.840822696685791,138,513
regression,3,bigcodebench,8471,early_max,5,BigCodeBench/43,2.160085439682007,6.450224876403809,4.290139436721802,113,513
regression,3,bigcodebench,8471,early_max,6,BigCodeBench/119,0.0,4.160542964935303,4.160542964935303,80,64
regression,3,bigcodebench,8471,early_max,7,BigCodeBench/249,0.0,4.0010833740234375,4.0010833740234375,91,513
regression,3,bigcodebench,8471,early_max,8,BigCodeBench/1083,0.0,3.8570563793182373,3.8570563793182373,361,513
