benchmark,specification,rank,feature_id,aggregation,effect_to_permutation_variability,effect,roc_auc,pr_auc,pr_lift,permutation_p_nominal,positive_support,positives,control_support,n,decoder_model_a_norm,decoder_model_b_norm,decoder_model_b_specificity
bigcodebench,localized_guarded,1,4300,early_max,4.331299304962158,1.528195858001709,0.5943523083818916,0.9405904889990534,1.0149326925969167,0.004975124378109453,90,291,1,314,0.864783763885498,0.5021432638168335,0.3673519194126129
bigcodebench,localized_guarded,2,3612,max,3.881056785583496,4.064670562744141,0.7688629911848199,0.9742357570497963,1.0512372086379245,0.004975124378109453,282,291,21,314,0.9504075050354004,0.3110072910785675,0.24655434489250183
bigcodebench,localized_guarded,3,8471,early_max,3.7539477348327637,1.1396965980529785,0.6276707007321082,0.9512864676560702,1.0264740578831821,0.004975124378109453,77,291,4,314,0.7398955225944519,0.6727221608161926,0.47622379660606384
bigcodebench,localized_guarded,4,14881,max,3.5307435989379883,8.674445152282715,0.735992828328104,0.9713347663256306,1.0481069299871066,0.004975124378109453,195,291,11,314,0.7964857816696167,0.604657769203186,0.4315459132194519
bigcodebench,localized_guarded,5,2910,early_max,3.4670722484588623,1.0468878746032715,0.5918123412520544,0.9406405535054234,1.0149867140917628,0.004975124378109453,49,291,0,314,0.8012667298316956,0.5983071327209473,0.4274923801422119
bigcodebench,localized_guarded,6,12671,early_max,3.3614652156829834,2.9886012077331543,0.6978933213805468,0.9658310394279107,1.0421682006198074,0.004975124378109453,172,291,9,314,0.6240687966346741,0.781369686126709,0.555961549282074
bigcodebench,localized_guarded,7,10890,early_max,3.3554069995880127,2.031217098236084,0.6281189302256088,0.9495251038642986,1.0245734797710988,0.009950248756218905,101,291,3,314,0.8505333662033081,0.5259209275245667,0.38208380341529846
bigcodebench,localized_guarded,8,1058,max,3.280632972717285,4.604698181152344,0.7289705662632602,0.9736172662806377,1.0505698337186262,0.004975124378109453,243,291,13,314,0.7754640579223633,0.6313912868499756,0.4487961530685425
bigcodebench,localized_guarded,9,6128,max,3.1850342750549316,2.191627025604248,0.6786194531600179,0.9662767057972809,1.0426490914788529,0.004975124378109453,258,291,22,314,0.9514353275299072,0.30784791707992554,0.24446280300617218
bigcodebench,localized_guarded,10,2857,max,3.136577606201172,2.3276119232177734,0.6910204691468699,0.9547873624368833,1.0302516556879084,0.004975124378109453,106,291,0,314,0.7775242924690247,0.6288550496101379,0.44714468717575073
bigcodebench,all4_guarded,1,13147,mean,5.23139762878418,0.12620002031326294,0.558195129239504,0.9408050631566146,1.015164226223976,0.004975124378109453,65,291,6,314,0.5443973541259766,0.8388271927833557,0.6064288020133972
bigcodebench,all4_guarded,2,15471,active_fraction,5.110626220703125,0.004902778193354607,0.5812042432392052,0.9384579756923834,1.0126316301285512,0.004975124378109453,38,291,3,314,0.7050433158874512,0.7091638445854187,0.5014567971229553
bigcodebench,all4_guarded,3,2825,active_fraction,4.851475715637207,0.02325027622282505,0.5768713581353653,0.9391285160214683,1.013355168490519,0.004975124378109453,73,291,2,314,0.6594521999359131,0.7517462372779846,0.5327005982398987
bigcodebench,all4_guarded,4,10570,mean,4.60791540145874,0.18814197182655334,0.5795607350963693,0.9386108113656176,1.0127965455972643,0.004975124378109453,42,291,1,314,0.7453047633171082,0.6667240262031555,0.4721745252609253
bigcodebench,all4_guarded,5,14881,mean,4.3936309814453125,0.11709156632423401,0.7206036157179142,0.9678731762286064,1.0443717434219326,0.004975124378109453,195,291,11,314,0.7964857816696167,0.604657769203186,0.4315459132194519
bigcodebench,all4_guarded,6,4300,early_max,4.331299304962158,1.528195858001709,0.5943523083818916,0.9405904889990534,1.0149326925969167,0.004975124378109453,90,291,1,314,0.864783763885498,0.5021432638168335,0.3673519194126129
bigcodebench,all4_guarded,7,4484,mean,4.201972007751465,0.09228116273880005,0.6337217988943672,0.9528172508749296,1.0281258308409893,0.004975124378109453,119,291,5,314,0.7746802568435669,0.6323543787002563,0.4494234621524811
bigcodebench,all4_guarded,8,3612,active_fraction,3.9420974254608154,0.2036939412355423,0.7649783355744808,0.9760071258556339,1.0531485825383815,0.004975124378109453,282,291,21,314,0.9504075050354004,0.3110072910785675,0.24655434489250183
bigcodebench,all4_guarded,9,8247,active_fraction,3.7651193141937256,0.011308759450912476,0.5770954728821156,0.9399421880655044,1.0142331513833964,0.004975124378109453,37,291,1,314,0.7396760582923889,0.6729627251625061,0.47638699412345886
bigcodebench,all4_guarded,10,8471,early_max,3.7539477348327637,1.1396965980529785,0.6276707007321082,0.9512864676560702,1.0264740578831821,0.004975124378109453,77,291,4,314,0.7398955225944519,0.6727221608161926,0.47622379660606384
bigcodebench,localized_ev_only,1,4300,early_max,4.331299304962158,1.528195858001709,0.5943523083818916,0.9405904889990534,1.0149326925969167,0.004975124378109453,90,291,1,314,0.864783763885498,0.5021432638168335,0.3673519194126129
bigcodebench,localized_ev_only,2,6130,early_max,3.909029245376587,2.748950242996216,0.5619303750186763,0.9356493842929833,1.0096010538419131,0.004975124378109453,18,291,0,314,0.72704017162323,0.6865943670272827,0.48569437861442566
bigcodebench,localized_ev_only,3,8614,early_max,3.90303635597229,1.1464142799377441,0.546466457492903,0.9332212863734878,1.0069810444030074,0.014925373134328358,8,291,1,314,0.7132310271263123,0.7009283900260925,0.49565020203590393
bigcodebench,localized_ev_only,4,3612,max,3.881056785583496,4.064670562744141,0.7688629911848199,0.9742357570497963,1.0512372086379245,0.004975124378109453,282,291,21,314,0.9504075050354004,0.3110072910785675,0.24655434489250183
bigcodebench,localized_ev_only,5,8471,early_max,3.7539477348327637,1.1396965980529785,0.6276707007321082,0.9512864676560702,1.0264740578831821,0.004975124378109453,77,291,4,314,0.7398955225944519,0.6727221608161926,0.47622379660606384
bigcodebench,localized_ev_only,6,14881,max,3.5307435989379883,8.674445152282715,0.735992828328104,0.9713347663256306,1.0481069299871066,0.004975124378109453,195,291,11,314,0.7964857816696167,0.604657769203186,0.4315459132194519
bigcodebench,localized_ev_only,7,2910,early_max,3.4670722484588623,1.0468878746032715,0.5918123412520544,0.9406405535054234,1.0149867140917628,0.004975124378109453,49,291,0,314,0.8012667298316956,0.5983071327209473,0.4274923801422119
bigcodebench,localized_ev_only,8,16120,early_max,3.3764655590057373,0.498503714799881,0.5362318840579711,0.9365186033614632,1.0105389740738813,0.009950248756218905,11,291,3,314,0.6880649924278259,0.7256496548652649,0.5132928490638733
bigcodebench,localized_ev_only,9,12671,early_max,3.3614652156829834,2.9886012077331543,0.6978933213805468,0.9658310394279107,1.0421682006198074,0.004975124378109453,172,291,9,314,0.6240687966346741,0.781369686126709,0.555961549282074
bigcodebench,localized_ev_only,10,10890,early_max,3.3554069995880127,2.031217098236084,0.6281189302256088,0.9495251038642986,1.0245734797710988,0.009950248756218905,101,291,3,314,0.8505333662033081,0.5259209275245667,0.38208380341529846
bigcodebench,max,1,3612,max,3.881056785583496,4.064670562744141,0.7688629911848199,0.9742357570497963,1.0512372086379245,0.004975124378109453,282,291,21,314,0.9504075050354004,0.3110072910785675,0.24655434489250183
bigcodebench,max,2,14881,max,3.5307435989379883,8.674445152282715,0.735992828328104,0.9713347663256306,1.0481069299871066,0.004975124378109453,195,291,11,314,0.7964857816696167,0.604657769203186,0.4315459132194519
bigcodebench,max,3,1058,max,3.280632972717285,4.604698181152344,0.7289705662632602,0.9736172662806377,1.0505698337186262,0.004975124378109453,243,291,13,314,0.7754640579223633,0.6313912868499756,0.4487961530685425
bigcodebench,max,4,6128,max,3.1850342750549316,2.191627025604248,0.6786194531600179,0.9662767057972809,1.0426490914788529,0.004975124378109453,258,291,22,314,0.9514353275299072,0.30784791707992554,0.24446280300617218
bigcodebench,max,5,2857,max,3.136577606201172,2.3276119232177734,0.6910204691468699,0.9547873624368833,1.0302516556879084,0.004975124378109453,106,291,0,314,0.7775242924690247,0.6288550496101379,0.44714468717575073
bigcodebench,max,6,7436,max,3.0757198333740234,2.334388494491577,0.6925145674585388,0.9565899334897022,1.0321966979923247,0.004975124378109453,107,291,0,314,0.7239816784858704,0.689818799495697,0.48791807889938354
bigcodebench,max,7,11604,max,3.073396921157837,1.9733165502548218,0.6765277155236814,0.9556890308374004,1.0312245899757517,0.004975124378109453,103,291,2,314,0.7683901786804199,0.6399813890457153,0.4544123113155365
bigcodebench,max,8,9579,max,2.9507253170013428,2.1144661903381348,0.6585985357836546,0.9555949141392913,1.031123034500816,0.009950248756218905,129,291,5,314,0.772908627986908,0.6345177292823792,0.4508354663848877
bigcodebench,max,9,9686,max,2.9060187339782715,3.1129133701324463,0.6864634692962797,0.9561686005716424,1.0317420638470642,0.004975124378109453,115,291,1,314,0.6961525678634644,0.7178928852081299,0.5076872706413269
bigcodebench,max,10,14543,max,2.886833429336548,1.6924407482147217,0.6693560436276706,0.9638279863876912,1.040006830672629,0.004975124378109453,173,291,7,314,0.6916835904121399,0.722200334072113,0.5107918381690979
bigcodebench,early_max,1,4300,early_max,4.331299304962158,1.528195858001709,0.5943523083818916,0.9405904889990534,1.0149326925969167,0.004975124378109453,90,291,1,314,0.864783763885498,0.5021432638168335,0.3673519194126129
bigcodebench,early_max,2,8471,early_max,3.7539477348327637,1.1396965980529785,0.6276707007321082,0.9512864676560702,1.0264740578831821,0.004975124378109453,77,291,4,314,0.7398955225944519,0.6727221608161926,0.47622379660606384
bigcodebench,early_max,3,2910,early_max,3.4670722484588623,1.0468878746032715,0.5918123412520544,0.9406405535054234,1.0149867140917628,0.004975124378109453,49,291,0,314,0.8012667298316956,0.5983071327209473,0.4274923801422119
bigcodebench,early_max,4,12671,early_max,3.3614652156829834,2.9886012077331543,0.6978933213805468,0.9658310394279107,1.0421682006198074,0.004975124378109453,172,291,9,314,0.6240687966346741,0.781369686126709,0.555961549282074
bigcodebench,early_max,5,10890,early_max,3.3554069995880127,2.031217098236084,0.6281189302256088,0.9495251038642986,1.0245734797710988,0.009950248756218905,101,291,3,314,0.8505333662033081,0.5259209275245667,0.38208380341529846
bigcodebench,early_max,6,3612,early_max,3.171034812927246,2.507430076599121,0.7458538771851188,0.9727019015693965,1.0495821205937819,0.004975124378109453,214,291,13,314,0.9504075050354004,0.3110072910785675,0.24655434489250183
bigcodebench,early_max,7,8755,early_max,3.0895559787750244,0.9250863790512085,0.6403705363812939,0.9488044878798183,1.023795907884065,0.004975124378109453,60,291,4,314,0.831859290599823,0.5549875497817993,0.4001794159412384
bigcodebench,early_max,8,14364,early_max,3.0760185718536377,1.0452138185501099,0.6591961751083222,0.9633329556462417,1.0394726737901028,0.004975124378109453,291,291,23,314,0.6894044280052185,0.724376916885376,0.512368381023407
bigcodebench,early_max,9,3917,early_max,3.0626556873321533,1.6689491271972656,0.5692514567458539,0.9395279638594428,1.0137861878070964,0.009950248756218905,47,291,2,314,0.7231562733650208,0.6906840205192566,0.48851630091667175
bigcodebench,early_max,10,860,early_max,3.0111515522003174,2.3029444217681885,0.6724936500821754,0.9534012135400033,1.028755948630794,0.009950248756218905,77,291,0,314,0.7753542065620422,0.6315269470214844,0.44888436794281006
bigcodebench,mean,1,13147,mean,5.23139762878418,0.12620002031326294,0.558195129239504,0.9408050631566146,1.015164226223976,0.004975124378109453,65,291,6,314,0.5443973541259766,0.8388271927833557,0.6064288020133972
bigcodebench,mean,2,10570,mean,4.60791540145874,0.18814197182655334,0.5795607350963693,0.9386108113656176,1.0127965455972643,0.004975124378109453,42,291,1,314,0.7453047633171082,0.6667240262031555,0.4721745252609253
bigcodebench,mean,3,2825,mean,4.534318923950195,0.33780530095100403,0.5764231286418646,0.939551963940649,1.0138120848019374,0.004975124378109453,73,291,2,314,0.6594521999359131,0.7517462372779846,0.5327005982398987
bigcodebench,mean,4,14881,mean,4.3936309814453125,0.11709156632423401,0.7206036157179142,0.9678731762286064,1.0443717434219326,0.004975124378109453,195,291,11,314,0.7964857816696167,0.604657769203186,0.4315459132194519
bigcodebench,mean,5,4484,mean,4.201972007751465,0.09228116273880005,0.6337217988943672,0.9528172508749296,1.0281258308409893,0.004975124378109453,119,291,5,314,0.7746802568435669,0.6323543787002563,0.4494234621524811
bigcodebench,mean,6,9109,mean,3.4803273677825928,0.028092036023736,0.5643209323173465,0.9388261563587404,1.0130289109850326,0.009950248756218905,40,291,2,314,0.7137391567230225,0.7004120349884033,0.4952879548072815
bigcodebench,mean,7,10065,mean,3.429765224456787,0.14099964499473572,0.6016733901090692,0.9484333471750154,1.023395433034209,0.004975124378109453,102,291,4,314,0.7473584413528442,0.6644205451011658,0.47062647342681885
bigcodebench,mean,8,469,mean,3.4098479747772217,0.12492858618497849,0.5555057522785,0.9320124620810832,1.005676677297114,0.009950248756218905,108,291,5,314,0.7522181868553162,0.6589124798774719,0.46693938970565796
bigcodebench,mean,9,11766,mean,3.404306650161743,0.09815166145563126,0.5638727028238458,0.9368691278124229,1.010917203206532,0.004975124378109453,30,291,1,314,0.7027779221534729,0.7114090919494629,0.5030516386032104
bigcodebench,mean,10,15457,mean,3.120020866394043,0.16258013248443604,0.6781712236665173,0.9667105735438841,1.0431172511779367,0.009950248756218905,210,291,14,314,0.783363938331604,0.6215639114379883,0.4424169659614563
bigcodebench,active_fraction,1,15471,active_fraction,5.110626220703125,0.004902778193354607,0.5812042432392052,0.9384579756923834,1.0126316301285512,0.004975124378109453,38,291,3,314,0.7050433158874512,0.7091638445854187,0.5014567971229553
bigcodebench,active_fraction,2,2825,active_fraction,4.851475715637207,0.02325027622282505,0.5768713581353653,0.9391285160214683,1.013355168490519,0.004975124378109453,73,291,2,314,0.6594521999359131,0.7517462372779846,0.5327005982398987
bigcodebench,active_fraction,3,10570,active_fraction,4.119106769561768,0.016168830916285515,0.5744808008366951,0.9351381746773854,1.0090494393426082,0.004975124378109453,42,291,1,314,0.7453047633171082,0.6667240262031555,0.4721745252609253
bigcodebench,active_fraction,4,3612,active_fraction,3.9420974254608154,0.2036939412355423,0.7649783355744808,0.9760071258556339,1.0531485825383815,0.004975124378109453,282,291,21,314,0.9504075050354004,0.3110072910785675,0.24655434489250183
bigcodebench,active_fraction,5,13147,active_fraction,3.9309022426605225,0.024504194036126137,0.5625280143433438,0.9400971371869158,1.0144003473425827,0.004975124378109453,65,291,6,314,0.5443973541259766,0.8388271927833557,0.6064288020133972
bigcodebench,active_fraction,6,8247,active_fraction,3.7651193141937256,0.011308759450912476,0.5770954728821156,0.9399421880655044,1.0142331513833964,0.004975124378109453,37,291,1,314,0.7396760582923889,0.6729627251625061,0.47638699412345886
bigcodebench,active_fraction,7,9109,active_fraction,3.6883997917175293,0.01455631386488676,0.5680561780965188,0.9388958193753894,1.0131040800133067,0.009950248756218905,40,291,2,314,0.7137391567230225,0.7004120349884033,0.4952879548072815
