candidate_rank,benchmark,transition,aggregation,feature_id,n,positives,prevalence,roc_auc,pr_auc,pr_lift,effect,permutation_null_sd,effect_to_permutation_variability,permutation_p_nominal,positive_support,positive_delta_support,control_support,decoder_model_a_norm,decoder_model_b_norm,decoder_model_b_specificity,unique_delta_values
1,bigcodebench,regression,early_max,4300,314,291,0.9267515923566879,0.5943523083818916,0.9405904889990534,1.0149326925969167,1.528195858001709,0.35282620787620544,4.331299304962158,0.004975124378109453,90,71,1,0.864783763885498,0.5021432638168335,0.3673519194126129,125
2,bigcodebench,regression,max,3612,314,291,0.9267515923566879,0.7688629911848199,0.9742357570497963,1.0512372086379245,4.064670562744141,1.04731023311615,3.881056785583496,0.004975124378109453,282,261,21,0.9504075050354004,0.3110072910785675,0.24655434489250183,311
3,bigcodebench,regression,early_max,8471,314,291,0.9267515923566879,0.6276707007321082,0.9512864676560702,1.0264740578831821,1.1396965980529785,0.30359947681427,3.7539477348327637,0.004975124378109453,77,66,4,0.7398955225944519,0.6727221608161926,0.47622379660606384,108
4,bigcodebench,regression,max,14881,314,291,0.9267515923566879,0.735992828328104,0.9713347663256306,1.0481069299871066,8.674445152282715,2.4568324089050293,3.5307435989379883,0.004975124378109453,195,183,11,0.7964857816696167,0.604657769203186,0.4315459132194519,240
5,bigcodebench,regression,early_max,2910,314,291,0.9267515923566879,0.5918123412520544,0.9406405535054234,1.0149867140917628,1.0468878746032715,0.3019515573978424,3.4670722484588623,0.004975124378109453,49,43,0,0.8012667298316956,0.5983071327209473,0.4274923801422119,72
6,bigcodebench,regression,early_max,12671,314,291,0.9267515923566879,0.6978933213805468,0.9658310394279107,1.0421682006198074,2.9886012077331543,0.8890769481658936,3.3614652156829834,0.004975124378109453,172,132,9,0.6240687966346741,0.781369686126709,0.555961549282074,230
7,bigcodebench,regression,early_max,10890,314,291,0.9267515923566879,0.6281189302256088,0.9495251038642986,1.0245734797710988,2.031217098236084,0.6053563952445984,3.3554069995880127,0.009950248756218905,101,73,3,0.8505333662033081,0.5259209275245667,0.38208380341529846,132
8,bigcodebench,regression,max,1058,314,291,0.9267515923566879,0.7289705662632602,0.9736172662806377,1.0505698337186262,4.604698181152344,1.4036005735397339,3.280632972717285,0.004975124378109453,243,201,13,0.7754640579223633,0.6313912868499756,0.4487961530685425,282
9,bigcodebench,regression,max,6128,314,291,0.9267515923566879,0.6786194531600179,0.9662767057972809,1.0426490914788529,2.191627025604248,0.6881015300750732,3.1850342750549316,0.004975124378109453,258,166,22,0.9514353275299072,0.30784791707992554,0.24446280300617218,293
10,bigcodebench,regression,max,2857,314,291,0.9267515923566879,0.6910204691468699,0.9547873624368833,1.0302516556879084,2.3276119232177734,0.7420865297317505,3.136577606201172,0.004975124378109453,106,105,0,0.7775242924690247,0.6288550496101379,0.44714468717575073,109
11,bigcodebench,regression,early_max,8755,314,291,0.9267515923566879,0.6403705363812939,0.9488044878798183,1.023795907884065,0.9250863790512085,0.2994237244129181,3.0895559787750244,0.004975124378109453,60,37,4,0.831859290599823,0.5549875497817993,0.4001794159412384,90
12,bigcodebench,regression,early_max,14364,314,291,0.9267515923566879,0.6591961751083222,0.9633329556462417,1.0394726737901028,1.0452138185501099,0.3397943675518036,3.0760185718536377,0.004975124378109453,291,168,23,0.6894044280052185,0.724376916885376,0.512368381023407,313
13,bigcodebench,regression,max,7436,314,291,0.9267515923566879,0.6925145674585388,0.9565899334897022,1.0321966979923247,2.334388494491577,0.7589730620384216,3.0757198333740234,0.004975124378109453,107,101,0,0.7239816784858704,0.689818799495697,0.48791807889938354,130
