benchmark,taxonomy_level,category,count,denominator,fraction
bigcodebench,primary,api_or_type_mismatch,120,291,0.41237113402061853
bigcodebench,primary,commentary_heavy,11,291,0.037800687285223365
bigcodebench,primary,edge_case_or_exception,43,291,0.14776632302405499
bigcodebench,primary,generation_limit_or_overgeneration,32,291,0.10996563573883161
bigcodebench,primary,missing_required_name_or_import,18,291,0.061855670103092786
bigcodebench,primary,syntax_or_incomplete_code,17,291,0.058419243986254296
bigcodebench,primary,wrong_logic_or_other_runtime,50,291,0.1718213058419244
humanevalplus,primary,api_or_type_mismatch,2,39,0.05128205128205128
humanevalplus,primary,edge_case_or_exception,2,39,0.05128205128205128
humanevalplus,primary,missing_required_name_or_import,2,39,0.05128205128205128
humanevalplus,primary,syntax_or_incomplete_code,1,39,0.02564102564102564
humanevalplus,primary,wrong_logic_or_other_runtime,32,39,0.8205128205128205
bigcodebench,multilabel,api_or_type_mismatch,120,291,0.41237113402061853
bigcodebench,multilabel,commentary_heavy,79,291,0.27147766323024053
bigcodebench,multilabel,edge_case_or_exception,43,291,0.14776632302405499
bigcodebench,multilabel,generation_limit_or_overgeneration,89,291,0.30584192439862545
bigcodebench,multilabel,missing_required_name_or_import,18,291,0.061855670103092786
bigcodebench,multilabel,syntax_or_incomplete_code,17,291,0.058419243986254296
bigcodebench,multilabel,wrong_logic_or_other_runtime,106,291,0.3642611683848797
humanevalplus,multilabel,api_or_type_mismatch,2,39,0.05128205128205128
humanevalplus,multilabel,edge_case_or_exception,2,39,0.05128205128205128
humanevalplus,multilabel,generation_limit_or_overgeneration,1,39,0.02564102564102564
humanevalplus,multilabel,missing_required_name_or_import,2,39,0.05128205128205128
humanevalplus,multilabel,syntax_or_incomplete_code,1,39,0.02564102564102564
humanevalplus,multilabel,wrong_logic_or_other_runtime,32,39,0.8205128205128205
