pair_id,label_regression,match_distance,task_id,transition,base_tokens,merged_tokens
1,0,0.10969929131061473,BigCodeBench/270,both_pass,30,18
1,1,0.10969929131061473,BigCodeBench/183,regression,42,19
2,0,0.06229722593657175,BigCodeBench/827,both_pass,24,32
2,1,0.06229722593657175,BigCodeBench/505,regression,28,26
3,0,0.0557721592289126,BigCodeBench/455,both_pass,169,19
3,1,0.0557721592289126,BigCodeBench/431,regression,134,18
4,0,0.0370597023081667,BigCodeBench/639,both_pass,224,93
4,1,0.0370597023081667,BigCodeBench/361,regression,190,103
5,0,0.033882141472900536,BigCodeBench/912,both_pass,29,38
5,1,0.033882141472900536,BigCodeBench/684,regression,35,39
6,0,0.017374273643985104,BigCodeBench/861,both_pass,77,30
6,1,0.017374273643985104,BigCodeBench/547,regression,70,33
7,0,0.015239622463275267,BigCodeBench/596,both_pass,112,56
7,1,0.015239622463275267,BigCodeBench/433,regression,99,57
8,0,0.008618032893899594,BigCodeBench/391,both_pass,181,80
8,1,0.008618032893899594,BigCodeBench/165,regression,165,81
9,0,0.0075807249798500835,BigCodeBench/272,both_pass,449,488
9,1,0.0075807249798500835,BigCodeBench/1031,regression,418,513
10,0,0.0070699705998416434,BigCodeBench/949,both_pass,27,56
10,1,0.0070699705998416434,BigCodeBench/297,regression,27,61
11,0,0.006015279714849518,BigCodeBench/148,both_pass,43,66
11,1,0.006015279714849518,BigCodeBench/751,regression,43,61
12,0,0.005426036728091931,BigCodeBench/1000,both_pass,88,132
12,1,0.005426036728091931,BigCodeBench/882,regression,86,123
13,0,0.0021864088521107907,BigCodeBench/336,both_pass,81,67
13,1,0.0021864088521107907,BigCodeBench/119,regression,80,64
14,0,0.001937117687418754,BigCodeBench/1109,both_pass,53,48
14,1,0.001937117687418754,BigCodeBench/240,regression,54,50
15,0,0.0035311429004496195,BigCodeBench/712,both_pass,54,48
15,1,0.0035311429004496195,BigCodeBench/690,regression,54,51
16,0,0.0015794126055775014,BigCodeBench/731,both_pass,71,81
16,1,0.0015794126055775014,BigCodeBench/927,regression,72,78
17,0,0.0015443020956337561,BigCodeBench/437,both_pass,71,107
17,1,0.0015443020956337561,BigCodeBench/926,regression,73,104
18,0,0.0011737122654414205,BigCodeBench/1133,both_pass,113,93
18,1,0.0011737122654414205,BigCodeBench/515,regression,110,91
19,0,0.001007979844670204,BigCodeBench/262,both_pass,69,63
19,1,0.001007979844670204,BigCodeBench/27,regression,69,61
20,0,0.0008848681341680359,BigCodeBench/783,both_pass,80,74
20,1,0.0008848681341680359,BigCodeBench/81,regression,79,72
21,0,0.000831032434962507,BigCodeBench/729,both_pass,105,138
21,1,0.000831032434962507,BigCodeBench/71,regression,108,137
22,0,0.00046359656759765327,BigCodeBench/820,both_pass,106,103
22,1,0.00046359656759765327,BigCodeBench/747,regression,107,101
23,0,0.0001902557354463802,BigCodeBench/713,both_pass,102,71
23,1,0.0001902557354463802,BigCodeBench/444,regression,102,72
