benchmark,feature_rank,feature_id,screen_aggregation,failure_tag,tag_support,regression_n,within_regression_effect,effect_to_permutation_variability,permutation_p_nominal,roc_auc_tag_vs_other_regressions,active_fraction_of_tag_tasks,active_fraction_of_other_regressions,median_first_percent_when_active_in_tag
bigcodebench,1,4300,early_max,api_or_type_mismatch,120,291,-0.385181240049022,-2.152460860698501,0.04477611940298507,0.41203703703703703,0.6333333333333333,0.6257309941520468,35.72225583114875
bigcodebench,1,4300,early_max,commentary_heavy,79,291,-0.27100938410527786,-1.386514348522544,0.18407960199004975,0.45274062574635776,0.6075949367088608,0.6367924528301887,33.290169869117236
bigcodebench,1,4300,early_max,edge_case_or_exception,43,291,0.21924546737411107,1.0002521435637752,0.31343283582089554,0.551903600900225,0.7906976744186046,0.6008064516129032,34.61038961038961
bigcodebench,1,4300,early_max,generation_limit_or_overgeneration,89,291,0.6822561086656413,4.043510176699793,0.004975124378109453,0.5957837356769384,0.5168539325842697,0.6782178217821783,9.649122807017545
bigcodebench,1,4300,early_max,missing_required_name_or_import,18,291,0.538936437741013,1.537876272253275,0.12437810945273632,0.5366300366300366,0.7222222222222222,0.6227106227106227,13.255360623781677
bigcodebench,1,4300,early_max,syntax_or_incomplete_code,17,291,0.7175448644808712,2.0906616373960607,0.05472636815920398,0.666058394160584,0.5882352941176471,0.6313868613138686,12.22266027115229
bigcodebench,1,4300,early_max,wrong_logic_or_other_runtime,106,291,0.07038868508096982,0.40522458107412257,0.7014925373134329,0.5377868434472208,0.5377358490566038,0.6810810810810811,18.908382066276804
bigcodebench,2,3612,max,api_or_type_mismatch,120,291,0.46533442401049463,0.8262569888107367,0.4228855721393035,0.5206384015594542,0.975,0.9649122807017544,8.333333333333334
bigcodebench,2,3612,max,commentary_heavy,79,291,-0.41956653317660386,-0.6807086071137438,0.4975124378109453,0.47689276331502267,0.9873417721518988,0.9622641509433962,5.945889460984553
bigcodebench,2,3612,max,edge_case_or_exception,43,291,0.6303765695298962,0.8032142660607865,0.42786069651741293,0.5593585896474118,1.0,0.9637096774193549,9.090909090909092
bigcodebench,2,3612,max,generation_limit_or_overgeneration,89,291,1.2674204219911376,2.0943110408937335,0.04975124378109453,0.6049616197574814,1.0,0.9554455445544554,2.9239766081871346
bigcodebench,2,3612,max,missing_required_name_or_import,18,291,2.076566623171316,1.7260985875258512,0.06467661691542288,0.5995115995115995,0.9444444444444444,0.9706959706959707,3.898635477582846
bigcodebench,2,3612,max,syntax_or_incomplete_code,17,291,1.0185801689079161,0.9127876474694737,0.3333333333333333,0.5646200085873766,1.0,0.9671532846715328,2.9239766081871346
bigcodebench,2,3612,max,wrong_logic_or_other_runtime,106,291,-1.6966356996247383,-2.7896147227461783,0.004975124378109453,0.3999745028046915,0.9528301886792453,0.9783783783783784,6.862745098039215
bigcodebench,3,8471,early_max,api_or_type_mismatch,120,291,-0.11866398422341598,-0.7314652051119223,0.4626865671641791,0.4789473684210526,0.5666666666666667,0.5497076023391813,24.380850811707546
bigcodebench,3,8471,early_max,commentary_heavy,79,291,0.016314262154565273,0.09425195916859225,0.9402985074626866,0.4991342249820874,0.6455696202531646,0.5235849056603774,19.23076923076923
bigcodebench,3,8471,early_max,edge_case_or_exception,43,291,-0.16077750089556672,-0.7020666313349835,0.4577114427860697,0.48930982745686424,0.5581395348837209,0.5564516129032258,51.852152391771824
bigcodebench,3,8471,early_max,generation_limit_or_overgeneration,89,291,0.6005495138634616,3.5304049733782676,0.004975124378109453,0.6048781844476583,0.5617977528089888,0.5544554455445545,13.937621832358674
bigcodebench,3,8471,early_max,missing_required_name_or_import,18,291,0.6961063478819762,2.1760951818177947,0.029850746268656716,0.5702075702075702,0.7222222222222222,0.5457875457875457,24.366471734892787
bigcodebench,3,8471,early_max,syntax_or_incomplete_code,17,291,0.5258625458498889,1.5091190305745392,0.11940298507462686,0.6196865607556892,0.5882352941176471,0.5547445255474452,19.45354292238126
