benchmark,feature_rank,feature_id,screen_aggregation,failure_tag,tag_support,regression_n,within_regression_effect,effect_to_permutation_variability,permutation_p_nominal,roc_auc_tag_vs_other_regressions,active_fraction_of_tag_tasks,active_fraction_of_other_regressions,median_first_percent_when_active_in_tag
bigcodebench,10,2857,max,generation_limit_or_overgeneration,89,291,6.461417046009944,14.415977216161146,0.004975124378109453,0.9442374012682168,0.9438202247191011,0.10891089108910891,15.753293504901961
bigcodebench,4,14881,max,generation_limit_or_overgeneration,89,291,19.625930365850113,12.39067885760331,0.004975124378109453,0.9307486928468127,1.0,0.5247524752475248,8.0078125
bigcodebench,8,1058,max,generation_limit_or_overgeneration,89,291,7.801468605472137,10.185522782279591,0.004975124378109453,0.7950272555345422,1.0,0.7623762376237624,5.088062622309198
bigcodebench,4,14881,max,syntax_or_incomplete_code,17,291,20.42062570670993,6.0613878588602566,0.004975124378109453,0.8643194504079004,0.9411764705882353,0.6532846715328468,6.042884990253411
bigcodebench,10,2857,max,commentary_heavy,79,291,2.702490132208624,5.192041353412784,0.004975124378109453,0.6211189395748746,0.4936708860759494,0.3160377358490566,11.695906432748538
bigcodebench,6,12671,early_max,generation_limit_or_overgeneration,89,291,2.502036090415157,4.96136149142436,0.004975124378109453,0.7479697407943041,0.9550561797752809,0.8663366336633663,3.9138943248532287
bigcodebench,6,12671,early_max,missing_required_name_or_import,18,291,4.2819101695467126,4.273628663401,0.004975124378109453,0.6537444037444038,0.8888888888888888,0.8937728937728938,5.458089668615985
bigcodebench,4,14881,max,commentary_heavy,79,291,7.680878008140822,4.169923152301334,0.004975124378109453,0.620491999044662,0.7341772151898734,0.6462264150943396,12.420544113907958
bigcodebench,1,4300,early_max,generation_limit_or_overgeneration,89,291,0.6822561086656413,4.043510176699793,0.004975124378109453,0.5957837356769384,0.5168539325842697,0.6782178217821783,9.649122807017545
bigcodebench,9,6128,max,generation_limit_or_overgeneration,89,291,1.3218601898232507,3.6353316592687683,0.004975124378109453,0.6594170653020358,0.9662921348314607,0.8514851485148515,0.0
bigcodebench,3,8471,early_max,generation_limit_or_overgeneration,89,291,0.6005495138634616,3.5304049733782676,0.004975124378109453,0.6048781844476583,0.5617977528089888,0.5544554455445545,13.937621832358674
bigcodebench,7,10890,early_max,generation_limit_or_overgeneration,89,291,1.0872240968256615,3.4399100767053947,0.004975124378109453,0.6371120258093225,0.5730337078651685,0.5198019801980198,6.432748538011696
bigcodebench,6,12671,early_max,syntax_or_incomplete_code,17,291,3.4689272847898325,3.319771168853814,0.004975124378109453,0.6682052382996995,0.7647058823529411,0.9014598540145985,6.042884990253412
bigcodebench,5,2910,early_max,generation_limit_or_overgeneration,89,291,0.42381565581308034,3.0042738251462975,0.014925373134328358,0.5823784625653576,0.4157303370786517,0.3118811881188119,15.399610136452242
bigcodebench,2,3612,max,wrong_logic_or_other_runtime,106,291,-1.6966356996247383,-2.7896147227461783,0.004975124378109453,0.3999745028046915,0.9528301886792453,0.9783783783783784,6.862745098039215
bigcodebench,8,1058,max,edge_case_or_exception,43,291,2.8871128125995154,2.7605471660686125,0.009950248756218905,0.5953675918979745,0.9534883720930233,0.8145161290322581,19.23076923076923
bigcodebench,10,2857,max,syntax_or_incomplete_code,17,291,2.6219497368078772,2.706487891776368,0.014925373134328358,0.6894589952769429,0.8235294117647058,0.3357664233576642,27.290448343079923
bigcodebench,10,2857,max,wrong_logic_or_other_runtime,106,291,1.386205059718502,2.638489391846426,0.014925373134328358,0.5525242223355431,0.39622641509433965,0.34594594594594597,12.682558174951268
bigcodebench,4,14881,max,edge_case_or_exception,43,291,-5.001764073900862,-2.5489516725246206,0.009950248756218905,0.4703675918979745,0.7209302325581395,0.6612903225806451,37.362637362637365
humanevalplus,8,8764,early_max,wrong_logic_or_other_runtime,32,39,-1.8580946517842158,-2.5231934120692188,0.024875621890547265,0.3125,0.15625,0.5714285714285714,27.33644859813084
bigcodebench,4,14881,max,wrong_logic_or_other_runtime,106,291,3.774292263937263,2.435790918979574,0.01990049751243781,0.5179500254971953,0.6226415094339622,0.6972972972972973,9.408795962509013
bigcodebench,6,12671,early_max,api_or_type_mismatch,120,291,-1.143668878357313,-2.369038122135747,0.014925373134328358,0.4355994152046784,0.9333333333333333,0.8654970760233918,19.504830917874393
bigcodebench,3,8471,early_max,missing_required_name_or_import,18,291,0.6961063478819762,2.1760951818177947,0.029850746268656716,0.5702075702075702,0.7222222222222222,0.5457875457875457,24.366471734892787
bigcodebench,1,4300,early_max,api_or_type_mismatch,120,291,-0.385181240049022,-2.152460860698501,0.04477611940298507,0.41203703703703703,0.6333333333333333,0.6257309941520468,35.72225583114875
humanevalplus,10,7123,max,wrong_logic_or_other_runtime,32,39,-0.7898345185177666,-2.1103565792263788,0.0845771144278607,0.3080357142857143,0.03125,0.42857142857142855,29.12280701754386
bigcodebench,2,3612,max,generation_limit_or_overgeneration,89,291,1.2674204219911376,2.0943110408937335,0.04975124378109453,0.6049616197574814,1.0,0.9554455445544554,2.9239766081871346
bigcodebench,1,4300,early_max,syntax_or_incomplete_code,17,291,0.7175448644808712,2.0906616373960607,0.05472636815920398,0.666058394160584,0.5882352941176471,0.6313868613138686,12.22266027115229
bigcodebench,6,12671,early_max,commentary_heavy,79,291,-0.8996527800810259,-1.8674364631272298,0.06965174129353234,0.48310245999522333,0.9620253164556962,0.8679245283018868,7.025041235567551
bigcodebench,5,2910,early_max,syntax_or_incomplete_code,17,291,0.511664053115685,1.812088436068591,0.07462686567164178,0.6603692571919278,0.7058823529411765,0.32116788321167883,10.23391812865497
bigcodebench,2,3612,max,missing_required_name_or_import,18,291,2.076566623171316,1.7260985875258512,0.06467661691542288,0.5995115995115995,0.9444444444444444,0.9706959706959707,3.898635477582846
humanevalplus,9,4672,max,wrong_logic_or_other_runtime,32,39,-1.8889970247234618,-1.6979280783154236,0.07462686567164178,0.22321428571428573,0.3125,0.7142857142857143,5.217785843920145
bigcodebench,8,1058,max,wrong_logic_or_other_runtime,106,291,-1.3355918481452074,-1.6969460773108762,0.10945273631840796,0.4359000509943906,0.839622641509434,0.8324324324324325,12.085769980506823
bigcodebench,9,6128,max,edge_case_or_exception,43,291,0.8602796852985497,1.6919897271069828,0.09950248756218906,0.5647505626406601,0.8837209302325582,0.8870967741935484,0.0
bigcodebench,4,14881,max,api_or_type_mismatch,120,291,-2.5727905272740363,-1.6397602491613454,0.11442786069651742,0.4476120857699805,0.65,0.6842105263157895,25.243664717348928
bigcodebench,7,10890,early_max,missing_required_name_or_import,18,291,0.8606992746738578,1.5639401570537945,0.1044776119402985,0.6684981684981685,0.6666666666666666,0.5274725274725275,0.0
bigcodebench,1,4300,early_max,missing_required_name_or_import,18,291,0.538936437741013,1.537876272253275,0.12437810945273632,0.5366300366300366,0.7222222222222222,0.6227106227106227,13.255360623781677
bigcodebench,3,8471,early_max,syntax_or_incomplete_code,17,291,0.5258625458498889,1.5091190305745392,0.11940298507462686,0.6196865607556892,0.5882352941176471,0.5547445255474452,19.45354292238126
humanevalplus,6,1287,max,wrong_logic_or_other_runtime,32,39,-1.063474293266024,-1.5084861697627905,0.12437810945273632,0.42410714285714285,0.3125,0.2857142857142857,28.571428571428573
bigcodebench,7,10890,early_max,wrong_logic_or_other_runtime,106,291,-0.4392874263853883,-1.5082424260847198,0.12935323383084577,0.4895461499235084,0.39622641509433965,0.6162162162162163,8.644701086956522
bigcodebench,5,2910,early_max,missing_required_name_or_import,18,291,0.3700392815365169,1.4686981953920337,0.17412935323383086,0.6037851037851037,0.4444444444444444,0.336996336996337,22.62646598280766
