original_rank,feature_id,aggregation,matched_pairs,effect,effect_to_permutation_variability,permutation_p_nominal,matched_rank_within_original_top10
8,1058,max,23,2.703074709228847,3.0121360911182506,0.001999000499750125,1
2,3612,max,23,3.1495361120804493,2.797500651821241,0.0024987506246876563,2
9,6128,max,23,1.8338216491367507,2.1314543752216704,0.017991004497751123,3
6,12671,early_max,23,1.5883691362712695,1.6901816616329812,0.09395302348825588,4
5,2910,early_max,23,1.240276067153267,1.6609040489449358,0.10444777611194403,5
3,8471,early_max,23,1.1097303628921509,1.6552118945572782,0.04397801099450275,6
4,14881,max,23,3.288971369681151,1.649325674200564,0.09795102448775612,7
1,4300,early_max,23,1.472091591876486,1.6043538236479913,0.10394802598700649,8
7,10890,early_max,23,1.5911271883093792,1.3713247389670125,0.05997001499250375,9
10,2857,max,23,0.06811277244402014,0.8079810584538679,1.0,10
