rank,feature_id,mean_task_normalized_attribution,attribution_to_task_sd,mean_raw_attribution,support_tasks,positive_attribution_tasks,positive_sign_fraction,mean_active_tokens,mean_max_activation
1,16263,0.01575990580022335,0.3691781163215637,0.1272859126329422,25,14,0.56,1.829268292682927,8.020669937133789
2,9608,0.014553125016391277,0.7068449854850769,0.11920669674873352,35,33,0.9428571428571428,4.780487804878049,7.4400763511657715
3,7915,0.00940623413771391,1.188382625579834,0.0877336710691452,38,38,1.0,21.121951219512194,3.8838589191436768
4,13428,0.009228507988154888,0.8267415761947632,0.07866901904344559,40,39,0.975,36.26829268292683,8.1206636428833
5,5411,0.007294817827641964,1.4673752784729004,0.05542096123099327,41,39,0.9512195121951219,48.90243902439025,14.682957649230957
6,5566,0.005886866711080074,0.522065281867981,0.04364154487848282,27,23,0.8518518518518519,3.1707317073170733,8.648520469665527
7,2878,0.005624859128147364,0.3632388114929199,0.046200890094041824,8,7,0.875,0.4878048780487805,2.5294463634490967
8,2551,0.005585158243775368,0.19590826332569122,0.05111372843384743,25,22,0.88,0.926829268292683,5.017402648925781
9,3680,0.005406748503446579,0.6635291576385498,0.06116741523146629,25,25,1.0,5.2926829268292686,3.242929697036743
10,8313,0.00535011338070035,1.1460533142089844,0.04348166286945343,40,37,0.925,30.4390243902439,7.264551162719727
11,1651,0.005183571483939886,0.6195223331451416,0.03724346682429314,41,36,0.8780487804878049,7.2926829268292686,8.851408004760742
12,145,0.005010971333831549,0.4506763219833374,0.03722503036260605,9,8,0.8888888888888888,0.21951219512195122,2.443037748336792
13,10399,0.004378810059279203,0.4456602931022644,0.03236554190516472,9,9,1.0,0.24390243902439024,2.5163347721099854
14,12332,0.0036990754306316376,0.20379070937633514,0.06959449499845505,22,6,0.2727272727272727,2.341463414634146,3.078660011291504
15,13264,0.003555682022124529,0.4420360028743744,0.025375058874487877,8,8,1.0,0.34146341463414637,1.9872769117355347
16,5012,0.003430537413805723,0.1737547516822815,0.023850224912166595,11,7,0.6363636363636364,1.1951219512195121,3.0570483207702637
17,2258,0.003227530512958765,0.6144200563430786,0.02102404460310936,38,35,0.9210526315789473,5.048780487804878,6.423873424530029
18,3060,0.0031157296616584063,0.6379695534706116,0.022562185302376747,31,31,1.0,3.5853658536585367,5.480714321136475
19,7744,0.0029977834783494473,0.887100338935852,0.023063676431775093,40,34,0.85,5.682926829268292,8.067559242248535
20,6685,0.002955790376290679,0.2796097993850708,0.02204294316470623,13,9,0.6923076923076923,1.0975609756097562,2.9477148056030273
21,5642,0.0029184205923229456,0.5455511212348938,0.020057346671819687,41,26,0.6341463414634146,12.585365853658537,8.762008666992188
22,16047,0.0028254203498363495,0.44351789355278015,0.020197736099362373,35,34,0.9714285714285714,2.707317073170732,5.0788373947143555
23,15852,0.0027311763260513544,0.4122063219547272,0.02173840068280697,26,17,0.6538461538461539,2.8780487804878048,6.495044231414795
24,14673,0.0027204661164432764,1.0369799137115479,0.023562701418995857,41,38,0.926829268292683,43.78048780487805,8.67521858215332
25,11864,0.002675470896065235,0.48679348826408386,0.02282809652388096,22,20,0.9090909090909091,3.8780487804878048,5.526356220245361
26,15654,0.002552115125581622,0.35500678420066833,0.01835937798023224,25,24,0.96,2.3902439024390243,2.2087979316711426
27,10751,0.0024958772119134665,0.44364097714424133,0.019441453740000725,16,14,0.875,0.5121951219512195,2.0196964740753174
28,11057,0.0024946245830506086,0.30938205122947693,0.01590137928724289,18,8,0.4444444444444444,2.024390243902439,5.331165790557861
