rank,feature_id,mean_normalized_attribution_contrast_repeat_minus_first_occurrence,contrast_to_task_sd,support_tasks_either_boundary,positive_contrast_tasks,positive_contrast_fraction_over_support,repeat_mean_normalized_attribution,sham_mean_normalized_attribution
1,16263,0.011127904988825321,0.3044436573982239,24,13,0.5416666865348816,0.015876665711402893,0.004748762585222721
2,6245,0.007974790409207344,0.2693665623664856,21,13,0.6190476417541504,-0.0005596120608970523,-0.008534403517842293
3,9608,0.007310380227863789,0.5134195685386658,35,22,0.6285714507102966,0.014916953630745411,0.007606573402881622
4,11953,0.006417057476937771,0.28202158212661743,18,8,0.4444444477558136,0.001316620851866901,-0.005100436508655548
5,2878,0.005768181756138802,0.3684702217578888,8,7,0.875,0.005765479989349842,-2.7017304091714323e-06
6,145,0.005136222578585148,0.45732152462005615,9,8,0.8888888955116272,0.005136245395988226,2.268789600634591e-08
7,11710,0.00466266879811883,0.2879670560359955,26,17,0.6538461446762085,0.0010385105852037668,-0.003624157514423132
8,4761,0.004536309279501438,0.3768351972103119,23,16,0.695652186870575,-0.0019282056018710136,-0.006464515812695026
9,10399,0.004415301140397787,0.44798246026039124,9,9,1.0,0.004488280508667231,7.297930278582498e-05
10,12551,0.004386225715279579,0.4234170615673065,12,11,0.9166666865348816,-0.0006064685876481235,-0.004992693662643433
11,8313,0.004287268500775099,0.37240150570869446,39,27,0.692307710647583,0.00548649113625288,0.0011992219369858503
12,8109,0.004125411622226238,0.3315368890762329,33,21,0.6363636255264282,0.002297912957146764,-0.0018274985486641526
13,13012,0.003990407567471266,0.32221361994743347,20,13,0.6499999761581421,-0.0002693359274417162,-0.004259743727743626
14,14960,0.003944937139749527,0.16156750917434692,16,10,0.625,3.0200695618987083e-05,-0.003914737142622471
15,2393,0.0037958354223519564,0.20496128499507904,16,11,0.6875,7.265146996360272e-05,-0.0037231831811368465
16,2551,0.003432235214859247,0.12391379475593567,24,7,0.2916666567325592,0.005163317080587149,0.001731081516481936
17,12332,0.0034046615473926067,0.18506012856960297,22,12,0.5454545617103577,0.0037915525026619434,0.00038689118809998035
18,13264,0.0032018187921494246,0.44853082299232483,8,8,1.0,0.0036445739679038525,0.0004427553212735802
19,6685,0.0030284805689007044,0.2834080755710602,13,11,0.8461538553237915,0.003029684768989682,1.2042727348671178e-06
20,469,0.002816454041749239,0.2753632068634033,19,11,0.5789473652839661,0.001466851681470871,-0.0013496022438630462
21,1236,0.002754848450422287,0.24641607701778412,26,12,0.4615384638309479,-0.0003440365253482014,-0.0030988850630819798
22,1664,0.0025933398865163326,0.1250377744436264,40,22,0.550000011920929,-0.0335003025829792,-0.03609364107251167
23,10751,0.0025431921239942312,0.446948766708374,16,13,0.8125,0.0025582737289369106,1.5081898709468078e-05
24,3583,0.0025315226521342993,0.4851543605327606,20,19,0.949999988079071,0.0006136979209259152,-0.001917824731208384
25,8144,0.0023655088152736425,0.4478563964366913,19,15,0.7894737124443054,0.0005070723127573729,-0.0018584365025162697
26,2453,0.002354259369894862,0.3702995479106903,17,8,0.47058823704719543,0.002437988994643092,8.372966840397567e-05
27,7818,0.002315176883712411,0.2915075421333313,11,8,0.7272727489471436,0.00251001981087029,0.00019484295626170933
28,8724,0.0023116995580494404,0.19226156175136566,8,7,0.875,7.071457366691902e-05,-0.0022409853991121054
29,13439,0.0022019711323082447,0.32096242904663086,12,8,0.6666666865348816,0.0021067834459245205,-9.518735168967396e-05
30,7299,0.002082748804241419,0.21497197449207306,33,17,0.5151515007019043,0.0022985381074249744,0.00021578886662609875
31,5411,0.0020558435935527086,0.445206880569458,40,29,0.7250000238418579,0.007469351403415203,0.005413508042693138
32,5526,0.001989904325455427,0.25328707695007324,7,6,0.8571428656578064,0.0019667812157422304,-2.3123324353946373e-05
33,14785,0.0018721821252256632,0.3285929262638092,6,6,1.0,0.0018722966779023409,1.1455198034582281e-07
34,15654,0.001837003743276,0.2511245608329773,25,13,0.5199999809265137,0.0026159179396927357,0.0007789140800014138
35,13142,0.0017947563901543617,0.40326666831970215,8,7,0.875,0.0018432699143886566,4.851350240642205e-05
36,10331,0.0017667381325736642,0.23667901754379272,21,14,0.6666666865348816,0.00215708976611495,0.000390351633541286
37,13545,0.001664301147684455,0.22306029498577118,10,7,0.699999988079071,0.00012898448039777577,-0.0015353166963905096
38,3060,0.0016199039528146386,0.32152408361434937,30,18,0.6000000238418579,0.0031829923391342163,0.0015630887355655432
39,2318,0.0016100071370601654,0.32565611600875854,16,10,0.625,-0.0007073557935655117,-0.002317362930625677
40,16047,0.0015989082166925073,0.3161202371120453,35,19,0.5428571701049805,0.002896056277677417,0.0012971481774002314
41,10843,0.001587037229910493,0.44571855664253235,13,12,0.9230769276618958,0.0016003085765987635,1.3271465832076501e-05
42,7538,0.0015687632840126753,0.4265826940536499,8,8,1.0,0.0015687632840126753,0.0
43,588,0.0014521052362397313,0.41893938183784485,18,14,0.7777777910232544,0.0014564947923645377,4.389625246403739e-06
44,11057,0.0014182486338540912,0.32386118173599243,18,11,0.6111111044883728,0.0025569903664290905,0.0011387413833290339
45,9579,0.0014020036906003952,0.36059921979904175,18,13,0.7222222089767456,0.000497485336381942,-0.0009045182960107923
46,8087,0.0014009576989337802,0.24613435566425323,9,6,0.6666666865348816,0.0014064970891922712,5.53940617464832e-06
47,12929,0.0013304565800353885,0.2036229521036148,9,6,0.6666666865348816,1.8241465795654221e-06,-0.0013286324683576822
48,144,0.001313476706854999,0.4130043685436249,35,25,0.7142857313156128,0.0019038747996091843,0.0005903980927541852
49,15507,0.0013051816495135427,0.20016150176525116,40,23,0.574999988079071,0.0005498194368556142,-0.0007553622708655894
50,12047,0.0012440384598448873,0.162736713886261,16,10,0.625,0.00020184507593512535,-0.0010421935003250837
51,4740,0.0012411067727953196,0.12507857382297516,15,6,0.4000000059604645,0.001767470850609243,0.000526364310644567
52,13844,0.0012122639454901218,0.3053865432739258,11,9,0.8181818127632141,0.00011383798846509308,-0.0010984258260577917
53,442,0.0012091539101675153,0.3496478199958801,19,13,0.6842105388641357,0.0011390199651941657,-7.013385038590059e-05
54,4331,0.0011356101604178548,0.21565400063991547,22,10,0.4545454680919647,0.00025056616868823767,-0.0008850438753142953
55,13358,0.0011328121181577444,0.41292089223861694,19,14,0.7368420958518982,0.0010634867940098047,-6.932525138836354e-05
56,13425,0.0011276797158643603,0.34579867124557495,23,13,0.5652173757553101,-6.655065953964368e-05,-0.0011942305136471987
57,10065,0.0010843812488019466,0.2974735498428345,20,15,0.75,0.0009286622516810894,-0.00015571909898426384
58,2407,0.0010387790389358997,0.2438581883907318,15,10,0.6666666865348816,0.0006382256979122758,-0.00040055313729681075
59,4990,0.0010068162810057402,0.30426323413848877,18,8,0.4444444477558136,0.001254918286576867,0.00024810206377878785
60,6017,0.001002287259325385,0.4145295023918152,8,7,0.875,0.001002287259325385,0.0
61,13922,0.0009760125540196896,0.3889789283275604,32,24,0.75,-0.0007074573077261448,-0.0016834698617458344
62,1058,0.0009238825878128409,0.30890706181526184,19,12,0.6315789222717285,0.0018042975571006536,0.0008804152021184564
63,7088,0.0009217701735906303,0.33782511949539185,24,14,0.5833333134651184,0.0001068847268470563,-0.0008148854831233621
64,12280,0.0008874664199538529,0.40391331911087036,13,9,0.692307710647583,0.0008914757636375725,4.009482836409006e-06
65,9321,0.0008861786918714643,0.40209493041038513,22,16,0.7272727489471436,0.0005122955190017819,-0.0003738831146620214
66,3350,0.0008563387091271579,0.16438138484954834,16,11,0.6875,0.00015973519475664943,-0.0006966035580262542
67,7915,0.0008494635112583637,0.11703793704509735,37,19,0.5135135054588318,0.009628603234887123,0.008779140189290047
68,9885,0.0008329512784257531,0.38410961627960205,8,6,0.75,0.0008329512784257531,0.0
69,2368,0.0008326786337420344,0.3192826509475708,20,13,0.6499999761581421,-8.454591443296522e-05,-0.0009172245627269149
70,2870,0.0008106292225420475,0.40974295139312744,12,11,0.9166666865348816,0.0008837154018692672,7.30861138436012e-05
71,9786,0.0008100920240394771,0.23738691210746765,24,15,0.625,0.0010887532262131572,0.0002786613185890019
72,4185,0.0007939633214846253,0.13574247062206268,36,19,0.5277777910232544,-0.00028330343775451183,-0.0010772665264084935
73,12863,0.0007899076445028186,0.46851539611816406,22,15,0.6818181872367859,-0.00029423413798213005,-0.0010841416660696268
74,13414,0.0007882001809775829,0.14790666103363037,21,10,0.4761904776096344,0.0002470767358317971,-0.0005411234451457858
75,11729,0.0007865498773753643,0.272472083568573,19,10,0.5263158082962036,0.0013808838557451963,0.0005943339201621711
76,11125,0.0007693846127949655,0.27079644799232483,25,18,0.7200000286102295,0.002259775996208191,0.0014903912087902427
77,4239,0.0007614945061504841,0.20901334285736084,28,14,0.5,0.0014192585367709398,0.0006577639724127948
78,5662,0.0007589175365865231,0.3911237418651581,10,8,0.800000011920929,0.0008042052504606545,4.5287670218385756e-05
79,11094,0.0007524675456807017,0.15889126062393188,6,4,0.6666666865348816,0.00017117442621383816,-0.000581293017603457
80,1296,0.0007524312241002917,0.06070861965417862,29,13,0.4482758641242981,-0.00010739090066635981,-0.0008598223212175071
81,16080,0.000742594653274864,0.15046066045761108,9,5,0.5555555820465088,0.0007804951746948063,3.790049231611192e-05
82,9405,0.000742193078622222,0.4102991223335266,39,25,0.6410256624221802,-0.00028455437859520316,-0.0010267472825944424
83,91,0.0007315051625482738,0.34062743186950684,32,17,0.53125,0.001668123877607286,0.000936618831474334
84,13595,0.0007277886616066098,0.21068711578845978,17,9,0.529411792755127,0.0006658501224592328,-6.193864101078361e-05
85,12725,0.0007058292394503951,0.1741933375597,28,17,0.6071428656578064,-0.001432045130059123,-0.00213787448592484
86,10946,0.0006989309913478792,0.17556476593017578,27,17,0.6296296119689941,0.001282006734982133,0.0005830756272189319
87,2772,0.0006986759253777564,0.37087249755859375,13,9,0.692307710647583,0.00042746029794216156,-0.00027121565653942525
88,13514,0.0006923265173099935,0.2814803719520569,19,15,0.7894737124443054,8.159772551152855e-05,-0.0006107287481427193
89,10509,0.0006841332651674747,0.24845801293849945,11,9,0.8181818127632141,0.0004958932986482978,-0.0001882399810710922
90,2187,0.0006829682970419526,0.21946480870246887,19,11,0.5789473652839661,0.0008215106790885329,0.00013854245480615646
91,9659,0.000680752273183316,0.28164541721343994,23,11,0.47826087474823,-0.00047665051533840597,-0.0011574028758332133
92,8539,0.0006788052269257605,0.1768077313899994,19,9,0.4736842215061188,0.00032934354385361075,-0.0003494616539683193
