task_id,boundary_percent,boundary_text,bad_token_text,pre_boundary_tokens,logit_margin_bad_minus_eos,top_features
BigCodeBench/18,45.157819225251075,command,command,321,-6.33984375,3680:0.958936;13365:0.581704;9380:0.461911;7958:0.382398;8309:0.367617;9608:0.342768;9178:0.251407;10651:0.236722;13428:0.220749;2005:0.219662;15632:0.197052;8321:0.190688;2203:0.189229;10679:0.18415;16088:0.171283;12932:0.171008;2883:0.171006;5993:0.165567;1058:0.151411;2755:0.147868
BigCodeBench/43,5.378009291848515,----------------,----------------,92,6.375,145:0.219777;5566:0.167759;10399:0.137546;2223:0.136616;13264:0.121721;11864:0.114648;13439:0.112989;10843:0.107338;7915:0.106186;9579:0.105226;1296:0.103139;7538:0.0943843;10065:0.0825153;5208:0.0820318;12551:0.0798638;10020:0.0649074;12229:0.0590228;7287:0.0587047;13428:0.0573822;5411:0.0556641
BigCodeBench/60,12.095693779904305,----------------,----------------,225,6.8046875,14711:0.160068;14960:0.157027;145:0.13543;8167:0.0928286;10399:0.0918238;10020:0.0786132;6204:0.0775775;7538:0.0734943;8313:0.0713004;13142:0.0700779;7384:0.0636793;6017:0.0625857;13428:0.0621162;2131:0.0610371;10234:0.058654;12002:0.0558223;14673:0.0517769;10643:0.0452741;13264:0.0449888;5662:0.0442706
BigCodeBench/73,6.8690095846645365,\n    # Convert string representation of list into list.,\n,45,7.859375,9608:0.273741;7915:0.262686;13428:0.225798;5916:0.129752;3680:0.123087;1362:0.113543;8144:0.102656;11306:0.0984762;7386:0.0880927;91:0.0864844;11208:0.0831908;2203:0.0752141;13162:0.0643844;5411:0.061822;15654:0.0611473;15742:0.0540416;1239:0.0535598;6101:0.0485097;2916:0.0484409;10867:0.0481629
BigCodeBench/204,1.3592233009708738,1.,1,5,4.37890625,16263:0.939817;2878:0.387633;5566:0.306858;14785:0.170105;8313:0.15675;2453:0.152995;10751:0.152809;9608:0.130391;9786:0.127751;15852:0.124501;11953:0.121929;7915:0.116942;6934:0.0976497;4990:0.084576;975:0.0785917;5411:0.0753714;4484:0.075212;2223:0.0681392;10065:0.0603058;6023:0.0539852
BigCodeBench/258,0.5882352941176471,"   """"""\n",  ,3,6.5390625,5012:0.832655;2551:0.148421;14862:0.105736;5566:0.102421;15852:0.0966347;16263:0.0732859;4484:0.0726977;6214:0.0554158;2223:0.0538808;3769:0.0506476;9579:0.0485519;11125:0.0473941;12934:0.0455606;3680:0.0435734;827:0.0350865;8999:0.0340858;6135:0.0331216;6372:0.030882;14859:0.0288594;10234:0.0284276
BigCodeBench/261,83.62333674513818,0,0,353,5.9765625,354:0.153818;6398:0.120915;8309:0.107552;7072:0.0931451;7399:0.0828776;3457:0.0805577;4740:0.0776576;11016:0.0769582;9961:0.0766446;2055:0.0726874;13384:0.0720752;6222:0.0715823;11244:0.0670062;14280:0.0645751;12533:0.0635341;10495:0.0585945;7714:0.0557264;8726:0.0521515;12673:0.0520241;5232:0.0512229
BigCodeBench/288,1.3592233009708738,1.,1,5,3.54296875,16263:1.05245;2878:0.278671;5566:0.240705;10331:0.18436;2453:0.131394;7299:0.131301;15852:0.130932;1296:0.126856;6685:0.125422;14785:0.12482;2318:0.119169;11953:0.11447;10751:0.110364;10777:0.0948364;4990:0.0861005;5411:0.0856835;3583:0.079062;6023:0.0737212;6314:0.0736686;14960:0.0725373
BigCodeBench/289,1.3592233009708738,1.,1,5,5.375,16263:1.01293;2878:0.538545;6685:0.470998;7299:0.313253;6023:0.277488;15852:0.263064;10751:0.134584;13813:0.132765;2453:0.120639;11953:0.112823;14785:0.111243;7744:0.0979724;9786:0.0885544;9608:0.0848479;5566:0.0770158;588:0.0761735;8167:0.0734659;14960:0.0685109;1651:0.0667131;10331:0.0626006
BigCodeBench/393,16.93936477382098,"\n    fig.add_subplot(1,1)",\n,65,4.7578125,10123:0.180399;2407:0.163745;13289:0.118875;7065:0.116094;6551:0.112029;4740:0.105642;8313:0.104552;8111:0.0963891;3298:0.0850449;4975:0.0820065;404:0.0816496;12544:0.0787661;11016:0.0718078;5411:0.0714316;15222:0.0606486;3951:0.0553925;975:0.0543017;13384:0.0513304;15528:0.0509106;1472:0.0507812
