rank,feature_id,mean_task_normalized_attribution,attribution_to_task_sd,mean_raw_attribution,support_tasks,positive_attribution_tasks,positive_sign_fraction,mean_active_tokens,mean_max_activation
1,13428,0.00957922451198101,0.857975959777832,0.07691884785890579,37,36,0.972972972972973,33.475,7.560044288635254
2,7915,0.008779140189290047,1.0298237800598145,0.07545508444309235,32,31,0.96875,19.325,3.293224334716797
3,6023,0.008404938504099846,0.4463564157485962,0.04593169689178467,19,17,0.8947368421052632,1.65,8.914402961730957
4,8167,0.008136659860610962,0.663190484046936,0.05231595039367676,30,29,0.9666666666666667,5.25,3.5075926780700684
5,2203,0.007984780706465244,0.5753359198570251,0.07021146267652512,24,22,0.9166666666666666,7.875,6.271873474121094
6,5642,0.007761781103909016,0.7617696523666382,0.03985343128442764,40,30,0.75,11.225,8.777705192565918
7,5566,0.007651562336832285,0.416519433259964,0.03732456639409065,25,19,0.76,2.425,6.25551700592041
8,9608,0.007606574799865484,0.621816098690033,0.075929656624794,24,23,0.9583333333333334,3.95,6.025459289550781
9,7744,0.007456614635884762,0.6828153729438782,0.03785369545221329,39,34,0.8717948717948718,5.05,8.112249374389648
10,15852,0.007228930946439505,0.4717767536640167,0.03705737367272377,20,17,0.85,2.375,5.157402992248535
11,14364,0.006027110852301121,0.2504939138889313,0.010215732268989086,40,17,0.425,4.425,10.825441360473633
12,1651,0.005873739719390869,0.7445029020309448,0.03151579201221466,40,38,0.95,6.075,8.516489028930664
13,3680,0.005738040432333946,0.5264669060707092,0.06661190092563629,21,20,0.9523809523809523,4.9,2.792985200881958
14,7879,0.005580534227192402,0.530365526676178,0.02627517655491829,40,30,0.75,3.975,10.47661018371582
15,5411,0.005413508042693138,0.9593561291694641,0.04529855400323868,39,33,0.8461538461538461,45.05,12.847099304199219
16,447,0.00485078664496541,0.399275004863739,0.021042298525571823,40,23,0.575,2.525,17.03164291381836
17,13702,0.004772956948727369,0.1778773069381714,0.0062113674357533455,19,6,0.3157894736842105,0.475,15.126629829406738
18,16263,0.004748762585222721,0.5818086862564087,0.02826855704188347,20,17,0.85,1.375,4.076834678649902
19,3380,0.003806236432865262,0.6543015837669373,0.02547743357717991,19,18,0.9473684210526315,1.775,4.216214179992676
20,12544,0.003740355372428894,0.3124033212661743,0.029967155307531357,13,9,0.6923076923076923,0.925,5.441416263580322
21,2258,0.0036586832720786333,0.5555440783500671,0.018747881054878235,36,33,0.9166666666666666,4.475,6.045039176940918
22,5784,0.0035418670158833265,0.4581693112850189,0.017962589859962463,38,36,0.9473684210526315,3.825,3.415217161178589
23,8364,0.0033238574396818876,0.6637070178985596,0.024894384667277336,18,18,1.0,1.425,5.561525821685791
24,6934,0.0031923833303153515,0.5458998084068298,0.017989274114370346,20,19,0.95,1.375,4.151845455169678
25,15148,0.0030602538026869297,0.36669597029685974,0.015182731673121452,18,14,0.7777777777777778,0.725,12.328904151916504
26,15522,0.0030112985987216234,0.14008992910385132,0.007232727017253637,40,16,0.4,4.175,7.183143615722656
27,1362,0.002889391500502825,0.3474019467830658,0.02711249515414238,14,13,0.9285714285714286,1.325,7.511647701263428
28,11864,0.002767469733953476,0.46816959977149963,0.028254251927137375,18,17,0.9444444444444444,3.65,4.935391902923584
29,10777,0.002609089482575655,0.20997503399848938,0.014606486074626446,30,15,0.5,1.7,5.773237705230713
30,12748,0.0025832834653556347,0.3698233664035797,0.010505099780857563,10,9,0.9,0.7,1.516696572303772
31,14673,0.002555397804826498,0.7939836978912354,0.020228255540132523,39,33,0.8461538461538461,40.775,8.331258773803711
32,6204,0.0025418747682124376,0.48462527990341187,0.026551097631454468,12,12,1.0,6.625,2.4879703521728516
33,15150,0.0025015254504978657,0.41363751888275146,0.024971740320324898,14,12,0.8571428571428571,1.9,3.2749075889587402
34,3097,0.0024201807100325823,0.2828232944011688,0.021356504410505295,14,10,0.7142857142857143,2.525,2.9764657020568848
35,12573,0.0022408748045563698,0.29707127809524536,0.018844198435544968,21,17,0.8095238095238095,2.575,3.638934373855591
36,11252,0.002159387106075883,0.37287160754203796,0.022028818726539612,18,17,0.9444444444444444,7.2,1.7665475606918335
37,7184,0.0021039266139268875,0.40463006496429443,0.009666582569479942,19,17,0.8947368421052632,1.475,3.249558925628662
38,6532,0.002034551464021206,0.3328447937965393,0.016560446470975876,10,9,0.9,3.7,2.7436108589172363
39,2446,0.0020099061075598,0.3564004600048065,0.015862425789237022,16,13,0.8125,1.825,2.717132091522217
40,2445,0.0019227362936362624,0.42427822947502136,0.01735038124024868,13,12,0.9230769230769231,1.325,2.0755603313446045
41,1010,0.001832950278185308,0.36455225944519043,0.020752834156155586,15,13,0.8666666666666667,11.65,2.65968918800354
42,8662,0.001745913759805262,0.3495160639286041,0.013737904839217663,10,9,0.9,1.5,3.4023399353027344
43,12002,0.0017360846977680922,0.5848984122276306,0.008316254243254662,20,18,0.9,1.65,2.5330188274383545
44,2551,0.001731081516481936,0.666573166847229,0.012886954471468925,20,20,1.0,0.775,3.1614136695861816
45,6314,0.0017249512020498514,0.5911415815353394,0.01298612356185913,20,20,1.0,3.4,5.988451957702637
46,3233,0.0017117293318733573,0.3468203544616699,0.011422323063015938,19,16,0.8421052631578947,2.575,2.9395835399627686
47,1239,0.0016695022350177169,0.5255651473999023,0.016171487048268318,17,14,0.8235294117647058,1.15,4.200030326843262
48,2223,0.0016681881388649344,0.28189659118652344,0.007928846403956413,19,14,0.7368421052631579,1.8,5.226353168487549
49,15021,0.001637078239582479,0.27993473410606384,0.014317120425403118,22,20,0.9090909090909091,5.1,4.121224403381348
50,6372,0.001630201586522162,0.2534494698047638,0.020531482994556427,19,12,0.631578947368421,1.75,4.836284637451172
51,2704,0.0016260428819805384,0.5307849049568176,0.01424902118742466,17,14,0.8235294117647058,2.5,4.337893486022949
52,2916,0.0016109024873003364,0.5603692531585693,0.016334980726242065,17,17,1.0,2.975,2.5574707984924316
53,9746,0.001599268289282918,0.5069485306739807,0.012332795187830925,19,17,0.8947368421052632,1.6,3.695406436920166
54,3060,0.0015630887355655432,0.6739298105239868,0.013685556128621101,26,26,1.0,3.125,4.548148155212402
55,14969,0.0015545543283224106,0.3113173842430115,0.008555179461836815,15,10,0.6666666666666666,1.225,3.3991973400115967
56,14088,0.0015156961744651198,0.3907303214073181,0.013963788747787476,15,14,0.9333333333333333,1.325,2.0284273624420166
57,13789,0.001510408939793706,0.5206071138381958,0.0113768819719553,34,30,0.8823529411764706,7.975,2.3916454315185547
58,11125,0.0014903910923749208,0.3484778106212616,0.011340104043483734,18,17,0.9444444444444444,1.225,3.0540478229522705
59,12895,0.0014822283992543817,0.25799015164375305,0.015154461376369,22,16,0.7272727272727273,2.45,2.8541839122772217
60,14711,0.00147891859523952,0.3373817205429077,0.01430539321154356,11,8,0.7272727272727273,0.3,1.5470422506332397
61,10219,0.00146689813118428,0.39731356501579285,0.007514526601880789,19,19,1.0,0.975,4.553328514099121
62,354,0.0014667200157418847,0.44676673412323,0.013028202578425407,18,16,0.8888888888888888,4.25,2.7106757164001465
63,8309,0.0014442726969718933,0.30401909351348877,0.022341186180710793,21,18,0.8571428571428571,20.475,4.0709638595581055
64,5617,0.0014259021263569593,0.34561964869499207,0.014243312180042267,14,8,0.5714285714285714,0.575,3.481701612472534
65,11890,0.0014150533825159073,0.3308101296424866,0.011097026988863945,12,10,0.8333333333333334,3.45,3.5993237495422363
66,4907,0.001378639368340373,0.4337363839149475,0.008965016342699528,21,17,0.8095238095238095,2.4,3.178675651550293
67,2131,0.0013565222034230828,0.4377201795578003,0.012183213606476784,15,14,0.9333333333333333,1.525,2.4800381660461426
68,8341,0.0013390900567173958,0.15403446555137634,0.004900728818029165,7,4,0.5714285714285714,0.675,2.8397645950317383
69,12229,0.0013166285352781415,0.56076580286026,0.012761296704411507,21,18,0.8571428571428571,2.35,3.7768454551696777
70,16047,0.0012971481774002314,0.5179938673973083,0.007333060260862112,33,30,0.9090909090909091,2.275,3.996173143386841
71,3369,0.0012791408225893974,0.1753634363412857,0.002474402543157339,19,12,0.631578947368421,2.4,6.694798469543457
72,3893,0.001272274530492723,0.47699493169784546,0.010042060166597366,18,17,0.9444444444444444,1.075,4.72198486328125
73,6717,0.001257766387425363,0.3281729817390442,0.007517700549215078,15,14,0.9333333333333333,1.725,5.623828887939453
74,11306,0.0012529055820778012,0.2726796269416809,0.012923005037009716,16,14,0.875,10.275,3.609269618988037
75,1017,0.0012446918990463018,0.3833540678024292,0.010791055858135223,11,9,0.8181818181818182,1.5,3.5307228565216064
76,13462,0.0012249458814039826,0.6498478651046753,0.009983746334910393,30,29,0.9666666666666667,3.9,3.4961001873016357
77,5463,0.001216289820149541,0.317315012216568,0.010170969180762768,22,17,0.7727272727272727,1.675,5.585865020751953
78,10262,0.0012002185685560107,0.423797607421875,0.008450496010482311,20,16,0.8,1.375,2.4883365631103516
79,1639,0.0012000283459201455,0.33479049801826477,0.009904165752232075,15,10,0.6666666666666666,0.8,5.890838623046875
80,8313,0.001199222169816494,0.10756334662437439,0.0062894136644899845,39,25,0.6410256410256411,26.925,7.027918815612793
81,10020,0.0011927109444513917,0.2892052233219147,0.013787019066512585,10,9,0.9,2.975,2.1624557971954346
82,14639,0.001185636967420578,0.2754090130329132,0.010847379453480244,18,17,0.9444444444444444,1.075,5.056363105773926
83,10337,0.0011728685349225998,0.31552010774612427,0.009525995701551437,20,13,0.65,2.325,2.707570791244507
84,9736,0.001149254385381937,0.5974501371383667,0.00795784406363964,31,24,0.7741935483870968,4.1,3.0889530181884766
85,11057,0.0011387413833290339,0.2813512086868286,0.009007113985717297,13,7,0.5384615384615384,1.8,4.870453834533691
86,2832,0.0011181365698575974,0.4461115896701813,0.010831217281520367,14,11,0.7857142857142857,0.575,2.5077319145202637
87,16207,0.0010894816368818283,0.5469114184379578,0.009679116308689117,21,19,0.9047619047619048,3.65,3.0663647651672363
88,7839,0.0010688204783946276,0.2379416674375534,0.0035358264576643705,19,8,0.42105263157894735,2.7,1.7627207040786743
89,13348,0.0010552022140473127,0.5077680945396423,0.009413929656147957,32,27,0.84375,12.075,2.3969902992248535
90,4284,0.0010404190979897976,0.5400292277336121,0.011218537576496601,13,13,1.0,2.025,3.539508104324341
91,15336,0.0010394540149718523,0.5278716087341309,0.011675299145281315,16,15,0.9375,1.65,3.4606080055236816
92,1180,0.0010350474622100592,0.34247443079948425,0.00827048160135746,12,11,0.9166666666666666,2.675,5.8054094314575195
93,4484,0.0010219616815447807,0.25817349553108215,0.0040677255019545555,16,12,0.75,0.7,1.3746273517608643
94,9812,0.0010095929028466344,0.5090173482894897,0.009454434737563133,18,17,0.9444444444444444,2.55,3.035102128982544
95,13859,0.0009800938423722982,0.305856317281723,0.008207663893699646,27,21,0.7777777777777778,1.35,2.939033269882202
96,3769,0.0009677362395450473,0.21588899195194244,0.016842816025018692,7,5,0.7142857142857143,4.575,1.2055132389068604
97,91,0.0009366187150590122,0.40582576394081116,0.009602757170796394,25,23,0.92,3.5,2.214164972305298
98,3178,0.000933269620873034,0.3320128321647644,0.01124584674835205,28,18,0.6428571428571429,7.825,4.194303035736084
99,9,0.0009274220210500062,0.16557280719280243,0.0057812463492155075,5,5,1.0,0.5,1.136705756187439
100,14496,0.0009182877838611603,0.2567826211452484,0.002054126001894474,20,11,0.55,0.525,1.2275669574737549
101,8070,0.0009017048287205398,0.4913513660430908,0.00554858660325408,34,26,0.7647058823529411,4.05,3.870678424835205
102,10693,0.0008989250054582953,0.37751489877700806,0.004185398109257221,19,16,0.8421052631578947,1.725,2.3290560245513916
103,13760,0.0008952019852586091,0.17971675097942352,0.00814659334719181,5,5,1.0,0.2,2.4820892810821533
104,13384,0.0008861285750754178,0.22036567330360413,0.00477893790230155,25,11,0.44,4.05,5.719192981719971
105,4253,0.0008816791814751923,0.42717787623405457,0.007540839724242687,13,12,0.9230769230769231,2.175,2.9112114906311035
106,1058,0.0008804150857031345,0.3564901351928711,0.012315602041780949,14,12,0.8571428571428571,3.9,2.5865345001220703
107,975,0.0008612842066213489,0.27642202377319336,0.005179327446967363,25,19,0.76,4.6,2.1527862548828125
108,3495,0.0008606050396338105,0.33740878105163574,0.012629449367523193,14,12,0.8571428571428571,3.3,2.6531708240509033
109,1104,0.0008381488732993603,0.3868909180164337,0.00803377851843834,12,11,0.9166666666666666,1.225,1.3363902568817139
110,5930,0.0008380294893868268,0.45787879824638367,0.00555365439504385,21,17,0.8095238095238095,3.3,3.02755069732666
111,1373,0.0008325117523781955,0.34053152799606323,0.004260971210896969,31,18,0.5806451612903226,19.775,3.3276305198669434
112,7126,0.0008301853085868061,0.3578238785266876,0.005849143490195274,26,20,0.7692307692307693,3.55,5.0568060874938965
113,1777,0.0008261848124675453,0.39725804328918457,0.005643119569867849,28,18,0.6428571428571429,3.95,3.827929973602295
114,16088,0.0008133070659823716,0.44177985191345215,0.009449861012399197,19,17,0.8947368421052632,4.45,2.7464773654937744
115,7354,0.0008109324844554067,0.21556328237056732,0.009368236176669598,17,10,0.5882352941176471,1.2,1.8948723077774048
116,6983,0.0008060504915192723,0.27083778381347656,0.005206930451095104,12,8,0.6666666666666666,2.55,2.1055474281311035
117,8111,0.0008058147504925728,0.24914589524269104,0.0038900822401046753,13,10,0.7692307692307693,1.625,2.8609707355499268
118,5225,0.0008048688760027289,0.5095893740653992,0.005684280302375555,22,20,0.9090909090909091,9.75,2.2230210304260254
119,15654,0.0007789140217937529,0.5753069519996643,0.006631332449615002,19,18,0.9473684210526315,2.025,1.4754459857940674
120,11576,0.0007715028477832675,0.39234068989753723,0.006872390862554312,12,12,1.0,1.425,1.6659778356552124
121,10648,0.0007666470482945442,0.4959801733493805,0.005890890955924988,22,19,0.8636363636363636,5.725,5.4817633628845215
122,6294,0.0007382031762972474,0.2338312715291977,0.0045014433562755585,7,6,0.8571428571428571,0.6,2.6294288635253906
123,9006,0.0007371982792392373,0.13775207102298737,0.006685330532491207,11,6,0.5454545454545454,2.6,2.8058714866638184
124,14027,0.0007295190589502454,0.3359982371330261,0.0024570287205278873,20,18,0.9,1.025,1.2693785429000854
125,3211,0.0007251747883856297,0.5485829710960388,0.006245257332921028,24,22,0.9166666666666666,2.8,4.817352294921875
126,14974,0.0007229889743030071,0.21743661165237427,0.007744898553937674,15,14,0.9333333333333333,1.925,3.076261043548584
127,15095,0.0007154991617426276,0.28874313831329346,0.005625338293612003,19,12,0.631578947368421,1.225,3.5396342277526855
128,367,0.0007132680038921535,0.35844969749450684,0.004957293160259724,22,20,0.9090909090909091,1.775,4.347383975982666
129,11621,0.0007124546682462096,0.40193256735801697,0.006481052841991186,15,13,0.8666666666666667,4.375,2.3604116439819336
130,2055,0.000707881641574204,0.4257119297981262,0.006630680523812771,12,12,1.0,2.2,1.948512315750122
131,8105,0.0007008248940110207,0.3728853166103363,0.006212317384779453,12,10,0.8333333333333334,1.6,2.8525383472442627
132,11784,0.0007006869418546557,0.5095220804214478,0.006299769971519709,30,24,0.8,9.775,3.3113207817077637
133,4535,0.0007002762868069112,0.20675839483737946,0.0033551231026649475,18,14,0.7777777777777778,3.6,2.026402711868286
134,11208,0.0006918260478414595,0.49912551045417786,0.0050270636565983295,32,26,0.8125,3.25,3.164241075515747
135,114,0.0006716657080687582,0.3744550943374634,0.0038201450370252132,21,18,0.8571428571428571,5.65,1.952284574508667
136,7958,0.0006619791965931654,0.26186054944992065,0.01002160832285881,7,7,1.0,4.525,0.7698405385017395
137,16117,0.0006604164955206215,0.4610631465911865,0.00608811154961586,23,19,0.8260869565217391,5.55,2.274785280227661
138,4239,0.0006577640888281167,0.6073436141014099,0.006121185142546892,21,19,0.9047619047619048,1.525,3.569624423980713
139,4668,0.0006521515897475183,0.25914087891578674,0.007869089022278786,11,7,0.6363636363636364,2.575,4.818380832672119
140,14859,0.0006520407041534781,0.3742716312408447,0.005879695061594248,33,23,0.696969696969697,6.55,3.618504285812378
141,2889,0.0006513665430247784,0.3974190652370453,0.0074499743059277534,24,16,0.6666666666666666,9.7,3.5153679847717285
142,9451,0.0006474798428826034,0.37635597586631775,0.004338169936090708,17,14,0.8235294117647058,0.725,4.172430515289307
143,11244,0.000646611035335809,0.40966129302978516,0.008112343028187752,13,11,0.8461538461538461,6.725,2.587109327316284
144,538,0.0006447260966524482,0.4411124885082245,0.005254937801510096,25,19,0.76,5.375,3.1685500144958496
145,14674,0.000634641561191529,0.3342076241970062,0.005553182680159807,9,8,0.8888888888888888,0.675,3.9030442237854004
146,8131,0.0006308602751232684,0.5288527011871338,0.004439673852175474,22,20,0.9090909090909091,1.425,3.092215061187744
147,5541,0.000628334644716233,0.3968677222728729,0.00280482554808259,20,16,0.8,3.65,1.788352608680725
148,12445,0.0006226733094081283,0.3530418276786804,0.0038351942785084248,16,12,0.75,5.125,2.4761853218078613
149,1280,0.0006163858924992383,0.2971385419368744,0.005475583020597696,15,11,0.7333333333333333,2.9,3.628645658493042
150,14521,0.0006140742916613817,0.37796837091445923,0.006332505494356155,14,13,0.9285714285714286,1.675,2.5351479053497314
151,6101,0.0006105754291638732,0.19158698618412018,0.007036889903247356,17,12,0.7058823529411765,3.0,2.0802807807922363
152,12794,0.0006054755067452788,0.42290979623794556,0.008692052215337753,16,15,0.9375,1.625,2.505223274230957
153,4698,0.0006023686146363616,0.6077175140380859,0.00634011160582304,19,19,1.0,4.45,4.356842994689941
154,15457,0.0005966871976852417,0.4104189872741699,0.003518950892612338,26,22,0.8461538461538461,2.4,3.030806303024292
155,10009,0.0005965981399640441,0.2691647410392761,0.002746105194091797,27,18,0.6666666666666666,6.475,6.622189998626709
156,11729,0.0005943338619545102,0.41601064801216125,0.006650167517364025,14,13,0.9285714285714286,1.35,2.8227791786193848
157,9337,0.0005910446052439511,0.41859692335128784,0.005301510449498892,22,18,0.8181818181818182,4.7,1.846887230873108
158,15323,0.0005907544982619584,0.35738471150398254,0.00529149454087019,14,11,0.7857142857142857,2.225,5.309359550476074
159,144,0.0005903980927541852,0.4074098765850067,0.004484663717448711,29,20,0.6896551724137931,4.9,1.9301154613494873
160,15908,0.0005877155344933271,0.35851436853408813,0.003558454569429159,19,17,0.8947368421052632,1.8,3.8396315574645996
161,8284,0.0005859226803295314,0.24211010336875916,0.0026385581586509943,10,9,0.9,0.725,2.068052291870117
162,10946,0.000583075569011271,0.30444154143333435,0.0024234014563262463,24,19,0.7916666666666666,5.075,2.468477964401245
163,4289,0.0005717919557355344,0.4334709048271179,0.004480393603444099,17,15,0.8823529411764706,2.45,4.348631858825684
164,2134,0.0005633997498080134,0.15342600643634796,0.002554373349994421,12,9,0.75,0.85,2.326165199279785
165,1797,0.0005626584170386195,0.5374894738197327,0.0065755220130085945,34,28,0.8235294117647058,5.925,4.318700313568115
166,14849,0.0005610004300251603,0.28235742449760437,0.006068273447453976,11,7,0.6363636363636364,2.75,2.2060599327087402
167,4614,0.0005589722422882915,0.4392031729221344,0.003301706165075302,25,20,0.8,2.7,2.8489511013031006
168,5534,0.0005523908766917884,0.5375975966453552,0.0037251084577292204,19,18,0.9473684210526315,1.825,3.3635852336883545
169,3561,0.0005498527316376567,0.2572995722293854,0.004112916998565197,14,7,0.5,7.35,2.658879518508911
170,1731,0.0005443652044050395,0.3468567132949829,0.002892980817705393,19,15,0.7894736842105263,1.725,2.920285940170288
171,7386,0.000539651489816606,0.39634981751441956,0.005467784591019154,14,12,0.8571428571428571,2.325,2.6028847694396973
172,7363,0.0005359310889616609,0.5665498375892639,0.004220865201205015,17,17,1.0,3.5,2.1620430946350098
173,4210,0.0005322780925780535,0.4555814862251282,0.005140847060829401,21,16,0.7619047619047619,5.0,1.6507976055145264
174,8999,0.0005301492055878043,0.3012053668498993,0.009055991657078266,9,8,0.8888888888888888,2.45,1.4381752014160156
175,4339,0.0005301044438965619,0.40657785534858704,0.0036264497321099043,30,22,0.7333333333333333,6.325,2.5201075077056885
176,404,0.0005299306940287352,0.1837758868932724,0.0038022298831492662,14,8,0.5714285714285714,0.925,8.167390823364258
177,10123,0.0005291751585900784,0.13469645380973816,0.002538368571549654,12,7,0.5833333333333334,0.825,2.112281322479248
178,1415,0.0005269790417514741,0.13852228224277496,0.005786385852843523,12,4,0.3333333333333333,1.325,2.1532974243164062
179,4740,0.0005263641942292452,0.28325629234313965,0.005118291825056076,12,10,0.8333333333333334,1.65,3.840848207473755
180,860,0.0005236361757852137,0.3415367305278778,0.001927249482832849,17,9,0.5294117647058824,1.375,1.7354224920272827
181,631,0.0005226236535236239,0.16051194071769714,0.007773999124765396,28,13,0.4642857142857143,3.825,8.201021194458008
182,13768,0.0005221661413088441,0.13779398798942566,0.007268078625202179,14,9,0.6428571428571429,1.2,2.468543529510498
183,7065,0.0005167695926502347,0.161515474319458,0.0021241353824734688,5,4,0.8,1.2,0.748813271522522
184,10234,0.0005161631270311773,0.25162363052368164,0.006966511253267527,12,11,0.9166666666666666,2.6,3.112949848175049
185,2619,0.0005157148698344827,0.35516828298568726,0.004834289196878672,9,8,0.8888888888888888,0.225,0.5349966883659363
186,1985,0.0005130633362568915,0.14568564295768738,0.007610934320837259,20,11,0.55,2.025,5.216926574707031
187,10029,0.0005130070494487882,0.25136861205101013,0.0021849058102816343,10,7,0.7,0.575,1.5431597232818604
188,14280,0.0005110651254653931,0.278949111700058,0.006829558406025171,7,7,1.0,3.175,0.851138710975647
189,4470,0.0005075871595181525,0.5604302883148193,0.004450555890798569,26,24,0.9230769230769231,9.825,2.215294361114502
190,3819,0.0005048252060078084,0.15750962495803833,0.002611306495964527,12,6,0.5,2.7,1.9524719715118408
191,3030,0.0005005020648241043,0.31056755781173706,0.006378432270139456,10,9,0.9,3.025,2.612546443939209
192,14555,0.0004996983334422112,0.2808082103729248,0.004530289210379124,25,17,0.68,5.625,3.2007484436035156
