task_id,boundary_percent,boundary_text,bad_token_text,pre_boundary_tokens,logit_margin_bad_minus_eos,top_features
BigCodeBench/18,44.870875179340025,command,command,320,9.578125,3680:0.856156;8309:0.603564;9608:0.321211;12853:0.305113;7958:0.302407;2755:0.261923;13139:0.255947;15632:0.238423;8321:0.208901;10679:0.193502;8834:0.171315;16088:0.167852;9380:0.167338;12932:0.162453;2883:0.161915;1058:0.146877;16207:0.145068;8167:0.138247;14673:0.126786;13428:0.126625
BigCodeBench/43,5.152752358158525,----------------,----------------,91,5.8671875,1010:0.315193;2203:0.296383;11864:0.256715;1296:0.207294;10020:0.187951;5617:0.174361;15150:0.165523;6372:0.160767;8167:0.152211;3380:0.151832;7915:0.150735;5566:0.144861;2832:0.12717;15852:0.125375;13934:0.12403;6023:0.122716;13428:0.103634;1985:0.0952816;2889:0.094023;12229:0.0936736
BigCodeBench/60,11.789473684210526,----------------,----------------,224,6.79296875,8167:0.424618;14960:0.247018;10020:0.191746;2131:0.139474;14849:0.0966095;6204:0.0919727;16263:0.076251;5617:0.0730469;12002:0.0720566;15507:0.0685172;2832:0.0632644;10234:0.0611706;975:0.0592735;1010:0.0588484;6023:0.0560883;13428:0.0549069;15852:0.0541851;11710:0.0540055;13859:0.0536039;1651:0.0532358
BigCodeBench/73,4.672523961661342,\n    # Convert string representation of list into list.,\n,34,7.703125,9608:0.30324;13428:0.252295;7915:0.169208;14969:0.152737;12042:0.146366;13162:0.124575;6551:0.10223;4740:0.0941221;4668:0.0918579;14555:0.0834805;10937:0.080195;3097:0.0784949;10643:0.0758525;15148:0.0747822;11208:0.0738547;5411:0.073804;13768:0.0708836;3680:0.0706753;5408:0.0671742;13289:0.0663061
BigCodeBench/204,0.970873786407767,1.,1,3,6.47265625,6023:0.293104;5566:0.281554;15852:0.202282;15148:0.161934;10777:0.13965;8167:0.0902703;7879:0.0850797;16263:0.0849306;975:0.0762568;3369:0.0682528;3380:0.0629191;12748:0.0529218;7184:0.0529021;6934:0.0487837;7915:0.0443122;2223:0.0390566;114:0.0354885;1236:0.032969;15454:0.0316509;7744:0.0295611
BigCodeBench/261,83.52098259979529,0,0,352,6.1796875,354:0.141077;11016:0.0999029;3803:0.07448;8309:0.0743057;13384:0.073523;2055:0.0691292;188:0.0679107;12533:0.0641731;11244:0.0591366;14280:0.0585376;10626:0.057171;10553:0.0568846;7818:0.0546272;8726:0.0532715;7714:0.0502041;4740:0.0499458;13358:0.0491984;7072:0.0456038;4861:0.0443783;8145:0.0420938
BigCodeBench/288,0.970873786407767,1.,1,3,5.59375,5566:0.281833;15852:0.169469;6023:0.162186;10777:0.143962;8167:0.129893;16263:0.0991447;12748:0.0662161;5642:0.0630696;6934:0.0574764;2223:0.0474204;3380:0.047364;6245:0.039664;7184:0.0333135;7744:0.0310867;7053:0.0291837;1236:0.0270614;15507:0.0268337;7879:0.0252624;13789:0.0242995;11252:0.0237472
BigCodeBench/289,0.970873786407767,1.,1,3,7.73828125,6023:0.21256;8167:0.188767;15852:0.149519;7744:0.143388;12748:0.137107;7053:0.109238;16263:0.0947922;6934:0.0927811;15148:0.0817911;3369:0.0787687;10777:0.0781306;1651:0.0712085;8364:0.0697333;3380:0.0663839;7287:0.0587141;2203:0.0553496;11308:0.0530997;15454:0.050608;7879:0.048992;2223:0.0446634
BigCodeBench/393,14.53320500481232,"\n    fig.add_subplot(1,1)",\n,52,5.328125,10123:0.0958676;7065:0.080916;11669:0.0491622;1472:0.0402943;8111:0.0387918;6494:0.0375761;4975:0.0367497;15943:0.0367242;2407:0.0358821;6607:0.0347211;13384:0.0336846;8313:0.0326518;13428:0.0290454;5411:0.0288911;5047:0.027871;6119:0.0262195;9736:0.0243706;2055:0.0224808;1731:0.0220551;14673:0.0220195
BigCodeBench/406,2.255054432348367,)\n    img_array = np.array(img,),10,7.2578125,2134:0.101562;6294:0.0816412;10219:0.0791215;3233:0.0753717;12573:0.0749769;447:0.0601334;7744:0.0565327;5411:0.0545833;7879:0.054525;10460:0.0534129;5928:0.050803;10029:0.0501521;8284:0.0472368;7915:0.047176;5642:0.0450049;4907:0.043911;16376:0.0420228;15908:0.0394022;15021:0.0344104;8313:0.0340903
BigCodeBench/415,10.945273631840797,\n    dataframe.drop(columns=['UnicodeString']),\n,50,2.375,3097:0.569688;9006:0.382583;6214:0.250996;13768:0.218479;11046:0.188588;1118:0.153418;7354:0.145659;4668:0.143016;8965:0.128281;11449:0.116431;11233:0.107515;12042:0.105568;11495:0.0988307;12116:0.0917388;2187:0.089058;11535:0.0881965;12671:0.0809904;14862:0.0707231;12753:0.0699664;12332:0.0676277
BigCodeBench/447,0.19799529761168172,----------------,----------------,8,7.36328125,2203:0.226385;7979:0.197518;9608:0.185;8167:0.148198;6204:0.148122;15852:0.136145;13859:0.134197;6934:0.108634;5617:0.103519;6023:0.0828065;2445:0.0815605;1010:0.0793738;8364:0.0793129;3380:0.0737469;6314:0.0704664;16263:0.0698928;3680:0.0687799;6372:0.0629304;14013:0.0618844;2704:0.0614968
BigCodeBench/465,1.1274509803921569,"\n        """"""",\n,7,7.6171875,15248:0.470022;9:0.203675;5642:0.152851;13428:0.123433;6717:0.108191;15507:0.0949112;1549:0.0676573;14086:0.066785;14818:0.0664364;13439:0.0612656;8384:0.0577972;10009:0.0522121;367:0.0510806;2551:0.048701;10342:0.0471253;4586:0.0463656;14803:0.0388759;14433:0.0363801;3561:0.0351969;1731:0.0349239
BigCodeBench/476,51.20405576679341,0,0,128,10.37109375,3769:0.528035;3495:0.219486;3500:0.211175;8999:0.19566;9246:0.182798;3335:0.179598;7267:0.177243;9051:0.16905;3680:0.164316;4351:0.143207;6204:0.138471;7507:0.131774;9961:0.123267;1882:0.1232;2551:0.11978;7915:0.119459;2704:0.112707;4284:0.11001;5411:0.0999707;7072:0.0982807
BigCodeBench/504,0.970873786407767,1.,1,3,6.1875,6023:0.273986;15852:0.135343;16263:0.104153;5566:0.0991622;8167:0.0969529;7744:0.0938702;7053:0.0814819;7184:0.0800279;10777:0.0723825;12748:0.0712259;6934:0.0711367;15148:0.0702551;3369:0.0698229;5642:0.0538949;3380:0.0450617;7879:0.0396169;7287:0.0390657;15454:0.039015;13789:0.0349425;8364:0.0338639
BigCodeBench/536,0.5727804756568298,----------------,----------------,13,7.12109375,1362:0.390333;2203:0.302576;3680:0.283442;9608:0.255479;15150:0.223593;6023:0.154189;2445:0.148519;7915:0.144922;11252:0.134007;6204:0.13384;9746:0.115826;11864:0.114438;14088:0.111399;6372:0.106309;15852:0.102352;2704:0.10137;5566:0.0969712;15326:0.0968979;8364:0.0798894;3380:0.0777293
BigCodeBench/592,29.695431472081218,os,os,143,6.03125,7915:0.3393;3178:0.239318;6204:0.217484;10234:0.183224;5411:0.16014;2131:0.155239;2292:0.136556;8145:0.13302;3495:0.131315;311:0.129621;10860:0.119755;3030:0.118272;631:0.115181;11784:0.111367;8313:0.107767;12229:0.0996483;9158:0.0972228;3769:0.0962068;3477:0.0928831;2704:0.0927429
BigCodeBench/607,0.08368200836820083,# Remove rows from DataFrame based on column values\n   ,#,1,4.2421875,15522:0.318634;14364:0.270441;447:0.17131;7879:0.134172;7744:0.129993;13702:0.128115;5784:0.102671;1651:0.0999647;5642:0.088439;8167:0.0843623;10749:0.0787;8313:0.053536;7839:0.036237;2258:0.0310455;11507:0.0300174;10309:0.0226985;12002:0.0224004;12272:0.0202347;14496:0.0199946;5583:0.0195716
BigCodeBench/610,0.07930214115781126,# Remove rows from DataFrame based on values of multiple columns\n   ,#,1,3.8203125,15522:0.269397;14364:0.264897;7744:0.166319;447:0.158443;5784:0.141407;13702:0.131062;1651:0.101654;5642:0.086618;7879:0.0853733;8313:0.0621284;8167:0.0533269;12002:0.0365271;7839:0.034658;14027:0.0325953;10749:0.0323977;5120:0.0307466;610:0.0268398;11507:0.02601;11576:0.0184165;10309:0.0150578
BigCodeBench/632,0.6895687061183551,----------------,----------------,17,7.4140625,2203:0.48268;3680:0.32419;5566:0.169735;14088:0.162298;7915:0.155242;1362:0.155107;16263:0.152334;9608:0.151397;6372:0.145924;6023:0.125235;15150:0.1103;11864:0.101473;6204:0.100564;11306:0.0835099;2223:0.079893;1239:0.0769804;1985:0.0761475;8167:0.0752551;2445:0.0741395;8364:0.0691459
BigCodeBench/653,44.54354669464848,\n    dataframe = dataframe.copy(),\n,250,7.96875,11252:0.396039;7915:0.296286;2916:0.192042;91:0.169993;1058:0.146368;11576:0.134391;354:0.121708;9812:0.121396;8045:0.118594;3495:0.114338;14280:0.113755;634:0.0978483;3060:0.0962632;5411:0.094362;105:0.0798056;2289:0.0735468;14673:0.0701447;7109:0.0697838;4210:0.0687171;12042:0.0685158
BigCodeBench/693,2.4719101123595504,)\n    df = df.drop(columns,),11,1.953125,12573:0.417348;13760:0.305904;3233:0.239938;120:0.182009;10888:0.173374;4907:0.142859;12895:0.132895;2695:0.129216;8313:0.125386;4021:0.122673;7126:0.116536;10262:0.114727;485:0.113627;7915:0.101698;5411:0.0834861;10247:0.0832786;367:0.0781548;9011:0.0749766;5642:0.0694069;4339:0.0686283
BigCodeBench/697,0.9259259259259259,\n    df = df.dropna(),\n,4,0.0859375,15021:0.428469;12895:0.414846;14639:0.326529;1415:0.275858;5463:0.266114;14974:0.255843;7354:0.248718;9650:0.23038;631:0.230248;5411:0.222288;4805:0.218954;5642:0.218057;2182:0.199822;1879:0.198932;12573:0.178943;7984:0.170161;12332:0.162874;6865:0.152048;14840:0.135818;15095:0.135306
BigCodeBench/698,4.965753424657534,5:,,24,5.265625,2203:0.154444;7915:0.142106;15714:0.0797338;6717:0.0721202;7287:0.0720968;3369:0.0636059;8364:0.0618402;1373:0.0593692;5355:0.0593177;8167:0.0520104;3561:0.051828;6934:0.0513871;469:0.0496537;3380:0.0495673;5642:0.0493589;8313:0.0473227;3060:0.0452714;9746:0.0413715;1296:0.0388311;3178:0.0368671
BigCodeBench/704,0.10604453870625663,# Create list of column names\n    column_names = cols\n\n   ,#,1,4.3046875,14364:0.254744;7879:0.111223;15522:0.101009;8313:0.0940641;2258:0.0855746;447:0.0855169;1651:0.0773146;5642:0.0707182;13702:0.0660718;7744:0.0442734;6086:0.0395585;16047:0.0367752;5784:0.0344688;9182:0.0255524;1241:0.0250969;14496:0.0215043;5192:0.0199606;8070:0.0183153;5234:0.0168917;12002:0.0167567
BigCodeBench/722,0.7363954068896655,----------------,----------------,15,6.58203125,2203:0.324468;9608:0.295335;3680:0.278441;11864:0.213994;14711:0.198356;5566:0.194974;15150:0.170424;1362:0.169158;6372:0.158654;11252:0.142013;2445:0.14165;9281:0.140295;7915:0.134677;16263:0.133963;6023:0.11189;3380:0.109544;6204:0.108658;5617:0.108345;1296:0.0915176;8364:0.0819137
BigCodeBench/742,14.854771784232366,"', axis=1)\n\n    df = df.drop('Value","',",67,5.921875,11125:0.127459;3819:0.107156;5411:0.0789232;13428:0.0606671;12229:0.0564043;6548:0.05212;10828:0.048374;5930:0.0467532;10494:0.0451413;11885:0.0363363;12573:0.0360844;3355:0.03493;1727:0.0343096;15185:0.0330978;10648:0.0326197;8045:0.0309006;4550:0.0307581;2358:0.0296339;11046:0.0282919;15654:0.0275194
