case_id,transition,category,aggregation,top_feature_id,pr_auc,roc_auc,normalized_pr_effect,effect_to_variability,p_maxT,difference_count
codellama_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,fail_to_pass,variant_decrease_associated_with_improvement,p50,15944,0.285658179175529,0.5997519334597986,0.1595304098485758,8.6847596917955,1.0,990
codellama_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,fail_to_pass,variant_decrease_associated_with_improvement,p60,11426,0.2706087040855066,0.6291405223989494,0.1418237240685013,8.246120944499635,1.0,990
codellama_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,fail_to_pass,variant_decrease_associated_with_improvement,p70,11426,0.2723995734853075,0.6228221216985262,0.143930798338251,8.040635919378728,1.0,990
codellama_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,fail_to_pass,variant_decrease_associated_with_improvement,p80,11426,0.2636989813961543,0.6161972858602072,0.1336939861370483,7.373288850141979,1.0,990
codellama_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,fail_to_pass,variant_decrease_associated_with_improvement,p90,11426,0.2664635449827425,0.6274624252152342,0.13694667491549,7.873091696496684,1.0,990
codellama_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,fail_to_pass,variant_decrease_associated_with_improvement,p95,3249,0.2598898131973924,0.5984970086093682,0.1292122521247009,7.742831220456991,1.0,990
codellama_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,fail_to_pass,variant_decrease_associated_with_improvement,p99,7275,0.2458571856214048,0.5616518313147527,0.1127019535481376,6.4992591382216975,1.0,990
codellama_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,pass_to_fail,variant_decrease_associated_with_regression,p50,9191,0.508257392593714,0.6314229249011858,0.2340736357368758,4.135602813110644,1.0,990
codellama_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,pass_to_fail,variant_decrease_associated_with_regression,p60,14870,0.4996793734736603,0.5753623188405798,0.2207127211074589,4.075159890145184,1.0,990
codellama_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,pass_to_fail,variant_decrease_associated_with_regression,p70,528,0.5186867559152365,0.6478919631093544,0.250318159213429,4.743748675099163,0.9800995024875622,990
codellama_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,pass_to_fail,variant_decrease_associated_with_regression,p80,528,0.5223197555995461,0.6359683794466403,0.25597683144899,5.054342970001714,0.9104477611940298,990
codellama_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,pass_to_fail,variant_decrease_associated_with_regression,p90,5078,0.5140268017647284,0.5974967061923584,0.2430599275971829,4.2099551107747,0.9950248756218906,990
codellama_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,pass_to_fail,variant_decrease_associated_with_regression,p95,8578,0.5046876960200822,0.614558629776021,0.2285135628918856,4.830204597885948,1.0,990
codellama_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,pass_to_fail,variant_decrease_associated_with_regression,p99,8971,0.5212344375258104,0.6120553359683795,0.2542863663280805,5.039642374900678,0.9353233830845772,990
codellama_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,fail_to_pass,variant_increase_associated_with_improvement,p50,2555,0.250102043117012,0.5988764044943821,0.1176963043415246,6.886108093212303,1.0,990
codellama_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,fail_to_pass,variant_increase_associated_with_improvement,p60,12527,0.2462102399716743,0.5828688165766818,0.1131173449425959,6.882990772620286,1.0,990
codellama_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,fail_to_pass,variant_increase_associated_with_improvement,p70,2755,0.2471324958863593,0.5979716912301182,0.114202438980259,6.373168304398518,1.0,990
codellama_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,fail_to_pass,variant_increase_associated_with_improvement,p80,10663,0.2490491336249247,0.5636801400846345,0.1164574878765165,6.630552888829382,1.0,990
codellama_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,fail_to_pass,variant_increase_associated_with_improvement,p90,6027,0.2673650411748103,0.6087406975047425,0.1380073437899454,7.057536216930028,1.0,990
codellama_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,fail_to_pass,variant_increase_associated_with_improvement,p95,15224,0.263883315900568,0.6033999708157012,0.1339108676647132,7.511269667915774,1.0,990
codellama_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,fail_to_pass,variant_increase_associated_with_improvement,p99,10663,0.2724147204368109,0.5825186049905151,0.1439486197113682,8.427048099380778,1.0,990
codellama_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,pass_to_fail,variant_increase_associated_with_regression,p50,6322,0.5298479306313253,0.6138998682476944,0.2677025343772763,4.980276992501631,0.7611940298507462,990
codellama_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,pass_to_fail,variant_increase_associated_with_regression,p60,6322,0.5257423414077529,0.6124505928853755,0.2613077681320757,5.103673538545364,0.8407960199004975,990
codellama_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,pass_to_fail,variant_increase_associated_with_regression,p70,373,0.5276457740475061,0.6130434782608696,0.2642725086679338,5.164733953868318,0.8009950248756219,990
codellama_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,pass_to_fail,variant_increase_associated_with_regression,p80,1251,0.5236389196962973,0.647167325428195,0.2580315294663539,4.74475511308632,0.900497512437811,990
codellama_base_finetuned_layer16__bigcodebench__layer16__paired_transitions,pass_to_fail,variant_increase_associated_with_regression,p90,373,0.5195927029174541,0.6086297760210804,0.2517292403017315,4.841573888739452,0.9751243781094528,990
