case_id,category_rank,feature_id,aggregation,analysis_column,selected_category,selected_pr_auc,selected_normalized_effect,selected_effect_to_variability,p_maxT,support_ok,difference_count,difference_proportion,unique_differential_values,base_contribution_mean,variant_contribution_mean,differential_mean,differential_median,regression_differential_mean,regression_differential_median,preserved_success_differential_mean,preserved_success_differential_median,improvement_differential_mean,improvement_differential_median,persistent_failure_differential_mean,persistent_failure_differential_median,variant_increase_associated_with_regression_pr_auc,variant_increase_associated_with_regression_roc_auc,variant_increase_associated_with_regression_baseline,variant_increase_associated_with_regression_normalized_effect,variant_increase_associated_with_regression_effect_to_variability,variant_decrease_associated_with_regression_pr_auc,variant_decrease_associated_with_regression_roc_auc,variant_decrease_associated_with_regression_baseline,variant_decrease_associated_with_regression_normalized_effect,variant_decrease_associated_with_regression_effect_to_variability,variant_increase_associated_with_improvement_pr_auc,variant_increase_associated_with_improvement_roc_auc,variant_increase_associated_with_improvement_baseline,variant_increase_associated_with_improvement_normalized_effect,variant_increase_associated_with_improvement_effect_to_variability,variant_decrease_associated_with_improvement_pr_auc,variant_decrease_associated_with_improvement_roc_auc,variant_decrease_associated_with_improvement_baseline,variant_decrease_associated_with_improvement_normalized_effect,variant_decrease_associated_with_improvement_effect_to_variability
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,1,5619,p99,103923,variant_increase_associated_with_regression,1.0,1.0,6.7558171235207505,1.0,True,5,0.058823529411764705,6,0.002220293041318655,0.00607600063085556,0.0038557073567062616,0.0,0.2311968207359314,0.2311968207359314,0.0015193751314654946,0.0,0.0,0.0,-0.006007991265505552,0.0,1.0,1.0,0.0625,1.0,6.7558171235207505,0.047379032258064516,0.0,0.0625,-0.016129032258064516,-2.254400502374966,0.4423076923076923,0.5,0.4339622641509434,0.014743589743589688,-0.2589209288929747,0.4423076923076923,0.5,0.4339622641509434,0.014743589743589688,-0.11434809854237057
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,2,4216,p99,102520,variant_increase_associated_with_regression,1.0,1.0,6.403864708241761,1.0,True,6,0.07058823529411765,7,0.0006216302281245589,0.0040163579396903515,0.0033947278279811144,0.0,0.05208113044500351,0.05208113044500351,0.0,0.0,4.488066679186886e-06,0.0,0.006142879370599985,0.0,1.0,1.0,0.0625,1.0,6.403864708241761,0.047379032258064516,0.0,0.0625,-0.016129032258064516,-2.4837257839126865,0.4375696767001115,0.5028985507246376,0.4339622641509434,0.006373095503530268,-0.7362569455706561,0.4404774083546462,0.4971014492753623,0.4339622641509434,0.01151008809320829,-0.11239631877703671
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,3,13909,p99,112213,variant_increase_associated_with_regression,1.0,1.0,6.38367218976068,1.0,True,9,0.10588235294117647,10,0.00594151858240366,0.00782508309930563,0.0018835642840713263,0.0,0.3302774727344513,0.3302774727344513,-0.003654064843431115,0.0,-0.004077519290149212,0.0,-0.009901570156216621,0.0,1.0,1.0,0.0625,1.0,6.38367218976068,0.047379032258064516,0.0,0.0625,-0.016129032258064516,-0.4772626246188307,0.4430861040068201,0.5166666666666667,0.4339622641509434,0.016118783745382118,-0.25092361512929384,0.42758541543707784,0.48333333333333334,0.4339622641509434,-0.011265766061162504,-0.9941221251430093
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,4,12126,p99,110430,variant_increase_associated_with_regression,1.0,1.0,6.366975667007422,1.0,True,8,0.09411764705882353,9,0.0,0.0059145186096429825,0.0059145186096429825,0.0,0.14638614654541016,0.14638614654541016,0.00022554023598786443,0.0,0.0,0.0,0.006773185450583696,0.0,1.0,1.0,0.0625,1.0,6.366975667007422,0.047379032258064516,0.0,0.0625,-0.016129032258064516,-2.3682950387548387,0.4339622641509434,0.4166666666666667,0.4339622641509434,0.0,-0.8102833631654713,0.4791666666666667,0.5833333333333334,0.4339622641509434,0.07986111111111112,2.3536485937847846
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,5,13252,p70,46020,variant_increase_associated_with_regression,1.0,1.0,6.3103486630295755,1.0,True,85,1.0,85,0.4203271269798279,1.6766549348831177,1.2563278675079346,1.2682737112045288,1.8058037757873535,1.8058037757873535,1.0379407405853271,1.068500280380249,1.3551934957504272,1.412030816078186,1.3622863292694092,1.3177011013031006,1.0,1.0,0.0625,1.0,6.3103486630295755,0.047379032258064516,0.0,0.0625,-0.016129032258064516,-0.7512965034243041,0.48836291338622834,0.5144927536231884,0.4339622641509434,0.09610781364900337,0.20876520967338108,0.5085725836477818,0.4855072463768116,0.4339622641509434,0.13181156444441447,0.5543811341536509
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,1,10678,p90,76214,variant_decrease_associated_with_regression,1.0,1.0,6.835214526861562,1.0,True,10,0.11764705882352941,11,0.016271313652396202,0.0,-0.016271313652396202,0.0,-0.07725880295038223,-0.07725880295038223,0.0,0.0,-0.027674753218889236,0.0,-0.01973416469991207,0.0,0.047379032258064516,0.0,0.0625,-0.016129032258064516,-2.499325630026852,1.0,1.0,0.0625,1.0,6.835214526861562,0.46408531583264967,0.5507246376811594,0.4339622641509434,0.05321739130434772,1.1281046740204688,0.46144380639868743,0.4492753623188406,0.4339622641509434,0.0485507246376811,-0.14344998328035422
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,2,10725,p90,76261,variant_decrease_associated_with_regression,1.0,1.0,6.835214526861562,1.0,True,11,0.12941176470588237,12,0.007470408454537392,0.0,-0.007470408454537392,0.0,-0.07373671978712082,-0.07373671978712082,0.0,0.0,-0.010453177616000175,0.0,-0.008236274123191833,0.0,0.047379032258064516,0.0,0.0625,-0.016129032258064516,-2.499325630026852,1.0,1.0,0.0625,1.0,6.835214526861562,0.41366197017055456,0.45942028985507244,0.4339622641509434,-0.03586385269868697,-0.8476639035020102,0.48282484992903374,0.5405797101449276,0.4339622641509434,0.08632390154129292,0.46328960324991664
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,3,12018,p90,77554,variant_decrease_associated_with_regression,1.0,1.0,6.835214526861562,1.0,True,8,0.09411764705882353,9,0.02007267251610756,0.0,-0.02007267251610756,0.0,-0.01736544631421566,-0.01736544631421566,0.0,0.0,-0.049654632806777954,0.0,-0.01764632575213909,0.0,0.047379032258064516,0.0,0.0625,-0.016129032258064516,-2.499325630026852,1.0,1.0,0.0625,1.0,6.835214526861562,0.4255511950043568,0.4797101449275362,0.4339622641509434,-0.014859555492303039,-0.2649103847996585,0.4969237079573421,0.5202898550724637,0.4339622641509434,0.11123188405797099,1.0926485859653976
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,4,15071,p90,80607,variant_decrease_associated_with_regression,1.0,1.0,6.835214526861562,1.0,True,8,0.09411764705882353,9,0.011462671682238579,0.0,-0.011462671682238579,0.0,-0.1593305766582489,-0.1593305766582489,0.0,0.0,-0.01023061852902174,0.0,-0.014012056402862072,0.0,0.047379032258064516,0.0,0.0625,-0.016129032258064516,-2.499325630026852,1.0,1.0,0.0625,1.0,6.835214526861562,0.4090607326685032,0.45072463768115945,0.4339622641509434,-0.043992705618977744,-1.026756917060865,0.45704129067541704,0.5492753623188406,0.4339622641509434,0.040772946859903424,-0.20612396070088534
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,5,8924,p90,74460,variant_decrease_associated_with_regression,1.0,1.0,6.5719250583851325,1.0,True,6,0.07058823529411765,7,0.006017201114445925,0.0,-0.006017201114445925,0.0,-0.14852416515350342,-0.14852416515350342,-0.0008750520646572113,0.0,-0.004000731743872166,0.0,-0.0032048451248556376,0.0,0.047379032258064516,0.0,0.0625,-0.016129032258064516,-2.2823194797293094,1.0,1.0,0.0625,1.0,6.5719250583851325,0.4214643583185782,0.4746376811594203,0.4339622641509434,-0.022079633637178533,-0.6954768354481202,0.446951052775499,0.5253623188405797,0.4339622641509434,0.022946859903381564,-0.37108184115895776
