case_id,crosscoder_run,benchmark,feature_id,selected_category,category_rank,task_id,transition,base_contribution,variant_contribution,differential
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,5619,variant_increase_associated_with_regression,1,4,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,5619,variant_increase_associated_with_regression,1,11,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,5619,variant_increase_associated_with_regression,1,12,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,5619,variant_increase_associated_with_regression,1,15,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,5619,variant_increase_associated_with_regression,1,16,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,5619,variant_increase_associated_with_regression,1,18,base_pass_variant_fail,0.0,0.39148232340812683,0.39148232340812683
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,5619,variant_increase_associated_with_regression,1,19,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,5619,variant_increase_associated_with_regression,1,20,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,5619,variant_increase_associated_with_regression,1,21,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,5619,variant_increase_associated_with_regression,1,22,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,5619,variant_increase_associated_with_regression,1,23,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,5619,variant_increase_associated_with_regression,1,29,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,5619,variant_increase_associated_with_regression,1,30,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,5619,variant_increase_associated_with_regression,1,31,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,5619,variant_increase_associated_with_regression,1,38,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,5619,variant_increase_associated_with_regression,1,48,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,5619,variant_increase_associated_with_regression,1,49,base_pass_variant_fail,0.0,0.18343958258628845,0.18343958258628845
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,5619,variant_increase_associated_with_regression,1,50,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,5619,variant_increase_associated_with_regression,1,53,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,5619,variant_increase_associated_with_regression,1,55,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,5619,variant_increase_associated_with_regression,1,56,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,5619,variant_increase_associated_with_regression,1,57,both_pass,0.0,0.0,0.0
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,deepseek_base_finetuned_layer16,humanevalplus,5619,variant_increase_associated_with_regression,1,58,both_pass,0.0,0.0,0.0
