feature_id,selected_category,selected_pr_auc,selected_normalized_effect,selected_effect_to_variability,p_maxT,support_ok,difference_count,difference_proportion,unique_differential_values,base_contribution_mean,variant_contribution_mean,differential_mean,differential_median,regression_differential_mean,regression_differential_median,preserved_success_differential_mean,preserved_success_differential_median,improvement_differential_mean,improvement_differential_median,persistent_failure_differential_mean,persistent_failure_differential_median,variant_increase_associated_with_regression_pr_auc,variant_increase_associated_with_regression_baseline,variant_increase_associated_with_regression_normalized_effect,variant_increase_associated_with_regression_effect_to_variability,variant_decrease_associated_with_regression_pr_auc,variant_decrease_associated_with_regression_baseline,variant_decrease_associated_with_regression_normalized_effect,variant_decrease_associated_with_regression_effect_to_variability,variant_increase_associated_with_improvement_pr_auc,variant_increase_associated_with_improvement_baseline,variant_increase_associated_with_improvement_normalized_effect,variant_increase_associated_with_improvement_effect_to_variability,variant_decrease_associated_with_improvement_pr_auc,variant_decrease_associated_with_improvement_baseline,variant_decrease_associated_with_improvement_normalized_effect,variant_decrease_associated_with_improvement_effect_to_variability
0,variant_decrease_associated_with_improvement,0.004112271735222555,9.119073280757235e-05,-0.30275356187256414,1.0,True,1008,1.0,1008,1.701603651046753,1.1642848253250122,-0.537318766117096,-0.512874960899353,-0.5156008005142212,-0.4844285845756531,-0.5603561401367188,-0.5844905376434326,-0.39607349038124084,-0.3779510259628296,-0.5445836186408997,-0.5188260078430176,0.9538251402290135,0.9389312977099237,0.2438866712500967,0.8717241365803936,0.937619869639259,0.9389312977099237,-0.021474634657133552,-0.14766890772108454,0.007295887570055275,0.004021447721179625,0.003287661005735175,-0.18266750052147013,0.004112271735222555,0.004021447721179625,9.119073280757235e-05,-0.30275356187256414
1,neutral_or_degenerate,,,,,True,171,0.16964285714285715,172,0.012631775811314583,0.0038261152803897858,-0.008805660530924797,0.0,-0.0006821035058237612,0.0,0.004544391762465239,0.0,-0.022125056013464928,0.0,-0.01172899641096592,0.0,0.9374500400522033,0.9389312977099237,-0.02425559414517051,-0.6457302012118677,0.9487256834026874,0.9389312977099237,0.16038306571900554,2.3808732206746748,0.003556537793754432,0.004021447721179625,-0.0004667870872936657,-0.2144204480580658,0.008466618922574998,0.004021447721179625,0.0044631194027469024,-0.11627340496224549
2,variant_decrease_associated_with_regression,0.94969874932841,0.17631702025271412,0.8129388896167337,1.0,True,1008,1.0,1008,1.6748747825622559,1.256746768951416,-0.4181280732154846,-0.3987573981285095,-0.3467322289943695,-0.3086995482444763,-0.28915876150131226,-0.34151750802993774,-0.5740504860877991,-0.4610922336578369,-0.4439142048358917,-0.4160681366920471,0.9375634857676638,0.9389312977099237,-0.022397920554505502,-0.2633979236739361,0.94969874932841,0.9389312977099237,0.17631702025271412,0.8129388896167337,0.005931067118857954,0.004021447721179625,0.0019173298393917004,-0.23618838664000166,0.013358586637411312,0.004021447721179625,0.009374839342542178,0.09932093161372707
3,variant_decrease_associated_with_improvement,0.025766991678274224,0.021833345615064028,0.7347202515086876,1.0,True,1008,1.0,1008,1.6888561248779297,1.2832101583480835,-0.4056459963321686,-0.38995593786239624,-0.38065195083618164,-0.39313024282455444,-0.43007832765579224,-0.49676787853240967,-0.46385860443115234,-0.4917946457862854,-0.413160115480423,-0.38824260234832764,0.9522723010158233,0.9389312977099237,0.218458929134106,0.8946392194306079,0.9422948422701459,0.9389312977099237,0.05507804217363941,0.131432155015189,0.02510005823823154,0.004021447721179625,0.021163719307834093,0.3243045857406543,0.025766991678274224,0.004021447721179625,0.021833345615064028,0.7347202515086876
4,variant_decrease_associated_with_regression,0.9506121626749142,0.19127416380172022,0.6667276108065601,1.0,True,1008,1.0,1008,1.521953821182251,0.7925828695297241,-0.7293708324432373,-0.5047709345817566,-0.7374287247657776,-0.4810803532600403,-0.587395191192627,-0.42986300587654114,-0.4566092789173126,-0.5307474136352539,-0.7308616042137146,-0.5152187347412109,0.9222456985202037,0.9389312977099237,-0.2732266867316653,-1.2456083136451326,0.9506121626749142,0.9389312977099237,0.19127416380172022,0.6667276108065601,0.010332528349753166,0.004021447721179625,0.0063365627845435556,-0.0833304335419562,0.004999076679404875,0.004021447721179625,0.0009815763160646524,-0.4621033495860641
5,variant_decrease_associated_with_regression,0.9559972009613659,0.279454165742366,1.1755383199793754,1.0,True,1008,1.0,1008,1.562599778175354,1.1583973169326782,-0.40420228242874146,-0.39827960729599,-0.391399621963501,-0.39360201358795166,-0.25300440192222595,-0.2116253674030304,-0.5718048810958862,-0.6936330795288086,-0.41102030873298645,-0.4058905839920044,0.9194228898654849,0.9389312977099237,-0.31945017845268453,-1.623973332194713,0.9559972009613659,0.9389312977099237,0.279454165742366,1.1755383199793754,0.004592371751708449,0.004021447721179625,0.0005732292419576086,-0.2896545567926801,0.00994131699866192,0.004021447721179625,0.005943771845224484,-0.11390059314027802
6,variant_decrease_associated_with_regression,0.9546878655964197,0.25801379914137273,0.9928559980543111,1.0,True,1008,1.0,1008,2.427891254425049,1.5449243783950806,-0.8829667568206787,-0.7785524725914001,-0.8584944605827332,-0.760853111743927,-0.7551116943359375,-0.6703103184700012,-0.7341292500495911,-0.337945818901062,-0.8944234848022461,-0.7922320365905762,0.9484700149107367,0.9389312977099237,0.15619649416331302,0.5774397828197786,0.9546878655964197,0.9389312977099237,0.25801379914137273,0.9928559980543111,0.007126274982000412,0.004021447721179625,0.003117363575467439,-0.1709928187725111,0.005251944533377728,0.004021447721179625,0.0012354651707937887,-0.2437449203381595
7,variant_decrease_associated_with_improvement,0.051002390056493895,0.04717063658431284,1.111095581248367,1.0,True,1008,1.0,1008,1.4944744110107422,1.1891249418258667,-0.3053496479988098,-0.35504430532455444,-0.2685328722000122,-0.3006056547164917,-0.33996081352233887,-0.4251599907875061,-0.4908715784549713,-0.4021335244178772,-0.3160448968410492,-0.36867672204971313,0.9490383917961114,0.9389312977099237,0.1655036656613237,0.5472438268731611,0.9318203331754223,0.9389312977099237,-0.11644204425245928,-0.454314902605161,0.00731690300218219,0.004021447721179625,0.00330876129155843,-0.1932000024840128,0.051002390056493895,0.004021447721179625,0.04717063658431284,1.111095581248367
8,neutral_or_degenerate,,,,,True,252,0.25,253,0.025458738207817078,0.0007007241365499794,-0.02475801482796669,0.0,-0.016815604642033577,0.0,-0.02055247128009796,0.0,0.0,0.0,-0.027578197419643402,0.0,0.9340763445395889,0.9389312977099237,-0.07949985816423231,-0.867749835982263,0.939099853033575,0.9389312977099237,0.002760093424790736,-0.13210979796930086,0.005474452554744526,0.004021447721179625,0.0014588716094743152,-0.17227662588593212,0.004081632653061225,0.004021447721179625,6.0427939681929595e-05,-0.29111481812678786
9,variant_decrease_associated_with_improvement,0.004427085513741887,0.00040727563021729113,-0.23975898429264958,1.0,True,1008,1.0,1008,2.12282133102417,1.086983561515808,-1.0358378887176514,-0.9518750309944153,-1.0334951877593994,-0.8767551183700562,-1.3686078786849976,-1.663643479347229,-0.8503490090370178,-0.689720094203949,-1.0301965475082397,-0.9587962627410889,0.9439980288810652,0.9389312977099237,0.08296772292744267,0.30394581886537664,0.9122050238268493,0.9389312977099237,-0.43764273483534266,-2.0423285506016655,0.006353158615554403,0.004021447721179625,0.0023411256086185526,-0.25068761948183826,0.004427085513741887,0.004021447721179625,0.00040727563021729113,-0.23975898429264958
