feature_id,selected_category,selected_pr_auc,selected_normalized_effect,selected_effect_to_variability,p_maxT,support_ok,difference_count,difference_proportion,unique_differential_values,base_contribution_mean,variant_contribution_mean,differential_mean,differential_median,regression_differential_mean,regression_differential_median,preserved_success_differential_mean,preserved_success_differential_median,improvement_differential_mean,improvement_differential_median,persistent_failure_differential_mean,persistent_failure_differential_median,variant_increase_associated_with_regression_pr_auc,variant_increase_associated_with_regression_baseline,variant_increase_associated_with_regression_normalized_effect,variant_increase_associated_with_regression_effect_to_variability,variant_decrease_associated_with_regression_pr_auc,variant_decrease_associated_with_regression_baseline,variant_decrease_associated_with_regression_normalized_effect,variant_decrease_associated_with_regression_effect_to_variability,variant_increase_associated_with_improvement_pr_auc,variant_increase_associated_with_improvement_baseline,variant_increase_associated_with_improvement_normalized_effect,variant_increase_associated_with_improvement_effect_to_variability,variant_decrease_associated_with_improvement_pr_auc,variant_decrease_associated_with_improvement_baseline,variant_decrease_associated_with_improvement_normalized_effect,variant_decrease_associated_with_improvement_effect_to_variability
0,variant_increase_associated_with_regression,0.44163793591053024,0.15230486633689588,2.310838205390782,1.0,True,802,1.0,802,2.454704523086548,2.6003942489624023,0.145689457654953,0.169769287109375,0.3615393340587616,0.296832799911499,0.1150728315114975,0.1837310791015625,0.07663341611623764,0.1255357265472412,0.14803415536880493,0.1623525619506836,0.44163793591053024,0.3413173652694611,0.15230486633689588,2.310838205390782,0.2930363822923523,0.3413173652694611,-0.07329931051979247,-1.8831044914921795,0.22422156186980902,0.22992125984251968,-0.0074014482876713136,-0.6758224177257666,0.2644697081847991,0.22992125984251968,0.04486352698844054,1.549852542784514
1,variant_increase_associated_with_regression,0.5463685790112855,0.31130502449895164,4.7261913976276695,0.5323383084577115,True,802,1.0,802,3.010223150253296,4.194268226623535,1.1840448379516602,0.6374251246452332,1.904486894607544,1.3501596450805664,0.653326690196991,0.5600113868713379,1.1095198392868042,0.48766136169433594,1.2417021989822388,0.6624417304992676,0.5463685790112855,0.3413173652694611,0.31130502449895164,4.7261913976276695,0.27753605886327487,0.3413173652694611,-0.09683161972575546,-2.0913810427946706,0.23081448048587971,0.22992125984251968,0.0011599081974102666,-0.3839972999450725,0.2542426854648716,0.22992125984251968,0.03158303736235884,0.900794021866365
2,variant_increase_associated_with_regression,0.42678281805722396,0.12975209650505815,1.659421285833756,1.0,True,802,1.0,802,2.013260841369629,3.028169870376587,1.0149091482162476,1.0270795822143555,1.2291535139083862,1.1400079727172852,1.0118330717086792,1.0672895908355713,0.9605244398117065,0.9876406788825989,1.0068652629852295,1.0207016468048096,0.42678281805722396,0.3413173652694611,0.12975209650505815,1.659421285833756,0.2955687553785536,0.3413173652694611,-0.06945470774346868,-1.7346193644897154,0.22124343498660162,0.22992125984251968,-0.01126875006852345,-0.9616854032304495,0.24618522921934546,0.22992125984251968,0.021119878434119367,0.5712032386562919
3,variant_decrease_associated_with_regression,0.4069112819494921,0.09958349168695617,1.2611728100029878,1.0,True,724,0.9027431421446384,725,0.4469112455844879,0.0009582188213244081,-0.4459530711174011,-0.4509367048740387,-0.3653150498867035,-0.29665690660476685,-0.30271297693252563,-0.2157389521598816,-0.45060238242149353,-0.4926551282405853,-0.486186146736145,-0.488847941160202,0.297423224441845,0.3413173652694611,-0.06663928652919901,-1.6316981678815086,0.4069112819494921,0.3413173652694611,0.09958349168695617,1.2611728100029878,0.253215956751829,0.22992125984251968,0.030249759790207404,1.328019335066427,0.21671070285543925,0.22992125984251968,-0.01715481326543164,-1.2812279096698072
4,neutral_or_degenerate,,,,,True,216,0.26932668329177056,217,0.05701521784067154,0.017655324190855026,-0.03935989364981651,0.0,-0.029653064906597137,0.0,-0.024838432669639587,0.0,-0.04335625469684601,0.0,-0.042564757168293,0.0,0.35506035072084957,0.3413173652694611,0.02086435063983522,0.2674234392596413,0.34839057220882474,0.3413173652694611,0.010738414171579346,-0.3990157037367963,0.23042650582689786,0.22992125984251968,0.0006560965236812735,-0.3141592592734918,0.2322298080468665,0.22992125984251968,0.0029978079954196828,-0.40274233918488755
5,variant_increase_associated_with_regression,0.49515466002223657,0.23355298385194095,3.3346902819441917,1.0,True,802,1.0,802,2.6576898097991943,3.3496768474578857,0.6919869780540466,0.6613271832466125,0.9783010482788086,0.9370818138122559,0.5827520489692688,0.45172280073165894,0.6015998125076294,0.6126935482025146,0.7101719975471497,0.6790151596069336,0.49515466002223657,0.3413173652694611,0.23355298385194095,3.3346902819441917,0.30292794053051486,0.3413173652694611,-0.05828212664912748,-1.53908124976156,0.21452555373527196,0.22992125984251968,-0.019992379096323724,-1.1945516294274423,0.25067789369548005,0.22992125984251968,0.026953911036052824,0.5934273747477931
6,variant_increase_associated_with_regression,0.3864185597235199,0.06847181339843472,0.5078306023304253,1.0,True,802,1.0,802,2.5558619499206543,3.256462335586548,0.7006003260612488,0.6204420328140259,0.7627701163291931,0.7328047752380371,0.5806180238723755,0.5835310220718384,0.6933385729789734,0.5784368515014648,0.7225115895271301,0.6241726875305176,0.3864185597235199,0.3413173652694611,0.06847181339843472,0.5078306023304253,0.3083043651676376,0.3413173652694611,-0.05011973651822296,-1.1656772088744471,0.2227333095335491,0.22992125984251968,-0.009334045902241947,-0.8056045202232158,0.2306684461052146,0.22992125984251968,0.0009702725497162868,-0.39816138235833415
7,variant_increase_associated_with_regression,0.4375186488377194,0.14605103959908305,1.7831678134225464,1.0,True,802,1.0,802,2.8498919010162354,3.464012384414673,0.6141205430030823,0.6343485116958618,0.7562121748924255,0.6102213859558105,0.5179569125175476,0.5679700374603271,0.600066065788269,0.557374119758606,0.6233858466148376,0.6908326148986816,0.4375186488377194,0.3413173652694611,0.14605103959908305,1.7831678134225464,0.3103652359015258,0.3413173652694611,-0.04699096004041085,-1.287229178700944,0.2405036373006958,0.22992125984251968,0.013741942098040553,0.2841795632188181,0.2409781305852492,0.22992125984251968,0.014358104134219306,0.11833799727679067
8,neutral_or_degenerate,,,,,True,281,0.35037406483790523,282,0.0010093271266669035,0.08873821049928665,0.08772889524698257,0.0,0.090768001973629,0.0,0.05866098031401634,0.0,0.061543673276901245,0.0,0.10173150897026062,0.0,0.40955850777536656,0.3413173652694611,0.1036024618044201,1.8218076987857716,0.34192173289916483,0.3413173652694611,0.0009175399469138418,-0.30073762880917504,0.21028481906589644,0.22992125984251968,-0.0254992635851856,-1.7841755006233782,0.24760343177550426,0.22992125984251968,0.02296151161031739,1.4319007573543916
9,variant_decrease_associated_with_regression,0.36848514077059025,0.0412456228062597,0.29490199529625877,1.0,True,797,0.9937655860349127,798,0.8716222047805786,0.0,-0.8716222047805786,-0.8616907596588135,-0.8665040135383606,-0.888456404209137,-0.8127048015594482,-0.7910057902336121,-0.8349389433860779,-0.8401355743408203,-0.8964247107505798,-0.8897304534912109,0.3102449011545801,0.3413173652694611,-0.04717365006531936,-1.4047748590116822,0.36848514077059025,0.3413173652694611,0.0412456228062597,0.29490199529625877,0.26332827490037164,0.22992125984251968,0.043381297672261745,1.513786018367337,0.2123868597098622,0.22992125984251968,-0.022769619804166658,-1.5693549146799946
