feature_id,selected_category,selected_pr_auc,selected_normalized_effect,selected_effect_to_variability,p_maxT,support_ok,difference_count,difference_proportion,unique_differential_values,base_contribution_mean,variant_contribution_mean,differential_mean,differential_median,regression_differential_mean,regression_differential_median,preserved_success_differential_mean,preserved_success_differential_median,improvement_differential_mean,improvement_differential_median,persistent_failure_differential_mean,persistent_failure_differential_median,variant_increase_associated_with_regression_pr_auc,variant_increase_associated_with_regression_baseline,variant_increase_associated_with_regression_normalized_effect,variant_increase_associated_with_regression_effect_to_variability,variant_decrease_associated_with_regression_pr_auc,variant_decrease_associated_with_regression_baseline,variant_decrease_associated_with_regression_normalized_effect,variant_decrease_associated_with_regression_effect_to_variability,variant_increase_associated_with_improvement_pr_auc,variant_increase_associated_with_improvement_baseline,variant_increase_associated_with_improvement_normalized_effect,variant_increase_associated_with_improvement_effect_to_variability,variant_decrease_associated_with_improvement_pr_auc,variant_decrease_associated_with_improvement_baseline,variant_decrease_associated_with_improvement_normalized_effect,variant_decrease_associated_with_improvement_effect_to_variability
0,variant_increase_associated_with_improvement,0.5172939440527939,0.14721930115993595,0.6802285656919946,1.0,True,85,1.0,85,2.026970624923706,2.283355474472046,0.25638481974601746,0.17164146900177002,-0.25167572498321533,-0.25167572498321533,0.07339567691087723,-0.11966723203659058,0.4902084171772003,0.3654634952545166,0.2939799427986145,0.32158660888671875,0.07472826086956522,0.0625,0.013043478260869565,-0.5657051853641062,0.10882352941176471,0.0625,0.049411764705882356,-0.34625992885191964,0.5172939440527939,0.4339622641509434,0.14721930115993595,0.6802285656919946,0.4212820004503928,0.4339622641509434,-0.022401799204306037,-0.8622409319670755
1,variant_increase_associated_with_improvement,0.5164272944417952,0.14568822018050492,0.6764339180779736,1.0,True,85,1.0,85,2.657069683074951,3.0515029430389404,0.3944331109523773,0.28197550773620605,0.3512721657752991,0.3512721657752991,0.22960777580738068,0.32411670684814453,0.636009156703949,0.6403994560241699,0.3769276738166809,0.16221845149993896,0.125,0.0625,0.06666666666666667,-0.2217020574197704,0.09259259259259259,0.0625,0.03209876543209876,-0.48340153708054256,0.5164272944417952,0.4339622641509434,0.14568822018050492,0.6764339180779736,0.43194785771449756,0.4339622641509434,-0.003558784704387665,-0.595141308390722
2,variant_increase_associated_with_improvement,0.5469140848213577,0.19954821651773197,1.266938204616295,1.0,True,85,1.0,85,1.4189988374710083,2.9271326065063477,1.508133888244629,1.4717307090759277,1.46089768409729,1.46089768409729,1.5404235124588013,1.5887477397918701,1.7830531597137451,1.5291928052902222,1.268221378326416,1.287571907043457,0.08893280632411067,0.0625,0.028194993412384718,-0.4847164043178275,0.09545454545454546,0.0625,0.035151515151515156,-0.41849501643161763,0.5469140848213577,0.4339622641509434,0.19954821651773197,1.266938204616295,0.34678243047063934,0.4339622641509434,-0.15401770616853722,-1.8598416828582123
3,variant_decrease_associated_with_improvement,0.5315352396721909,0.1723789234208705,0.7462579926597895,1.0,True,56,0.6588235294117647,57,0.2594544291496277,0.0,-0.2594544291496277,-0.14013756811618805,-0.32144349813461304,-0.32144349813461304,-0.22211024165153503,-0.019273992627859116,-0.3004712164402008,-0.15527307987213135,-0.2612198293209076,-0.1582842916250229,0.06904761904761905,0.0625,0.006984126984126989,-0.616717701586551,0.13125,0.0625,0.07333333333333333,-0.08630443831343623,0.425004741597518,0.4339622641509434,-0.015824956511051563,-0.3490494617494801,0.5315352396721909,0.4339622641509434,0.1723789234208705,0.7462579926597895
4,variant_decrease_associated_with_regression,0.13225806451612904,0.07440860215053764,-0.12162966766008068,1.0,True,28,0.32941176470588235,29,0.08456172049045563,0.019791655242443085,-0.06477007269859314,0.0,-0.12333289533853531,-0.12333289533853531,-0.06653948128223419,0.0,-0.04712330177426338,0.0,-0.07262566685676575,0.0,0.055714285714285716,0.0625,-0.007238095238095236,-0.3320265341079539,0.13225806451612904,0.0625,0.07440860215053764,-0.12162966766008068,0.4762589378777202,0.4339622641509434,0.07472412358397237,0.4193777385618163,0.4348287475525327,0.4339622641509434,0.001530787342807747,-0.5913144743669589
5,variant_increase_associated_with_regression,0.5714285714285714,0.5428571428571428,2.58538245986346,1.0,True,85,1.0,85,2.145505666732788,2.609062433242798,0.46355685591697693,0.45950746536254883,1.081407070159912,1.081407070159912,0.36380699276924133,0.4472231864929199,0.6366639137268066,0.8387854099273682,0.389401376247406,0.16128897666931152,0.5714285714285714,0.0625,0.5428571428571428,2.58538245986346,0.05756578947368421,0.0625,-0.005263157894736844,-0.6890404603154372,0.5263525341669495,0.4339622641509434,0.16322281036161074,0.8558387714505902,0.4060663666007371,0.4339622641509434,-0.04928275233869785,-1.0027190154438421
6,variant_increase_associated_with_improvement,0.7099090325280051,0.4875059574661423,3.6039690955217667,1.0,True,85,1.0,85,2.2140302658081055,2.7445499897003174,0.5305194854736328,0.540705680847168,0.4584779739379883,0.4584779739379883,0.3325349986553192,0.19154000282287598,1.0500887632369995,0.9065911769866943,0.3349704146385193,0.556655764579773,0.13333333333333333,0.0625,0.07555555555555556,-0.13316621829634215,0.06728778467908902,0.0625,0.005106970324361626,-0.5728798698001963,0.7099090325280051,0.4339622641509434,0.4875059574661423,3.6039690955217667,0.3244709146772859,0.4339622641509434,-0.19343471740346163,-2.099030279146661
7,variant_increase_associated_with_improvement,0.541138907868706,0.18934540390138058,1.0696754132391546,1.0,True,85,1.0,85,2.2438976764678955,3.232203245162964,0.988305926322937,1.0074677467346191,1.3870806694030762,1.3870806694030762,1.0603591203689575,1.0304216146469116,1.0963926315307617,1.1525354385375977,0.8068013787269592,0.7762317657470703,0.14583333333333331,0.0625,0.08888888888888886,-0.02715917685031236,0.0664488017429194,0.0625,0.004212055192447354,-0.6301103874335788,0.541138907868706,0.4339622641509434,0.18934540390138058,1.0696754132391546,0.3813468463219942,0.4339622641509434,-0.09295390483114356,-1.356138207632353
8,variant_increase_associated_with_regression,0.5,0.4666666666666667,2.256493463972039,1.0,True,26,0.3058823529411765,27,0.011364823207259178,0.06756749004125595,0.056202664971351624,0.0,0.277099072933197,0.277099072933197,0.029664266854524612,0.0,0.12472247332334518,0.0,0.015482776798307896,0.0,0.5,0.0625,0.4666666666666667,2.256493463972039,0.04949944382647386,0.0625,-0.013867259918427884,-0.4930508587983924,0.5916564602324386,0.4339622641509434,0.2785930797439748,2.4669983586126967,0.4169983257910153,0.4339622641509434,-0.029969624435872977,-0.9715450031101327
9,variant_decrease_associated_with_regression,0.09375,0.03333333333333333,-0.44291984646708527,1.0,True,76,0.8941176470588236,77,0.6515390872955322,0.0,-0.6515390872955322,-0.581657350063324,-0.4615045487880707,-0.4615045487880707,-0.5201314687728882,-0.3953263759613037,-0.5961522459983826,-0.5106279850006104,-0.8380787968635559,-0.8520678877830505,0.14,0.0625,0.08266666666666668,0.40226745511365625,0.09375,0.0625,0.03333333333333333,-0.44291984646708527,0.5682064682836181,0.4339622641509434,0.23716476063439196,1.7090269874364126,0.3706283578440182,0.4339622641509434,-0.11188990114223453,-1.5426424582185525
