feature_id,selected_category,selected_pr_auc,selected_normalized_effect,selected_effect_to_variability,p_maxT,support_ok,difference_count,difference_proportion,unique_differential_values,base_contribution_mean,variant_contribution_mean,differential_mean,differential_median,regression_differential_mean,regression_differential_median,preserved_success_differential_mean,preserved_success_differential_median,improvement_differential_mean,improvement_differential_median,persistent_failure_differential_mean,persistent_failure_differential_median,variant_increase_associated_with_regression_pr_auc,variant_increase_associated_with_regression_baseline,variant_increase_associated_with_regression_normalized_effect,variant_increase_associated_with_regression_effect_to_variability,variant_decrease_associated_with_regression_pr_auc,variant_decrease_associated_with_regression_baseline,variant_decrease_associated_with_regression_normalized_effect,variant_decrease_associated_with_regression_effect_to_variability,variant_increase_associated_with_improvement_pr_auc,variant_increase_associated_with_improvement_baseline,variant_increase_associated_with_improvement_normalized_effect,variant_increase_associated_with_improvement_effect_to_variability,variant_decrease_associated_with_improvement_pr_auc,variant_decrease_associated_with_improvement_baseline,variant_decrease_associated_with_improvement_normalized_effect,variant_decrease_associated_with_improvement_effect_to_variability
0,variant_decrease_associated_with_improvement,0.7251870278583403,0.23663063293983422,0.9700875218391178,1.0,True,82,1.0,82,2.2466044425964355,2.142639636993408,-0.10396470129489899,-0.0913541316986084,0.23893189430236816,0.23893189430236816,-0.3662022650241852,-0.2958970069885254,0.0024437159299850464,-0.021877050399780273,0.13944636285305023,0.24308955669403076,0.125,0.03125,0.0967741935483871,-0.04456202745500114,0.04,0.03125,0.00903225806451613,-0.4639460743346721,0.6301442976926133,0.64,-0.02737695085385208,-0.4792964606372172,0.7251870278583403,0.64,0.23663063293983422,0.9700875218391178
1,variant_increase_associated_with_regression,0.5,0.4838709677419355,2.608035382382508,1.0,True,82,1.0,82,2.5218937397003174,2.735203742980957,0.21330991387367249,0.21592295169830322,1.436976432800293,1.436976432800293,0.031969327479600906,-0.057270050048828125,0.31687331199645996,0.3471611738204956,0.2735244631767273,0.2681877613067627,0.5,0.03125,0.4838709677419355,2.608035382382508,0.03225806451612903,0.03125,0.001040582726326742,-0.5384604914533633,0.6643433472716527,0.64,0.06762040908792406,0.009279661008401314,0.6459688048823924,0.64,0.016580013562201044,-0.3599769909874141
2,variant_increase_associated_with_regression,0.05263157894736842,0.022071307300509335,-0.45690818709242553,1.0,True,82,1.0,82,1.7948558330535889,2.6786842346191406,0.8838279247283936,0.8943719863891602,0.48217201232910156,0.48217201232910156,0.6991226077079773,0.5799504518508911,0.9716822504997253,0.9261655807495117,1.0680608749389648,1.1186845302581787,0.05263157894736842,0.03125,0.022071307300509335,-0.45690818709242553,0.07142857142857142,0.03125,0.04147465437788018,-0.27294581302384874,0.5912908380506912,0.64,-0.13530322763696906,-1.2462296047886325,0.6726023217975082,0.64,0.09056200499307838,0.16567446240749464
3,neutral_or_degenerate,,,,,True,5,0.06097560975609756,6,0.0011539486004039645,0.14651039242744446,0.1453564465045929,0.0,0.0,0.0,0.06246144697070122,0.0,0.12259472906589508,0.0,0.3366607129573822,0.0,0.03225806451612903,0.03125,0.001040582726326742,-0.20379160961147233,0.03225806451612903,0.03125,0.001040582726326742,-0.2524584933860141,0.635625,0.64,-0.012152777777777828,-0.9769005572327111,0.6593709292227529,0.64,0.05380813672986904,1.0922851584329105
4,variant_increase_associated_with_improvement,0.6822886427913454,0.11746845219818157,0.38683888164628993,1.0,True,57,0.6951219512195121,58,0.0009337611845694482,0.3061751425266266,0.3052413761615753,0.16979394853115082,0.11559751629829407,0.11559751629829407,0.18621233105659485,0.047436028718948364,0.3918079435825348,0.27082014083862305,0.3668754994869232,0.3157997727394104,0.06666666666666667,0.03125,0.03655913978494624,-0.33115037139718156,0.05555555555555555,0.03125,0.025089605734767022,-0.22834588365046415,0.6822886427913454,0.64,0.11746845219818157,0.38683888164628993,0.6179303583552578,0.64,-0.06130456012428398,-0.6766139922641984
5,variant_increase_associated_with_improvement,0.6621714443847317,0.0615873455131437,-0.004912929359003605,1.0,True,82,1.0,82,2.027806282043457,2.4968349933624268,0.469029039144516,0.4022974967956543,0.12866568565368652,0.12866568565368652,0.5165500044822693,0.49115800857543945,0.4131833016872406,0.3514305353164673,0.5053775906562805,0.4304845929145813,0.043478260869565216,0.03125,0.012622720897615706,-0.45474941698211435,0.1,0.03125,0.07096774193548387,-0.16868919007304542,0.6621714443847317,0.64,0.0615873455131437,-0.004912929359003605,0.6996856766901414,0.64,0.16579354636150376,0.546701879896851
6,variant_decrease_associated_with_improvement,0.6583182205418583,0.050883945949606324,-0.008716825157883717,1.0,True,82,1.0,82,2.4180073738098145,2.304832935333252,-0.1131744533777237,-0.12699520587921143,-0.0024712085723876953,-0.0024712085723876953,-0.2588651478290558,-0.35562801361083984,-0.024359025061130524,-0.010379910469055176,-0.026306966319680214,0.0756484866142273,0.1,0.03125,0.07096774193548387,-0.06182590831578931,0.043478260869565216,0.03125,0.012622720897615706,-0.49630134482602517,0.6661758643018506,0.64,0.0727107341718072,-0.09532683796786387,0.6583182205418583,0.64,0.050883945949606324,-0.008716825157883717
7,variant_decrease_associated_with_improvement,0.6737416134869665,0.09372670413046243,0.09534543773153684,1.0,True,82,1.0,82,3.1131086349487305,2.667829990386963,-0.4452785849571228,-0.5180545449256897,-0.3057692050933838,-0.3057692050933838,-0.4508240222930908,-0.621645450592041,-0.4521307945251465,-0.5150550603866577,-0.43129703402519226,-0.30157899856567383,0.07142857142857142,0.03125,0.04147465437788018,-0.3248578323204852,0.05263157894736842,0.03125,0.022071307300509335,-0.3775301653338419,0.7022658659620351,0.64,0.17296073878343082,0.6255946134156303,0.6737416134869665,0.64,0.09372670413046243,0.09534543773153684
8,variant_increase_associated_with_improvement,0.6496713197770574,0.026864777158492708,-0.2889111686472808,1.0,True,49,0.5975609756097561,50,0.0035076525527983904,0.19115427136421204,0.18764662742614746,0.04987793415784836,0.0,0.0,0.11323615163564682,0.0,0.24484553933143616,0.1717398762702942,0.22453586757183075,0.07852546870708466,0.03125,0.03125,0.0,-0.5109450983294382,0.058823529411764705,0.03125,0.028462998102466792,0.8639792181315642,0.6496713197770574,0.64,0.026864777158492708,-0.2889111686472808,0.6588729059985761,0.64,0.05242473888493348,0.014745588847311667
9,variant_decrease_associated_with_regression,0.25,0.22580645161290322,0.7183513107054501,1.0,True,47,0.573170731707317,48,0.3048252463340759,0.0,-0.3048252463340759,-0.1151382252573967,-0.8076903223991394,-0.8076903223991394,-0.25475287437438965,-0.008324116468429565,-0.32778921723365784,-0.26481640338897705,-0.3222992420196533,-0.08289265632629395,0.034482758620689655,0.03125,0.0033370411568409337,-1.4877013414891935,0.25,0.03125,0.22580645161290322,0.7183513107054501,0.6124215835820799,0.64,-0.07660671227200039,-0.5544465194036291,0.6370360494363296,0.64,-0.008233196010195504,-0.5291063235253074
