case_id,category_rank,feature_id,selected_category,selected_pr_auc,selected_normalized_effect,selected_effect_to_variability,p_maxT,support_ok,difference_count,difference_proportion,unique_differential_values,base_contribution_mean,variant_contribution_mean,differential_mean,differential_median,regression_differential_mean,regression_differential_median,preserved_success_differential_mean,preserved_success_differential_median,improvement_differential_mean,improvement_differential_median,persistent_failure_differential_mean,persistent_failure_differential_median,variant_increase_associated_with_regression_pr_auc,variant_increase_associated_with_regression_baseline,variant_increase_associated_with_regression_normalized_effect,variant_increase_associated_with_regression_effect_to_variability,variant_decrease_associated_with_regression_pr_auc,variant_decrease_associated_with_regression_baseline,variant_decrease_associated_with_regression_normalized_effect,variant_decrease_associated_with_regression_effect_to_variability,variant_increase_associated_with_improvement_pr_auc,variant_increase_associated_with_improvement_baseline,variant_increase_associated_with_improvement_normalized_effect,variant_increase_associated_with_improvement_effect_to_variability,variant_decrease_associated_with_improvement_pr_auc,variant_decrease_associated_with_improvement_baseline,variant_decrease_associated_with_improvement_normalized_effect,variant_decrease_associated_with_improvement_effect_to_variability
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,1,5619,variant_increase_associated_with_regression,1.0,1.0,6.722794651399608,1.0,True,10,0.11764705882352941,11,0.011184577830135822,0.027804991230368614,0.016620416194200516,0.0,0.28746095299720764,0.28746095299720764,0.001202335930429399,0.0,-0.01523591484874487,0.0,0.0384056456387043,0.0,1.0,0.0625,1.0,6.722794651399608,0.047379032258064516,0.0625,-0.016129032258064516,-0.49086789143048143,0.41322165264162075,0.4339622641509434,-0.03664174699980337,-1.5309557464163515,0.5069565217391304,0.4339622641509434,0.1289565217391304,2.196220927423446
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,2,4216,variant_increase_associated_with_regression,1.0,1.0,6.375958057315476,1.0,True,12,0.1411764705882353,13,0.008310929872095585,0.01941182278096676,0.0111008919775486,0.0,0.09476247429847717,0.09476247429847717,-0.018459530547261238,0.0,7.873805770941544e-06,0.0,0.04358852282166481,0.0,1.0,0.0625,1.0,6.375958057315476,0.047379032258064516,0.0625,-0.016129032258064516,-0.4971768672775391,0.43861892583120204,0.4339622641509434,0.00822676896845692,-0.6116347160590164,0.4685669133518347,0.4339622641509434,0.06113488025490795,0.656918521581788
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,3,13909,variant_increase_associated_with_regression,1.0,1.0,6.3728269780301146,1.0,True,16,0.18823529411764706,17,0.027863362804055214,0.012973339296877384,-0.01489002164453268,0.0,0.40947675704956055,0.40947675704956055,-0.010142176412045956,0.0,-0.04120040312409401,0.0,-0.027757694944739342,0.0,1.0,0.0625,1.0,6.3728269780301146,0.047379032258064516,0.0625,-0.016129032258064516,-0.5107378516945645,0.45786748829157076,0.4339622641509434,0.04223256264844164,0.07514809452583114,0.47935499283325367,0.4339622641509434,0.08019382067208146,0.280926877417761
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,4,2536,variant_increase_associated_with_regression,1.0,1.0,5.971005509682782,1.0,True,85,1.0,85,2.0422775745391846,2.2913413047790527,0.24906374514102936,0.7940239310264587,1.6446888446807861,1.6446888446807861,0.6463052034378052,0.7471898794174194,0.9398038983345032,1.0072665214538574,-0.7707868218421936,0.7115955948829651,1.0,0.0625,1.0,5.971005509682782,0.047379032258064516,0.0625,-0.016129032258064516,-0.7798262423978131,0.6158314653480833,0.4339622641509434,0.3213022554482805,2.1982582966475492,0.3452573302986006,0.4339622641509434,-0.1567120498058056,-1.852996433978006
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,5,8484,variant_increase_associated_with_regression,1.0,1.0,5.968462814430459,1.0,True,85,1.0,85,1.730810523033142,2.6070189476013184,0.876208484172821,0.9339752197265625,2.3631722927093506,2.3631722927093506,0.6266167163848877,0.7552439570426941,1.0651739835739136,1.060737133026123,0.8817957043647766,0.6811048984527588,1.0,0.0625,1.0,5.968462814430459,0.047379032258064516,0.0625,-0.016129032258064516,-0.7056221068826092,0.48456013265257836,0.4339622641509434,0.08938956768622174,0.2536643523474442,0.39189904188350805,0.4339622641509434,-0.07431169267246915,-1.363438879464773
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,1,12072,variant_decrease_associated_with_regression,1.0,1.0,6.211684510261095,1.0,True,41,0.4823529411764706,42,0.1704528033733368,0.0099501246586442,-0.16050268709659576,0.0,-0.8086143732070923,-0.8086143732070923,-0.0909540206193924,0.0,-0.13829241693019867,0.0,-0.20387175679206848,-0.16660699248313904,0.047379032258064516,0.0625,-0.016129032258064516,-0.49497627970008895,1.0,0.0625,1.0,6.211684510261095,0.4938617360899969,0.4339622641509434,0.10582240042566116,0.867940987904027,0.4102856413950866,0.4339622641509434,-0.04182870020201369,-1.0159736689500647
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,2,12679,variant_decrease_associated_with_regression,1.0,1.0,5.998386250988543,1.0,True,76,0.8941176470588236,77,0.5769057869911194,0.0,-0.5769057869911194,-0.5112153887748718,-1.4373865127563477,-1.4373865127563477,-0.48644116520881653,-0.4156365990638733,-0.4648746848106384,-0.344961553812027,-0.6958951950073242,-0.5214381217956543,0.047379032258064516,0.0625,-0.016129032258064516,-0.8499814336357288,1.0,0.0625,1.0,5.998386250988543,0.5763697221604129,0.4339622641509434,0.2515865091500628,1.8682871623157224,0.37092493381926356,0.4339622641509434,-0.1113659502526344,-1.4857036066020208
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,3,11020,variant_decrease_associated_with_regression,1.0,1.0,5.82079346625183,1.0,True,85,1.0,85,1.7972657680511475,2.1093015670776367,0.3120356500148773,0.3827488422393799,-1.1926658153533936,-1.1926658153533936,0.34767577052116394,0.4155832529067993,0.2604992985725403,0.1858079433441162,0.416220098733902,0.48898929357528687,0.047379032258064516,0.0625,-0.016129032258064516,-0.6765194151878708,1.0,0.0625,1.0,5.82079346625183,0.40597858974334927,0.4339622641509434,-0.04943782478674965,-0.9899514812049919,0.4968228580443706,0.4339622641509434,0.11105371587838803,0.3134197995051257
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,4,14761,variant_decrease_associated_with_regression,1.0,1.0,5.736993633123114,1.0,True,22,0.25882352941176473,23,0.06754284352064133,0.01694103702902794,-0.05060180649161339,0.0,-0.27307289838790894,-0.27307289838790894,-0.0024449005722999573,0.0,-0.02462650090456009,0.0,-0.10384170711040497,0.0,0.047379032258064516,0.0625,-0.016129032258064516,-0.4532085278235044,1.0,0.0625,1.0,5.736993633123114,0.48803278641391495,0.4339622641509434,0.09552458933124973,0.9108339944680562,0.4049174497000584,0.4339622641509434,-0.05131250552989688,-1.270249642032525
deepseek_base_finetuned_layer16__humanevalplus__layer16__paired_transitions,5,12317,variant_decrease_associated_with_regression,1.0,1.0,5.6010611545508615,1.0,True,41,0.4823529411764706,42,0.12721331417560577,0.012247784063220024,-0.1149655282497406,0.0,-0.5577268004417419,-0.5577268004417419,-0.027594339102506638,0.0,-0.13541175425052643,0.0,-0.15714381635189056,-0.018453791737556458,0.047379032258064516,0.0625,-0.016129032258064516,-0.6183006388517793,1.0,0.0625,1.0,5.6010611545508615,0.5014932417508676,0.4339622641509434,0.11930472709319945,1.0286031121373058,0.43923030993308876,0.4339622641509434,0.009306880881790115,-0.6122650883150652
