transition,candidate_rank,benchmark,feature_id,aggregation,evidence_rank,task_id,base_text_score,finetuned_text_score,delta,base_text_tokens,finetuned_text_tokens
regression,1,bigcodebench,8587,max,1,BigCodeBench/140,0.0,42.135719299316406,42.135719299316406,147,209
regression,1,bigcodebench,8587,max,2,BigCodeBench/1032,0.0,41.21149826049805,41.21149826049805,195,513
regression,1,bigcodebench,8587,max,3,BigCodeBench/689,0.0,41.09513473510742,41.09513473510742,76,102
regression,1,bigcodebench,8587,max,4,BigCodeBench/133,0.0,40.34128952026367,40.34128952026367,233,285
regression,1,bigcodebench,8587,max,5,BigCodeBench/134,0.0,40.18962097167969,40.18962097167969,152,232
regression,1,bigcodebench,8587,max,6,BigCodeBench/136,0.0,39.83771514892578,39.83771514892578,283,316
regression,1,bigcodebench,8587,max,7,BigCodeBench/409,0.0,39.197017669677734,39.197017669677734,250,513
regression,1,bigcodebench,8587,max,8,BigCodeBench/607,0.0,39.12678146362305,39.12678146362305,148,297
regression,1,bigcodebench,8587,max,9,BigCodeBench/289,2.5963990688323975,41.234798431396484,38.63839936256409,318,369
regression,1,bigcodebench,8587,max,10,BigCodeBench/770,4.180500030517578,41.6842041015625,37.50370407104492,204,291
regression,2,bigcodebench,6404,max,1,BigCodeBench/1048,0.0,33.83833694458008,33.83833694458008,260,513
regression,2,bigcodebench,6404,max,2,BigCodeBench/622,2.491304636001587,35.86044692993164,33.369142293930054,252,504
regression,2,bigcodebench,6404,max,3,BigCodeBench/133,0.0,33.295509338378906,33.295509338378906,233,285
regression,2,bigcodebench,6404,max,4,BigCodeBench/476,0.0,32.98200607299805,32.98200607299805,180,513
regression,2,bigcodebench,6404,max,5,BigCodeBench/179,0.0,32.19526290893555,32.19526290893555,362,513
regression,2,bigcodebench,6404,max,6,BigCodeBench/623,0.0,32.12672805786133,32.12672805786133,142,237
regression,2,bigcodebench,6404,max,7,BigCodeBench/1047,0.0,32.01564025878906,32.01564025878906,97,136
regression,2,bigcodebench,6404,max,8,BigCodeBench/180,2.723191261291504,34.66856384277344,31.945372581481934,241,407
regression,2,bigcodebench,6404,max,9,BigCodeBench/470,0.0,31.785789489746094,31.785789489746094,193,194
regression,2,bigcodebench,6404,max,10,BigCodeBench/486,0.0,31.555057525634766,31.555057525634766,341,513
regression,3,humanevalplus,11785,max,1,HumanEval/49,0.0,3.218663454055786,3.218663454055786,11,46
regression,3,humanevalplus,11785,max,2,HumanEval/39,0.0,2.7866709232330322,2.7866709232330322,196,108
regression,3,humanevalplus,11785,max,3,HumanEval/127,0.0,2.706200122833252,2.706200122833252,198,184
regression,3,humanevalplus,11785,max,4,HumanEval/18,0.0,2.4794845581054688,2.4794845581054688,99,64
regression,3,humanevalplus,11785,max,5,HumanEval/82,0.0,0.0,0.0,104,47
regression,3,humanevalplus,11785,max,6,HumanEval/76,0.0,0.0,0.0,40,41
regression,3,humanevalplus,11785,max,7,HumanEval/70,0.0,0.0,0.0,141,35
regression,4,bigcodebench,12956,max,1,BigCodeBench/1047,0.0,35.57571029663086,35.57571029663086,97,136
regression,4,bigcodebench,12956,max,2,BigCodeBench/337,0.0,35.018333435058594,35.018333435058594,322,513
regression,4,bigcodebench,12956,max,3,BigCodeBench/133,0.0,34.83357620239258,34.83357620239258,233,285
regression,4,bigcodebench,12956,max,4,BigCodeBench/486,0.0,34.11085510253906,34.11085510253906,341,513
regression,4,bigcodebench,12956,max,5,BigCodeBench/1134,0.0,33.50741958618164,33.50741958618164,273,322
regression,4,bigcodebench,12956,max,6,BigCodeBench/756,0.0,33.115211486816406,33.115211486816406,173,513
regression,4,bigcodebench,12956,max,7,BigCodeBench/409,0.0,33.03377151489258,33.03377151489258,250,513
regression,4,bigcodebench,12956,max,8,BigCodeBench/470,2.516826629638672,34.717926025390625,32.20109939575195,193,194
regression,4,bigcodebench,12956,max,9,BigCodeBench/418,2.4788544178009033,34.6617431640625,32.1828887462616,509,490
regression,4,bigcodebench,12956,max,10,BigCodeBench/622,2.2439708709716797,33.994140625,31.75016975402832,252,504
regression,5,humanevalplus,8294,early_max,1,HumanEval/76,0.0,3.4226839542388916,3.4226839542388916,40,41
regression,5,humanevalplus,8294,early_max,2,HumanEval/82,0.0,2.610581874847412,2.610581874847412,104,47
regression,5,humanevalplus,8294,early_max,3,HumanEval/127,0.0,1.9711265563964844,1.9711265563964844,198,184
regression,5,humanevalplus,8294,early_max,4,HumanEval/70,0.0,0.0,0.0,141,35
regression,5,humanevalplus,8294,early_max,5,HumanEval/49,0.0,0.0,0.0,11,46
regression,5,humanevalplus,8294,early_max,6,HumanEval/39,0.0,0.0,0.0,196,108
regression,5,humanevalplus,8294,early_max,7,HumanEval/18,0.0,0.0,0.0,99,64
regression,6,bigcodebench,8959,max,1,BigCodeBench/1010,3.398439884185791,41.50859451293945,38.11015462875366,110,513
regression,6,bigcodebench,8959,max,2,BigCodeBench/713,0.0,23.36854362487793,23.36854362487793,245,174
regression,6,bigcodebench,8959,max,3,BigCodeBench/781,0.0,22.895631790161133,22.895631790161133,124,104
regression,6,bigcodebench,8959,max,4,BigCodeBench/891,0.0,22.02806854248047,22.02806854248047,178,210
regression,6,bigcodebench,8959,max,5,BigCodeBench/756,0.0,21.982425689697266,21.982425689697266,173,513
regression,6,bigcodebench,8959,max,6,BigCodeBench/1130,0.0,21.617544174194336,21.617544174194336,163,277
regression,6,bigcodebench,8959,max,7,BigCodeBench/216,0.0,21.020633697509766,21.020633697509766,207,317
regression,6,bigcodebench,8959,max,8,BigCodeBench/67,2.9012601375579834,21.386003494262695,18.484743356704712,512,145
regression,6,bigcodebench,8959,max,9,BigCodeBench/487,1.075933814048767,17.847917556762695,16.771983742713928,301,339
regression,6,bigcodebench,8959,max,10,BigCodeBench/953,0.0,16.401409149169922,16.401409149169922,360,513
regression,7,bigcodebench,6684,max,1,BigCodeBench/607,2.1270132064819336,33.09592819213867,30.96891498565674,148,297
regression,7,bigcodebench,6684,max,2,BigCodeBench/133,7.974289894104004,29.968185424804688,21.993895530700684,233,285
regression,7,bigcodebench,6684,max,3,BigCodeBench/136,9.749763488769531,31.73111343383789,21.98134994506836,283,316
regression,7,bigcodebench,6684,max,4,BigCodeBench/134,7.747433185577393,28.868515014648438,21.121081829071045,152,232
regression,7,bigcodebench,6684,max,5,BigCodeBench/140,5.259448051452637,22.383182525634766,17.12373447418213,147,209
regression,7,bigcodebench,6684,max,6,BigCodeBench/392,7.7054548263549805,22.190893173217773,14.485438346862793,238,252
regression,7,bigcodebench,6684,max,7,BigCodeBench/42,4.614434719085693,17.936689376831055,13.322254657745361,189,209
regression,7,bigcodebench,6684,max,8,BigCodeBench/418,5.966658115386963,19.077289581298828,13.110631465911865,509,490
regression,7,bigcodebench,6684,max,9,BigCodeBench/240,4.745285987854004,16.392166137695312,11.646880149841309,71,513
regression,7,bigcodebench,6684,max,10,BigCodeBench/1062,2.915908098220825,13.800971984863281,10.885063886642456,126,513
regression,8,humanevalplus,5500,early_max,1,HumanEval/76,0.0,30.725309371948242,30.725309371948242,40,41
regression,8,humanevalplus,5500,early_max,2,HumanEval/127,2.8730218410491943,29.840486526489258,26.967464685440063,198,184
regression,8,humanevalplus,5500,early_max,3,HumanEval/49,0.0,2.3221850395202637,2.3221850395202637,11,46
regression,8,humanevalplus,5500,early_max,4,HumanEval/82,0.0,0.0,0.0,104,47
regression,8,humanevalplus,5500,early_max,5,HumanEval/70,0.0,0.0,0.0,141,35
regression,8,humanevalplus,5500,early_max,6,HumanEval/39,0.0,0.0,0.0,196,108
regression,8,humanevalplus,5500,early_max,7,HumanEval/18,0.0,0.0,0.0,99,64
regression,9,humanevalplus,14895,max,1,HumanEval/39,0.0,7.433121204376221,7.433121204376221,196,108
regression,9,humanevalplus,14895,max,2,HumanEval/49,0.0,5.263860702514648,5.263860702514648,11,46
regression,9,humanevalplus,14895,max,3,HumanEval/18,0.0,2.3479368686676025,2.3479368686676025,99,64
regression,9,humanevalplus,14895,max,4,HumanEval/82,0.0,0.0,0.0,104,47
regression,9,humanevalplus,14895,max,5,HumanEval/76,0.0,0.0,0.0,40,41
