candidate_rank,benchmark,transition,aggregation,feature_id,n,positives,prevalence,roc_auc,pr_auc,pr_lift,effect,permutation_null_sd,effect_to_permutation_variability,permutation_p_nominal,positive_support,positive_delta_support,control_support,decoder_base_norm,decoder_finetuned_norm,decoder_finetuned_specificity,unique_delta_values
1,bigcodebench,regression,max,8587,268,79,0.2947761194029851,0.5802022637465676,0.44227003906561924,1.5003591198681765,7.153800010681152,1.5145939588546753,4.723246097564697,0.004975124378109453,54,43,111,0.7095586061477661,0.7046464681625366,0.49826329946517944,174
2,bigcodebench,regression,max,6404,268,79,0.2947761194029851,0.6405465139642355,0.40488641735223985,1.3735387322835477,6.595885276794434,1.4772160053253174,4.465078353881836,0.004975124378109453,47,42,83,0.705914318561554,0.7082975506782532,0.5008425712585449,148
3,humanevalplus,regression,max,11785,66,7,0.10606060606060606,0.7699757869249395,0.5547619047619048,5.2306122448979595,1.5464140176773071,0.38319846987724304,4.035543441772461,0.004975124378109453,4,4,8,0.6964616179466248,0.7175946235656738,0.5074724555015564,14
4,bigcodebench,regression,max,12956,268,79,0.2947761194029851,0.635757819302123,0.43931483076059735,1.4903338562511403,5.029767036437988,1.2605537176132202,3.9901251792907715,0.004975124378109453,74,73,161,0.6946645975112915,0.7193334102630615,0.5087230801582336,243
5,humanevalplus,regression,early_max,8294,66,7,0.10606060606060606,0.7070217917675545,0.45346320346320346,4.275510204081632,1.1000722646713257,0.2806469202041626,3.9197731018066406,0.014925373134328358,3,3,1,0.7106481790542603,0.7035473585128784,0.49748945236206055,5
6,bigcodebench,regression,max,8959,268,79,0.2947761194029851,0.604882459312839,0.4613764950109652,1.5651759577587174,2.8051018714904785,0.7268065810203552,3.8594887256622314,0.004975124378109453,77,70,170,0.6919364929199219,0.7219576835632324,0.5106164813041687,251
7,bigcodebench,regression,max,6684,268,79,0.2947761194029851,0.5741075614493336,0.46458564547220893,1.5760626960323036,2.3041505813598633,0.5975901484489441,3.8557372093200684,0.004975124378109453,79,49,189,0.6804711818695068,0.7327741980552673,0.5185045599937439,268
8,humanevalplus,regression,early_max,5500,66,7,0.10606060606060606,0.7142857142857143,0.4370023419203747,4.120307795249247,9.130457878112793,2.372982978820801,3.8476710319519043,0.004975124378109453,3,3,5,0.7087030410766602,0.7055070400238037,0.49887004494667053,13
9,humanevalplus,regression,max,14895,66,7,0.10606060606060606,0.7191283292978208,0.4416040100250626,4.163694951664876,2.1448333263397217,0.5623257160186768,3.814218759536743,0.004975124378109453,3,3,12,0.6864244341850281,0.727200984954834,0.5144226551055908,20
10,bigcodebench,regression,max,9716,268,79,0.2947761194029851,0.6382693724465877,0.4500433445363781,1.5267293207056878,3.571744918823242,0.9464700222015381,3.7737538814544678,0.004975124378109453,72,60,157,0.6979439854621887,0.7161523699760437,0.5064381957054138,243
11,bigcodebench,regression,max,14818,268,79,0.2947761194029851,0.601701158663184,0.4127829027736195,1.4003268094092407,3.824068069458008,1.0299701690673828,3.7127950191497803,0.004975124378109453,74,70,159,0.706762969493866,0.707450270652771,0.5002430081367493,235
12,bigcodebench,regression,max,15246,268,79,0.2947761194029851,0.6240707253365482,0.45199671745602915,1.5333559528888077,2.104646682739258,0.5672736763954163,3.7101080417633057,0.004975124378109453,48,44,77,0.7058025598526001,0.708407998085022,0.5009211897850037,135
13,bigcodebench,regression,max,2449,268,79,0.2947761194029851,0.5725336548121358,0.43434675203504713,1.4734801208277548,3.078176259994507,0.8412328362464905,3.6591250896453857,0.004975124378109453,63,53,150,0.677787184715271,0.7352576851844788,0.5203356742858887,229
