negative_rank,benchmark,transition,aggregation,feature_id,n,positives,prevalence,roc_auc,pr_auc,pr_lift,effect,permutation_null_sd,effect_to_permutation_variability,permutation_p_nominal,positive_support,positive_delta_support,control_support,decoder_base_norm,decoder_finetuned_norm,decoder_finetuned_specificity,unique_delta_values,positive_base_support
1,bigcodebench,improvement,active_fraction,9537,872,215,0.24655963302752293,0.364741071112527,0.21130198162563163,0.8570015254769804,-0.03822349011898041,0.004835885483771563,-7.904134750366211,0.004975124378109453,71,23,218,0.6970767974853516,0.7169963121414185,0.5070433020591736,529,140
2,bigcodebench,improvement,early_max,12883,872,215,0.24655963302752293,0.38488549077908746,0.20185161267010374,0.818672587201537,-1.4476189613342285,0.18903006613254547,-7.658141136169434,0.004975124378109453,104,54,373,0.8042890429496765,0.5942384004592896,0.42490294575691223,598,139
3,bigcodebench,improvement,active_fraction,3602,872,215,0.24655963302752293,0.35370783335103184,0.19461183952890665,0.7893094142753796,-0.020632877945899963,0.0027735501062124968,-7.439157962799072,0.004975124378109453,119,35,407,0.6215397119522095,0.7833818197250366,0.5575982928276062,692,164
4,bigcodebench,improvement,active_fraction,5422,872,215,0.24655963302752293,0.35629889207461685,0.19295488982224723,0.7825891345348818,-0.00544362748041749,0.0007504196837544441,-7.254110813140869,0.004975124378109453,14,5,76,0.6941489577293396,0.7198312878608704,0.5090816020965576,367,135
5,bigcodebench,improvement,active_fraction,14295,872,215,0.24655963302752293,0.3870694842660437,0.21589590231821626,0.8756336131231841,-0.03804944455623627,0.005382529925554991,-7.069063186645508,0.004975124378109453,146,64,505,0.684542715549469,0.7289717197418213,0.5157158374786377,724,156
6,bigcodebench,improvement,active_fraction,13397,872,215,0.24655963302752293,0.37467700258397935,0.2009952733363821,0.8151994341829079,-0.00825367122888565,0.0011720724869519472,-7.041945934295654,0.004975124378109453,172,60,595,0.7305936813354492,0.6828122138977051,0.48309704661369324,807,178
7,bigcodebench,improvement,active_fraction,15916,872,215,0.24655963302752293,0.3706948426604368,0.19567326807565377,0.7936143709859074,-0.005087114404886961,0.0007226864108815789,-7.039172649383545,0.004975124378109453,45,20,189,0.701469898223877,0.7126986980438232,0.5039700865745544,448,136
8,bigcodebench,improvement,active_fraction,10168,872,215,0.24655963302752293,0.35621039963187145,0.19380348369798736,0.7860308734169534,-0.018165230751037598,0.0026010596193373203,-6.983780860900879,0.004975124378109453,58,13,162,0.6938591003417969,0.720110297203064,0.5092828273773193,524,156
9,bigcodebench,improvement,active_fraction,13801,872,215,0.24655963302752293,0.37370712541148987,0.21476664314790336,0.8710535480231244,-0.02012886479496956,0.00290089612826705,-6.938843727111816,0.004975124378109453,93,40,373,0.6904844641685486,0.7233478426933289,0.5116220712661743,688,164
10,bigcodebench,improvement,active_fraction,12308,872,215,0.24655963302752293,0.3638950833598811,0.20078345853849988,0.8143403527701019,-0.0255736131221056,0.0037159216590225697,-6.882172107696533,0.004975124378109453,28,12,109,0.6756479144096375,0.7372246384620667,0.5217913389205933,488,145
11,bigcodebench,improvement,active_fraction,9446,872,215,0.24655963302752293,0.39562139393295814,0.2189068525684545,0.8878454671613596,-0.010674483142793179,0.0015517855063080788,-6.878839492797852,0.004975124378109453,33,18,74,0.6947892904281616,0.7192133665084839,0.508636474609375,382,123
12,bigcodebench,improvement,active_fraction,1650,872,215,0.24655963302752293,0.3712399561077484,0.20775936760407035,0.8426333420965086,-0.02588975802063942,0.0037649357691407204,-6.876546859741211,0.004975124378109453,81,33,266,0.6882941126823425,0.7254319787025452,0.5131347179412842,600,156
13,bigcodebench,improvement,early_max,617,872,215,0.24655963302752293,0.43198116880818377,0.22380084501985945,0.9076945900340346,-1.9529519081115723,0.28433170914649963,-6.8685688972473145,0.004975124378109453,13,10,52,0.6978598833084106,0.7162335515022278,0.5064966082572937,145,45
14,bigcodebench,improvement,early_max,11913,872,215,0.24655963302752293,0.4208700576970727,0.23133858667477478,0.9382662678158308,-1.048221468925476,0.15264847874641418,-6.8668975830078125,0.004975124378109453,17,10,101,0.6892985105514526,0.7244774103164673,0.5124414563179016,186,42
