feature_id,rank,token_text,active_occurrences,activation_sum,mean_activation
9537,1,_,1511,14676.677199333906,9.713221177586966
9537,2,(,1167,5564.73369705677,4.76840933766647
9537,3, Test,475,4184.782319366932,8.810068040772489
9537,4,"
",1209,3492.8231248557568,2.889018300128831
9537,5,.,755,2887.4278369247913,3.8244077310262137
9537,6,import,797,2708.290807723999,3.3981064086875774
9537,7,func,718,2568.3965342640877,3.577153947443019
9537,8,       ,672,2541.457047045231,3.7819301295315935
9537,9, import,331,2170.9501464366913,6.558761771712058
9537,10, def,305,2090.2480095624924,6.853272162499975
9537,11, test,290,1628.3412199020386,5.614969723800133
9537,12,   ,286,1498.6934787034988,5.240186988473772
9537,13,assertEqual,198,1067.888745546341,5.393377502759297
9537,14,test,240,733.6642064154148,3.0569341933975616
9537,15, =,237,721.1113238930702,3.042663813894811
9537,16,):,193,649.7275329828262,3.366463901465421
9537,17,from,236,462.4165645837784,1.9593922228126202
9537,18, ,130,385.7594358921051,2.9673802760931163
9537,19,TestCase,172,371.1494238078594,2.157845487254997
9537,20,:,125,371.07568979263306,2.9686055183410645
9537,21,est,144,353.0828814506531,2.451964454518424
9537,22, with,107,342.74569725990295,3.2032308155131117
9537,23, #,119,340.2583153247833,2.8593135741578433
9537,24,class,163,330.15339028835297,2.0254809220144354
9537,25,valid,30,260.1955580711365,8.673185269037882
9537,26,task,126,253.05723828077316,2.008390780006136
9537,27,1,96,251.35032165050507,2.618232517192761
9537,28,tests,144,228.9349358677864,1.5898259435262945
9537,29,output,49,215.98370838165283,4.407830783299038
9537,30,/,103,203.7720055282116,1.9783689857107922
12883,1,"
",8356,25494.78999376297,3.05107587287733
12883,2,#,3119,15955.487159013748,5.1155778002609
12883,3,_,3823,13606.014020740986,3.5589887577140953
12883,4,task,734,2308.152912914753,3.144622497159064
12883,5,test,388,2266.178751349449,5.84066688492126
12883,6,d,728,2202.2337998747826,3.0250464283994267
12883,7,py,524,1746.7053583860397,3.3334071724924423
12883,8,.,654,1721.2667984068394,2.6319064195823234
12883,9, task,856,1716.6462864279747,2.005427904705578
12883,10,/,252,1607.9772688150406,6.380862177837463
12883,11,tests,190,1581.8069236278534,8.325299598041333
12883,12,t,342,1074.374539732933,3.1414460226109155
12883,13, #,432,1064.5490700602531,2.4642339584728084
12883,14,class,268,985.0388824939728,3.6755182182610926
12883,15,func,520,946.6710452139378,1.820521240796034
12883,16, Note,360,935.3709152936935,2.598252542482482
12883,17,import,358,900.0387772321701,2.5140747967379053
12883,18,   ,382,875.4146373867989,2.291661354415704
12883,19,est,258,797.7317693829536,3.09198360225951
12883,20,2,270,754.1714118719101,2.7932274513774447
12883,21, Ex,126,749.6721040010452,5.9497786031828985
12883,22,(,451,708.9715514779091,1.5719990054942552
12883,23,0,200,689.8129327297211,3.4490646636486053
12883,24,",",234,665.104396879673,2.842326482391765
