rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,support,minimum_support
1,13390,base_enriched,mean,-0.5781877040863037,0.0809963271021843,-7.138443470001221,7.138443470001221,3,3
2,7619,base_enriched,mean,-0.6401576399803162,0.09216686338186264,-6.9456377029418945,6.9456377029418945,4,3
3,2741,base_enriched,mean,-0.8069772720336914,0.12594668567180634,-6.40729284286499,6.40729284286499,4,3
4,1789,base_enriched,mean,-0.3902549147605896,0.07118864357471466,-5.481982707977295,5.481982707977295,4,3
5,10173,base_enriched,mean,-1.1911876201629639,0.22265128791332245,-5.350014686584473,5.350014686584473,3,3
6,2063,base_enriched,active_fraction,-0.08930955827236176,0.018295299261808395,-4.881557464599609,4.881557464599609,3,3
7,13358,base_enriched,mean,-0.7979480624198914,0.17437735199928284,-4.575984477996826,4.575984477996826,4,3
8,6554,base_enriched,mean,-0.9480209946632385,0.2096887230873108,-4.521087169647217,4.521087169647217,3,3
9,4529,base_enriched,max,-10.379462242126465,2.309889554977417,-4.493488311767578,4.493488311767578,4,3
10,14515,base_enriched,active_fraction,-0.07497458159923553,0.016768578439950943,-4.471135139465332,4.471135139465332,3,3
11,13848,base_enriched,active_fraction,-0.06779169291257858,0.016656912863254547,-4.069883346557617,4.069883346557617,3,3
12,9158,base_enriched,max,-6.8521728515625,1.7438619136810303,-3.929309368133545,3.929309368133545,4,3
13,14235,base_enriched,active_fraction,-0.035873137414455414,0.009933019056916237,-3.611503839492798,3.611503839492798,3,3
14,695,base_enriched,active_fraction,-0.0411248616874218,0.01150630321353674,-3.5741159915924072,3.5741159915924072,3,3
15,13428,base_enriched,max,-4.979320526123047,1.4814252853393555,-3.36116886138916,3.36116886138916,4,3
16,3190,base_enriched,mean,-0.25811535120010376,0.07814747840166092,-3.3029260635375977,3.3029260635375977,3,3
17,1126,base_enriched,max,-10.859540939331055,3.342400312423706,-3.2490246295928955,3.2490246295928955,4,3
18,14322,base_enriched,max,-6.894013404846191,2.1481220722198486,-3.2093210220336914,3.2093210220336914,4,3
19,7737,base_enriched,active_fraction,-0.050676774233579636,0.015804463997483253,-3.206484794616699,3.206484794616699,3,3
