rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,support,minimum_support
1,7860,specialized_enriched,mean,2.413038492202759,0.23580043017864227,10.233392715454102,10.233392715454102,3,3
2,8175,specialized_enriched,mean,0.6472082138061523,0.07326061278581619,8.83432674407959,8.83432674407959,4,3
3,553,specialized_enriched,mean,2.570496082305908,0.32310351729393005,7.9556427001953125,7.9556427001953125,3,3
4,7392,specialized_enriched,active_fraction,0.15782488882541656,0.02261827513575554,6.977759838104248,6.977759838104248,3,3
5,4663,specialized_enriched,mean,0.3015313744544983,0.04414016008377075,6.831225395202637,6.831225395202637,3,3
6,8088,specialized_enriched,active_fraction,0.21138788759708405,0.03668014332652092,5.763006210327148,5.763006210327148,3,3
7,12527,specialized_enriched,active_fraction,0.14129893481731415,0.025779571384191513,5.481042861938477,5.481042861938477,3,3
8,6839,specialized_enriched,mean,1.3814932107925415,0.262235164642334,5.268146514892578,5.268146514892578,3,3
9,1059,specialized_enriched,mean,0.8235295414924622,0.1568535417318344,5.250308990478516,5.250308990478516,3,3
10,1854,specialized_enriched,active_fraction,0.11850326508283615,0.023132340982556343,5.122839450836182,5.122839450836182,3,3
11,8594,specialized_enriched,mean,0.9898759722709656,0.20333342254161835,4.8682403564453125,4.8682403564453125,3,3
12,8720,specialized_enriched,active_fraction,0.37862497568130493,0.07817630469799042,4.84321928024292,4.84321928024292,3,3
13,5290,specialized_enriched,mean,1.1526075601577759,0.2396824210882187,4.808894634246826,4.808894634246826,3,3
14,5118,specialized_enriched,mean,1.2143323421478271,0.2741811275482178,4.4289422035217285,4.4289422035217285,3,3
15,8915,specialized_enriched,mean,0.7864033579826355,0.18074285984039307,4.350951194763184,4.350951194763184,4,3
16,10459,specialized_enriched,active_fraction,0.18642020225524902,0.04394940659403801,4.241700172424316,4.241700172424316,3,3
17,2911,specialized_enriched,mean,0.9249466061592102,0.21826720237731934,4.237680435180664,4.237680435180664,4,3
18,6938,specialized_enriched,active_fraction,0.2418486624956131,0.05796299874782562,4.172466278076172,4.172466278076172,3,3
19,231,specialized_enriched,mean,0.7786235213279724,0.190129354596138,4.095230579376221,4.095230579376221,3,3
20,631,specialized_enriched,mean,1.0833712816238403,0.2692524194717407,4.023626804351807,4.023626804351807,3,3
21,8295,specialized_enriched,active_fraction,0.24567459523677826,0.0626571923494339,3.9209320545196533,3.9209320545196533,3,3
22,8336,specialized_enriched,mean,1.0269850492477417,0.2737596035003662,3.7514119148254395,3.7514119148254395,3,3
23,91,specialized_enriched,mean,0.6291412115097046,0.1680421382188797,3.7439491748809814,3.7439491748809814,3,3
24,8973,specialized_enriched,active_fraction,0.1600678414106369,0.04316706582903862,3.7081010341644287,3.7081010341644287,3,3
25,254,specialized_enriched,active_fraction,0.2777763605117798,0.0753210186958313,3.687899589538574,3.687899589538574,3,3
26,840,specialized_enriched,mean,0.48609602451324463,0.13384827971458435,3.6316943168640137,3.6316943168640137,3,3
27,204,specialized_enriched,active_fraction,0.07974929362535477,0.022685032337903976,3.515502691268921,3.515502691268921,3,3
28,1370,specialized_enriched,active_fraction,0.08452711999416351,0.024507718160748482,3.449000120162964,3.449000120162964,3,3
29,8183,specialized_enriched,active_fraction,0.15996889770030975,0.047372762113809586,3.3768117427825928,3.3768117427825928,3,3
30,8412,specialized_enriched,mean,0.6531872153282166,0.19880123436450958,3.2856295108795166,3.2856295108795166,4,3
31,7126,specialized_enriched,active_fraction,0.21722273528575897,0.06746742129325867,3.2196686267852783,3.2196686267852783,3,3
32,7080,specialized_enriched,active_fraction,0.14007270336151123,0.04377801716327667,3.199612855911255,3.199612855911255,4,3
33,5365,specialized_enriched,mean,0.2859432101249695,0.09007535874843597,3.1744887828826904,3.1744887828826904,3,3
34,3951,specialized_enriched,mean,0.7696376442909241,0.245658278465271,3.132960319519043,3.132960319519043,3,3
35,5886,specialized_enriched,active_fraction,0.16381321847438812,0.054280564188957214,3.0178983211517334,3.0178983211517334,3,3
36,2108,specialized_enriched,active_fraction,0.14045903086662292,0.04770764708518982,2.944161891937256,2.944161891937256,3,3
37,535,specialized_enriched,mean,0.6976589560508728,0.23702119290828705,2.9434454441070557,2.9434454441070557,3,3
38,894,specialized_enriched,mean,0.6494471430778503,0.2243531048297882,2.894754409790039,2.894754409790039,3,3
39,15680,specialized_enriched,mean,0.5884908437728882,0.2047141045331955,2.8746960163116455,2.8746960163116455,4,3
40,120,specialized_enriched,active_fraction,0.042939189821481705,0.01528889685869217,2.808521032333374,2.808521032333374,3,3
41,8203,specialized_enriched,active_fraction,0.08403343707323074,0.0301296878606081,2.789057731628418,2.789057731628418,3,3
42,13584,specialized_enriched,mean,1.2380013465881348,0.4593762159347534,2.6949617862701416,2.6949617862701416,3,3
43,15522,specialized_enriched,mean,0.571037232875824,0.2125118523836136,2.687084197998047,2.687084197998047,4,3
44,7097,specialized_enriched,mean,1.4956010580062866,0.556749165058136,2.686310291290283,2.686310291290283,4,3
