rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,support,minimum_support
1,15247,base_enriched,max,-1.76953125,0.8170587420463562,-2.1657330989837646,2.1657330989837646,636,83
2,15441,base_enriched,max,-3.22900390625,1.5071700811386108,-2.142428398132324,2.142428398132324,769,83
3,13519,base_enriched,max,-7.03125,3.292013168334961,-2.1358511447906494,2.1358511447906494,789,83
4,7154,base_enriched,max,-9.421875,4.4261956214904785,-2.128662109375,2.128662109375,818,83
5,144,base_enriched,max,-1.93310546875,0.9085954427719116,-2.127575635910034,2.127575635910034,811,83
6,13768,specialized_enriched,max,5.50830078125,2.6218886375427246,2.1008903980255127,2.1008903980255127,816,83
7,10380,base_enriched,max,-1.476318359375,0.7037438154220581,-2.097806453704834,2.097806453704834,810,83
8,3612,specialized_enriched,max,4.660400390625,2.2322914600372314,2.0877203941345215,2.0877203941345215,821,83
9,2516,base_enriched,max,-3.49755859375,1.686822772026062,-2.0734593868255615,2.0734593868255615,816,83
10,11252,base_enriched,max,-2.89013671875,1.405747890472412,-2.0559425354003906,2.0559425354003906,795,83
11,10082,base_enriched,max,-2.122314453125,1.0442081689834595,-2.0324630737304688,2.0324630737304688,803,83
12,13428,base_enriched,max,-5.685791015625,2.8007893562316895,-2.0300674438476562,2.0300674438476562,826,83
13,15784,base_enriched,max,-2.24853515625,1.114229679107666,-2.018017530441284,2.018017530441284,787,83
14,1126,base_enriched,max,-10.567626953125,5.295236587524414,-1.9956854581832886,1.9956854581832886,824,83
15,10927,base_enriched,max,-2.24169921875,1.125662088394165,-1.9914494752883911,1.9914494752883911,596,83
16,9468,base_enriched,max,-5.352783203125,2.702019214630127,-1.981030821800232,1.981030821800232,802,83
17,5048,base_enriched,max,-2.44921875,1.240956425666809,-1.9736541509628296,1.9736541509628296,599,83
18,2055,base_enriched,max,-2.632568359375,1.3364505767822266,-1.9698209762573242,1.9698209762573242,802,83
