rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,support,minimum_support
1,827,base_enriched,max,-2.0888671875,1.0207929611206055,-2.0463180541992188,2.0463180541992188,772,83
2,4084,base_enriched,max,-2.039794921875,1.021780252456665,-1.9963146448135376,1.9963146448135376,667,83
3,9736,base_enriched,active_fraction,-0.0781097412109375,0.03962789475917816,-1.971079707145691,1.971079707145691,701,83
4,7080,specialized_enriched,active_fraction,0.1389312744140625,0.07139037549495697,1.9460785388946533,1.9460785388946533,573,83
5,507,base_enriched,max,-2.2537841796875,1.1612519025802612,-1.9408228397369385,1.9408228397369385,696,83
6,9405,base_enriched,max,-4.036376953125,2.105602979660034,-1.916969656944275,1.916969656944275,809,83
7,9293,base_enriched,active_fraction,-0.183135986328125,0.09781257063150406,-1.8723154067993164,1.8723154067993164,577,83
8,11896,base_enriched,active_fraction,-0.1058807373046875,0.05674116313457489,-1.8660304546356201,1.8660304546356201,299,83
9,863,base_enriched,max,-1.434326171875,0.7711464762687683,-1.8599919080734253,1.8599919080734253,436,83
10,13428,base_enriched,max,-5.18701171875,2.792890787124634,-1.8572196960449219,1.8572196960449219,824,83
11,14673,base_enriched,max,-4.5849609375,2.5178451538085938,-1.820986032485962,1.820986032485962,826,83
12,15279,specialized_enriched,active_fraction,0.1259765625,0.06939924508333206,1.8152439594268799,1.8152439594268799,516,83
13,15247,base_enriched,max,-1.66748046875,0.9224012494087219,-1.80776047706604,1.80776047706604,411,83
14,15818,base_enriched,active_fraction,-0.06127166748046875,0.03392617404460907,-1.8060294389724731,1.8060294389724731,552,83
15,5120,base_enriched,max,-1.724853515625,0.9574374556541443,-1.8015313148498535,1.8015313148498535,792,83
16,16207,base_enriched,mean,-0.1050567626953125,0.058458663523197174,-1.797111988067627,1.797111988067627,540,83
17,13502,base_enriched,max,-0.5487060546875,0.305881530046463,-1.7938514947891235,1.7938514947891235,362,83
18,7126,specialized_enriched,max,1.34326171875,0.749282956123352,1.7927296161651611,1.7927296161651611,773,83
19,3255,specialized_enriched,active_fraction,0.13626861572265625,0.07616499066352844,1.7891240119934082,1.7891240119934082,594,83
20,4342,base_enriched,max,-1.183349609375,0.6623425483703613,-1.7866127490997314,1.7866127490997314,200,83
21,5192,specialized_enriched,active_fraction,0.10052490234375,0.05650841444730759,1.7789368629455566,1.7789368629455566,668,83
22,10407,base_enriched,max,-6.8017578125,3.850054979324341,-1.7666651010513306,1.7666651010513306,606,83
23,254,specialized_enriched,max,1.016357421875,0.5772088170051575,1.7608140707015991,1.7608140707015991,562,83
24,13595,specialized_enriched,max,1.667236328125,0.9469487071037292,1.7606406211853027,1.7606406211853027,569,83
25,10922,base_enriched,max,-12.626953125,7.1724467277526855,-1.760480523109436,1.760480523109436,425,83
26,8858,base_enriched,max,-5.5439453125,3.1499550342559814,-1.7600077390670776,1.7600077390670776,572,83
27,15320,base_enriched,max,-1.754638671875,1.00051748752594,-1.75373113155365,1.75373113155365,767,83
28,9135,base_enriched,max,-0.824462890625,0.4715419411659241,-1.7484402656555176,1.7484402656555176,325,83
29,11252,base_enriched,max,-1.04248046875,0.5992618799209595,-1.739607572555542,1.739607572555542,615,83
