rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,support,minimum_support
1,827,base_enriched,max,-2.0888671875,1.0207929611206055,-2.0463180541992188,2.0463180541992188,772,83
2,4084,base_enriched,max,-2.039794921875,1.021780252456665,-1.9963146448135376,1.9963146448135376,667,83
3,9736,base_enriched,active_fraction,-0.0781097412109375,0.03962789475917816,-1.971079707145691,1.971079707145691,701,83
4,507,base_enriched,max,-2.2537841796875,1.1612519025802612,-1.9408228397369385,1.9408228397369385,696,83
5,9405,base_enriched,max,-4.036376953125,2.105602979660034,-1.916969656944275,1.916969656944275,809,83
6,9293,base_enriched,active_fraction,-0.183135986328125,0.09781257063150406,-1.8723154067993164,1.8723154067993164,577,83
7,11896,base_enriched,active_fraction,-0.1058807373046875,0.05674116313457489,-1.8660304546356201,1.8660304546356201,299,83
8,863,base_enriched,max,-1.434326171875,0.7711464762687683,-1.8599919080734253,1.8599919080734253,436,83
9,13428,base_enriched,max,-5.18701171875,2.792890787124634,-1.8572196960449219,1.8572196960449219,824,83
10,14673,base_enriched,max,-4.5849609375,2.5178451538085938,-1.820986032485962,1.820986032485962,826,83
11,15247,base_enriched,max,-1.66748046875,0.9224012494087219,-1.80776047706604,1.80776047706604,411,83
12,15818,base_enriched,active_fraction,-0.06127166748046875,0.03392617404460907,-1.8060294389724731,1.8060294389724731,552,83
13,5120,base_enriched,max,-1.724853515625,0.9574374556541443,-1.8015313148498535,1.8015313148498535,792,83
14,16207,base_enriched,mean,-0.1050567626953125,0.058458663523197174,-1.797111988067627,1.797111988067627,540,83
15,13502,base_enriched,max,-0.5487060546875,0.305881530046463,-1.7938514947891235,1.7938514947891235,362,83
16,4342,base_enriched,max,-1.183349609375,0.6623425483703613,-1.7866127490997314,1.7866127490997314,200,83
17,10407,base_enriched,max,-6.8017578125,3.850054979324341,-1.7666651010513306,1.7666651010513306,606,83
18,10922,base_enriched,max,-12.626953125,7.1724467277526855,-1.760480523109436,1.760480523109436,425,83
19,8858,base_enriched,max,-5.5439453125,3.1499550342559814,-1.7600077390670776,1.7600077390670776,572,83
20,15320,base_enriched,max,-1.754638671875,1.00051748752594,-1.75373113155365,1.75373113155365,767,83
21,9135,base_enriched,max,-0.824462890625,0.4715419411659241,-1.7484402656555176,1.7484402656555176,325,83
22,11252,base_enriched,max,-1.04248046875,0.5992618799209595,-1.739607572555542,1.739607572555542,615,83
23,4089,base_enriched,active_fraction,-0.041168212890625,0.023761196061968803,-1.7325817346572876,1.7325817346572876,742,83
24,13371,base_enriched,max,-0.98095703125,0.5689834356307983,-1.7240519523620605,1.7240519523620605,490,83
25,16164,base_enriched,max,-1.55322265625,0.901905357837677,-1.7221570014953613,1.7221570014953613,761,83
26,6918,base_enriched,max,-2.8935546875,1.680272102355957,-1.72207510471344,1.72207510471344,599,83
27,12862,base_enriched,max,-2.181640625,1.2681912183761597,-1.7202773094177246,1.7202773094177246,721,83
28,14832,base_enriched,max,-1.962890625,1.1422284841537476,-1.7184746265411377,1.7184746265411377,673,83
29,4185,base_enriched,max,-1.427490234375,0.8332114815711975,-1.7132388353347778,1.7132388353347778,769,83
30,2371,base_enriched,max,-4.02392578125,2.3524951934814453,-1.7104926109313965,1.7104926109313965,623,83
