rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,support,minimum_support
1,7080,specialized_enriched,active_fraction,0.1389312744140625,0.07139037549495697,1.9460785388946533,1.9460785388946533,573,83
2,15279,specialized_enriched,active_fraction,0.1259765625,0.06939924508333206,1.8152439594268799,1.8152439594268799,516,83
3,7126,specialized_enriched,max,1.34326171875,0.749282956123352,1.7927296161651611,1.7927296161651611,773,83
4,3255,specialized_enriched,active_fraction,0.13626861572265625,0.07616499066352844,1.7891240119934082,1.7891240119934082,594,83
5,5192,specialized_enriched,active_fraction,0.10052490234375,0.05650841444730759,1.7789368629455566,1.7789368629455566,668,83
6,254,specialized_enriched,max,1.016357421875,0.5772088170051575,1.7608140707015991,1.7608140707015991,562,83
7,13595,specialized_enriched,max,1.667236328125,0.9469487071037292,1.7606406211853027,1.7606406211853027,569,83
8,10459,specialized_enriched,active_fraction,0.18572998046875,0.10903353989124298,1.703420639038086,1.703420639038086,340,83
9,1854,specialized_enriched,max,4.052734375,2.3830370903015137,1.7006593942642212,1.7006593942642212,289,83
10,6572,specialized_enriched,max,1.03955078125,0.6114855408668518,1.7000415325164795,1.7000415325164795,467,83
11,8720,specialized_enriched,active_fraction,0.38446044921875,0.23001256585121155,1.671475887298584,1.671475887298584,419,83
12,631,specialized_enriched,active_fraction,0.193634033203125,0.11614622920751572,1.6671572923660278,1.6671572923660278,739,83
13,5886,specialized_enriched,active_fraction,0.15966033935546875,0.09636775404214859,1.656781792640686,1.656781792640686,295,83
14,8336,specialized_enriched,active_fraction,0.1183624267578125,0.07153300940990448,1.654654622077942,1.654654622077942,684,83
15,204,specialized_enriched,mean,0.2105712890625,0.12972012162208557,1.6232739686965942,1.6232739686965942,399,83
16,6938,specialized_enriched,active_fraction,0.23736572265625,0.14738644659519196,1.6104990243911743,1.6104990243911743,442,83
17,8183,specialized_enriched,active_fraction,0.1413116455078125,0.08804305642843246,1.6050288677215576,1.6050288677215576,568,83
18,2108,specialized_enriched,mean,0.2956390380859375,0.18944039940834045,1.5605913400650024,1.5605913400650024,700,83
19,8594,specialized_enriched,active_fraction,0.1026611328125,0.06632823497056961,1.5477741956710815,1.5477741956710815,453,83
20,231,specialized_enriched,active_fraction,0.1078338623046875,0.07053517550230026,1.528795599937439,1.528795599937439,583,83
21,840,specialized_enriched,active_fraction,0.141143798828125,0.09244916588068008,1.5267179012298584,1.5267179012298584,413,83
22,12527,specialized_enriched,active_fraction,0.1354217529296875,0.0899849534034729,1.504937767982483,1.504937767982483,282,83
23,1797,specialized_enriched,active_fraction,0.0979766845703125,0.06512919813394547,1.5043435096740723,1.5043435096740723,790,83
24,9910,specialized_enriched,active_fraction,0.130035400390625,0.08654829114675522,1.5024605989456177,1.5024605989456177,666,83
25,11208,specialized_enriched,active_fraction,0.10065460205078125,0.06719792634248734,1.497882604598999,1.497882604598999,733,83
26,6865,specialized_enriched,active_fraction,0.1339111328125,0.08978991210460663,1.4913828372955322,1.4913828372955322,662,83
27,7392,specialized_enriched,mean,1.49066162109375,1.0114171504974365,1.4738346338272095,1.4738346338272095,313,83
28,11686,specialized_enriched,max,0.51025390625,0.34780353307724,1.4670751094818115,1.4670751094818115,488,83
29,1651,specialized_enriched,active_fraction,0.1332550048828125,0.09105060249567032,1.4635268449783325,1.4635268449783325,804,83
30,5242,specialized_enriched,max,1.47900390625,1.010959506034851,1.462970495223999,1.462970495223999,319,83
31,1375,specialized_enriched,max,1.365234375,0.9333542585372925,1.4627183675765991,1.4627183675765991,508,83
32,981,specialized_enriched,max,1.2880859375,0.8813304901123047,1.4615243673324585,1.4615243673324585,302,83
33,8358,specialized_enriched,max,0.977294921875,0.6688944101333618,1.4610600471496582,1.4610600471496582,211,83
34,13631,specialized_enriched,active_fraction,0.0889434814453125,0.06093468889594078,1.4596526622772217,1.4596526622772217,340,83
35,6354,specialized_enriched,max,1.19677734375,0.8213804960250854,1.4570316076278687,1.4570316076278687,153,83
36,4666,specialized_enriched,max,0.882568359375,0.6058703660964966,1.4566950798034668,1.4566950798034668,292,83
37,4603,specialized_enriched,max,4.3427734375,2.981419086456299,1.4566128253936768,1.4566128253936768,362,83
38,11551,specialized_enriched,max,1.158203125,0.7980258464813232,1.4513353109359741,1.4513353109359741,208,83
39,9757,specialized_enriched,max,0.894287109375,0.6167892813682556,1.4499070644378662,1.4499070644378662,432,83
40,11824,specialized_enriched,max,0.777587890625,0.5366263389587402,1.4490303993225098,1.4490303993225098,588,83
41,538,specialized_enriched,active_fraction,0.04079437255859375,0.028194047510623932,1.4469143152236938,1.4469143152236938,758,83
42,11839,specialized_enriched,active_fraction,0.0435333251953125,0.03010367415845394,1.4461133480072021,1.4461133480072021,621,83
43,1727,specialized_enriched,active_fraction,0.09357452392578125,0.06476210057735443,1.4448963403701782,1.4448963403701782,316,83
44,7657,specialized_enriched,active_fraction,0.09357452392578125,0.06476210057735443,1.4448963403701782,1.4448963403701782,173,83
45,13404,specialized_enriched,active_fraction,0.1871490478515625,0.12952420115470886,1.4448963403701782,1.4448963403701782,409,83
46,11572,specialized_enriched,active_fraction,0.03900146484375,0.027007725089788437,1.4440854787826538,1.4440854787826538,444,83
47,2608,specialized_enriched,active_fraction,0.090118408203125,0.06245162710547447,1.4430114030838013,1.4430114030838013,404,83
48,11784,specialized_enriched,mean,0.6424102783203125,0.44628068804740906,1.4394758939743042,1.4394758939743042,800,83
49,12753,specialized_enriched,active_fraction,0.0374908447265625,0.02607007510960102,1.4380797147750854,1.4380797147750854,489,83
50,7084,specialized_enriched,max,1.6868896484375,1.1736023426055908,1.4373605251312256,1.4373605251312256,445,83
51,4339,specialized_enriched,max,0.856201171875,0.5981083512306213,1.4315152168273926,1.4315152168273926,631,83
52,3049,specialized_enriched,active_fraction,0.09820556640625,0.06868938356637955,1.4297051429748535,1.4297051429748535,235,83
53,4350,specialized_enriched,active_fraction,0.09820556640625,0.06868938356637955,1.4297051429748535,1.4297051429748535,293,83
54,11365,specialized_enriched,active_fraction,0.09820556640625,0.06868938356637955,1.4297051429748535,1.4297051429748535,200,83
55,3680,specialized_enriched,active_fraction,0.071746826171875,0.05052569508552551,1.4200067520141602,1.4200067520141602,578,83
56,15244,specialized_enriched,active_fraction,0.041656494140625,0.029396798461675644,1.4170418977737427,1.4170418977737427,158,83
57,5270,specialized_enriched,active_fraction,0.27587890625,0.1948549747467041,1.4158165454864502,1.4158165454864502,407,83
58,11260,specialized_enriched,max,0.83837890625,0.5926085710525513,1.4147262573242188,1.4147262573242188,113,83
59,3060,specialized_enriched,mean,0.242919921875,0.1719839721918106,1.412456750869751,1.412456750869751,783,83
60,11142,specialized_enriched,active_fraction,0.104156494140625,0.07388801127672195,1.4096535444259644,1.4096535444259644,427,83
61,12573,specialized_enriched,mean,0.23492431640625,0.16728173196315765,1.4043632745742798,1.4043632745742798,726,83
62,8045,specialized_enriched,mean,0.155792236328125,0.11119347810745239,1.401091456413269,1.401091456413269,679,83
63,1469,specialized_enriched,active_fraction,0.17559814453125,0.12543553113937378,1.3999075889587402,1.3999075889587402,419,83
64,6422,specialized_enriched,mean,0.4090576171875,0.2924295961856842,1.3988242149353027,1.3988242149353027,433,83
65,866,specialized_enriched,mean,0.0696563720703125,0.04981125518679619,1.3984062671661377,1.3984062671661377,566,83
