rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,support,minimum_support
1,13147,specialized_enriched,mean,0.1261988878250122,0.02409149892628193,5.238316059112549,5.238316059112549,95,30
2,16161,specialized_enriched,mean,0.12684307992458344,0.026649294421076775,4.759716033935547,4.759716033935547,33,30
3,15471,specialized_enriched,active_fraction,0.004901815205812454,0.0010313234524801373,4.752936840057373,4.752936840057373,55,30
4,10570,specialized_enriched,mean,0.18817174434661865,0.04093734920024872,4.596578598022461,4.596578598022461,53,30
5,7353,specialized_enriched,mean,0.22767870128154755,0.05083424597978592,4.47884464263916,4.47884464263916,54,30
6,2825,specialized_enriched,mean,0.337862104177475,0.07720396667718887,4.376227378845215,4.376227378845215,92,30
7,11926,specialized_enriched,mean,0.23786447942256927,0.05511076748371124,4.3161163330078125,4.3161163330078125,37,30
8,1915,specialized_enriched,mean,0.20196335017681122,0.04743580147624016,4.2576141357421875,4.2576141357421875,41,30
9,14881,specialized_enriched,mean,0.1170971542596817,0.028156043961644173,4.1588640213012695,4.1588640213012695,226,30
10,3612,specialized_enriched,active_fraction,0.20369482040405273,0.05073397606611252,4.01495885848999,4.01495885848999,289,30
11,4484,specialized_enriched,mean,0.09230303019285202,0.02391059137880802,3.8603408336639404,3.8603408336639404,152,30
12,469,specialized_enriched,mean,0.12491114437580109,0.032733265310525894,3.816030740737915,3.816030740737915,147,30
13,2368,specialized_enriched,mean,0.1890210509300232,0.051152586936950684,3.695239305496216,3.695239305496216,207,30
14,1058,specialized_enriched,active_fraction,0.039872750639915466,0.010999895632266998,3.6248300075531006,3.6248300075531006,262,30
15,10065,specialized_enriched,mean,0.14099839329719543,0.03901195526123047,3.6142354011535645,3.6142354011535645,123,30
16,9811,specialized_enriched,mean,0.11487016081809998,0.03234349936246872,3.5515687465667725,3.5515687465667725,157,30
17,4426,specialized_enriched,mean,0.08027966320514679,0.022825883701443672,3.517045021057129,3.517045021057129,101,30
18,9109,specialized_enriched,active_fraction,0.014556324109435081,0.004183107987046242,3.4797868728637695,3.4797868728637695,62,30
19,8309,specialized_enriched,active_fraction,0.22589518129825592,0.06519302725791931,3.4650206565856934,3.4650206565856934,289,30
20,14822,specialized_enriched,active_fraction,0.005405767820775509,0.0015637131873518229,3.4570071697235107,3.4570071697235107,30,30
21,8247,specialized_enriched,active_fraction,0.011307898908853531,0.0033482592552900314,3.3772470951080322,3.3772470951080322,50,30
22,6880,specialized_enriched,active_fraction,0.03686777502298355,0.010935257188975811,3.3714592456817627,3.3714592456817627,255,30
23,1882,specialized_enriched,active_fraction,0.17062047123908997,0.050946060568094254,3.34904146194458,3.34904146194458,267,30
24,3721,specialized_enriched,mean,0.1883893758058548,0.05658417567610741,3.3293650150299072,3.3293650150299072,186,30
25,11766,specialized_enriched,mean,0.09815287590026855,0.029494306072592735,3.3278584480285645,3.3278584480285645,61,30
26,715,specialized_enriched,active_fraction,0.01191946305334568,0.003656474407762289,3.25982403755188,3.25982403755188,81,30
27,14711,specialized_enriched,mean,0.06974461674690247,0.021535851061344147,3.2385354042053223,3.2385354042053223,86,30
28,15457,specialized_enriched,active_fraction,0.03176920861005783,0.010094533674418926,3.147169589996338,3.147169589996338,253,30
29,4179,specialized_enriched,active_fraction,0.10915783047676086,0.03516971319913864,3.103745222091675,3.103745222091675,215,30
30,14981,specialized_enriched,active_fraction,0.006499290466308594,0.0021283654496073723,3.0536534786224365,3.0536534786224365,42,30
31,6918,specialized_enriched,mean,0.505039632320404,0.16636931896209717,3.035653591156006,3.035653591156006,284,30
32,15148,specialized_enriched,active_fraction,0.007701314520090818,0.002537636086344719,3.0348379611968994,3.0348379611968994,143,30
33,12790,specialized_enriched,mean,0.112725168466568,0.03722823038697243,3.0279486179351807,3.0279486179351807,90,30
34,2318,specialized_enriched,active_fraction,0.014035554602742195,0.004656496923416853,3.0141873359680176,3.0141873359680176,68,30
35,6128,specialized_enriched,max,2.191387176513672,0.7281644940376282,3.009467124938965,3.009467124938965,269,30
36,6403,specialized_enriched,active_fraction,0.10875420272350311,0.036290571093559265,2.9967620372772217,2.9967620372772217,248,30
37,7436,specialized_enriched,max,2.334475517272949,0.7798154354095459,2.9936256408691406,2.9936256408691406,125,30
38,3662,specialized_enriched,active_fraction,0.006401534657925367,0.0021793521009385586,2.93735671043396,2.93735671043396,62,30
39,11222,specialized_enriched,active_fraction,0.08100676536560059,0.027740124613046646,2.9202020168304443,2.9202020168304443,245,30
40,12173,specialized_enriched,active_fraction,0.13422748446464539,0.0460769422352314,2.913116216659546,2.913116216659546,271,30
41,8834,specialized_enriched,active_fraction,0.11939793825149536,0.04116174578666687,2.9007015228271484,2.9007015228271484,211,30
42,7958,specialized_enriched,max,3.577592611312866,1.2338722944259644,2.8994836807250977,2.8994836807250977,145,30
43,11604,specialized_enriched,max,1.9731924533843994,0.6876623630523682,2.8694205284118652,2.8694205284118652,119,30
44,6797,specialized_enriched,max,2.029010772705078,0.7071743607521057,2.86918044090271,2.86918044090271,149,30
45,11314,specialized_enriched,mean,0.09571325033903122,0.03344156593084335,2.8621044158935547,2.8621044158935547,157,30
46,145,specialized_enriched,active_fraction,0.012027682736515999,0.004214463755488396,2.8539059162139893,2.8539059162139893,53,30
47,13318,specialized_enriched,mean,0.04543808847665787,0.01593632996082306,2.851226568222046,2.851226568222046,54,30
48,11535,specialized_enriched,active_fraction,0.053241509944200516,0.018677694723010063,2.8505396842956543,2.8505396842956543,260,30
49,9686,specialized_enriched,max,3.112898588180542,1.1000919342041016,2.8296713829040527,2.8296713829040527,120,30
50,2857,specialized_enriched,max,2.327644109725952,0.8231347799301147,2.82778000831604,2.82778000831604,107,30
