rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,support,minimum_support
1,4837,base_enriched,mean,-1.222495675086975,0.19068841636180878,-6.410959243774414,6.410959243774414,64,30
2,2861,base_enriched,mean,-1.6110152006149292,0.2649691104888916,-6.080011367797852,6.080011367797852,42,30
3,12780,base_enriched,mean,-0.7009930610656738,0.12532560527324677,-5.593374729156494,5.593374729156494,31,30
4,4313,base_enriched,mean,-0.4877353608608246,0.09465359151363373,-5.152845859527588,5.152845859527588,119,30
5,10879,base_enriched,mean,-0.47097963094711304,0.09750829637050629,-4.830149173736572,4.830149173736572,127,30
6,10111,specialized_enriched,mean,0.16973865032196045,0.03570499271154404,4.7539191246032715,4.7539191246032715,32,30
7,8558,specialized_enriched,mean,0.5646601915359497,0.12043455988168716,4.688522815704346,4.688522815704346,32,30
8,71,base_enriched,mean,-0.28165295720100403,0.06102421134710312,-4.615429878234863,4.615429878234863,71,30
9,9579,specialized_enriched,mean,0.3713163137435913,0.08247944712638855,4.501925468444824,4.501925468444824,72,30
10,8545,specialized_enriched,mean,0.5249713659286499,0.11894973367452621,4.413388252258301,4.413388252258301,55,30
11,1881,base_enriched,mean,-0.5164989829063416,0.11748838424682617,-4.396170616149902,4.396170616149902,30,30
12,3574,base_enriched,mean,-0.883171021938324,0.20448075234889984,-4.319091320037842,4.319091320037842,118,30
13,1551,base_enriched,mean,-0.30416131019592285,0.0711681991815567,-4.273837566375732,4.273837566375732,130,30
14,16139,base_enriched,mean,-0.38951098918914795,0.09200996905565262,-4.233356475830078,4.233356475830078,34,30
15,9552,specialized_enriched,mean,0.07088548690080643,0.016788339242339134,4.222304821014404,4.222304821014404,37,30
16,10554,base_enriched,mean,-0.7369933128356934,0.17676828801631927,-4.169261932373047,4.169261932373047,149,30
17,14305,specialized_enriched,mean,0.25044605135917664,0.061723798513412476,4.057528018951416,4.057528018951416,52,30
18,12103,base_enriched,mean,-0.5124959945678711,0.12702536582946777,-4.034595489501953,4.034595489501953,170,30
19,7233,specialized_enriched,mean,0.47077301144599915,0.11772505939006805,3.9989192485809326,3.9989192485809326,68,30
20,8338,base_enriched,mean,-0.6817538142204285,0.17375902831554413,-3.9235591888427734,3.9235591888427734,149,30
21,12420,specialized_enriched,active_fraction,0.056817661970853806,0.014510366134345531,3.9156601428985596,3.9156601428985596,45,30
22,10734,specialized_enriched,mean,0.355623722076416,0.09349150210618973,3.8038079738616943,3.8038079738616943,42,30
23,3744,specialized_enriched,active_fraction,0.036946091800928116,0.009854132309556007,3.7492992877960205,3.7492992877960205,96,30
24,1438,base_enriched,mean,-0.045413315296173096,0.012204506434500217,-3.7210283279418945,3.7210283279418945,31,30
25,11625,base_enriched,mean,-0.2421433925628662,0.0651375949382782,-3.7174136638641357,3.7174136638641357,52,30
26,9811,specialized_enriched,mean,0.6880545616149902,0.18763236701488495,3.6670355796813965,3.6670355796813965,91,30
27,2318,specialized_enriched,active_fraction,0.0733160674571991,0.020117219537496567,3.6444432735443115,3.6444432735443115,48,30
28,9572,specialized_enriched,max,5.048072814941406,1.3921362161636353,3.626134157180786,3.626134157180786,30,30
29,5454,base_enriched,mean,-0.3929867148399353,0.10993088036775589,-3.574852705001831,3.574852705001831,114,30
30,10065,specialized_enriched,mean,0.6903651356697083,0.19330459833145142,3.571384906768799,3.571384906768799,88,30
31,2253,specialized_enriched,mean,0.48707401752471924,0.13642925024032593,3.5701582431793213,3.5701582431793213,141,30
32,2832,specialized_enriched,active_fraction,0.03656071424484253,0.010263433679938316,3.562230348587036,3.562230348587036,93,30
33,5979,base_enriched,mean,-0.27716079354286194,0.07812941074371338,-3.5474579334259033,3.5474579334259033,83,30
34,7507,base_enriched,mean,-0.49087491631507874,0.13871654868125916,-3.5386903285980225,3.5386903285980225,89,30
35,4484,specialized_enriched,mean,0.40190261602401733,0.11390432715415955,3.5284228324890137,3.5284228324890137,113,30
36,10968,base_enriched,active_fraction,-0.12291033565998077,0.03509022668004036,-3.5026943683624268,3.5026943683624268,266,30
37,9137,specialized_enriched,max,1.5047461986541748,0.4305036664009094,3.4953155517578125,3.4953155517578125,60,30
38,7737,base_enriched,mean,-0.23224517703056335,0.0666547492146492,-3.4843006134033203,3.4843006134033203,51,30
39,9396,specialized_enriched,max,4.6337666511535645,1.3434420824050903,3.4491748809814453,3.4491748809814453,44,30
40,1727,base_enriched,mean,-0.4463489353656769,0.12942424416542053,-3.4487273693084717,3.4487273693084717,103,30
41,6691,base_enriched,mean,-0.6097954511642456,0.1771533489227295,-3.4421896934509277,3.4421896934509277,77,30
42,13524,base_enriched,mean,-0.4925406575202942,0.14561539888381958,-3.382476568222046,3.382476568222046,78,30
43,5635,base_enriched,mean,-0.1427881121635437,0.04224323481321335,-3.380141496658325,3.380141496658325,204,30
44,9423,base_enriched,mean,-0.42335015535354614,0.12537099421024323,-3.376779079437256,3.376779079437256,34,30
45,469,specialized_enriched,mean,0.752169668674469,0.22300489246845245,3.3728842735290527,3.3728842735290527,124,30
46,4075,base_enriched,active_fraction,-0.07693654298782349,0.022837001830339432,-3.3689422607421875,3.3689422607421875,242,30
47,5751,base_enriched,mean,-0.22837765514850616,0.06789377331733704,-3.3637497425079346,3.3637497425079346,158,30
48,15423,base_enriched,mean,-0.2677491009235382,0.08015299588441849,-3.34047532081604,3.34047532081604,134,30
49,8369,specialized_enriched,mean,0.1342727243900299,0.04037097096443176,3.325972080230713,3.325972080230713,34,30
50,10113,specialized_enriched,mean,0.1483946293592453,0.044730205088853836,3.3175485134124756,3.3175485134124756,78,30
51,10460,specialized_enriched,mean,0.48721426725387573,0.1478859782218933,3.2945263385772705,3.2945263385772705,69,30
52,3272,base_enriched,mean,-0.25748738646507263,0.07823402434587479,-3.291245460510254,3.291245460510254,148,30
53,6537,specialized_enriched,max,1.8023078441619873,0.5489733815193176,3.2830514907836914,3.2830514907836914,82,30
54,15975,base_enriched,mean,-0.2745962142944336,0.08419447392225266,-3.2614517211914062,3.2614517211914062,123,30
55,145,specialized_enriched,active_fraction,0.06892579048871994,0.02136729657649994,3.2257609367370605,3.2257609367370605,30,30
56,942,base_enriched,mean,-0.35858285427093506,0.11247394233942032,-3.1881415843963623,3.1881415843963623,236,30
57,3442,base_enriched,active_fraction,-0.04317750781774521,0.013545110821723938,-3.1876821517944336,3.1876821517944336,127,30
58,18,base_enriched,mean,-0.5506246089935303,0.1727495938539505,-3.1874148845672607,3.1874148845672607,121,30
59,7362,specialized_enriched,active_fraction,0.05473559722304344,0.017279233783483505,3.1677098274230957,3.1677098274230957,135,30
60,386,base_enriched,active_fraction,-0.0444999635219574,0.014128047041594982,-3.1497604846954346,3.1497604846954346,99,30
61,15533,base_enriched,mean,-0.2635705769062042,0.08374621719121933,-3.1472535133361816,3.1472535133361816,262,30
62,2254,base_enriched,active_fraction,-0.055076614022254944,0.017551470547914505,-3.1380057334899902,3.1380057334899902,123,30
63,3631,specialized_enriched,mean,0.12130972743034363,0.03896147385239601,3.113581657409668,3.113581657409668,120,30
64,12911,base_enriched,active_fraction,-0.026613885536789894,0.00855248887091875,-3.1118292808532715,3.1118292808532715,103,30
65,7164,base_enriched,active_fraction,-0.026931138709187508,0.008806119672954082,-3.058229923248291,3.058229923248291,82,30
66,4950,base_enriched,mean,-0.3890705108642578,0.12737835943698883,-3.0544474124908447,3.0544474124908447,137,30
67,11864,specialized_enriched,active_fraction,0.03793825954198837,0.012482144869863987,3.0394022464752197,3.0394022464752197,138,30
68,13834,base_enriched,mean,-0.1932937502861023,0.0638127475976944,-3.0290772914886475,3.0290772914886475,75,30
69,2825,specialized_enriched,mean,1.2260050773620605,0.4049309492111206,3.027689218521118,3.027689218521118,66,30
70,11318,specialized_enriched,max,2.360318660736084,0.7797791957855225,3.0269064903259277,3.0269064903259277,135,30
71,15839,specialized_enriched,mean,0.24980179965496063,0.08260452002286911,3.024069309234619,3.024069309234619,89,30
72,610,base_enriched,mean,-0.2816905975341797,0.09376692771911621,-3.004157304763794,3.004157304763794,136,30
73,14711,specialized_enriched,mean,0.4636286199092865,0.15464037656784058,2.998108386993408,2.998108386993408,33,30
