rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,support,minimum_support
1,4837,base_enriched,mean,-1.222495675086975,0.19068841636180878,-6.410959243774414,6.410959243774414,64,30
2,2861,base_enriched,mean,-1.6110152006149292,0.2649691104888916,-6.080011367797852,6.080011367797852,42,30
3,12780,base_enriched,mean,-0.7009930610656738,0.12532560527324677,-5.593374729156494,5.593374729156494,31,30
4,4313,base_enriched,mean,-0.4877353608608246,0.09465359151363373,-5.152845859527588,5.152845859527588,119,30
5,10879,base_enriched,mean,-0.47097963094711304,0.09750829637050629,-4.830149173736572,4.830149173736572,127,30
6,71,base_enriched,mean,-0.28165295720100403,0.06102421134710312,-4.615429878234863,4.615429878234863,71,30
7,1881,base_enriched,mean,-0.5164989829063416,0.11748838424682617,-4.396170616149902,4.396170616149902,30,30
8,3574,base_enriched,mean,-0.883171021938324,0.20448075234889984,-4.319091320037842,4.319091320037842,118,30
9,1551,base_enriched,mean,-0.30416131019592285,0.0711681991815567,-4.273837566375732,4.273837566375732,130,30
10,16139,base_enriched,mean,-0.38951098918914795,0.09200996905565262,-4.233356475830078,4.233356475830078,34,30
11,10554,base_enriched,mean,-0.7369933128356934,0.17676828801631927,-4.169261932373047,4.169261932373047,149,30
12,12103,base_enriched,mean,-0.5124959945678711,0.12702536582946777,-4.034595489501953,4.034595489501953,170,30
13,8338,base_enriched,mean,-0.6817538142204285,0.17375902831554413,-3.9235591888427734,3.9235591888427734,149,30
14,1438,base_enriched,mean,-0.045413315296173096,0.012204506434500217,-3.7210283279418945,3.7210283279418945,31,30
15,11625,base_enriched,mean,-0.2421433925628662,0.0651375949382782,-3.7174136638641357,3.7174136638641357,52,30
16,5454,base_enriched,mean,-0.3929867148399353,0.10993088036775589,-3.574852705001831,3.574852705001831,114,30
17,5979,base_enriched,mean,-0.27716079354286194,0.07812941074371338,-3.5474579334259033,3.5474579334259033,83,30
18,7507,base_enriched,mean,-0.49087491631507874,0.13871654868125916,-3.5386903285980225,3.5386903285980225,89,30
19,10968,base_enriched,active_fraction,-0.12291033565998077,0.03509022668004036,-3.5026943683624268,3.5026943683624268,266,30
20,7737,base_enriched,mean,-0.23224517703056335,0.0666547492146492,-3.4843006134033203,3.4843006134033203,51,30
21,1727,base_enriched,mean,-0.4463489353656769,0.12942424416542053,-3.4487273693084717,3.4487273693084717,103,30
22,6691,base_enriched,mean,-0.6097954511642456,0.1771533489227295,-3.4421896934509277,3.4421896934509277,77,30
23,13524,base_enriched,mean,-0.4925406575202942,0.14561539888381958,-3.382476568222046,3.382476568222046,78,30
24,5635,base_enriched,mean,-0.1427881121635437,0.04224323481321335,-3.380141496658325,3.380141496658325,204,30
25,9423,base_enriched,mean,-0.42335015535354614,0.12537099421024323,-3.376779079437256,3.376779079437256,34,30
26,4075,base_enriched,active_fraction,-0.07693654298782349,0.022837001830339432,-3.3689422607421875,3.3689422607421875,242,30
27,5751,base_enriched,mean,-0.22837765514850616,0.06789377331733704,-3.3637497425079346,3.3637497425079346,158,30
28,15423,base_enriched,mean,-0.2677491009235382,0.08015299588441849,-3.34047532081604,3.34047532081604,134,30
29,3272,base_enriched,mean,-0.25748738646507263,0.07823402434587479,-3.291245460510254,3.291245460510254,148,30
30,15975,base_enriched,mean,-0.2745962142944336,0.08419447392225266,-3.2614517211914062,3.2614517211914062,123,30
31,942,base_enriched,mean,-0.35858285427093506,0.11247394233942032,-3.1881415843963623,3.1881415843963623,236,30
32,3442,base_enriched,active_fraction,-0.04317750781774521,0.013545110821723938,-3.1876821517944336,3.1876821517944336,127,30
33,18,base_enriched,mean,-0.5506246089935303,0.1727495938539505,-3.1874148845672607,3.1874148845672607,121,30
34,386,base_enriched,active_fraction,-0.0444999635219574,0.014128047041594982,-3.1497604846954346,3.1497604846954346,99,30
35,15533,base_enriched,mean,-0.2635705769062042,0.08374621719121933,-3.1472535133361816,3.1472535133361816,262,30
36,2254,base_enriched,active_fraction,-0.055076614022254944,0.017551470547914505,-3.1380057334899902,3.1380057334899902,123,30
37,12911,base_enriched,active_fraction,-0.026613885536789894,0.00855248887091875,-3.1118292808532715,3.1118292808532715,103,30
38,7164,base_enriched,active_fraction,-0.026931138709187508,0.008806119672954082,-3.058229923248291,3.058229923248291,82,30
39,4950,base_enriched,mean,-0.3890705108642578,0.12737835943698883,-3.0544474124908447,3.0544474124908447,137,30
40,13834,base_enriched,mean,-0.1932937502861023,0.0638127475976944,-3.0290772914886475,3.0290772914886475,75,30
41,610,base_enriched,mean,-0.2816905975341797,0.09376692771911621,-3.004157304763794,3.004157304763794,136,30
42,2228,base_enriched,mean,-0.9075556397438049,0.3027164936065674,-2.9980382919311523,2.9980382919311523,249,30
43,4192,base_enriched,active_fraction,-0.03112158365547657,0.010418825782835484,-2.9870529174804688,2.9870529174804688,100,30
44,4729,base_enriched,active_fraction,-0.042050573974847794,0.014183209277689457,-2.964813709259033,2.964813709259033,139,30
45,5336,base_enriched,active_fraction,-0.06679515540599823,0.022785216569900513,-2.9315128326416016,2.9315128326416016,232,30
46,5642,base_enriched,active_fraction,-0.21841926872730255,0.07469859719276428,-2.9240076541900635,2.9240076541900635,291,30
47,1241,base_enriched,active_fraction,-0.039560165256261826,0.013562978245317936,-2.916775703430176,2.916775703430176,249,30
48,13354,base_enriched,mean,-0.14803573489189148,0.05080784484744072,-2.9136393070220947,2.9136393070220947,135,30
49,11597,base_enriched,active_fraction,-0.019819054752588272,0.006879628635942936,-2.8808319568634033,2.8808319568634033,64,30
50,7097,base_enriched,mean,-0.8878068327903748,0.30865398049354553,-2.876382350921631,2.876382350921631,270,30
51,1639,base_enriched,mean,-0.3395042419433594,0.1180465966463089,-2.87601900100708,2.87601900100708,152,30
52,11558,base_enriched,active_fraction,-0.04481135308742523,0.015625163912773132,-2.867896556854248,2.867896556854248,142,30
53,2999,base_enriched,mean,-0.17044596374034882,0.0594480000436306,-2.8671438694000244,2.8671438694000244,41,30
54,5120,base_enriched,active_fraction,-0.04121668264269829,0.014483972452580929,-2.845675230026245,2.845675230026245,267,30
55,1502,base_enriched,active_fraction,-0.14890944957733154,0.05280744656920433,-2.819857120513916,2.819857120513916,278,30
56,4293,base_enriched,mean,-0.17969253659248352,0.0638919323682785,-2.8124449253082275,2.8124449253082275,124,30
57,4269,base_enriched,mean,-0.22690843045711517,0.08107724785804749,-2.7986695766448975,2.7986695766448975,40,30
58,2167,base_enriched,mean,-0.19250279664993286,0.06892004609107971,-2.7931320667266846,2.7931320667266846,97,30
59,3044,base_enriched,active_fraction,-0.040119718760252,0.014383485540747643,-2.789290428161621,2.789290428161621,144,30
60,6939,base_enriched,mean,-0.24803906679153442,0.08952411264181137,-2.770639657974243,2.770639657974243,65,30
61,8611,base_enriched,mean,-0.16632336378097534,0.06024235486984253,-2.76090407371521,2.76090407371521,38,30
62,2587,base_enriched,mean,-0.11223144084215164,0.04091358557343483,-2.743133783340454,2.743133783340454,41,30
63,5862,base_enriched,mean,-0.5397986769676208,0.19865849614143372,-2.717219114303589,2.717219114303589,111,30
64,15097,base_enriched,mean,-0.04524742439389229,0.016685301437973976,-2.711813449859619,2.711813449859619,35,30
65,14359,base_enriched,active_fraction,-0.062442880123853683,0.023076197132468224,-2.7059433460235596,2.7059433460235596,257,30
66,13148,base_enriched,mean,-0.3571013808250427,0.13264347612857819,-2.6921894550323486,2.6921894550323486,71,30
67,4863,base_enriched,active_fraction,-0.1081419289112091,0.04035898298025131,-2.6795008182525635,2.6795008182525635,266,30
68,3893,base_enriched,mean,-0.24215005338191986,0.09054617583751678,-2.6743266582489014,2.6743266582489014,155,30
69,14874,base_enriched,mean,-0.2620270550251007,0.09831985831260681,-2.6650471687316895,2.6650471687316895,78,30
70,6329,base_enriched,mean,-0.5000754594802856,0.18874463438987732,-2.649481773376465,2.649481773376465,233,30
71,14728,base_enriched,mean,-0.3865487575531006,0.1463909149169922,-2.64052414894104,2.64052414894104,76,30
72,5463,base_enriched,active_fraction,-0.05129796639084816,0.01952512189745903,-2.6272802352905273,2.6272802352905273,218,30
