rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,support,minimum_support
1,8138,base_enriched,max,-6.080944061279297,0.462626188993454,-13.144400596618652,13.144400596618652,314,32
2,3612,specialized_enriched,active_fraction,0.2846105098724365,0.022256117314100266,12.787967681884766,12.787967681884766,310,32
3,12253,base_enriched,max,-15.205222129821777,1.194159746170044,-12.732988357543945,12.732988357543945,312,32
4,1840,base_enriched,mean,-0.1980595737695694,0.015790751203894615,-12.542757987976074,12.542757987976074,314,32
5,11227,base_enriched,max,-5.7452850341796875,0.4794183373451233,-11.983865737915039,11.983865737915039,307,32
6,14765,base_enriched,max,-3.3987948894500732,0.28675583004951477,-11.852574348449707,11.852574348449707,311,32
7,4148,base_enriched,active_fraction,-0.05570993572473526,0.004744952544569969,-11.740883827209473,11.740883827209473,314,32
8,2286,base_enriched,max,-4.928633689880371,0.4209926128387451,-11.707173347473145,11.707173347473145,314,32
9,12573,base_enriched,active_fraction,-0.045733001083135605,0.0039161150343716145,-11.678155899047852,11.678155899047852,314,32
10,12643,base_enriched,max,-8.074888229370117,0.6914656758308411,-11.67793083190918,11.67793083190918,308,32
11,283,base_enriched,active_fraction,-0.043956730514764786,0.003810981521382928,-11.534228324890137,11.534228324890137,310,32
12,12030,base_enriched,max,-8.969592094421387,0.7874814867973328,-11.390226364135742,11.390226364135742,303,32
13,6232,base_enriched,max,-7.6169023513793945,0.6691884994506836,-11.38229751586914,11.38229751586914,300,32
14,1058,specialized_enriched,active_fraction,0.043058186769485474,0.003788171336054802,11.366483688354492,11.366483688354492,281,32
15,8053,base_enriched,max,-7.0835466384887695,0.6277700066566467,-11.283665657043457,11.283665657043457,305,32
16,4581,base_enriched,active_fraction,-0.03768131136894226,0.0033652111887931824,-11.197309494018555,11.197309494018555,314,32
17,6868,base_enriched,max,-8.051262855529785,0.7222694158554077,-11.147173881530762,11.147173881530762,304,32
18,2211,base_enriched,max,-11.10512638092041,0.9962702989578247,-11.146699905395508,11.146699905395508,308,32
19,7167,base_enriched,max,-3.623600482940674,0.3253665566444397,-11.136979103088379,11.136979103088379,307,32
20,4342,base_enriched,max,-6.417332649230957,0.5766336917877197,-11.128958702087402,11.128958702087402,294,32
21,11686,base_enriched,max,-5.558650970458984,0.503999650478363,-11.02907657623291,11.02907657623291,310,32
22,10187,base_enriched,max,-2.7927372455596924,0.2537299394607544,-11.006731033325195,11.006731033325195,304,32
23,10964,base_enriched,max,-6.240418910980225,0.5712717175483704,-10.923731803894043,10.923731803894043,290,32
24,11596,base_enriched,active_fraction,-0.130824014544487,0.012059335596859455,-10.848360061645508,10.848360061645508,301,32
25,1420,base_enriched,max,-4.922276020050049,0.45867910981178284,-10.731415748596191,10.731415748596191,312,32
26,2310,base_enriched,active_fraction,-0.027198201045393944,0.0025383098982274532,-10.715083122253418,10.715083122253418,313,32
27,3664,base_enriched,max,-4.317677974700928,0.402995765209198,-10.713953971862793,10.713953971862793,307,32
28,10441,base_enriched,max,-5.229992389678955,0.48908349871635437,-10.69345474243164,10.69345474243164,307,32
29,13746,base_enriched,max,-2.94026517868042,0.27568450570106506,-10.665326118469238,10.665326118469238,314,32
30,9353,base_enriched,max,-2.6295573711395264,0.24851831793785095,-10.580940246582031,10.580940246582031,312,32
31,10922,base_enriched,max,-6.181046009063721,0.5852314233779907,-10.561712265014648,10.561712265014648,294,32
32,8183,base_enriched,max,-2.5965371131896973,0.2461334764957428,-10.549304962158203,10.549304962158203,314,32
33,14454,base_enriched,max,-3.6417038440704346,0.345432847738266,-10.542436599731445,10.542436599731445,304,32
34,4805,base_enriched,max,-9.253154754638672,0.8810186386108398,-10.502791404724121,10.502791404724121,308,32
35,9784,base_enriched,max,-5.964831829071045,0.5695611238479614,-10.472681045532227,10.472681045532227,309,32
36,10968,base_enriched,max,-5.440349102020264,0.5195629000663757,-10.4710111618042,10.4710111618042,314,32
37,785,base_enriched,active_fraction,-0.11223778128623962,0.010720130056142807,-10.469815254211426,10.469815254211426,313,32
38,4534,base_enriched,max,-3.838449478149414,0.3680497109889984,-10.429160118103027,10.429160118103027,314,32
39,2099,base_enriched,max,-5.144561290740967,0.4962479770183563,-10.36691665649414,10.36691665649414,314,32
40,3774,base_enriched,max,-4.8216328620910645,0.46519264578819275,-10.364809036254883,10.364809036254883,313,32
41,14854,base_enriched,max,-7.15252161026001,0.6907802820205688,-10.354264259338379,10.354264259338379,312,32
42,955,base_enriched,max,-4.226579189300537,0.4089973568916321,-10.334001541137695,10.334001541137695,304,32
43,13519,base_enriched,max,-3.464442729949951,0.3356885612010956,-10.32040786743164,10.32040786743164,296,32
44,2374,base_enriched,max,-4.649994850158691,0.4509146809577942,-10.312360763549805,10.312360763549805,314,32
45,10127,base_enriched,max,-5.349518775939941,0.5211554765701294,-10.264727592468262,10.264727592468262,298,32
46,3181,base_enriched,max,-3.5520565509796143,0.34638094902038574,-10.254768371582031,10.254768371582031,311,32
47,5044,base_enriched,mean,-0.11915609240531921,0.011653874069452286,-10.224590301513672,10.224590301513672,310,32
48,8309,specialized_enriched,active_fraction,0.21574145555496216,0.021147599443793297,10.201699256896973,10.201699256896973,310,32
49,759,base_enriched,max,-4.268793106079102,0.4190816879272461,-10.186064720153809,10.186064720153809,310,32
50,7126,base_enriched,max,-3.5653324127197266,0.35117876529693604,-10.152471542358398,10.152471542358398,314,32
51,15922,base_enriched,max,-4.903348922729492,0.4842292070388794,-10.126091003417969,10.126091003417969,308,32
52,8244,base_enriched,max,-4.346899509429932,0.42989540100097656,-10.111528396606445,10.111528396606445,314,32
53,13457,base_enriched,max,-2.698636531829834,0.2672726809978485,-10.096940994262695,10.096940994262695,305,32
54,742,base_enriched,max,-4.4954376220703125,0.4454716742038727,-10.091410636901855,10.091410636901855,271,32
55,13934,base_enriched,active_fraction,-0.13475781679153442,0.013358174823224545,-10.088041305541992,10.088041305541992,314,32
56,9419,base_enriched,max,-4.536688327789307,0.44976919889450073,-10.086703300476074,10.086703300476074,306,32
57,8944,base_enriched,max,-4.485416889190674,0.4455224871635437,-10.067768096923828,10.067768096923828,314,32
58,4561,base_enriched,max,-4.397571563720703,0.43679967522621155,-10.067708015441895,10.067708015441895,309,32
59,15627,base_enriched,active_fraction,-0.05253197252750397,0.00522746704518795,-10.04922103881836,10.04922103881836,313,32
60,9578,base_enriched,max,-2.7669036388397217,0.27591925859451294,-10.027946472167969,10.027946472167969,314,32
61,15533,base_enriched,max,-1.946641445159912,0.1946909874677658,-9.998620986938477,9.998620986938477,314,32
62,386,base_enriched,max,-6.559301853179932,0.6592521071434021,-9.949610710144043,9.949610710144043,308,32
63,1882,specialized_enriched,active_fraction,0.16144298017024994,0.01625790260732174,9.930123329162598,9.930123329162598,284,32
64,6918,specialized_enriched,active_fraction,0.1399175375699997,0.014103194698691368,9.920981407165527,9.920981407165527,305,32
65,4173,base_enriched,max,-3.4159955978393555,0.34454336762428284,-9.914559364318848,9.914559364318848,302,32
66,12495,base_enriched,active_fraction,-0.03521743044257164,0.003554343478754163,-9.908280372619629,9.908280372619629,310,32
67,16170,base_enriched,max,-4.582378387451172,0.46506989002227783,-9.853096008300781,9.853096008300781,302,32
68,324,base_enriched,max,-3.7148923873901367,0.3772094249725342,-9.848355293273926,9.848355293273926,309,32
69,11533,base_enriched,max,-2.7984254360198975,0.28472527861595154,-9.828510284423828,9.828510284423828,306,32
70,1083,base_enriched,max,-4.328314781188965,0.44044071435928345,-9.82723617553711,9.82723617553711,306,32
71,6329,base_enriched,max,-3.685098886489868,0.3758297264575958,-9.805234909057617,9.805234909057617,313,32
72,43,base_enriched,max,-5.041903018951416,0.5151436924934387,-9.787372589111328,9.787372589111328,300,32
73,9686,specialized_enriched,max,3.122664213180542,0.3196529746055603,9.768919944763184,9.768919944763184,122,32
74,5244,base_enriched,max,-3.93987774848938,0.403944730758667,-9.753506660461426,9.753506660461426,311,32
75,11191,base_enriched,max,-4.331487655639648,0.4443841278553009,-9.747170448303223,9.747170448303223,300,32
76,4150,base_enriched,max,-7.668103218078613,0.7885822057723999,-9.72391128540039,9.72391128540039,308,32
77,7753,base_enriched,max,-4.270727634429932,0.4392147958278656,-9.723551750183105,9.723551750183105,304,32
78,970,base_enriched,max,-3.1805315017700195,0.3273511528968811,-9.715962409973145,9.715962409973145,312,32
79,15890,base_enriched,max,-3.1965222358703613,0.32950663566589355,-9.700934410095215,9.700934410095215,311,32
80,13404,base_enriched,max,-2.7744626998901367,0.2860071659088135,-9.700675010681152,9.700675010681152,314,32
81,6210,base_enriched,max,-5.514777660369873,0.5710259675979614,-9.657665252685547,9.657665252685547,300,32
82,3574,base_enriched,max,-3.47477388381958,0.3599647879600525,-9.653094291687012,9.653094291687012,313,32
83,10079,base_enriched,max,-3.2749292850494385,0.3394334316253662,-9.648222923278809,9.648222923278809,296,32
84,2953,base_enriched,max,-3.8718488216400146,0.40175315737724304,-9.637382507324219,9.637382507324219,309,32
85,12669,base_enriched,max,-6.898056507110596,0.7186376452445984,-9.598796844482422,9.598796844482422,304,32
86,14101,base_enriched,max,-3.4648118019104004,0.36097779870033264,-9.598406791687012,9.598406791687012,303,32
87,990,base_enriched,max,-2.874889373779297,0.2996601462364197,-9.593832969665527,9.593832969665527,314,32
88,16060,base_enriched,max,-4.960939407348633,0.5172557830810547,-9.590882301330566,9.590882301330566,312,32
89,12044,base_enriched,max,-2.6973865032196045,0.28140789270401,-9.585326194763184,9.585326194763184,313,32
90,3770,base_enriched,max,-3.7259583473205566,0.3888276517391205,-9.582544326782227,9.582544326782227,313,32
91,1385,base_enriched,max,-3.1774003505706787,0.3319301903247833,-9.572495460510254,9.572495460510254,314,32
92,7384,specialized_enriched,max,3.770848512649536,0.3947601318359375,9.552252769470215,9.552252769470215,239,32
93,489,base_enriched,max,-2.7382073402404785,0.2868357002735138,-9.546257019042969,9.546257019042969,308,32
94,12500,base_enriched,max,-2.736109972000122,0.28740036487579346,-9.520203590393066,9.520203590393066,312,32
95,16058,base_enriched,max,-4.0307111740112305,0.42364081740379333,-9.514453887939453,9.514453887939453,303,32
96,1625,base_enriched,max,-2.8010194301605225,0.29468491673469543,-9.505133628845215,9.505133628845215,269,32
97,3078,base_enriched,max,-5.005520343780518,0.5267579555511475,-9.5025053024292,9.5025053024292,314,32
98,11604,specialized_enriched,max,1.7542301416397095,0.18481400609016418,9.491868019104004,9.491868019104004,123,32
99,15432,base_enriched,max,-2.3792200088500977,0.25070348381996155,-9.490175247192383,9.490175247192383,285,32
100,615,base_enriched,active_fraction,-0.03102640062570572,0.0032698053400963545,-9.488760948181152,9.488760948181152,312,32
101,16353,base_enriched,max,-4.7922539710998535,0.5052610039710999,-9.484709739685059,9.484709739685059,310,32
102,4603,base_enriched,max,-4.9962077140808105,0.5268913507461548,-9.48242473602295,9.48242473602295,304,32
103,15151,base_enriched,max,-6.8676958084106445,0.7256097793579102,-9.464723587036133,9.464723587036133,252,32
104,13711,base_enriched,max,-3.052135467529297,0.3250542879104614,-9.389617919921875,9.389617919921875,291,32
105,7958,specialized_enriched,max,3.5352182388305664,0.3777918219566345,9.357583045959473,9.357583045959473,149,32
106,4021,base_enriched,max,-4.920895099639893,0.5267483592033386,-9.342022895812988,9.342022895812988,306,32
107,4075,base_enriched,max,-2.778343915939331,0.29740315675735474,-9.342012405395508,9.342012405395508,312,32
108,6403,specialized_enriched,active_fraction,0.11670569330453873,0.012590647675096989,9.26923656463623,9.26923656463623,262,32
109,8336,base_enriched,max,-3.1304633617401123,0.3379899561405182,-9.262001037597656,9.262001037597656,314,32
110,3255,base_enriched,max,-3.004981756210327,0.32511311769485474,-9.242880821228027,9.242880821228027,311,32
111,2924,base_enriched,max,-4.259604454040527,0.46345603466033936,-9.190957069396973,9.190957069396973,304,32
112,935,specialized_enriched,active_fraction,0.06782013922929764,0.007404285948723555,9.159578323364258,9.159578323364258,269,32
113,11535,specialized_enriched,active_fraction,0.05185030773282051,0.005673415958881378,9.139168739318848,9.139168739318848,276,32
114,10726,base_enriched,max,-4.861205577850342,0.5334786176681519,-9.11227798461914,9.11227798461914,255,32
115,3233,base_enriched,max,-2.713313579559326,0.29829272627830505,-9.09614372253418,9.09614372253418,311,32
116,12271,base_enriched,max,-2.695342779159546,0.29644033312797546,-9.092361450195312,9.092361450195312,314,32
117,2916,base_enriched,max,-3.312587261199951,0.3653374910354614,-9.067197799682617,9.067197799682617,314,32
118,2742,base_enriched,max,-3.5733211040496826,0.39424195885658264,-9.063776969909668,9.063776969909668,312,32
119,12491,base_enriched,max,-4.8858561515808105,0.539794921875,-9.051319122314453,9.051319122314453,293,32
120,2857,specialized_enriched,max,2.244169235229492,0.24839845299720764,9.034553527832031,9.034553527832031,108,32
121,11233,specialized_enriched,max,5.1275410652160645,0.5677361488342285,9.031556129455566,9.031556129455566,230,32
122,7175,base_enriched,max,-2.0023624897003174,0.22195658087730408,-9.021415710449219,9.021415710449219,313,32
123,16018,base_enriched,max,-3.398789882659912,0.3769208788871765,-9.017250061035156,9.017250061035156,306,32
124,7453,base_enriched,max,-3.2325727939605713,0.3592568635940552,-8.997942924499512,8.997942924499512,307,32
125,8753,base_enriched,max,-3.3634390830993652,0.3740696907043457,-8.991477012634277,8.991477012634277,312,32
126,11426,base_enriched,max,-2.258317470550537,0.25173264741897583,-8.971095085144043,8.971095085144043,285,32
127,4660,base_enriched,active_fraction,-0.023661820217967033,0.0026405807584524155,-8.96083927154541,8.96083927154541,308,32
128,3782,specialized_enriched,max,2.122634172439575,0.2372279316186905,8.947656631469727,8.947656631469727,121,32
129,1472,base_enriched,max,-3.0333642959594727,0.3396500051021576,-8.930852890014648,8.930852890014648,311,32
130,7354,base_enriched,max,-3.613969087600708,0.40549492835998535,-8.91248893737793,8.91248893737793,310,32
131,845,specialized_enriched,max,2.0749738216400146,0.23317043483257294,8.898957252502441,8.898957252502441,89,32
