rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,support,minimum_support
1,8138,base_enriched,max,-6.080944061279297,0.462626188993454,-13.144400596618652,13.144400596618652,314,32
2,12253,base_enriched,max,-15.205222129821777,1.194159746170044,-12.732988357543945,12.732988357543945,312,32
3,1840,base_enriched,mean,-0.1980595737695694,0.015790751203894615,-12.542757987976074,12.542757987976074,314,32
4,11227,base_enriched,max,-5.7452850341796875,0.4794183373451233,-11.983865737915039,11.983865737915039,307,32
5,14765,base_enriched,max,-3.3987948894500732,0.28675583004951477,-11.852574348449707,11.852574348449707,311,32
6,4148,base_enriched,active_fraction,-0.05570993572473526,0.004744952544569969,-11.740883827209473,11.740883827209473,314,32
7,2286,base_enriched,max,-4.928633689880371,0.4209926128387451,-11.707173347473145,11.707173347473145,314,32
8,12573,base_enriched,active_fraction,-0.045733001083135605,0.0039161150343716145,-11.678155899047852,11.678155899047852,314,32
9,12643,base_enriched,max,-8.074888229370117,0.6914656758308411,-11.67793083190918,11.67793083190918,308,32
10,283,base_enriched,active_fraction,-0.043956730514764786,0.003810981521382928,-11.534228324890137,11.534228324890137,310,32
11,12030,base_enriched,max,-8.969592094421387,0.7874814867973328,-11.390226364135742,11.390226364135742,303,32
12,6232,base_enriched,max,-7.6169023513793945,0.6691884994506836,-11.38229751586914,11.38229751586914,300,32
13,8053,base_enriched,max,-7.0835466384887695,0.6277700066566467,-11.283665657043457,11.283665657043457,305,32
14,4581,base_enriched,active_fraction,-0.03768131136894226,0.0033652111887931824,-11.197309494018555,11.197309494018555,314,32
15,6868,base_enriched,max,-8.051262855529785,0.7222694158554077,-11.147173881530762,11.147173881530762,304,32
16,2211,base_enriched,max,-11.10512638092041,0.9962702989578247,-11.146699905395508,11.146699905395508,308,32
17,7167,base_enriched,max,-3.623600482940674,0.3253665566444397,-11.136979103088379,11.136979103088379,307,32
18,4342,base_enriched,max,-6.417332649230957,0.5766336917877197,-11.128958702087402,11.128958702087402,294,32
19,11686,base_enriched,max,-5.558650970458984,0.503999650478363,-11.02907657623291,11.02907657623291,310,32
20,10187,base_enriched,max,-2.7927372455596924,0.2537299394607544,-11.006731033325195,11.006731033325195,304,32
21,10964,base_enriched,max,-6.240418910980225,0.5712717175483704,-10.923731803894043,10.923731803894043,290,32
22,11596,base_enriched,active_fraction,-0.130824014544487,0.012059335596859455,-10.848360061645508,10.848360061645508,301,32
23,1420,base_enriched,max,-4.922276020050049,0.45867910981178284,-10.731415748596191,10.731415748596191,312,32
24,2310,base_enriched,active_fraction,-0.027198201045393944,0.0025383098982274532,-10.715083122253418,10.715083122253418,313,32
25,3664,base_enriched,max,-4.317677974700928,0.402995765209198,-10.713953971862793,10.713953971862793,307,32
26,10441,base_enriched,max,-5.229992389678955,0.48908349871635437,-10.69345474243164,10.69345474243164,307,32
27,13746,base_enriched,max,-2.94026517868042,0.27568450570106506,-10.665326118469238,10.665326118469238,314,32
28,9353,base_enriched,max,-2.6295573711395264,0.24851831793785095,-10.580940246582031,10.580940246582031,312,32
29,10922,base_enriched,max,-6.181046009063721,0.5852314233779907,-10.561712265014648,10.561712265014648,294,32
30,8183,base_enriched,max,-2.5965371131896973,0.2461334764957428,-10.549304962158203,10.549304962158203,314,32
31,14454,base_enriched,max,-3.6417038440704346,0.345432847738266,-10.542436599731445,10.542436599731445,304,32
32,4805,base_enriched,max,-9.253154754638672,0.8810186386108398,-10.502791404724121,10.502791404724121,308,32
33,9784,base_enriched,max,-5.964831829071045,0.5695611238479614,-10.472681045532227,10.472681045532227,309,32
34,10968,base_enriched,max,-5.440349102020264,0.5195629000663757,-10.4710111618042,10.4710111618042,314,32
35,785,base_enriched,active_fraction,-0.11223778128623962,0.010720130056142807,-10.469815254211426,10.469815254211426,313,32
36,4534,base_enriched,max,-3.838449478149414,0.3680497109889984,-10.429160118103027,10.429160118103027,314,32
37,2099,base_enriched,max,-5.144561290740967,0.4962479770183563,-10.36691665649414,10.36691665649414,314,32
38,3774,base_enriched,max,-4.8216328620910645,0.46519264578819275,-10.364809036254883,10.364809036254883,313,32
39,14854,base_enriched,max,-7.15252161026001,0.6907802820205688,-10.354264259338379,10.354264259338379,312,32
40,955,base_enriched,max,-4.226579189300537,0.4089973568916321,-10.334001541137695,10.334001541137695,304,32
41,13519,base_enriched,max,-3.464442729949951,0.3356885612010956,-10.32040786743164,10.32040786743164,296,32
42,2374,base_enriched,max,-4.649994850158691,0.4509146809577942,-10.312360763549805,10.312360763549805,314,32
43,10127,base_enriched,max,-5.349518775939941,0.5211554765701294,-10.264727592468262,10.264727592468262,298,32
44,3181,base_enriched,max,-3.5520565509796143,0.34638094902038574,-10.254768371582031,10.254768371582031,311,32
45,5044,base_enriched,mean,-0.11915609240531921,0.011653874069452286,-10.224590301513672,10.224590301513672,310,32
46,759,base_enriched,max,-4.268793106079102,0.4190816879272461,-10.186064720153809,10.186064720153809,310,32
47,7126,base_enriched,max,-3.5653324127197266,0.35117876529693604,-10.152471542358398,10.152471542358398,314,32
48,15922,base_enriched,max,-4.903348922729492,0.4842292070388794,-10.126091003417969,10.126091003417969,308,32
49,8244,base_enriched,max,-4.346899509429932,0.42989540100097656,-10.111528396606445,10.111528396606445,314,32
50,13457,base_enriched,max,-2.698636531829834,0.2672726809978485,-10.096940994262695,10.096940994262695,305,32
51,742,base_enriched,max,-4.4954376220703125,0.4454716742038727,-10.091410636901855,10.091410636901855,271,32
52,13934,base_enriched,active_fraction,-0.13475781679153442,0.013358174823224545,-10.088041305541992,10.088041305541992,314,32
53,9419,base_enriched,max,-4.536688327789307,0.44976919889450073,-10.086703300476074,10.086703300476074,306,32
54,8944,base_enriched,max,-4.485416889190674,0.4455224871635437,-10.067768096923828,10.067768096923828,314,32
55,4561,base_enriched,max,-4.397571563720703,0.43679967522621155,-10.067708015441895,10.067708015441895,309,32
56,15627,base_enriched,active_fraction,-0.05253197252750397,0.00522746704518795,-10.04922103881836,10.04922103881836,313,32
57,9578,base_enriched,max,-2.7669036388397217,0.27591925859451294,-10.027946472167969,10.027946472167969,314,32
58,15533,base_enriched,max,-1.946641445159912,0.1946909874677658,-9.998620986938477,9.998620986938477,314,32
59,386,base_enriched,max,-6.559301853179932,0.6592521071434021,-9.949610710144043,9.949610710144043,308,32
60,4173,base_enriched,max,-3.4159955978393555,0.34454336762428284,-9.914559364318848,9.914559364318848,302,32
61,12495,base_enriched,active_fraction,-0.03521743044257164,0.003554343478754163,-9.908280372619629,9.908280372619629,310,32
