rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,support,minimum_support
1,5642,base_enriched,active_fraction,-0.1554628312587738,0.019982196390628815,-7.780067443847656,7.780067443847656,314,32
2,13428,base_enriched,mean,-0.9417292475700378,0.1281663328409195,-7.347711563110352,7.347711563110352,312,32
3,1231,base_enriched,active_fraction,-0.11675453931093216,0.015925751999020576,-7.331179141998291,7.331179141998291,310,32
4,13934,base_enriched,active_fraction,-0.10239119082689285,0.014327987097203732,-7.146236896514893,7.146236896514893,314,32
5,13132,base_enriched,mean,-0.3756525218486786,0.05818970501422882,-6.455652713775635,6.455652713775635,101,32
6,14765,base_enriched,mean,-0.14824193716049194,0.023332824930548668,-6.35336446762085,6.35336446762085,234,32
7,990,base_enriched,mean,-0.07758994400501251,0.01289482694119215,-6.017137050628662,6.017137050628662,197,32
8,6230,base_enriched,mean,-0.2472345381975174,0.04229195415973663,-5.845900058746338,5.845900058746338,82,32
9,4148,base_enriched,active_fraction,-0.04584629088640213,0.007941342890262604,-5.773115634918213,5.773115634918213,281,32
10,10968,base_enriched,max,-1.996769905090332,0.3475850522518158,-5.744694232940674,5.744694232940674,288,32
11,9353,base_enriched,active_fraction,-0.06546954065561295,0.011398933827877045,-5.743479251861572,5.743479251861572,259,32
12,13127,base_enriched,active_fraction,-0.04868898540735245,0.00859458465129137,-5.665077209472656,5.665077209472656,153,32
13,4075,base_enriched,max,-1.7501996755599976,0.3103978633880615,-5.638568878173828,5.638568878173828,259,32
14,1346,base_enriched,active_fraction,-0.055248770862817764,0.009833233430981636,-5.6185760498046875,5.6185760498046875,231,32
15,7126,base_enriched,mean,-0.2651658058166504,0.0473780483007431,-5.596807479858398,5.596807479858398,295,32
16,1808,base_enriched,active_fraction,-0.060521338135004044,0.010913464240729809,-5.545566082000732,5.545566082000732,181,32
17,14950,base_enriched,active_fraction,-0.056339330971241,0.01020168699324131,-5.522550582885742,5.522550582885742,147,32
18,9430,base_enriched,active_fraction,-0.05739407241344452,0.010439077392220497,-5.498002529144287,5.498002529144287,107,32
19,10853,base_enriched,mean,-0.24986256659030914,0.045808881521224976,-5.454456806182861,5.454456806182861,124,32
20,13348,base_enriched,active_fraction,-0.05652175471186638,0.010552330873906612,-5.356328964233398,5.356328964233398,240,32
21,8944,base_enriched,mean,-0.2237427979707718,0.041857101023197174,-5.345396518707275,5.345396518707275,255,32
22,2387,base_enriched,mean,-0.21976618468761444,0.041158366948366165,-5.339526176452637,5.339526176452637,207,32
23,13287,base_enriched,active_fraction,-0.0336335189640522,0.006435608956962824,-5.226159572601318,5.226159572601318,106,32
24,3085,base_enriched,active_fraction,-0.04934750124812126,0.009460619650781155,-5.216095924377441,5.216095924377441,150,32
25,4590,base_enriched,active_fraction,-0.020156467333436012,0.0038676708936691284,-5.211525917053223,5.211525917053223,147,32
26,3317,base_enriched,mean,-0.26963385939598083,0.05208245664834976,-5.177057266235352,5.177057266235352,125,32
27,13390,base_enriched,max,-1.1846777200698853,0.23048341274261475,-5.139969348907471,5.139969348907471,106,32
28,14968,base_enriched,active_fraction,-0.015223447233438492,0.00296498229727149,-5.134414196014404,5.134414196014404,110,32
29,11279,base_enriched,active_fraction,-0.025042608380317688,0.00496341148391366,-5.045442581176758,5.045442581176758,94,32
30,1385,base_enriched,mean,-0.15130169689655304,0.030333707109093666,-4.987906455993652,4.987906455993652,230,32
31,15320,base_enriched,active_fraction,-0.06811618059873581,0.013773392885923386,-4.94549036026001,4.94549036026001,272,32
32,11596,base_enriched,active_fraction,-0.06228889524936676,0.012630554847419262,-4.931603908538818,4.931603908538818,265,32
33,15912,base_enriched,active_fraction,-0.014821108430624008,0.0030095474794507027,-4.924696445465088,4.924696445465088,104,32
34,5497,base_enriched,active_fraction,-0.026915691792964935,0.005478890612721443,-4.912617206573486,4.912617206573486,119,32
35,7915,base_enriched,active_fraction,-0.07055758684873581,0.014485668390989304,-4.87085485458374,4.87085485458374,299,32
36,9578,base_enriched,active_fraction,-0.04737639054656029,0.009772318415343761,-4.848019599914551,4.848019599914551,270,32
37,3961,base_enriched,mean,-0.32547324895858765,0.06735248863697052,-4.832386493682861,4.832386493682861,148,32
38,14086,base_enriched,active_fraction,-0.03176043555140495,0.0066575948148965836,-4.770556926727295,4.770556926727295,156,32
39,12797,base_enriched,active_fraction,-0.02172599919140339,0.004574417602270842,-4.749456882476807,4.749456882476807,240,32
40,43,base_enriched,active_fraction,-0.02209409698843956,0.004678676370531321,-4.722296714782715,4.722296714782715,184,32
41,13506,base_enriched,active_fraction,-0.019896674901247025,0.004217943642288446,-4.717150688171387,4.717150688171387,178,32
42,10441,base_enriched,mean,-0.3267720639705658,0.06980755925178528,-4.681041240692139,4.681041240692139,234,32
43,13124,base_enriched,active_fraction,-0.016989272087812424,0.00365895195864141,-4.64320707321167,4.64320707321167,81,32
44,7746,base_enriched,active_fraction,-0.04022442176938057,0.008691096678376198,-4.628232955932617,4.628232955932617,142,32
45,27,base_enriched,mean,-0.24333207309246063,0.05266561359167099,-4.620321750640869,4.620321750640869,128,32
46,6329,base_enriched,max,-1.3483190536499023,0.29258182644844055,-4.608348846435547,4.608348846435547,255,32
47,12271,base_enriched,active_fraction,-0.021654503419995308,0.004705918952822685,-4.601546287536621,4.601546287536621,232,32
48,13416,base_enriched,active_fraction,-0.04206858575344086,0.009182699955999851,-4.581287384033203,4.581287384033203,191,32
49,8749,base_enriched,active_fraction,-0.04016747698187828,0.008786610327661037,-4.571441650390625,4.571441650390625,105,32
50,16170,base_enriched,mean,-0.1431770920753479,0.031430434435606,-4.555364608764648,4.555364608764648,222,32
51,8336,base_enriched,active_fraction,-0.02553052268922329,0.00560555886477232,-4.554501056671143,4.554501056671143,258,32
52,15330,base_enriched,mean,-0.24418121576309204,0.05365258455276489,-4.551154613494873,4.551154613494873,111,32
53,3718,base_enriched,mean,-0.22148410975933075,0.04888877645134926,-4.530367374420166,4.530367374420166,131,32
54,5044,base_enriched,mean,-0.08134082704782486,0.018118351697921753,-4.489416599273682,4.489416599273682,195,32
55,5635,base_enriched,mean,-0.05310755968093872,0.011980477720499039,-4.432841777801514,4.432841777801514,219,32
56,11760,base_enriched,active_fraction,-0.012141277082264423,0.002766005927696824,-4.389461517333984,4.389461517333984,136,32
57,13577,base_enriched,active_fraction,-0.008575387299060822,0.001957300817593932,-4.381231307983398,4.381231307983398,73,32
58,14262,base_enriched,mean,-0.18935973942279816,0.043301500380039215,-4.373052597045898,4.373052597045898,95,32
59,13621,base_enriched,active_fraction,-0.0246347114443779,0.005665215663611889,-4.348415374755859,4.348415374755859,212,32
60,11690,base_enriched,active_fraction,-0.03947734460234642,0.009111062623560429,-4.332902431488037,4.332902431488037,144,32
61,11954,base_enriched,mean,-0.09557989984750748,0.022059516981244087,-4.33281946182251,4.33281946182251,102,32
62,1317,base_enriched,active_fraction,-0.0504315048456192,0.011649001389741898,-4.3292555809021,4.3292555809021,260,32
63,5971,base_enriched,active_fraction,-0.03199230507016182,0.007411097642034292,-4.316810607910156,4.316810607910156,121,32
64,2313,base_enriched,active_fraction,-0.013470941223204136,0.003141477471217513,-4.28809118270874,4.28809118270874,64,32
65,1744,base_enriched,active_fraction,-0.013453427702188492,0.003141207853332162,-4.282883644104004,4.282883644104004,81,32
66,15744,base_enriched,active_fraction,-0.03986741602420807,0.009373198263347149,-4.2533416748046875,4.2533416748046875,272,32
67,12154,base_enriched,mean,-0.1264311820268631,0.02973729558289051,-4.251603126525879,4.251603126525879,79,32
68,12725,base_enriched,active_fraction,-0.03879392519593239,0.009176445193588734,-4.227554798126221,4.227554798126221,172,32
69,2018,base_enriched,active_fraction,-0.014776065945625305,0.0034961753990501165,-4.226351261138916,4.226351261138916,51,32
70,8717,base_enriched,active_fraction,-0.007508425507694483,0.001786158187314868,-4.203673362731934,4.203673362731934,67,32
71,3951,base_enriched,mean,-0.11714345216751099,0.02792966365814209,-4.194230556488037,4.194230556488037,187,32
72,785,base_enriched,active_fraction,-0.048052575439214706,0.011483892798423767,-4.184345722198486,4.184345722198486,243,32
73,9680,base_enriched,mean,-0.08301535993814468,0.019964050501585007,-4.158242225646973,4.158242225646973,60,32
74,1502,base_enriched,active_fraction,-0.05655662342905998,0.013623151928186417,-4.15150785446167,4.15150785446167,299,32
75,14859,base_enriched,active_fraction,-0.03988927975296974,0.009625780396163464,-4.144004821777344,4.144004821777344,286,32
76,10119,base_enriched,active_fraction,-0.024359922856092453,0.005895937327295542,-4.131645679473877,4.131645679473877,227,32
77,15180,base_enriched,mean,-0.05399828404188156,0.013077862560749054,-4.128983974456787,4.128983974456787,54,32
78,10818,base_enriched,active_fraction,-0.017423361539840698,0.004219871945679188,-4.1288838386535645,4.1288838386535645,129,32
79,15504,base_enriched,max,-1.0537680387496948,0.25531205534935,-4.127372741699219,4.127372741699219,152,32
80,1083,base_enriched,max,-1.8302979469299316,0.4439627230167389,-4.122638702392578,4.122638702392578,265,32
81,6400,base_enriched,mean,-0.09928049892187119,0.0241984985768795,-4.102754592895508,4.102754592895508,122,32
82,12823,base_enriched,active_fraction,-0.022973155602812767,0.005633829161524773,-4.077715873718262,4.077715873718262,131,32
83,15998,base_enriched,mean,-0.09887616336345673,0.02428683079779148,-4.071184158325195,4.071184158325195,80,32
84,9997,base_enriched,mean,-0.1457458734512329,0.03582347556948662,-4.068446159362793,4.068446159362793,127,32
85,7744,base_enriched,active_fraction,-0.04211195185780525,0.010367483831942081,-4.061925888061523,4.061925888061523,288,32
86,243,base_enriched,mean,-0.24384018778800964,0.06028253212571144,-4.044955730438232,4.044955730438232,92,32
