rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,support,minimum_support
1,6895,specialized_enriched,mean,0.09156951308250427,0.014025663956999779,6.528711318969727,6.528711318969727,208,22
2,13631,specialized_enriched,active_fraction,0.014649936929345131,0.002390635432675481,6.128051280975342,6.128051280975342,204,22
3,4841,specialized_enriched,mean,0.08775484561920166,0.014452017843723297,6.0721516609191895,6.0721516609191895,214,22
4,10532,specialized_enriched,mean,0.10762611031532288,0.017789367586374283,6.050024509429932,6.050024509429932,200,22
5,2,specialized_enriched,mean,0.09330747276544571,0.015431969426572323,6.046374797821045,6.046374797821045,215,22
6,3968,specialized_enriched,active_fraction,0.015462412498891354,0.0026053341571241617,5.934905529022217,5.934905529022217,215,22
7,8792,specialized_enriched,mean,0.055147770792245865,0.009371061809360981,5.88490104675293,5.88490104675293,214,22
8,4696,specialized_enriched,mean,0.060371071100234985,0.010536158457398415,5.729894161224365,5.729894161224365,203,22
9,4383,specialized_enriched,active_fraction,0.011250716634094715,0.002024003304541111,5.558645248413086,5.558645248413086,215,22
10,6277,specialized_enriched,mean,0.061769165098667145,0.011157802306115627,5.535961627960205,5.535961627960205,215,22
11,4457,specialized_enriched,mean,0.0459531769156456,0.008420843631029129,5.457075119018555,5.457075119018555,215,22
12,9632,specialized_enriched,mean,0.06579457223415375,0.012065195478498936,5.453253746032715,5.453253746032715,202,22
13,9600,specialized_enriched,mean,0.04212552309036255,0.00776158319786191,5.4274396896362305,5.4274396896362305,209,22
14,14854,specialized_enriched,active_fraction,0.009539113380014896,0.0017576806712895632,5.427102565765381,5.427102565765381,202,22
15,4196,specialized_enriched,active_fraction,0.008875162340700626,0.0016500989440828562,5.37856388092041,5.37856388092041,215,22
16,15996,specialized_enriched,mean,0.05237375944852829,0.009743386879563332,5.375313758850098,5.375313758850098,215,22
17,1395,specialized_enriched,mean,0.05915790796279907,0.011040527373552322,5.358250141143799,5.358250141143799,201,22
18,1945,specialized_enriched,active_fraction,0.0167727991938591,0.0031490952242165804,5.326228141784668,5.326228141784668,214,22
19,13145,specialized_enriched,active_fraction,0.014981362968683243,0.0028145741671323776,5.322781562805176,5.322781562805176,202,22
20,1361,specialized_enriched,mean,0.02646348439157009,0.004980271682143211,5.313663005828857,5.313663005828857,215,22
21,12394,specialized_enriched,active_fraction,0.019494356587529182,0.0036710789427161217,5.310252666473389,5.310252666473389,213,22
22,201,specialized_enriched,active_fraction,0.0227663516998291,0.00429496169090271,5.300711154937744,5.300711154937744,215,22
23,775,specialized_enriched,mean,0.11167150735855103,0.021483462303876877,5.19802188873291,5.19802188873291,215,22
24,15952,specialized_enriched,mean,0.06724704802036285,0.012974401004612446,5.183055877685547,5.183055877685547,214,22
