rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,support,minimum_support
1,900,specialized_enriched,active_fraction,0.021705972030758858,0.00429728114977479,5.051094055175781,5.051094055175781,204,22
2,12591,specialized_enriched,mean,0.23572298884391785,0.05034138262271881,4.682489395141602,4.682489395141602,193,22
3,3786,specialized_enriched,mean,0.4966660737991333,0.11099052429199219,4.474851131439209,4.474851131439209,214,22
4,9037,specialized_enriched,active_fraction,0.023882955312728882,0.005375568754971027,4.442870616912842,4.442870616912842,208,22
5,1760,specialized_enriched,active_fraction,0.03628126159310341,0.008408650755882263,4.314754486083984,4.314754486083984,184,22
6,5669,specialized_enriched,mean,0.1345893293619156,0.031251877546310425,4.3065996170043945,4.3065996170043945,186,22
7,8792,specialized_enriched,active_fraction,0.020680934190750122,0.005006934050470591,4.130458831787109,4.130458831787109,195,22
8,7783,specialized_enriched,active_fraction,0.05497996509075165,0.013857832178473473,3.9674289226531982,3.9674289226531982,213,22
9,15402,specialized_enriched,mean,0.08873388171195984,0.022402215749025345,3.960942268371582,3.960942268371582,214,22
10,10135,specialized_enriched,active_fraction,0.054105546325445175,0.013750029727816582,3.9349403381347656,3.9349403381347656,215,22
11,5456,specialized_enriched,mean,0.11635977029800415,0.029848255217075348,3.8983776569366455,3.8983776569366455,190,22
12,3997,specialized_enriched,mean,0.08419760316610336,0.02189086750149727,3.846243381500244,3.846243381500244,163,22
13,7039,specialized_enriched,mean,0.09091028571128845,0.02399582788348198,3.7885870933532715,3.7885870933532715,214,22
14,10247,specialized_enriched,mean,0.08182328194379807,0.02163691818714142,3.781651496887207,3.781651496887207,104,22
15,13033,specialized_enriched,active_fraction,0.006787145975977182,0.0017999176634475589,3.7708091735839844,3.7708091735839844,48,22
16,10849,specialized_enriched,mean,0.07845842838287354,0.020932508632540703,3.748161792755127,3.748161792755127,201,22
17,6605,specialized_enriched,active_fraction,0.014892538078129292,0.004032774828374386,3.692876100540161,3.692876100540161,76,22
18,15623,specialized_enriched,active_fraction,0.010792689397931099,0.0029287105426192284,3.685133457183838,3.685133457183838,97,22
19,6117,specialized_enriched,active_fraction,0.01490070577710867,0.004074234515428543,3.657301902770996,3.657301902770996,205,22
20,6364,specialized_enriched,active_fraction,0.007190463598817587,0.0019761493895202875,3.6386234760284424,3.6386234760284424,48,22
21,1117,specialized_enriched,mean,0.11040989309549332,0.030949534848332405,3.5674169063568115,3.5674169063568115,134,22
22,12406,specialized_enriched,active_fraction,0.01025101076811552,0.002879602136090398,3.559870481491089,3.559870481491089,146,22
23,9982,specialized_enriched,mean,0.13103580474853516,0.03696955740451813,3.544424533843994,3.544424533843994,190,22
24,1568,specialized_enriched,mean,0.12072882801294327,0.03424597531557083,3.525343656539917,3.525343656539917,192,22
25,9468,specialized_enriched,mean,0.13788896799087524,0.039275407791137695,3.510822057723999,3.510822057723999,188,22
26,15805,specialized_enriched,active_fraction,0.013243421912193298,0.0037933809217065573,3.491192102432251,3.491192102432251,126,22
27,7546,specialized_enriched,mean,0.20568886399269104,0.0593591146171093,3.465160608291626,3.465160608291626,209,22
28,1639,specialized_enriched,mean,0.15128955245018005,0.04390297830104828,3.445997476577759,3.445997476577759,214,22
29,7589,specialized_enriched,active_fraction,0.009556767530739307,0.0028198054060339928,3.3891584873199463,3.3891584873199463,68,22
30,309,specialized_enriched,active_fraction,0.012836800888180733,0.003795803990215063,3.3818397521972656,3.3818397521972656,191,22
31,6498,specialized_enriched,active_fraction,0.019193748012185097,0.0056892987340688705,3.3736579418182373,3.3736579418182373,180,22
32,9953,specialized_enriched,mean,0.14231891930103302,0.04224175214767456,3.369152784347534,3.369152784347534,80,22
33,12161,specialized_enriched,active_fraction,0.018576644361019135,0.005515357945114374,3.36816668510437,3.36816668510437,173,22
34,601,specialized_enriched,active_fraction,0.031736187636852264,0.009476203471422195,3.3490402698516846,3.3490402698516846,208,22
35,1686,specialized_enriched,active_fraction,0.011343193240463734,0.003390625352039933,3.3454575538635254,3.3454575538635254,172,22
36,321,specialized_enriched,active_fraction,0.024021118879318237,0.007187266834080219,3.342177152633667,3.342177152633667,211,22
37,12460,specialized_enriched,mean,0.03329848870635033,0.010135396383702755,3.2853662967681885,3.2853662967681885,67,22
38,3104,specialized_enriched,active_fraction,0.025020085275173187,0.007699422538280487,3.249605417251587,3.249605417251587,205,22
39,16179,specialized_enriched,active_fraction,0.03180474042892456,0.009835822507739067,3.2335617542266846,3.2335617542266846,182,22
40,3011,specialized_enriched,mean,0.10234490782022476,0.03187716379761696,3.2106027603149414,3.2106027603149414,193,22
41,6528,specialized_enriched,active_fraction,0.016342760995030403,0.005121294874697924,3.191138505935669,3.191138505935669,179,22
42,4983,specialized_enriched,active_fraction,0.011996948160231113,0.0037599499337375164,3.1907200813293457,3.1907200813293457,91,22
43,841,specialized_enriched,mean,0.053131937980651855,0.016685303300619125,3.1843554973602295,3.1843554973602295,43,22
44,8729,specialized_enriched,active_fraction,0.01427108608186245,0.004497543442994356,3.1730847358703613,3.1730847358703613,80,22
45,7440,specialized_enriched,mean,0.14711490273475647,0.0469285324215889,3.134871244430542,3.134871244430542,84,22
46,5120,specialized_enriched,active_fraction,0.008524053730070591,0.0027638475876301527,3.0841257572174072,3.0841257572174072,214,22
47,15549,specialized_enriched,active_fraction,0.013518081977963448,0.004386475309729576,3.081763982772827,3.081763982772827,154,22
48,1806,specialized_enriched,mean,0.0895008072257042,0.029090970754623413,3.0765836238861084,3.0765836238861084,185,22
49,8812,specialized_enriched,mean,0.03524397313594818,0.011533260345458984,3.0558552742004395,3.0558552742004395,100,22
50,9951,specialized_enriched,active_fraction,0.013583502732217312,0.0044763642363250256,3.034494400024414,3.034494400024414,184,22
51,12809,specialized_enriched,active_fraction,0.010446310043334961,0.0034730639308691025,3.007808208465576,3.007808208465576,91,22
52,7772,specialized_enriched,mean,0.01083394791930914,0.0036360425874590874,2.9795987606048584,2.9795987606048584,55,22
53,6680,specialized_enriched,mean,0.058235615491867065,0.019553979858756065,2.9781975746154785,2.9781975746154785,179,22
54,10362,specialized_enriched,active_fraction,0.008259485475718975,0.0027778921648859978,2.973292350769043,2.973292350769043,80,22
55,5586,specialized_enriched,mean,0.040113966912031174,0.013554460369050503,2.9594662189483643,2.9594662189483643,53,22
56,9009,specialized_enriched,active_fraction,0.018091581761837006,0.006140107288956642,2.946460247039795,2.946460247039795,207,22
57,15178,specialized_enriched,mean,0.10351915657520294,0.035664867609739304,2.902552604675293,2.902552604675293,170,22
58,1699,specialized_enriched,active_fraction,0.012846044264733791,0.004434516653418541,2.8968307971954346,2.8968307971954346,94,22
59,6404,specialized_enriched,mean,0.01862064190208912,0.006443454418331385,2.8898539543151855,2.8898539543151855,30,22
60,11965,specialized_enriched,active_fraction,0.011578336358070374,0.004021409433335066,2.879173755645752,2.879173755645752,199,22
61,6927,specialized_enriched,active_fraction,0.016935329884290695,0.00590583635494113,2.867558240890503,2.867558240890503,194,22
62,10496,specialized_enriched,active_fraction,0.012780779041349888,0.004525880794972181,2.823931932449341,2.823931932449341,85,22
63,13364,specialized_enriched,active_fraction,0.012581978924572468,0.004475337453186512,2.811403512954712,2.811403512954712,85,22
64,15944,specialized_enriched,active_fraction,0.01151416078209877,0.004116619937121868,2.7969939708709717,2.7969939708709717,54,22
65,13664,specialized_enriched,active_fraction,0.009345028549432755,0.0033417849335819483,2.7964181900024414,2.7964181900024414,130,22
66,12746,specialized_enriched,mean,0.07178641855716705,0.02569379098713398,2.7939207553863525,2.7939207553863525,148,22
67,1112,specialized_enriched,active_fraction,0.005856823176145554,0.002096717245876789,2.793329954147339,2.793329954147339,67,22
