rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,support,minimum_support
1,16037,base_enriched,max,-20.297061920166016,1.8377792835235596,-11.044341087341309,11.044341087341309,564,88
2,13191,base_enriched,max,-25.162708282470703,2.2817351818084717,-11.02788257598877,11.02788257598877,492,88
3,8589,base_enriched,max,-19.993139266967773,1.8161431550979614,-11.008569717407227,11.008569717407227,589,88
4,3826,base_enriched,max,-27.070262908935547,2.476029872894287,-10.932930946350098,10.932930946350098,560,88
5,1862,base_enriched,max,-16.19910430908203,1.4876248836517334,-10.889240264892578,10.889240264892578,651,88
6,2649,base_enriched,max,-16.397724151611328,1.5107669830322266,-10.853906631469727,10.853906631469727,530,88
7,1650,base_enriched,max,-13.957335472106934,1.295863151550293,-10.770686149597168,10.770686149597168,650,88
8,7593,base_enriched,max,-10.918915748596191,1.0151232481002808,-10.756246566772461,10.756246566772461,657,88
9,13801,base_enriched,max,-12.890167236328125,1.201378583908081,-10.729479789733887,10.729479789733887,727,88
10,219,base_enriched,mean,-0.2055436223745346,0.019214777275919914,-10.697163581848145,10.697163581848145,698,88
11,5018,base_enriched,max,-26.0158748626709,2.441223621368408,-10.656899452209473,10.656899452209473,725,88
12,6330,base_enriched,max,-12.631465911865234,1.185338020324707,-10.656425476074219,10.656425476074219,733,88
13,12308,base_enriched,max,-14.754746437072754,1.3848135471343994,-10.654681205749512,10.654681205749512,531,88
14,9696,base_enriched,max,-17.90548324584961,1.6814446449279785,-10.648868560791016,10.648868560791016,562,88
15,617,base_enriched,max,-10.531641960144043,0.9916085600852966,-10.620765686035156,10.620765686035156,670,88
16,16264,base_enriched,max,-13.755280494689941,1.295939326286316,-10.614139556884766,10.614139556884766,574,88
17,1159,base_enriched,max,-22.556442260742188,2.1258018016815186,-10.610793113708496,10.610793113708496,424,88
18,5889,base_enriched,max,-17.072586059570312,1.6120426654815674,-10.590654373168945,10.590654373168945,710,88
19,15150,base_enriched,max,-11.36449146270752,1.0732437372207642,-10.588919639587402,10.588919639587402,753,88
20,15961,base_enriched,max,-20.354312896728516,1.9224170446395874,-10.587875366210938,10.587875366210938,542,88
21,402,base_enriched,mean,-0.21464978158473969,0.020289409905672073,-10.579400062561035,10.579400062561035,643,88
22,14908,base_enriched,max,-17.63433837890625,1.6704974174499512,-10.556340217590332,10.556340217590332,788,88
23,5837,base_enriched,max,-12.547515869140625,1.1906965970993042,-10.537961959838867,10.537961959838867,635,88
24,4810,base_enriched,max,-11.673185348510742,1.1103839874267578,-10.512746810913086,10.512746810913086,704,88
25,1688,base_enriched,mean,-0.2716165781021118,0.025850459933280945,-10.507224082946777,10.507224082946777,841,88
26,2168,base_enriched,max,-14.868463516235352,1.4151864051818848,-10.506363868713379,10.506363868713379,754,88
27,14497,base_enriched,max,-24.878515243530273,2.369051218032837,-10.50146770477295,10.50146770477295,553,88
28,12694,base_enriched,max,-9.299652099609375,0.8883042335510254,-10.468994140625,10.468994140625,563,88
29,6877,base_enriched,max,-20.207122802734375,1.9322803020477295,-10.457655906677246,10.457655906677246,491,88
30,13721,base_enriched,mean,-0.11059218645095825,0.010584430769085884,-10.448572158813477,10.448572158813477,827,88
31,11913,base_enriched,max,-7.236409664154053,0.6929100155830383,-10.44350528717041,10.44350528717041,726,88
32,14327,base_enriched,mean,-0.21138790249824524,0.020275814458727837,-10.425618171691895,10.425618171691895,757,88
33,1696,base_enriched,mean,-0.34506189823150635,0.03310608118772507,-10.4229154586792,10.4229154586792,701,88
34,2957,base_enriched,mean,-0.2977274954319,0.02857152931392193,-10.420425415039062,10.420425415039062,773,88
35,10168,base_enriched,max,-21.10910987854004,2.0273361206054688,-10.412240028381348,10.412240028381348,564,88
36,1584,base_enriched,max,-3.3598177433013916,0.3230484426021576,-10.400352478027344,10.400352478027344,630,88
37,9985,base_enriched,max,-8.390684127807617,0.8087051510810852,-10.375454902648926,10.375454902648926,670,88
