rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,support,minimum_support
1,11172,specialized_enriched,max,18.902860641479492,1.4434912204742432,13.095237731933594,13.095237731933594,835,88
2,1767,specialized_enriched,max,25.63069725036621,1.991228699684143,12.87179946899414,12.87179946899414,841,88
3,16044,specialized_enriched,max,9.925821304321289,0.7715018391609192,12.865583419799805,12.865583419799805,837,88
4,10532,specialized_enriched,max,39.53914260864258,3.1000351905822754,12.754417419433594,12.754417419433594,808,88
5,9632,specialized_enriched,mean,0.2492985874414444,0.019590798765420914,12.725289344787598,12.725289344787598,825,88
6,7027,specialized_enriched,max,11.726242065429688,0.933709442615509,12.558770179748535,12.558770179748535,837,88
7,1395,specialized_enriched,max,33.67466735839844,2.686330556869507,12.535563468933105,12.535563468933105,813,88
8,6565,specialized_enriched,max,17.919282913208008,1.4303944110870361,12.527511596679688,12.527511596679688,832,88
9,14818,specialized_enriched,max,12.484105110168457,0.9967669248580933,12.524598121643066,12.524598121643066,818,88
10,6911,specialized_enriched,max,11.784029960632324,0.9688377380371094,12.163058280944824,12.163058280944824,847,88
11,1672,specialized_enriched,active_fraction,0.03819634020328522,0.00314356223680079,12.150654792785645,12.150654792785645,861,88
12,6859,specialized_enriched,max,8.2278413772583,0.6813972592353821,12.074954986572266,12.074954986572266,862,88
13,5352,specialized_enriched,max,15.176194190979004,1.2636178731918335,12.010113716125488,12.010113716125488,822,88
14,11153,specialized_enriched,active_fraction,0.015326114371418953,0.001280491822399199,11.968928337097168,11.968928337097168,825,88
15,6895,specialized_enriched,active_fraction,0.03464549779891968,0.002905106171965599,11.925724983215332,11.925724983215332,840,88
16,5572,specialized_enriched,max,7.679612636566162,0.6486616730690002,11.839164733886719,11.839164733886719,842,88
17,12406,specialized_enriched,max,6.6151251792907715,0.5693210959434509,11.619321823120117,11.619321823120117,864,88
18,15015,specialized_enriched,max,7.268459320068359,0.6266612410545349,11.598705291748047,11.598705291748047,859,88
19,775,specialized_enriched,mean,0.3679672181606293,0.032084062695503235,11.468847274780273,11.468847274780273,870,88
20,16349,specialized_enriched,max,12.829569816589355,1.1249728202819824,11.404337882995605,11.404337882995605,826,88
21,16209,specialized_enriched,max,3.950061321258545,0.359325110912323,10.993000984191895,10.993000984191895,846,88
22,4116,specialized_enriched,max,6.241742134094238,0.5820183753967285,10.72430419921875,10.72430419921875,850,88
23,6839,specialized_enriched,mean,0.08858591318130493,0.00830415915697813,10.667655944824219,10.667655944824219,842,88
24,11565,specialized_enriched,max,9.799068450927734,0.9191789031028748,10.660676002502441,10.660676002502441,848,88
25,9188,specialized_enriched,active_fraction,0.06124398857355118,0.005751354154199362,10.64862060546875,10.64862060546875,867,88
26,9958,specialized_enriched,max,9.955668449401855,0.9380629658699036,10.613006591796875,10.613006591796875,854,88
27,1361,specialized_enriched,active_fraction,0.01326758787035942,0.0012585069052875042,10.54232406616211,10.54232406616211,863,88
28,5998,specialized_enriched,max,6.325224876403809,0.6009286046028137,10.525751113891602,10.525751113891602,869,88
29,176,specialized_enriched,mean,0.10069537162780762,0.00965559110045433,10.4287109375,10.4287109375,865,88
30,8763,specialized_enriched,active_fraction,0.02816479653120041,0.0027079894207417965,10.400629997253418,10.400629997253418,870,88
31,9600,specialized_enriched,active_fraction,0.0190570205450058,0.0018364014104008675,10.377371788024902,10.377371788024902,843,88
32,8182,specialized_enriched,max,2.906956195831299,0.2826448380947113,10.28483772277832,10.28483772277832,741,88
33,1932,specialized_enriched,max,4.829182147979736,0.46965155005455017,10.282479286193848,10.282479286193848,826,88
34,2503,specialized_enriched,max,7.171436786651611,0.7107389569282532,10.090113639831543,10.090113639831543,818,88
35,14190,specialized_enriched,max,5.791419982910156,0.5818302035331726,9.953797340393066,9.953797340393066,831,88
36,1985,specialized_enriched,max,5.457237720489502,0.5506575107574463,9.910402297973633,9.910402297973633,830,88
37,4220,specialized_enriched,max,5.529578685760498,0.5586868524551392,9.897456169128418,9.897456169128418,863,88
38,3035,specialized_enriched,max,5.488482475280762,0.5562397837638855,9.86711597442627,9.86711597442627,837,88
39,5267,specialized_enriched,max,6.481561183929443,0.658108651638031,9.848771095275879,9.848771095275879,857,88
