rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,support,minimum_support
1,1126,base_enriched,max,-1.0872819423675537,0.25769519805908203,-4.2192559242248535,4.2192559242248535,562,88
2,13220,base_enriched,max,-0.812833845615387,0.19708578288555145,-4.124264240264893,4.124264240264893,674,88
3,6356,base_enriched,max,-1.5906704664230347,0.39043596386909485,-4.074088096618652,4.074088096618652,723,88
4,8722,base_enriched,max,-1.9172829389572144,0.4712640941143036,-4.06838321685791,4.06838321685791,721,88
5,10746,base_enriched,max,-0.7139829993247986,0.18011002242565155,-3.964149236679077,3.964149236679077,561,88
6,8291,base_enriched,max,-0.41377294063568115,0.10506629943847656,-3.9382081031799316,3.9382081031799316,157,88
7,13080,base_enriched,max,-0.6522495150566101,0.16800560057163239,-3.8823082447052,3.8823082447052,741,88
8,6823,base_enriched,max,-1.2521483898162842,0.32758262753486633,-3.8223893642425537,3.8223893642425537,710,88
9,16331,base_enriched,max,-0.24027298390865326,0.06336991488933563,-3.7915940284729004,3.7915940284729004,156,88
10,50,base_enriched,max,-0.5448400974273682,0.144596129655838,-3.7680130004882812,3.7680130004882812,222,88
11,14175,base_enriched,max,-0.546561598777771,0.14518415927886963,-3.7646090984344482,3.7646090984344482,366,88
12,14470,base_enriched,max,-0.9343318343162537,0.2503192126750946,-3.7325613498687744,3.7325613498687744,805,88
13,10784,base_enriched,max,-1.7306504249572754,0.46511587500572205,-3.7209017276763916,3.7209017276763916,590,88
14,4013,base_enriched,max,-0.5919944643974304,0.16014854609966278,-3.696533441543579,3.696533441543579,509,88
15,2215,base_enriched,max,-1.3834370374679565,0.3748461902141571,-3.6906793117523193,3.6906793117523193,227,88
16,2021,base_enriched,max,-1.0335824489593506,0.2806597054004669,-3.6826891899108887,3.6826891899108887,781,88
17,12451,base_enriched,max,-0.7097338438034058,0.19354546070098877,-3.667013645172119,3.667013645172119,633,88
18,8096,base_enriched,max,-0.7185410857200623,0.19759157299995422,-3.6364965438842773,3.6364965438842773,417,88
19,6352,base_enriched,max,-1.1381949186325073,0.3135755658149719,-3.6297309398651123,3.6297309398651123,569,88
20,9359,base_enriched,max,-0.23335756361484528,0.06442835181951523,-3.6219701766967773,3.6219701766967773,164,88
21,12030,base_enriched,max,-2.5643157958984375,0.7097148299217224,-3.613163709640503,3.613163709640503,440,88
22,10929,base_enriched,max,-0.696618378162384,0.1930573433637619,-3.608349561691284,3.608349561691284,321,88
23,6684,base_enriched,max,-0.9484829306602478,0.26454925537109375,-3.5852792263031006,3.5852792263031006,767,88
24,5439,base_enriched,max,-2.2931244373321533,0.6420888304710388,-3.5713508129119873,3.5713508129119873,662,88
25,11139,base_enriched,max,-0.5438317656517029,0.15322686731815338,-3.5491933822631836,3.5491933822631836,474,88
26,827,base_enriched,max,-0.8386628031730652,0.23853516578674316,-3.515887498855591,3.515887498855591,446,88
27,7728,base_enriched,active_fraction,-0.004586969502270222,0.001315995818004012,-3.4855501651763916,3.4855501651763916,193,88
28,14567,base_enriched,max,-1.1799145936965942,0.3388598561286926,-3.482013463973999,3.482013463973999,712,88
29,15696,base_enriched,max,-0.2342841625213623,0.06743579357862473,-3.4741811752319336,3.4741811752319336,160,88
30,1351,base_enriched,max,-1.6584984064102173,0.47841280698776245,-3.466668128967285,3.466668128967285,594,88
31,10346,base_enriched,max,-0.32713934779167175,0.0943959578871727,-3.4656076431274414,3.4656076431274414,231,88
32,1688,base_enriched,max,-1.3784724473953247,0.3979250192642212,-3.46415114402771,3.46415114402771,224,88
33,617,base_enriched,max,-0.8619640469551086,0.24908645451068878,-3.4605014324188232,3.4605014324188232,93,88
34,1400,base_enriched,max,-0.3391556143760681,0.09818736463785172,-3.454167604446411,3.454167604446411,786,88
35,15715,base_enriched,max,-0.5417054891586304,0.1571042239665985,-3.4480645656585693,3.4480645656585693,313,88
36,6652,base_enriched,max,-0.5536246299743652,0.16107884049415588,-3.436979293823242,3.436979293823242,687,88
