rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,support,minimum_support
1,9009,specialized_enriched,mean,0.11141031235456467,0.020812883973121643,5.352949142456055,5.352949142456055,847,88
2,5456,specialized_enriched,active_fraction,0.02942206896841526,0.006018072832375765,4.888951778411865,4.888951778411865,746,88
3,309,specialized_enriched,active_fraction,0.01956190913915634,0.004427767358720303,4.4180073738098145,4.4180073738098145,761,88
4,12591,specialized_enriched,active_fraction,0.032575882971286774,0.007399466820061207,4.402463436126709,4.402463436126709,748,88
5,9982,specialized_enriched,mean,0.2026277780532837,0.04638140648603439,4.3687286376953125,4.3687286376953125,747,88
6,6927,specialized_enriched,mean,0.2469242513179779,0.057306528091430664,4.30883264541626,4.30883264541626,769,88
7,900,specialized_enriched,active_fraction,0.02376098558306694,0.005661045201122761,4.19727897644043,4.19727897644043,813,88
8,10135,specialized_enriched,mean,0.8216865062713623,0.20297537744045258,4.048207759857178,4.048207759857178,872,88
9,6117,specialized_enriched,mean,0.18747857213020325,0.047633618116378784,3.9358456134796143,3.9358456134796143,818,88
10,7783,specialized_enriched,active_fraction,0.04922187328338623,0.012572366744279861,3.91508412361145,3.91508412361145,854,88
11,9037,specialized_enriched,active_fraction,0.026195544749498367,0.006708530243486166,3.904811382293701,3.904811382293701,819,88
12,941,specialized_enriched,active_fraction,0.02094719372689724,0.005481018219143152,3.821770429611206,3.821770429611206,742,88
13,5120,specialized_enriched,active_fraction,0.009052862413227558,0.002397569129243493,3.775850534439087,3.775850534439087,867,88
14,13664,specialized_enriched,active_fraction,0.011804980225861073,0.00316641922108829,3.728179931640625,3.728179931640625,540,88
15,6680,specialized_enriched,mean,0.07763317227363586,0.02096358872950077,3.7032387256622314,3.7032387256622314,694,88
16,10849,specialized_enriched,mean,0.09900221973657608,0.02698427625000477,3.6688854694366455,3.6688854694366455,826,88
17,1117,specialized_enriched,active_fraction,0.014736654236912727,0.0040613580495119095,3.6285040378570557,3.6285040378570557,562,88
18,12424,specialized_enriched,active_fraction,0.006782460957765579,0.0018838326213881373,3.6003522872924805,3.6003522872924805,140,88
19,7039,specialized_enriched,mean,0.088917575776577,0.025092439725995064,3.54360032081604,3.54360032081604,853,88
20,7546,specialized_enriched,active_fraction,0.046679724007844925,0.013244787231087685,3.5243844985961914,3.5243844985961914,840,88
21,8792,specialized_enriched,active_fraction,0.021134912967681885,0.006081431172788143,3.4753189086914062,3.4753189086914062,765,88
22,6902,specialized_enriched,mean,0.04703709855675697,0.013809575699269772,3.4061219692230225,3.4061219692230225,768,88
23,1945,specialized_enriched,active_fraction,0.019628090783953667,0.005817956291139126,3.373708963394165,3.373708963394165,851,88
24,4237,specialized_enriched,mean,0.14967750012874603,0.04448522999882698,3.3646562099456787,3.3646562099456787,570,88
25,13308,specialized_enriched,mean,0.08825407177209854,0.02633848413825035,3.3507649898529053,3.3507649898529053,650,88
26,11565,specialized_enriched,active_fraction,0.012045110575854778,0.003607796272262931,3.3386337757110596,3.3386337757110596,285,88
27,851,specialized_enriched,active_fraction,0.008178356103599072,0.002509521087631583,3.2589309215545654,3.2589309215545654,867,88
28,11201,specialized_enriched,active_fraction,0.016591520980000496,0.005099592264741659,3.2534995079040527,3.2534995079040527,796,88
29,9953,specialized_enriched,mean,0.16096681356430054,0.05037956312298775,3.1950814723968506,3.1950814723968506,337,88
30,12746,specialized_enriched,mean,0.10165227949619293,0.03181901201605797,3.194702625274658,3.194702625274658,555,88
31,1568,specialized_enriched,mean,0.11934615671634674,0.03752573952078819,3.1803812980651855,3.1803812980651855,798,88
32,3357,specialized_enriched,mean,0.11163315922021866,0.03520958870649338,3.1705329418182373,3.1705329418182373,816,88
33,15549,specialized_enriched,mean,0.05988386273384094,0.018954787403345108,3.1593000888824463,3.1593000888824463,626,88
34,10440,specialized_enriched,active_fraction,0.011936240829527378,0.003807727014645934,3.13474178314209,3.13474178314209,706,88
35,6364,specialized_enriched,active_fraction,0.006655209697782993,0.0021419799886643887,3.1070363521575928,3.1070363521575928,217,88
36,698,specialized_enriched,mean,0.04928429052233696,0.015895221382379532,3.1005728244781494,3.1005728244781494,810,88
37,13636,specialized_enriched,mean,0.05629293620586395,0.018206823617219925,3.0918593406677246,3.0918593406677246,355,88
38,6240,specialized_enriched,mean,0.0423361137509346,0.013697179034352303,3.0908637046813965,3.0908637046813965,772,88
39,15623,specialized_enriched,active_fraction,0.010657589882612228,0.0034702469129115343,3.0711331367492676,3.0711331367492676,376,88
40,4832,specialized_enriched,mean,0.06910620629787445,0.022599849849939346,3.057816982269287,3.057816982269287,497,88
41,9220,specialized_enriched,active_fraction,0.017775317654013634,0.005827517714351416,3.0502383708953857,3.0502383708953857,644,88
42,5721,specialized_enriched,mean,0.09558630734682083,0.03135256841778755,3.048755168914795,3.048755168914795,423,88
43,6605,specialized_enriched,active_fraction,0.013332100585103035,0.004384403582662344,3.040801525115967,3.040801525115967,297,88
44,10619,specialized_enriched,mean,0.0942617729306221,0.03105716034770012,3.0351059436798096,3.0351059436798096,789,88
45,5316,specialized_enriched,mean,0.0843152403831482,0.027879813686013222,3.0242397785186768,3.0242397785186768,807,88
46,14767,specialized_enriched,active_fraction,0.002073846757411957,0.0006861425354145467,3.0224721431732178,3.0224721431732178,196,88
47,1760,specialized_enriched,active_fraction,0.02642158605158329,0.008791647851467133,3.005305290222168,3.005305290222168,775,88
48,10502,specialized_enriched,active_fraction,0.016254479065537453,0.005450500641018152,2.982199192047119,2.982199192047119,555,88
49,3997,specialized_enriched,mean,0.08107942342758179,0.02726946957409382,2.9732673168182373,2.9732673168182373,649,88
50,661,specialized_enriched,mean,0.14485900104045868,0.04920808598399162,2.9438047409057617,2.9438047409057617,421,88
51,2,specialized_enriched,mean,0.08097303658723831,0.027629463002085686,2.9306771755218506,2.9306771755218506,838,88
52,11302,specialized_enriched,active_fraction,0.01367496233433485,0.004688049666583538,2.916983127593994,2.916983127593994,489,88
53,15902,specialized_enriched,active_fraction,0.023453326895833015,0.008103083819150925,2.8943705558776855,2.8943705558776855,834,88
54,6827,specialized_enriched,active_fraction,0.008511103689670563,0.002942681545391679,2.8922951221466064,2.8922951221466064,524,88
55,10438,specialized_enriched,active_fraction,0.0047628004103899,0.0016468713292852044,2.8920295238494873,2.8920295238494873,269,88
56,13364,specialized_enriched,active_fraction,0.013292534276843071,0.004637108650058508,2.8665566444396973,2.8665566444396973,371,88
57,15805,specialized_enriched,mean,0.06710872054100037,0.023439988493919373,2.8630013465881348,2.8630013465881348,544,88
58,15101,specialized_enriched,mean,0.10349249094724655,0.036268770694732666,2.853487730026245,2.853487730026245,806,88
59,8377,specialized_enriched,mean,0.04851343855261803,0.017045488581061363,2.846116065979004,2.846116065979004,755,88
60,1806,specialized_enriched,mean,0.10437174886465073,0.03693469241261482,2.825845956802368,2.825845956802368,733,88
61,4116,specialized_enriched,active_fraction,0.005987832788378,0.002138243755325675,2.8003509044647217,2.8003509044647217,214,88
62,10886,specialized_enriched,mean,0.12230515480041504,0.043786339461803436,2.7932262420654297,2.7932262420654297,754,88
63,13616,specialized_enriched,mean,0.03917719051241875,0.014134504832327366,2.7717413902282715,2.7717413902282715,451,88
64,6298,specialized_enriched,active_fraction,0.016789210960268974,0.0060594212263822556,2.770761489868164,2.770761489868164,744,88
65,12856,specialized_enriched,mean,0.07620750367641449,0.027552977204322815,2.7658536434173584,2.7658536434173584,851,88
66,7805,specialized_enriched,active_fraction,0.008992359042167664,0.003256250871345401,2.761568307876587,2.761568307876587,315,88
67,2607,specialized_enriched,mean,0.056842539459466934,0.020853111520409584,2.7258541584014893,2.7258541584014893,750,88
68,15617,specialized_enriched,mean,0.1140439435839653,0.042100757360458374,2.7088334560394287,2.7088334560394287,447,88
69,13107,specialized_enriched,mean,0.07881913334131241,0.029163533821702003,2.70266056060791,2.70266056060791,622,88
70,14146,specialized_enriched,active_fraction,0.014530554413795471,0.005379614420235157,2.701040029525757,2.701040029525757,586,88
71,9741,specialized_enriched,active_fraction,0.02100471593439579,0.007784093730151653,2.6984150409698486,2.6984150409698486,847,88
72,3974,specialized_enriched,active_fraction,0.015397537499666214,0.005717562977224588,2.6930246353149414,2.6930246353149414,615,88
73,5669,specialized_enriched,mean,0.12249305099248886,0.045643579214811325,2.6836862564086914,2.6836862564086914,784,88
74,15408,specialized_enriched,mean,0.04317286238074303,0.016105515882372856,2.6806259155273438,2.6806259155273438,511,88
75,26,specialized_enriched,mean,0.15607963502407074,0.05918743088841438,2.637040138244629,2.637040138244629,371,88
76,942,specialized_enriched,mean,0.10118081420660019,0.03838103264570236,2.6362192630767822,2.6362192630767822,182,88
77,12090,specialized_enriched,mean,0.06682483851909637,0.025370348244905472,2.633974075317383,2.633974075317383,214,88
