rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,support,minimum_support
1,8587,specialized_enriched,max,7.152975559234619,1.5130088329315186,4.727649688720703,4.727649688720703,57,8
2,8959,specialized_enriched,max,2.8053390979766846,0.6716105341911316,4.177032470703125,4.177032470703125,78,8
3,6404,specialized_enriched,max,6.595813751220703,1.5802359580993652,4.1739420890808105,4.1739420890808105,51,8
4,9716,specialized_enriched,max,3.5717530250549316,0.8692854642868042,4.108838081359863,4.108838081359863,75,8
5,14089,specialized_enriched,max,5.140688896179199,1.2889978885650635,3.988128185272217,3.988128185272217,54,8
6,11381,specialized_enriched,max,3.966157913208008,1.0230011940002441,3.8769826889038086,3.8769826889038086,60,8
7,15246,specialized_enriched,max,2.1049163341522217,0.5455291271209717,3.858485698699951,3.858485698699951,51,8
8,1112,specialized_enriched,max,3.95668363571167,1.050836443901062,3.765270709991455,3.765270709991455,62,8
9,6684,specialized_enriched,max,2.304553985595703,0.6147134900093079,3.7489888668060303,3.7489888668060303,79,8
10,9805,base_enriched,mean,-0.03493925556540489,0.009616374038159847,-3.6333086490631104,3.6333086490631104,78,8
11,4726,specialized_enriched,max,3.695427179336548,1.0178216695785522,3.6307215690612793,3.6307215690612793,78,8
12,12956,specialized_enriched,max,5.029946327209473,1.4037688970565796,3.583172559738159,3.583172559738159,76,8
13,8175,base_enriched,max,-1.352189302444458,0.37941938638687134,-3.563838243484497,3.563838243484497,79,8
14,989,specialized_enriched,mean,0.03319529816508293,0.009404819458723068,3.5296051502227783,3.5296051502227783,62,8
15,6934,specialized_enriched,max,1.2899994850158691,0.3669591248035431,3.515376567840576,3.515376567840576,78,8
16,13370,specialized_enriched,mean,0.2632378935813904,0.07615407556295395,3.456648826599121,3.456648826599121,69,8
17,4980,base_enriched,max,-0.3911733627319336,0.11433721333742142,-3.4212253093719482,3.4212253093719482,38,8
18,7638,specialized_enriched,max,0.45553719997406006,0.13332277536392212,3.416799545288086,3.416799545288086,33,8
19,1196,specialized_enriched,max,3.9024550914764404,1.1431061029434204,3.4139044284820557,3.4139044284820557,76,8
20,13871,specialized_enriched,max,1.1707178354263306,0.34362831711769104,3.406930685043335,3.406930685043335,78,8
21,7206,base_enriched,max,-0.6188814640045166,0.18187063932418823,-3.4028663635253906,3.4028663635253906,72,8
22,7916,specialized_enriched,max,3.988185167312622,1.184120774269104,3.368056058883667,3.368056058883667,77,8
