rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,support,minimum_support
1,9805,base_enriched,mean,-0.03493925556540489,0.009616374038159847,-3.6333086490631104,3.6333086490631104,78,8
2,8175,base_enriched,max,-1.352189302444458,0.37941938638687134,-3.563838243484497,3.563838243484497,79,8
3,4980,base_enriched,max,-0.3911733627319336,0.11433721333742142,-3.4212253093719482,3.4212253093719482,38,8
4,7206,base_enriched,max,-0.6188814640045166,0.18187063932418823,-3.4028663635253906,3.4028663635253906,72,8
5,3063,base_enriched,active_fraction,-0.02269764058291912,0.0068420604802668095,-3.317369222640991,3.317369222640991,79,8
6,3378,base_enriched,max,-0.47060534358024597,0.1427951455116272,-3.2956676483154297,3.2956676483154297,65,8
7,10388,base_enriched,mean,-0.041306670755147934,0.012759736739099026,-3.237266778945923,3.237266778945923,79,8
8,10047,base_enriched,mean,-0.05390165001153946,0.017056448385119438,-3.1601920127868652,3.1601920127868652,79,8
9,10988,base_enriched,max,-0.7817694544792175,0.25074267387390137,-3.1178157329559326,3.1178157329559326,79,8
10,14567,base_enriched,mean,-0.05084698647260666,0.016437722370028496,-3.093310832977295,3.093310832977295,79,8
11,13891,base_enriched,max,-0.5003283023834229,0.16188795864582062,-3.0905838012695312,3.0905838012695312,78,8
12,9991,base_enriched,max,-0.40608081221580505,0.1316101998090744,-3.0854814052581787,3.0854814052581787,60,8
13,2582,base_enriched,active_fraction,-0.008101854473352432,0.0026555927470326424,-3.0508646965026855,3.0508646965026855,79,8
14,10139,base_enriched,max,-0.41902631521224976,0.13875438272953033,-3.019914150238037,3.019914150238037,72,8
15,2092,base_enriched,max,-1.4351005554199219,0.4785463511943817,-2.9988746643066406,2.9988746643066406,46,8
16,8427,base_enriched,mean,-0.04159947857260704,0.013883926905691624,-2.9962329864501953,2.9962329864501953,55,8
17,4305,base_enriched,max,-0.9013811945915222,0.3014863133430481,-2.9897913932800293,2.9897913932800293,74,8
18,9688,base_enriched,max,-0.9330271482467651,0.31266117095947266,-2.984147787094116,2.984147787094116,75,8
19,2077,base_enriched,active_fraction,-0.01018423680216074,0.0034194723702967167,-2.978306531906128,2.978306531906128,57,8
20,6950,base_enriched,max,-1.3880980014801025,0.4661570191383362,-2.977747678756714,2.977747678756714,19,8
21,12133,base_enriched,mean,-0.08508867770433426,0.028628874570131302,-2.972127914428711,2.972127914428711,74,8
22,5494,base_enriched,active_fraction,-0.01179547980427742,0.0039985328912734985,-2.9499518871307373,2.9499518871307373,74,8
23,14084,base_enriched,active_fraction,-0.01467003021389246,0.005026606377214193,-2.918476104736328,2.918476104736328,79,8
24,6477,base_enriched,max,-1.8869444131851196,0.6469201445579529,-2.916811943054199,2.916811943054199,64,8
25,12595,base_enriched,mean,-0.0634186863899231,0.02176254615187645,-2.914120674133301,2.914120674133301,53,8
26,2631,base_enriched,max,-0.8193889856338501,0.28228285908699036,-2.9027230739593506,2.9027230739593506,79,8
27,3974,base_enriched,mean,-0.05298667401075363,0.018719548359513283,-2.8305530548095703,2.8305530548095703,78,8
28,176,base_enriched,mean,-0.04704713076353073,0.016835803166031837,-2.794469118118286,2.794469118118286,79,8
29,9372,base_enriched,active_fraction,-0.01106391754001379,0.004015195183455944,-2.75551176071167,2.75551176071167,72,8
30,5304,base_enriched,max,-0.602064311504364,0.21911665797233582,-2.7476885318756104,2.7476885318756104,46,8
31,7475,base_enriched,max,-1.5888856649398804,0.580520510673523,-2.737001657485962,2.737001657485962,79,8
32,6007,base_enriched,max,-1.3411610126495361,0.4930208921432495,-2.720292568206787,2.720292568206787,79,8
