rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,support,minimum_support
1,8587,specialized_enriched,max,7.152975559234619,1.5130088329315186,4.727649688720703,4.727649688720703,57,8
2,8959,specialized_enriched,max,2.8053390979766846,0.6716105341911316,4.177032470703125,4.177032470703125,78,8
3,6404,specialized_enriched,max,6.595813751220703,1.5802359580993652,4.1739420890808105,4.1739420890808105,51,8
4,9716,specialized_enriched,max,3.5717530250549316,0.8692854642868042,4.108838081359863,4.108838081359863,75,8
5,14089,specialized_enriched,max,5.140688896179199,1.2889978885650635,3.988128185272217,3.988128185272217,54,8
6,11381,specialized_enriched,max,3.966157913208008,1.0230011940002441,3.8769826889038086,3.8769826889038086,60,8
7,15246,specialized_enriched,max,2.1049163341522217,0.5455291271209717,3.858485698699951,3.858485698699951,51,8
8,1112,specialized_enriched,max,3.95668363571167,1.050836443901062,3.765270709991455,3.765270709991455,62,8
9,6684,specialized_enriched,max,2.304553985595703,0.6147134900093079,3.7489888668060303,3.7489888668060303,79,8
10,4726,specialized_enriched,max,3.695427179336548,1.0178216695785522,3.6307215690612793,3.6307215690612793,78,8
11,12956,specialized_enriched,max,5.029946327209473,1.4037688970565796,3.583172559738159,3.583172559738159,76,8
12,989,specialized_enriched,mean,0.03319529816508293,0.009404819458723068,3.5296051502227783,3.5296051502227783,62,8
13,6934,specialized_enriched,max,1.2899994850158691,0.3669591248035431,3.515376567840576,3.515376567840576,78,8
14,13370,specialized_enriched,mean,0.2632378935813904,0.07615407556295395,3.456648826599121,3.456648826599121,69,8
15,7638,specialized_enriched,max,0.45553719997406006,0.13332277536392212,3.416799545288086,3.416799545288086,33,8
16,1196,specialized_enriched,max,3.9024550914764404,1.1431061029434204,3.4139044284820557,3.4139044284820557,76,8
17,13871,specialized_enriched,max,1.1707178354263306,0.34362831711769104,3.406930685043335,3.406930685043335,78,8
18,7916,specialized_enriched,max,3.988185167312622,1.184120774269104,3.368056058883667,3.368056058883667,77,8
19,11076,specialized_enriched,max,1.525493860244751,0.45335155725479126,3.364924669265747,3.364924669265747,51,8
20,13880,specialized_enriched,max,2.318314552307129,0.6892591714859009,3.363487482070923,3.363487482070923,74,8
21,2449,specialized_enriched,max,3.077542543411255,0.9297882914543152,3.309938907623291,3.309938907623291,68,8
22,5685,specialized_enriched,max,2.014233112335205,0.6106024384498596,3.2987635135650635,3.2987635135650635,60,8
