rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,support,minimum_support
1,15402,base_enriched,mean,-0.10507240891456604,0.01651691272854805,-6.361504077911377,6.361504077911377,268,27
2,453,base_enriched,active_fraction,-0.01474047265946865,0.002441755263134837,-6.036834716796875,6.036834716796875,268,27
3,601,base_enriched,mean,-0.16152219474315643,0.026877695694565773,-6.009525299072266,6.009525299072266,268,27
4,5120,base_enriched,active_fraction,-0.016889113932847977,0.002832253696396947,-5.963136196136475,5.963136196136475,268,27
5,14567,base_enriched,mean,-0.10120072960853577,0.017308030277490616,-5.847039222717285,5.847039222717285,267,27
6,13503,base_enriched,active_fraction,-0.007995798252522945,0.0014750309055671096,-5.420766353607178,5.420766353607178,225,27
7,812,base_enriched,max,-11.738577842712402,2.197199583053589,-5.342517852783203,5.342517852783203,113,27
8,3786,base_enriched,active_fraction,-0.080322265625,0.01511977519840002,-5.3123979568481445,5.3123979568481445,268,27
9,7784,base_enriched,mean,-0.044307272881269455,0.0084029296413064,-5.272836208343506,5.272836208343506,265,27
10,1484,base_enriched,mean,-0.05574001744389534,0.010615675710141659,-5.25072717666626,5.25072717666626,268,27
11,1939,base_enriched,active_fraction,-0.013644447550177574,0.002598968567326665,-5.2499470710754395,5.2499470710754395,259,27
12,9766,base_enriched,active_fraction,-0.016004489734768867,0.003079037880524993,-5.1978864669799805,5.1978864669799805,260,27
13,5837,base_enriched,mean,-0.13347874581813812,0.025717059150338173,-5.190280437469482,5.190280437469482,155,27
14,5889,base_enriched,max,-10.308640480041504,1.988456130027771,-5.184243202209473,5.184243202209473,194,27
15,12854,base_enriched,mean,-0.0724683329463005,0.014024241827428341,-5.167361736297607,5.167361736297607,266,27
16,1862,base_enriched,max,-6.330535411834717,1.2285181283950806,-5.152985095977783,5.152985095977783,159,27
17,10329,base_enriched,max,-14.094009399414062,2.7361109256744385,-5.1511101722717285,5.1511101722717285,193,27
18,7057,base_enriched,mean,-0.04712623730301857,0.009297518990933895,-5.068689346313477,5.068689346313477,267,27
19,13582,base_enriched,mean,-0.05009615048766136,0.009909291751682758,-5.055472373962402,5.055472373962402,268,27
20,6184,base_enriched,mean,-0.10152348130941391,0.02010309137403965,-5.050142765045166,5.050142765045166,268,27
21,6330,base_enriched,max,-7.039352893829346,1.3959518671035767,-5.042690277099609,5.042690277099609,183,27
22,11265,base_enriched,mean,-0.03343142569065094,0.006662711966782808,-5.017690181732178,5.017690181732178,267,27
