rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,support,minimum_support
1,4751,specialized_enriched,active_fraction,0.02678033336997032,0.005949416197836399,4.501338005065918,4.501338005065918,174,27
2,10135,specialized_enriched,max,4.049668788909912,0.9251118898391724,4.377490997314453,4.377490997314453,268,27
3,7865,specialized_enriched,mean,0.13109926879405975,0.030915139243006706,4.240617275238037,4.240617275238037,204,27
4,6623,specialized_enriched,max,2.6912827491760254,0.6348109245300293,4.239502906799316,4.239502906799316,168,27
5,14481,specialized_enriched,max,2.1343576908111572,0.508019208908081,4.2013325691223145,4.2013325691223145,99,27
6,14316,specialized_enriched,max,3.833409547805786,0.9125534892082214,4.200750350952148,4.200750350952148,159,27
7,5456,specialized_enriched,max,2.470851421356201,0.5988430380821228,4.126041889190674,4.126041889190674,234,27
8,348,specialized_enriched,max,6.279692649841309,1.5609338283538818,4.023036003112793,4.023036003112793,73,27
9,10959,specialized_enriched,max,1.380228877067566,0.34768471121788025,3.96977162361145,3.96977162361145,207,27
10,11517,specialized_enriched,max,1.4502942562103271,0.3765608072280884,3.8514211177825928,3.8514211177825928,218,27
11,6192,specialized_enriched,max,0.6859486103057861,0.17839382588863373,3.8451364040374756,3.8451364040374756,132,27
12,8264,specialized_enriched,max,0.9878362417221069,0.2583010196685791,3.8243606090545654,3.8243606090545654,197,27
13,16200,specialized_enriched,max,2.9697327613830566,0.7796964049339294,3.8088321685791016,3.8088321685791016,207,27
14,10967,specialized_enriched,max,0.9712840914726257,0.2552427351474762,3.8053348064422607,3.8053348064422607,174,27
15,12716,specialized_enriched,max,4.251372337341309,1.117598295211792,3.804025411605835,3.804025411605835,184,27
16,14767,specialized_enriched,active_fraction,0.005789455026388168,0.0015337398508563638,3.774730682373047,3.774730682373047,54,27
17,12235,specialized_enriched,max,1.7225573062896729,0.45854395627975464,3.7565805912017822,3.7565805912017822,111,27
18,6852,specialized_enriched,max,2.4380810260772705,0.6574991941452026,3.7081124782562256,3.7081124782562256,125,27
19,753,specialized_enriched,max,1.6602922677993774,0.44820353388786316,3.704326629638672,3.704326629638672,198,27
20,2491,specialized_enriched,max,0.7470517754554749,0.20227091014385223,3.6933228969573975,3.6933228969573975,255,27
21,10619,specialized_enriched,active_fraction,0.01860664412379265,0.005053668282926083,3.681809663772583,3.681809663772583,226,27
22,970,specialized_enriched,max,4.214256763458252,1.1502104997634888,3.663900375366211,3.663900375366211,87,27
23,13918,specialized_enriched,max,1.2046701908111572,0.32957547903060913,3.6552178859710693,3.6552178859710693,115,27
24,1097,specialized_enriched,max,0.8835047483444214,0.2442159652709961,3.6177189350128174,3.6177189350128174,119,27
25,6056,specialized_enriched,max,0.49842390418052673,0.1380724161863327,3.609873056411743,3.609873056411743,105,27
26,61,specialized_enriched,max,0.6335418224334717,0.1755405217409134,3.6090915203094482,3.6090915203094482,105,27
27,11247,specialized_enriched,max,5.041114330291748,1.3996226787567139,3.601766586303711,3.601766586303711,94,27
28,321,specialized_enriched,max,0.8169748783111572,0.227185919880867,3.5960628986358643,3.5960628986358643,264,27
29,11020,specialized_enriched,max,4.86129093170166,1.352936863899231,3.5931396484375,3.5931396484375,58,27
30,6298,specialized_enriched,max,0.789828896522522,0.22007015347480774,3.588986873626709,3.588986873626709,217,27
31,3714,specialized_enriched,max,2.195918321609497,0.6124501824378967,3.5854644775390625,3.5854644775390625,79,27
32,3983,specialized_enriched,max,0.8868547081947327,0.24783043563365936,3.5784738063812256,3.5784738063812256,183,27
33,185,specialized_enriched,max,1.9654494524002075,0.5492879152297974,3.5781772136688232,3.5781772136688232,128,27
34,10285,specialized_enriched,max,2.5193333625793457,0.7043482065200806,3.576829433441162,3.576829433441162,217,27
35,12708,specialized_enriched,max,1.5047838687896729,0.42279359698295593,3.559145450592041,3.559145450592041,169,27
36,15039,specialized_enriched,max,1.2904161214828491,0.36311280727386475,3.5537610054016113,3.5537610054016113,153,27
37,4726,specialized_enriched,max,0.8014858365058899,0.22557859122753143,3.553022623062134,3.553022623062134,110,27
