rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,support,minimum_support
1,5006,base_enriched,active_fraction,-0.014639166183769703,0.004624220076948404,-3.1657590866088867,3.1657590866088867,70,27
2,1126,base_enriched,active_fraction,-0.029170071706175804,0.009590904228389263,-3.041430711746216,3.041430711746216,155,27
3,10600,base_enriched,mean,-0.14479663968086243,0.050574932247400284,-2.8630120754241943,2.8630120754241943,62,27
4,15613,base_enriched,mean,-0.07594318687915802,0.026684489101171494,-2.8459675312042236,2.8459675312042236,89,27
5,2631,base_enriched,active_fraction,-0.03820578753948212,0.013452875427901745,-2.8399717807769775,2.8399717807769775,210,27
6,11407,base_enriched,mean,-0.07453048974275589,0.02626154012978077,-2.8380091190338135,2.8380091190338135,132,27
7,7795,base_enriched,active_fraction,-0.014825072139501572,0.005229815375059843,-2.834721803665161,2.834721803665161,72,27
8,9961,base_enriched,active_fraction,-0.01959865912795067,0.007104082964360714,-2.7587881088256836,2.7587881088256836,63,27
9,7772,base_enriched,active_fraction,-0.004804297350347042,0.0017419859068468213,-2.7579426765441895,2.7579426765441895,61,27
10,13220,base_enriched,active_fraction,-0.028301963582634926,0.01044543832540512,-2.7095046043395996,2.7095046043395996,203,27
11,10023,base_enriched,active_fraction,-0.020952634513378143,0.007781985681504011,-2.692453384399414,2.692453384399414,184,27
12,3633,base_enriched,active_fraction,-0.008606922812759876,0.0032416130416095257,-2.6551358699798584,2.6551358699798584,74,27
13,8981,base_enriched,mean,-0.10060293227434158,0.03795037046074867,-2.6509077548980713,2.6509077548980713,221,27
14,13449,base_enriched,active_fraction,-0.007588639855384827,0.0028637470677495003,-2.6498987674713135,2.6498987674713135,64,27
15,9775,base_enriched,active_fraction,-0.006961774080991745,0.002628433285281062,-2.6486401557922363,2.6486401557922363,77,27
16,2445,base_enriched,active_fraction,-0.017277391627430916,0.006588261108845472,-2.622451066970825,2.622451066970825,217,27
17,2044,base_enriched,mean,-0.15140175819396973,0.05807401239871979,-2.607048273086548,2.607048273086548,162,27
18,13809,base_enriched,active_fraction,-0.023929838091135025,0.009304915554821491,-2.5717415809631348,2.5717415809631348,122,27
19,854,base_enriched,mean,-0.03724612295627594,0.014493417926132679,-2.5698647499084473,2.5698647499084473,105,27
20,7607,base_enriched,mean,-0.19608084857463837,0.07633045315742493,-2.5688416957855225,2.5688416957855225,151,27
21,10784,base_enriched,mean,-0.1088428720831871,0.04242222011089325,-2.565704345703125,2.565704345703125,158,27
22,6046,base_enriched,active_fraction,-0.007147294003516436,0.00280033890157938,-2.5522961616516113,2.5522961616516113,75,27
