case_id,model,feature_id,subset,screenings,orientation,number_of_tests,alpha
1,CodeLlama,13147,wrong_logic_or_other_runtime,transition_vs_rest,specialized_enriched,50,-3
2,CodeLlama,15471,wrong_logic_or_other_runtime,transition_vs_rest,specialized_enriched,50,-3
3,CodeLlama,14359,wrong_logic_or_other_runtime,transition_vs_rest,base_enriched,50,3
4,CodeLlama,8992,wrong_logic_or_other_runtime,transition_vs_rest,base_enriched,50,3
5,CodeLlama,1840,wrong_logic_or_other_runtime,transition_vs_rest;paired_model_diff,base_enriched,50,3
6,CodeLlama,2825,wrong_logic_or_other_runtime,transition_vs_rest,specialized_enriched,50,-3
7,CodeLlama,8138,wrong_logic_or_other_runtime,transition_vs_rest;paired_model_diff,base_enriched,50,3
8,CodeLlama,2310,wrong_logic_or_other_runtime,transition_vs_rest,base_enriched,50,3
9,CodeLlama,10570,wrong_logic_or_other_runtime,transition_vs_rest,specialized_enriched,50,-3
10,CodeLlama,7353,wrong_logic_or_other_runtime,transition_vs_rest,specialized_enriched,50,-3
11,CodeLlama,2099,wrong_logic_or_other_runtime,paired_model_diff,base_enriched,50,3
12,CodeLlama,12253,wrong_logic_or_other_runtime,paired_model_diff,base_enriched,50,3
13,CodeLlama,4561,wrong_logic_or_other_runtime,paired_model_diff,base_enriched,50,3
14,CodeLlama,5044,wrong_logic_or_other_runtime,paired_model_diff,base_enriched,50,3
15,CodeLlama,3612,wrong_logic_or_other_runtime,paired_model_diff,specialized_enriched,50,-3
16,CodeLlama,324,wrong_logic_or_other_runtime,paired_model_diff;temporal_weighted,base_enriched,50,3
17,CodeLlama,8053,wrong_logic_or_other_runtime,paired_model_diff,base_enriched,50,3
18,CodeLlama,8183,wrong_logic_or_other_runtime,paired_model_diff,base_enriched,50,3
19,CodeLlama,13132,wrong_logic_or_other_runtime,error_region,base_enriched,50,3
20,CodeLlama,9430,wrong_logic_or_other_runtime,error_region,base_enriched,50,3
21,CodeLlama,6230,wrong_logic_or_other_runtime,error_region,base_enriched,50,3
22,CodeLlama,27,wrong_logic_or_other_runtime,error_region,base_enriched,50,3
23,CodeLlama,13287,wrong_logic_or_other_runtime,error_region,base_enriched,50,3
24,CodeLlama,13934,wrong_logic_or_other_runtime,error_region,base_enriched,50,3
25,CodeLlama,10853,wrong_logic_or_other_runtime,error_region,base_enriched,50,3
26,CodeLlama,535,wrong_logic_or_other_runtime,error_region,specialized_enriched,50,-3
27,CodeLlama,3477,wrong_logic_or_other_runtime,error_region,base_enriched,50,3
28,CodeLlama,12823,wrong_logic_or_other_runtime,error_region,base_enriched,50,3
29,CodeLlama,4822,wrong_logic_or_other_runtime,temporal_weighted,base_enriched,50,3
30,CodeLlama,10381,wrong_logic_or_other_runtime,temporal_weighted,base_enriched,50,3
31,CodeLlama,15532,wrong_logic_or_other_runtime,temporal_weighted,base_enriched,50,3
32,CodeLlama,10922,wrong_logic_or_other_runtime,temporal_weighted,base_enriched,50,3
33,CodeLlama,10337,wrong_logic_or_other_runtime,temporal_weighted,base_enriched,50,3
