model,feature,passes,changed,cleanup,mean_first_divergence_changed_pct,median_first_divergence_changed_pct,ev,abs_ev,orientation,summary,best_screen,best_screen_rank,pass_tasks
DeepSeek,2468,7,34,13,42.7294768681257,40.75470331839773,-7.285712718963623,7.285712718963623,base_enriched,max,paired_local,1,BigCodeBench/188;BigCodeBench/316;BigCodeBench/435;BigCodeBench/459;BigCodeBench/695;BigCodeBench/7;BigCodeBench/937
DeepSeek,2621,6,28,9,37.85545785675474,30.79888606301574,-10.531700134277344,10.531700134277344,base_enriched,max,paired_global,8,BigCodeBench/316;BigCodeBench/435;BigCodeBench/459;BigCodeBench/496;BigCodeBench/695;BigCodeBench/7
DeepSeek,15235,6,23,5,49.13232476143949,57.903097696584595,-4.606033802032471,4.606033802032471,base_enriched,max,association_global,8,BigCodeBench/166;BigCodeBench/316;BigCodeBench/435;BigCodeBench/459;BigCodeBench/496;BigCodeBench/634
DeepSeek,14175,6,26,9,46.52103480867966,45.02872605675714,4.094379901885986,4.094379901885986,specialized_enriched,max,association_local,1,BigCodeBench/1;BigCodeBench/166;BigCodeBench/316;BigCodeBench/435;BigCodeBench/496;BigCodeBench/937
DeepSeek,2913,5,29,9,46.929509809080535,40.0593471810089,-10.945343971252441,10.945343971252441,base_enriched,max,paired_global,1,BigCodeBench/166;BigCodeBench/459;BigCodeBench/496;BigCodeBench/695;BigCodeBench/7
DeepSeek,6895,5,23,7,36.81562477310362,39.0745501285347,5.7318267822265625,5.7318267822265625,specialized_enriched,max,association_global,2,BigCodeBench/166;BigCodeBench/316;BigCodeBench/435;BigCodeBench/496;BigCodeBench/937
DeepSeek,1078,5,26,8,31.842022784444573,28.133771428304733,5.7212300300598145,5.7212300300598145,specialized_enriched,max,association_global,3,BigCodeBench/166;BigCodeBench/349;BigCodeBench/435;BigCodeBench/634;BigCodeBench/940
DeepSeek,596,5,26,7,34.796110671821395,29.021203076732565,4.993773937225342,4.993773937225342,specialized_enriched,max,association_global,4,BigCodeBench/1;BigCodeBench/166;BigCodeBench/316;BigCodeBench/695;BigCodeBench/937
DeepSeek,14820,5,23,6,54.121192615059854,52.80898876404494,-4.690679550170898,4.690679550170898,base_enriched,max,association_global,6,BigCodeBench/166;BigCodeBench/349;BigCodeBench/435;BigCodeBench/459;BigCodeBench/7
DeepSeek,1939,5,25,8,44.55424180650949,50.57870370370371,-4.645599842071533,4.645599842071533,base_enriched,max,association_global,7,BigCodeBench/188;BigCodeBench/316;BigCodeBench/435;BigCodeBench/496;BigCodeBench/634
DeepSeek,6305,4,23,7,40.19384546367179,36.60377358490566,-6.803412437438965,6.803412437438965,base_enriched,max,paired_local,8,BigCodeBench/349;BigCodeBench/435;BigCodeBench/496;BigCodeBench/666
DeepSeek,15821,3,18,5,46.49267009672832,41.048012801839185,-10.772873878479004,10.772873878479004,base_enriched,max,paired_global,3,BigCodeBench/316;BigCodeBench/666;BigCodeBench/937
DeepSeek,2957,3,26,5,42.1128857182882,40.39098772272977,-10.582893371582031,10.582893371582031,base_enriched,max,paired_global,6,BigCodeBench/435;BigCodeBench/937;BigCodeBench/940
DeepSeek,3602,3,19,6,49.97245070272293,51.920236336779915,-10.566333770751953,10.566333770751953,base_enriched,max,paired_global,7,BigCodeBench/316;BigCodeBench/349;BigCodeBench/940
DeepSeek,9700,3,30,6,42.849311027601274,39.71952189231577,-6.850437641143799,6.850437641143799,base_enriched,max,paired_local,7,BigCodeBench/316;BigCodeBench/349;BigCodeBench/435
DeepSeek,15733,3,26,5,49.825735252741495,47.40840180285092,-4.576164245605469,4.576164245605469,base_enriched,max,association_global,9,BigCodeBench/166;BigCodeBench/316;BigCodeBench/435
DeepSeek,16205,3,22,7,43.91688243623884,37.4062734154975,-4.570825099945068,4.570825099945068,base_enriched,max,association_global,10,BigCodeBench/666;BigCodeBench/695;BigCodeBench/937
DeepSeek,12308,2,20,5,49.3410512127908,51.2494700202418,-10.742121696472168,10.742121696472168,base_enriched,max,paired_global,4,BigCodeBench/349;BigCodeBench/634
DeepSeek,16264,2,16,2,46.04613998465707,43.13144571970584,-10.598187446594238,10.598187446594238,base_enriched,max,paired_global,5,BigCodeBench/496;BigCodeBench/937
DeepSeek,14295,2,35,8,45.563486983403315,45.96622889305816,-7.170830726623535,7.170830726623535,base_enriched,max,paired_local,2,BigCodeBench/496;BigCodeBench/940
DeepSeek,10736,2,27,7,49.191936243426035,45.96622889305816,-6.78645658493042,6.78645658493042,base_enriched,max,paired_local,9,BigCodeBench/695;BigCodeBench/7
DeepSeek,13879,2,25,5,44.5032183991295,45.96622889305816,5.82059907913208,5.82059907913208,specialized_enriched,max,association_global,1,BigCodeBench/435;BigCodeBench/634
DeepSeek,8185,2,28,7,45.496532027047,39.03990730865953,-4.796661376953125,4.796661376953125,base_enriched,max,association_global,5,BigCodeBench/459;BigCodeBench/940
DeepSeek,6877,1,21,3,43.57344282197326,41.478439425051334,-10.47087287902832,10.47087287902832,base_enriched,max,paired_global,9,BigCodeBench/166
DeepSeek,14006,1,20,3,45.11822824100309,49.50021043771044,-10.439516067504883,10.439516067504883,base_enriched,max,paired_global,10,BigCodeBench/316
DeepSeek,8661,1,25,4,42.006369861725254,40.0593471810089,-7.060406684875488,7.060406684875488,base_enriched,max,paired_local,3,BigCodeBench/166
DeepSeek,9666,1,34,5,47.051573652038144,46.53790261101582,-4.066587448120117,4.066587448120117,base_enriched,max,association_local,2,BigCodeBench/188
DeepSeek,7728,0,18,1,43.90344578633369,41.04305733181171,-10.942564964294434,10.942564964294434,base_enriched,max,paired_global,2,
CodeLlama,7692,1,20,0,17.13777995620624,9.91230901656983,5.899150848388672,5.899150848388672,specialized_enriched,active_fraction,association_global,1,BigCodeBench/119
CodeLlama,10818,1,19,0,9.126454323092826,6.489994591671174,5.897525310516357,5.897525310516357,specialized_enriched,active_fraction,association_global,2,BigCodeBench/119
CodeLlama,5642,1,22,0,13.067910063248172,7.032168527600188,5.741393566131592,5.741393566131592,specialized_enriched,active_fraction,association_global,3,BigCodeBench/630
CodeLlama,11596,1,24,0,6.741486403240993,2.7995594605270275,5.609463691711426,5.609463691711426,specialized_enriched,active_fraction,association_global,5,BigCodeBench/119
CodeLlama,4309,1,21,0,10.280258640646956,6.489994591671174,4.863219261169434,4.863219261169434,specialized_enriched,mean,association_local,9,BigCodeBench/490
CodeLlama,8142,1,26,0,9.202836286930435,3.73820618435312,4.690555572509766,4.690555572509766,specialized_enriched,active_fraction,paired_local,5,BigCodeBench/823
CodeLlama,15559,0,20,0,21.209570930427017,9.686497178759224,5.7771782875061035,5.7771782875061035,specialized_enriched,mean,association_local,1,
CodeLlama,447,0,22,0,9.767428084832762,5.265021176931847,5.696426868438721,5.696426868438721,specialized_enriched,active_fraction,association_global,4,
CodeLlama,1017,0,21,0,9.051432207712052,7.1680376028202115,5.596478462219238,5.596478462219238,specialized_enriched,active_fraction,association_global,6,
CodeLlama,4173,0,14,0,9.103236552898974,4.2861584995265085,5.56643009185791,5.56643009185791,specialized_enriched,active_fraction,paired_local,1,
CodeLlama,4634,0,17,0,14.902614328454892,5.0359712230215825,5.551872730255127,5.551872730255127,specialized_enriched,active_fraction,paired_global,5,
CodeLlama,8875,0,20,0,12.228906480436121,9.39335524761509,5.505491733551025,5.505491733551025,specialized_enriched,active_fraction,paired_global,1,
CodeLlama,3097,0,25,0,19.50225505524726,8.633582596872875,5.503204345703125,5.503204345703125,specialized_enriched,active_fraction,association_local,2,
CodeLlama,7588,0,19,0,10.911743668352159,5.966587112171838,5.430356502532959,5.430356502532959,specialized_enriched,active_fraction,paired_global,2,
CodeLlama,565,0,23,0,13.56842786216285,8.633582596872875,5.419837951660156,5.419837951660156,specialized_enriched,mean,association_local,3,
CodeLlama,3442,0,20,0,7.435447745792187,4.716327978115956,5.418579578399658,5.418579578399658,specialized_enriched,active_fraction,association_global,9,
CodeLlama,8384,0,23,0,9.265252285499477,4.876615746180963,5.3391876220703125,5.3391876220703125,specialized_enriched,mean,association_global,10,
CodeLlama,15890,0,26,0,13.206929964427175,9.549355561250154,5.302175998687744,5.302175998687744,specialized_enriched,active_fraction,association_local,5,
CodeLlama,12623,0,17,0,12.397707894996596,9.668353007307475,5.2378339767456055,5.2378339767456055,specialized_enriched,mean,paired_local,3,
CodeLlama,12895,0,21,0,10.469993716015162,4.479283314669653,5.149071216583252,5.149071216583252,specialized_enriched,active_fraction,paired_global,3,
CodeLlama,414,0,18,0,14.474490066880632,6.4865386737283455,5.106439113616943,5.106439113616943,specialized_enriched,active_fraction,association_local,6,
CodeLlama,15968,0,23,0,10.345938611808217,6.689151208544127,4.994719505310059,4.994719505310059,specialized_enriched,mean,paired_local,4,
CodeLlama,4740,0,19,0,15.036749738348254,7.973174366616989,4.962392807006836,4.962392807006836,specialized_enriched,mean,association_local,7,
CodeLlama,13768,0,24,0,14.104498233479243,8.030348730809639,4.875020503997803,4.875020503997803,specialized_enriched,active_fraction,association_local,8,
CodeLlama,14969,0,25,0,7.616645411594583,4.795117698343505,4.860084056854248,4.860084056854248,specialized_enriched,active_fraction,association_local,10,
CodeLlama,5862,0,27,0,11.195692473356011,6.011787819253438,4.788618087768555,4.788618087768555,specialized_enriched,active_fraction,paired_global,6,
CodeLlama,3366,0,22,0,16.118971442772217,9.018987341772151,4.779106140136719,4.779106140136719,specialized_enriched,mean,paired_global,7,
CodeLlama,9419,0,19,0,16.56313551087936,6.489994591671174,4.690218448638916,4.690218448638916,specialized_enriched,active_fraction,paired_local,6,
CodeLlama,13231,0,16,0,14.380998481973448,10.05731117491341,4.6761040687561035,4.6761040687561035,specialized_enriched,mean,paired_local,7,
CodeLlama,7486,0,17,0,17.072958364391763,7.19915922228061,4.63864803314209,4.63864803314209,specialized_enriched,mean,paired_global,8,
CodeLlama,13151,0,19,0,14.031860563458288,7.947368421052632,-4.52857780456543,4.52857780456543,base_enriched,mean,paired_local,9,
CodeLlama,13172,0,19,0,13.936926492106656,6.244830438378825,-4.392996311187744,4.392996311187744,base_enriched,mean,paired_local,10,
