model,task_id,features_correcting
DeepSeek,BigCodeBench/435,13
DeepSeek,BigCodeBench/316,12
DeepSeek,BigCodeBench/166,10
DeepSeek,BigCodeBench/496,9
DeepSeek,BigCodeBench/937,8
DeepSeek,BigCodeBench/349,6
DeepSeek,BigCodeBench/695,6
DeepSeek,BigCodeBench/459,6
DeepSeek,BigCodeBench/634,5
DeepSeek,BigCodeBench/940,5
DeepSeek,BigCodeBench/7,5
DeepSeek,BigCodeBench/666,3
DeepSeek,BigCodeBench/188,3
DeepSeek,BigCodeBench/1,2
CodeLlama,BigCodeBench/119,3
CodeLlama,BigCodeBench/823,1
CodeLlama,BigCodeBench/490,1
CodeLlama,BigCodeBench/630,1
