rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,positive_support,minimum_support
1,7692,specialized_enriched,active_fraction,0.023114755749702454,0.003918319009244442,5.899150848388672,5.899150848388672,38,5
2,10818,specialized_enriched,active_fraction,0.02738167904317379,0.004642909858375788,5.897525310516357,5.897525310516357,29,5
3,5642,specialized_enriched,active_fraction,0.18980741500854492,0.03305946663022041,5.741393566131592,5.741393566131592,50,5
4,447,specialized_enriched,active_fraction,0.02886947989463806,0.005067998077720404,5.696426868438721,5.696426868438721,50,5
5,11596,specialized_enriched,active_fraction,0.15351945161819458,0.027367938309907913,5.609463691711426,5.609463691711426,45,5
6,1017,specialized_enriched,active_fraction,0.04077887162566185,0.0072865234687924385,5.596478462219238,5.596478462219238,26,5
7,4634,specialized_enriched,active_fraction,0.0691663920879364,0.012458208948373795,5.551872730255127,5.551872730255127,41,5
8,7588,specialized_enriched,active_fraction,0.021084165200591087,0.0038826484233140945,5.430356502532959,5.430356502532959,40,5
9,3442,specialized_enriched,active_fraction,0.015886489301919937,0.002931854920461774,5.418579578399658,5.418579578399658,39,5
10,8384,specialized_enriched,mean,0.17231863737106323,0.03227431699633598,5.3391876220703125,5.3391876220703125,33,5
11,8875,specialized_enriched,active_fraction,0.03963645547628403,0.007540303748100996,5.256612777709961,5.256612777709961,31,5
12,4933,specialized_enriched,active_fraction,0.06960462033748627,0.013758494518697262,5.059028625488281,5.059028625488281,31,5
13,8142,specialized_enriched,active_fraction,0.02612922340631485,0.005201822612434626,5.02308988571167,5.02308988571167,49,5
14,3893,specialized_enriched,mean,0.17491421103477478,0.0348697267472744,5.016219615936279,5.016219615936279,33,5
15,3272,specialized_enriched,active_fraction,0.0141006950289011,0.0028383329045027494,4.967949867248535,4.967949867248535,34,5
16,9769,specialized_enriched,active_fraction,0.016280870884656906,0.0032779902685433626,4.966723442077637,4.966723442077637,31,5
17,14968,specialized_enriched,mean,0.1010281965136528,0.02047027461230755,4.935360908508301,4.935360908508301,27,5
18,1559,specialized_enriched,active_fraction,0.035506099462509155,0.007198989391326904,4.932095050811768,4.932095050811768,27,5
19,4833,specialized_enriched,active_fraction,0.012686040252447128,0.002580226631835103,4.916637897491455,4.916637897491455,33,5
20,1639,specialized_enriched,mean,0.1619056910276413,0.03297374024987221,4.910140514373779,4.910140514373779,34,5
21,9011,specialized_enriched,mean,0.2396039366722107,0.04950205609202385,4.840282440185547,4.840282440185547,45,5
22,8662,specialized_enriched,active_fraction,0.02838139981031418,0.0058706384152174,4.834465503692627,4.834465503692627,30,5
23,8220,specialized_enriched,active_fraction,0.02450154349207878,0.005073960404843092,4.828879356384277,4.828879356384277,31,5
24,15517,specialized_enriched,active_fraction,0.06033528596162796,0.012539549730718136,4.811599254608154,4.811599254608154,38,5
25,13524,specialized_enriched,mean,0.15156623721122742,0.03150860220193863,4.810312747955322,4.810312747955322,30,5
26,107,specialized_enriched,active_fraction,0.04276931285858154,0.008920682594180107,4.794399261474609,4.794399261474609,27,5
