rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,positive_support,minimum_support
1,1664,base_enriched,max,-3.3345794677734375,0.7472726702690125,-4.462332725524902,4.462332725524902,50,5
2,14364,base_enriched,max,-3.7602078914642334,0.8849711418151855,-4.248960971832275,4.248960971832275,25,5
3,5611,base_enriched,max,-1.6407909393310547,0.39381521940231323,-4.166398048400879,4.166398048400879,11,5
4,11698,base_enriched,max,-3.880563497543335,0.9515490531921387,-4.07815408706665,4.07815408706665,20,5
5,8234,base_enriched,max,-4.48179817199707,1.1117744445800781,-4.031211853027344,4.031211853027344,24,5
6,2750,base_enriched,max,-2.1562345027923584,0.536797821521759,-4.016846656799316,4.016846656799316,22,5
7,7958,base_enriched,active_fraction,-0.17878706753253937,0.04649583250284195,-3.8452277183532715,3.8452277183532715,5,5
8,508,base_enriched,max,-2.7588348388671875,0.7217031717300415,-3.8226723670959473,3.8226723670959473,6,5
9,13329,base_enriched,active_fraction,-0.06582416594028473,0.017792820930480957,-3.6994788646698,3.6994788646698,18,5
10,12601,base_enriched,max,-2.1114542484283447,0.5717035531997681,-3.693267583847046,3.693267583847046,8,5
11,5784,base_enriched,max,-1.4461287260055542,0.40003588795661926,-3.614997386932373,3.614997386932373,20,5
12,673,base_enriched,max,-3.4041175842285156,0.9686599373817444,-3.514254570007324,3.514254570007324,7,5
13,4284,base_enriched,max,-3.5681891441345215,1.017295479774475,-3.5075247287750244,3.5075247287750244,14,5
14,11535,base_enriched,active_fraction,-0.0598381832242012,0.017160098999738693,-3.487053394317627,3.487053394317627,15,5
15,10193,base_enriched,active_fraction,-0.03995358571410179,0.011491295881569386,-3.4768564701080322,3.4768564701080322,9,5
16,8309,base_enriched,mean,-1.8738515377044678,0.5407123565673828,-3.4655237197875977,3.4655237197875977,35,5
17,16281,base_enriched,max,-2.5724291801452637,0.7548124194145203,-3.4080376625061035,3.4080376625061035,25,5
18,15522,base_enriched,max,-1.8097188472747803,0.5385956168174744,-3.360069751739502,3.360069751739502,25,5
19,14048,base_enriched,max,-1.281158447265625,0.3825623691082001,-3.3488876819610596,3.3488876819610596,7,5
20,15528,base_enriched,max,-2.158026933670044,0.6453544497489929,-3.343940496444702,3.343940496444702,12,5
21,8897,base_enriched,max,-2.2116434574127197,0.6622332334518433,-3.339674472808838,3.339674472808838,25,5
22,6918,base_enriched,active_fraction,-0.12489917129278183,0.037492334842681885,-3.3313255310058594,3.3313255310058594,21,5
23,7712,base_enriched,max,-2.200648307800293,0.6609715223312378,-3.3294146060943604,3.3294146060943604,6,5
24,4058,base_enriched,max,-2.2638072967529297,0.6837069988250732,-3.3110780715942383,3.3110780715942383,12,5
25,14322,base_enriched,max,-1.4201346635818481,0.4307362735271454,-3.2969934940338135,3.2969934940338135,9,5
26,6022,base_enriched,active_fraction,-0.056576892733573914,0.017211226746439934,-3.2872085571289062,3.2872085571289062,9,5
27,13678,base_enriched,mean,-0.18711280822753906,0.057239871472120285,-3.2689242362976074,3.2689242362976074,16,5
28,4709,base_enriched,max,-2.0871047973632812,0.6412025690078735,-3.2549850940704346,3.2549850940704346,7,5
