rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,positive_support,minimum_support
1,15559,specialized_enriched,mean,0.32885485887527466,0.056923091411590576,5.7771782875061035,5.7771782875061035,27,5
2,3097,specialized_enriched,active_fraction,0.06587293744087219,0.011969923973083496,5.503204345703125,5.503204345703125,43,5
3,565,specialized_enriched,mean,0.29228436946868896,0.053928617388010025,5.419837951660156,5.419837951660156,37,5
4,4173,specialized_enriched,active_fraction,0.06365329772233963,0.011923179030418396,5.33861780166626,5.33861780166626,29,5
5,15890,specialized_enriched,active_fraction,0.06344433128833771,0.011965716257691383,5.302175998687744,5.302175998687744,35,5
6,414,specialized_enriched,active_fraction,0.05250578001141548,0.01028226874768734,5.106439113616943,5.106439113616943,17,5
7,4740,specialized_enriched,mean,0.5511932373046875,0.11107408255338669,4.962392807006836,4.962392807006836,37,5
8,13768,specialized_enriched,active_fraction,0.07200342416763306,0.014769870787858963,4.875020503997803,4.875020503997803,37,5
9,4309,specialized_enriched,mean,0.36322247982025146,0.074687659740448,4.863219261169434,4.863219261169434,32,5
10,14969,specialized_enriched,active_fraction,0.05900513380765915,0.01214076392352581,4.860084056854248,4.860084056854248,26,5
11,13220,specialized_enriched,mean,0.2672578990459442,0.05511697754263878,4.848921298980713,4.848921298980713,14,5
12,15968,specialized_enriched,active_fraction,0.057749077677726746,0.011988645419478416,4.816980838775635,4.816980838775635,32,5
13,4534,specialized_enriched,active_fraction,0.060473956167697906,0.0125902583822608,4.803234100341797,4.803234100341797,35,5
14,4075,specialized_enriched,mean,0.16458195447921753,0.03442314267158508,4.781142711639404,4.781142711639404,20,5
15,12623,specialized_enriched,mean,0.3570713996887207,0.07506565004587173,4.75678825378418,4.75678825378418,15,5
16,11596,specialized_enriched,mean,0.43789100646972656,0.09306120872497559,4.705408573150635,4.705408573150635,28,5
17,2187,specialized_enriched,mean,0.45057412981987,0.09713143110275269,4.638808727264404,4.638808727264404,23,5
18,9419,specialized_enriched,active_fraction,0.05796787887811661,0.012550256215035915,4.618860244750977,4.618860244750977,26,5
19,13369,specialized_enriched,active_fraction,0.025841109454631805,0.005638826638460159,4.582710266113281,4.582710266113281,12,5
20,10283,specialized_enriched,active_fraction,0.06262366473674774,0.013718124479055405,4.565031051635742,4.565031051635742,31,5
21,4614,specialized_enriched,active_fraction,0.09112877398729324,0.0200150478631258,4.553012847900391,4.553012847900391,40,5
22,10123,specialized_enriched,active_fraction,0.04295533895492554,0.009608900174498558,4.470369815826416,4.470369815826416,26,5
23,765,specialized_enriched,active_fraction,0.02832820452749729,0.006354855839163065,4.457725524902344,4.457725524902344,9,5
24,7354,specialized_enriched,mean,0.35282742977142334,0.0796828344464302,4.4278974533081055,4.4278974533081055,29,5
25,7486,specialized_enriched,mean,0.968360424041748,0.21999616920948029,4.40171480178833,4.40171480178833,14,5
26,8142,specialized_enriched,mean,0.5415967702865601,0.12350045889616013,4.385382652282715,4.385382652282715,37,5
27,13746,specialized_enriched,active_fraction,0.05907940864562988,0.013597405515611172,4.344902992248535,4.344902992248535,31,5
28,929,specialized_enriched,mean,0.2125590741634369,0.04924234375357628,4.316591262817383,4.316591262817383,16,5
29,13231,specialized_enriched,mean,0.30468347668647766,0.07106862217187881,4.287172794342041,4.287172794342041,12,5
30,3233,specialized_enriched,mean,0.3811357319355011,0.08950916677713394,4.258063793182373,4.258063793182373,39,5
31,13289,specialized_enriched,active_fraction,0.02831355109810829,0.006656292825937271,4.2536516189575195,4.2536516189575195,11,5
32,7893,specialized_enriched,mean,0.24676784873008728,0.058293167501688004,4.23322057723999,4.23322057723999,15,5
33,16019,specialized_enriched,mean,0.08824695646762848,0.021387461572885513,4.126107215881348,4.126107215881348,7,5
34,13013,specialized_enriched,mean,0.0984509289264679,0.02403327263891697,4.096442699432373,4.096442699432373,8,5
35,6572,specialized_enriched,mean,0.4558779001235962,0.1120971068739891,4.066812515258789,4.066812515258789,22,5
36,6051,specialized_enriched,mean,0.2944501042366028,0.07284452766180038,4.042171955108643,4.042171955108643,27,5
37,4334,specialized_enriched,active_fraction,0.08873388171195984,0.022018982097506523,4.029881000518799,4.029881000518799,20,5
38,533,specialized_enriched,active_fraction,0.08380067348480225,0.02089289203286171,4.010965824127197,4.010965824127197,31,5
39,7692,specialized_enriched,active_fraction,0.048983946442604065,0.012241757474839687,4.001381874084473,4.001381874084473,22,5
40,3366,specialized_enriched,mean,0.3625388443470001,0.0906098484992981,4.001097679138184,4.001097679138184,13,5
41,4933,specialized_enriched,mean,0.2840580642223358,0.07139655202627182,3.9785964488983154,3.9785964488983154,11,5
42,2774,specialized_enriched,mean,0.2641061544418335,0.06639274209737778,3.9779372215270996,3.9779372215270996,8,5
43,5642,specialized_enriched,mean,0.36939072608947754,0.0928708165884018,3.977468252182007,3.977468252182007,24,5
44,13215,specialized_enriched,active_fraction,0.046873077750205994,0.011807326227426529,3.96983003616333,3.96983003616333,21,5
45,6388,specialized_enriched,active_fraction,0.07499699294567108,0.018976561725139618,3.952085494995117,3.952085494995117,25,5
46,14186,specialized_enriched,active_fraction,0.03665602207183838,0.009303441271185875,3.940049886703491,3.940049886703491,16,5
47,4990,specialized_enriched,active_fraction,0.04825066030025482,0.012296931818127632,3.9237966537475586,3.9237966537475586,18,5
48,954,specialized_enriched,active_fraction,0.04738283157348633,0.012115887366235256,3.910801649093628,3.910801649093628,25,5
49,12121,specialized_enriched,mean,0.6329492330551147,0.16193249821662903,3.9087226390838623,3.9087226390838623,6,5
50,12673,specialized_enriched,active_fraction,0.05668279901146889,0.014538714662194252,3.8987488746643066,3.8987488746643066,24,5
51,4272,specialized_enriched,active_fraction,0.024728596210479736,0.00635457132011652,3.891465663909912,3.891465663909912,7,5
52,13354,specialized_enriched,mean,0.17220419645309448,0.04427327960729599,3.8895740509033203,3.8895740509033203,14,5
53,9006,specialized_enriched,active_fraction,0.037637222558259964,0.009756370447576046,3.8577075004577637,3.8577075004577637,32,5
54,11046,specialized_enriched,active_fraction,0.051254674792289734,0.013301298953592777,3.853358507156372,3.853358507156372,46,5
55,5497,specialized_enriched,mean,0.15918339788913727,0.04157643765211105,3.828692674636841,3.828692674636841,6,5
56,5568,specialized_enriched,mean,0.4396801292896271,0.11485198885202408,3.828232526779175,3.828232526779175,5,5
57,15517,specialized_enriched,mean,0.10078423470258713,0.026360396295785904,3.823320150375366,3.823320150375366,11,5
58,11316,specialized_enriched,active_fraction,0.017052609473466873,0.004493740852922201,3.7947468757629395,3.7947468757629395,10,5
59,9812,specialized_enriched,mean,0.276654988527298,0.07305830717086792,3.7867698669433594,3.7867698669433594,20,5
60,1698,specialized_enriched,mean,0.2041284441947937,0.05396505445241928,3.782604217529297,3.782604217529297,14,5
61,6739,specialized_enriched,active_fraction,0.02434421144425869,0.006446460261940956,3.7763688564300537,3.7763688564300537,7,5
62,5244,specialized_enriched,active_fraction,0.04248293861746788,0.011259123682975769,3.7732012271881104,3.7732012271881104,18,5
63,1755,specialized_enriched,active_fraction,0.013311764225363731,0.0035371503327041864,3.7634148597717285,3.7634148597717285,10,5
64,5782,specialized_enriched,mean,0.17469438910484314,0.04656087979674339,3.7519564628601074,3.7519564628601074,15,5
65,14859,specialized_enriched,mean,0.2993803322315216,0.08018001914024353,3.7338521480560303,3.7338521480560303,35,5
66,12669,specialized_enriched,active_fraction,0.03582414984703064,0.009682134725153446,3.700026035308838,3.700026035308838,17,5
67,8244,specialized_enriched,active_fraction,0.05322157219052315,0.014412283897399902,3.6927924156188965,3.6927924156188965,33,5
68,7126,specialized_enriched,active_fraction,0.0597846657037735,0.016207564622163773,3.6886889934539795,3.6886889934539795,35,5
69,3631,specialized_enriched,mean,0.2601325511932373,0.07103710621595383,3.6619248390197754,3.6619248390197754,25,5
70,13384,specialized_enriched,mean,0.263111412525177,0.07204817235469818,3.6518819332122803,3.6518819332122803,40,5
71,1996,specialized_enriched,mean,0.2923687994480133,0.08035780489444733,3.6383373737335205,3.6383373737335205,8,5
72,945,specialized_enriched,mean,0.4855461120605469,0.13346481323242188,3.6380083560943604,3.6380083560943604,7,5
73,5930,specialized_enriched,active_fraction,0.08141431957483292,0.02245355397462845,3.625899076461792,3.625899076461792,35,5
74,15095,specialized_enriched,mean,0.3703764081001282,0.10217954963445663,3.624760627746582,3.624760627746582,20,5
75,12895,specialized_enriched,active_fraction,0.04647347331047058,0.012850694358348846,3.616417407989502,3.616417407989502,17,5
76,6415,specialized_enriched,active_fraction,0.046518974006175995,0.012871445156633854,3.614122152328491,3.614122152328491,11,5
77,5935,specialized_enriched,active_fraction,0.0550287701189518,0.01532165426760912,3.5915684700012207,3.5915684700012207,22,5
78,12573,specialized_enriched,mean,0.34631073474884033,0.09647081047296524,3.5897982120513916,3.5897982120513916,38,5
79,3078,specialized_enriched,mean,0.32230740785598755,0.09040625393390656,3.565100908279419,3.565100908279419,23,5
80,15164,specialized_enriched,mean,0.15469416975975037,0.043408527970314026,3.5636816024780273,3.5636816024780273,10,5
81,12044,specialized_enriched,active_fraction,0.06019982695579529,0.016975831240415573,3.546207904815674,3.546207904815674,28,5
82,2916,specialized_enriched,active_fraction,0.05836803466081619,0.016510535031557083,3.5351994037628174,3.5351994037628174,38,5
83,13177,specialized_enriched,active_fraction,0.0183750968426466,0.005199358332902193,3.5341086387634277,3.5341086387634277,6,5
84,7000,specialized_enriched,mean,0.5508397817611694,0.1562793254852295,3.5247130393981934,3.5247130393981934,34,5
85,324,specialized_enriched,active_fraction,0.04405631870031357,0.01252778060734272,3.5166897773742676,3.5166897773742676,30,5
86,7731,specialized_enriched,active_fraction,0.04387591779232025,0.012519877403974533,3.5045006275177,3.5045006275177,33,5
87,3136,specialized_enriched,active_fraction,0.030797479674220085,0.008804724551737309,3.497835636138916,3.497835636138916,13,5
88,3298,specialized_enriched,active_fraction,0.05227437615394592,0.014998593367636204,3.4852852821350098,3.4852852821350098,34,5
89,4150,specialized_enriched,mean,0.4663964807987213,0.13431891798973083,3.472306728363037,3.472306728363037,14,5
90,13524,specialized_enriched,mean,0.24243326485157013,0.06985177099704742,3.470681667327881,3.470681667327881,16,5
91,3907,specialized_enriched,mean,0.36623457074165344,0.10571666061878204,3.4643032550811768,3.4643032550811768,8,5
92,3377,specialized_enriched,active_fraction,0.03425293415784836,0.009914401918649673,3.454866409301758,3.454866409301758,16,5
