rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,positive_support,minimum_support
1,14881,base_enriched,max,-8.598297119140625,1.9786286354064941,-4.345583915710449,4.345583915710449,27,5
2,11604,base_enriched,max,-2.074230670928955,0.4822823703289032,-4.300863742828369,4.300863742828369,5,5
3,9686,base_enriched,max,-3.2753634452819824,0.7815735936164856,-4.19072961807251,4.19072961807251,5,5
4,13172,base_enriched,mean,-0.2711949646472931,0.06610897183418274,-4.102241516113281,4.102241516113281,22,5
5,7958,base_enriched,active_fraction,-0.16709554195404053,0.04103164002299309,-4.072358131408691,4.072358131408691,9,5
6,6324,base_enriched,max,-3.219782590866089,0.7985756397247314,-4.031907081604004,4.031907081604004,44,5
7,1664,base_enriched,mean,-2.098818302154541,0.5293830037117004,-3.9646499156951904,3.9646499156951904,50,5
8,4185,base_enriched,max,-4.730672359466553,1.19521164894104,-3.9580206871032715,3.9580206871032715,49,5
9,935,base_enriched,max,-1.9998464584350586,0.5147518515586853,-3.885068893432617,3.885068893432617,40,5
10,9591,base_enriched,max,-2.469791889190674,0.6454498171806335,-3.8264660835266113,3.8264660835266113,11,5
11,14833,base_enriched,max,-2.9674768447875977,0.77949059009552,-3.806943655014038,3.806943655014038,38,5
12,8309,base_enriched,max,-3.204087257385254,0.8435474634170532,-3.7983484268188477,3.7983484268188477,48,5
13,16193,base_enriched,max,-3.2048745155334473,0.8458344340324402,-3.7890093326568604,3.7890093326568604,20,5
14,13151,base_enriched,mean,-0.21774709224700928,0.057573575526475906,-3.782066583633423,3.782066583633423,20,5
15,7384,base_enriched,max,-3.445223331451416,0.9129898548126221,-3.773561477661133,3.773561477661133,31,5
16,7436,base_enriched,max,-2.1726670265197754,0.5765734314918518,-3.768239974975586,3.768239974975586,8,5
17,6918,base_enriched,active_fraction,-0.12026315927505493,0.03308911249041557,-3.634523630142212,3.634523630142212,49,5
18,11698,base_enriched,max,-3.7260642051696777,1.040810465812683,-3.5799641609191895,3.5799641609191895,44,5
19,2594,base_enriched,max,-2.066236734390259,0.5776090621948242,-3.577223539352417,3.577223539352417,6,5
20,9281,base_enriched,max,-3.9478373527526855,1.1083186864852905,-3.5620055198669434,3.5620055198669434,32,5
21,3782,base_enriched,max,-2.051326274871826,0.5773295164108276,-3.553128957748413,3.553128957748413,5,5
22,730,base_enriched,max,-1.8890058994293213,0.5328738689422607,-3.5449399948120117,3.5449399948120117,25,5
23,9367,base_enriched,max,-2.4891676902770996,0.7029910087585449,-3.5408244132995605,3.5408244132995605,5,5
24,5803,base_enriched,mean,-0.14640936255455017,0.04136204719543457,-3.539702892303467,3.539702892303467,5,5
25,14280,base_enriched,max,-2.1660220623016357,0.6120598912239075,-3.538905382156372,3.538905382156372,11,5
26,4179,base_enriched,active_fraction,-0.1027076318860054,0.029258212074637413,-3.5103864669799805,3.5103864669799805,27,5
27,14322,base_enriched,active_fraction,-0.06224101036787033,0.01794264279305935,-3.4688875675201416,3.4688875675201416,33,5
28,7199,base_enriched,max,-1.699796199798584,0.49102121591567993,-3.461757183074951,3.461757183074951,9,5
29,3612,base_enriched,active_fraction,-0.13323524594306946,0.03849044442176819,-3.461514949798584,3.461514949798584,49,5
30,13329,base_enriched,active_fraction,-0.048776041716337204,0.014108912087976933,-3.457108736038208,3.457108736038208,45,5
31,4058,base_enriched,max,-2.4344921112060547,0.7076042890548706,-3.4404711723327637,3.4404711723327637,29,5
32,15778,base_enriched,max,-2.215611457824707,0.6476606726646423,-3.420944929122925,3.420944929122925,5,5
33,16002,base_enriched,max,-2.1789662837982178,0.6369835734367371,-3.420757532119751,3.420757532119751,26,5
34,2750,base_enriched,active_fraction,-0.055268075317144394,0.016256211325526237,-3.399812698364258,3.399812698364258,47,5
35,15210,base_enriched,max,-2.7451589107513428,0.8106349110603333,-3.3864307403564453,3.3864307403564453,27,5
36,14416,base_enriched,max,-1.5757781267166138,0.46606239676475525,-3.381045341491699,3.381045341491699,42,5
37,3178,base_enriched,max,-2.3718338012695312,0.7031151056289673,-3.3733222484588623,3.3733222484588623,46,5
38,10287,base_enriched,active_fraction,-0.06097755953669548,0.01808835007250309,-3.371095657348633,3.371095657348633,46,5
39,5691,base_enriched,max,-2.715925693511963,0.8094625473022461,-3.3552210330963135,3.3552210330963135,45,5
40,11244,base_enriched,active_fraction,-0.038871880620718,0.01159591879695654,-3.352203607559204,3.352203607559204,47,5
41,5993,base_enriched,max,-2.6971209049224854,0.8085493445396423,-3.3357529640197754,3.3357529640197754,34,5
42,173,base_enriched,max,-1.956268548965454,0.5866169333457947,-3.334831476211548,3.334831476211548,20,5
43,8007,base_enriched,max,-1.3723775148391724,0.41266003251075745,-3.325685501098633,3.325685501098633,6,5
44,9579,base_enriched,max,-1.7597182989120483,0.5330886840820312,-3.3009860515594482,3.3009860515594482,18,5
45,10210,base_enriched,max,-1.9647289514541626,0.5959149599075317,-3.2969954013824463,3.2969954013824463,18,5
46,7997,base_enriched,active_fraction,-0.07272112369537354,0.022099293768405914,-3.290653705596924,3.290653705596924,25,5
47,7287,base_enriched,max,-3.189359188079834,0.9702538847923279,-3.2871387004852295,3.2871387004852295,27,5
48,6030,base_enriched,max,-1.5810999870300293,0.48168307542800903,-3.2824487686157227,3.2824487686157227,13,5
49,14356,base_enriched,active_fraction,-0.03604155033826828,0.010980087332427502,-3.2824466228485107,3.2824466228485107,47,5
50,10777,base_enriched,max,-3.2451364994049072,0.9894428849220276,-3.27976131439209,3.27976131439209,35,5
51,8834,base_enriched,max,-3.39316725730896,1.0352466106414795,-3.277641534805298,3.277641534805298,32,5
52,6214,base_enriched,max,-4.046699047088623,1.235625147819519,-3.275021553039551,3.275021553039551,40,5
53,14323,base_enriched,max,-2.5361623764038086,0.7751863598823547,-3.2716808319091797,3.2716808319091797,37,5
54,11580,base_enriched,active_fraction,-0.05112658441066742,0.015688247978687286,-3.2589097023010254,3.2589097023010254,49,5
55,15869,base_enriched,max,-2.1759936809539795,0.6688897609710693,-3.2531423568725586,3.2531423568725586,5,5
56,5528,base_enriched,max,-2.785004138946533,0.8589702844619751,-3.2422590255737305,3.2422590255737305,18,5
57,3874,base_enriched,max,-2.50213885307312,0.7721747756004333,-3.2403788566589355,3.2403788566589355,11,5
58,8321,base_enriched,max,-2.6757893562316895,0.839672327041626,-3.18670654296875,3.18670654296875,14,5
59,15632,base_enriched,max,-1.9112980365753174,0.6000019311904907,-3.1854865550994873,3.1854865550994873,5,5
60,14543,base_enriched,active_fraction,-0.07108139991760254,0.022400634363293648,-3.173187017440796,3.173187017440796,28,5
61,15049,base_enriched,mean,-0.32754236459732056,0.10326851904392242,-3.1717543601989746,3.1717543601989746,10,5
62,11535,base_enriched,active_fraction,-0.04037993401288986,0.012733884155750275,-3.1710617542266846,3.1710617542266846,42,5
63,12725,base_enriched,max,-1.3252325057983398,0.4184970259666443,-3.166647434234619,3.166647434234619,46,5
64,9981,base_enriched,max,-2.1947765350341797,0.6931332945823669,-3.166456699371338,3.166456699371338,11,5
65,10651,base_enriched,max,-2.6495277881622314,0.838100790977478,-3.1613473892211914,3.1613473892211914,33,5
66,15980,base_enriched,max,-2.2495484352111816,0.7123715877532959,-3.157829999923706,3.157829999923706,34,5
67,3257,base_enriched,max,-1.894798994064331,0.6043009757995605,-3.13552188873291,3.13552188873291,48,5
68,7714,base_enriched,max,-3.1018896102905273,0.9893770217895508,-3.135194778442383,3.135194778442383,34,5
69,5756,base_enriched,max,-2.23179030418396,0.7127435207366943,-3.1312670707702637,3.1312670707702637,25,5
70,8999,base_enriched,max,-2.8151981830596924,0.8995859622955322,-3.1294376850128174,3.1294376850128174,19,5
71,14937,base_enriched,max,-1.153096079826355,0.3704298138618469,-3.1128597259521484,3.1128597259521484,50,5
72,2755,base_enriched,mean,-0.369833767414093,0.12001252919435501,-3.0816264152526855,3.0816264152526855,13,5
73,15382,base_enriched,max,-3.303227424621582,1.072786808013916,-3.079108953475952,3.079108953475952,7,5
74,9430,base_enriched,max,-2.5461652278900146,0.8280994892120361,-3.074709415435791,3.074709415435791,30,5
75,1882,base_enriched,active_fraction,-0.11222384124994278,0.03661946579813957,-3.0645952224731445,3.0645952224731445,41,5
76,2734,base_enriched,active_fraction,-0.0464782789349556,0.015180534683167934,-3.061702251434326,3.061702251434326,9,5
77,9005,base_enriched,active_fraction,-0.028445754200220108,0.009394703432917595,-3.0278501510620117,3.0278501510620117,46,5
78,8145,base_enriched,active_fraction,-0.04261121153831482,0.014093009755015373,-3.0235707759857178,3.0235707759857178,17,5
79,8167,base_enriched,max,-1.656597375869751,0.548267126083374,-3.021515130996704,3.021515130996704,44,5
80,1058,base_enriched,max,-3.0128626823425293,1.0003801584243774,-3.0117177963256836,3.0117177963256836,43,5
81,11790,base_enriched,active_fraction,-0.08444762974977493,0.02805202640593052,-3.0103931427001953,3.0103931427001953,18,5
82,12853,base_enriched,active_fraction,-0.06167479604482651,0.020503325387835503,-3.0080387592315674,3.0080387592315674,15,5
83,10148,base_enriched,max,-0.9650415182113647,0.321168452501297,-3.0047831535339355,3.0047831535339355,14,5
84,649,base_enriched,max,-2.1553187370300293,0.7173285484313965,-3.0046465396881104,3.0046465396881104,9,5
85,12817,base_enriched,max,-3.247563362121582,1.0847960710525513,-2.993708610534668,2.993708610534668,26,5
86,6797,base_enriched,max,-1.6348755359649658,0.5496256947517395,-2.974525213241577,2.974525213241577,16,5
87,14960,base_enriched,max,-5.954475402832031,2.0039873123168945,-2.971313953399658,2.971313953399658,13,5
88,16281,base_enriched,active_fraction,-0.03528112545609474,0.011879848316311836,-2.969829559326172,2.969829559326172,49,5
89,1794,base_enriched,active_fraction,-0.10325070470571518,0.03476753458380699,-2.9697446823120117,2.9697446823120117,6,5
90,8599,base_enriched,max,-2.1151223182678223,0.7124398350715637,-2.968843460083008,2.968843460083008,10,5
91,4284,base_enriched,max,-3.0988926887512207,1.0448999404907227,-2.965731620788574,2.965731620788574,42,5
92,3350,base_enriched,max,-2.890812635421753,0.9751418828964233,-2.9645047187805176,2.9645047187805176,48,5
93,16207,base_enriched,max,-2.8086414337158203,0.947638988494873,-2.9638307094573975,2.9638307094573975,48,5
94,2889,base_enriched,active_fraction,-0.039189402014017105,0.013226880691945553,-2.962860584259033,2.962860584259033,47,5
95,12471,base_enriched,max,-2.416271686553955,0.8165774941444397,-2.9590232372283936,2.9590232372283936,25,5
96,11744,base_enriched,active_fraction,-0.0074104005470871925,0.0025049392133951187,-2.95831561088562,2.95831561088562,16,5
97,5815,base_enriched,mean,-0.12702669203281403,0.04306197911500931,-2.949857234954834,2.949857234954834,28,5
98,4484,base_enriched,max,-0.8164557218551636,0.2772841453552246,-2.9444732666015625,2.9444732666015625,14,5
99,15808,base_enriched,max,-1.7827743291854858,0.6065273880958557,-2.9393138885498047,2.9393138885498047,41,5
100,12932,base_enriched,max,-2.5246877670288086,0.8607913851737976,-2.9329845905303955,2.9329845905303955,11,5
101,13115,base_enriched,max,-1.2464925050735474,0.42523500323295593,-2.931302785873413,2.931302785873413,46,5
102,11222,base_enriched,max,-2.316131830215454,0.7910116910934448,-2.928062677383423,2.928062677383423,42,5
103,16173,base_enriched,max,-1.9691705703735352,0.6728869676589966,-2.926450729370117,2.926450729370117,12,5
104,11579,base_enriched,active_fraction,-0.02428210899233818,0.00830002874135971,-2.9255452156066895,2.9255452156066895,25,5
105,11811,base_enriched,active_fraction,-0.009778691455721855,0.0033426927402615547,-2.9253933429718018,2.9253933429718018,27,5
106,13269,base_enriched,max,-3.7662582397460938,1.2876921892166138,-2.9248125553131104,2.9248125553131104,38,5
107,7940,base_enriched,max,-2.6396992206573486,0.9026415348052979,-2.9244158267974854,2.9244158267974854,24,5
108,11888,base_enriched,max,-1.778890609741211,0.6117045283317566,-2.908087968826294,2.908087968826294,5,5
109,7741,base_enriched,max,-1.1100687980651855,0.3820122480392456,-2.905846118927002,2.905846118927002,7,5
110,14220,base_enriched,max,-1.6101785898208618,0.5542144775390625,-2.905334711074829,2.905334711074829,36,5
111,3487,base_enriched,active_fraction,-0.09354076534509659,0.03227689489722252,-2.8980720043182373,2.8980720043182373,45,5
112,1418,base_enriched,max,-1.788177251815796,0.6172651648521423,-2.896935224533081,2.896935224533081,37,5
113,13925,base_enriched,max,-1.2306294441223145,0.4255719780921936,-2.891706943511963,2.891706943511963,7,5
114,15410,base_enriched,max,-1.56580650806427,0.5418795943260193,-2.8895838260650635,2.8895838260650635,40,5
115,12173,base_enriched,active_fraction,-0.09162241965532303,0.031842850148677826,-2.877331018447876,2.877331018447876,44,5
116,1985,base_enriched,max,-2.567671060562134,0.8930795192718506,-2.875075578689575,2.875075578689575,5,5
117,14897,base_enriched,max,-1.8596842288970947,0.64714515209198,-2.873674154281616,2.873674154281616,13,5
118,429,base_enriched,max,-1.5383164882659912,0.5400322675704956,-2.8485639095306396,2.8485639095306396,8,5
119,4029,base_enriched,max,-1.6457602977752686,0.578777551651001,-2.843510866165161,2.843510866165161,36,5
120,10302,base_enriched,max,-1.017920970916748,0.3583104610443115,-2.840891122817993,2.840891122817993,29,5
121,3680,base_enriched,max,-1.3960620164871216,0.49168896675109863,-2.8393194675445557,2.8393194675445557,32,5
122,14048,base_enriched,active_fraction,-0.03601318597793579,0.012703122571110725,-2.834986925125122,2.834986925125122,36,5
123,2832,base_enriched,max,-2.8123817443847656,0.9925664663314819,-2.833444356918335,2.833444356918335,28,5
124,16239,base_enriched,max,-0.9372038245201111,0.33097243309020996,-2.831667423248291,2.831667423248291,34,5
125,15243,base_enriched,max,-2.0571117401123047,0.7295253872871399,-2.8197946548461914,2.8197946548461914,49,5
126,8341,base_enriched,mean,-0.05136919021606445,0.01825360395014286,-2.814194440841675,2.814194440841675,16,5
127,457,base_enriched,max,-4.78072452545166,1.6994504928588867,-2.8131000995635986,2.8131000995635986,21,5
128,13425,base_enriched,max,-2.29673171043396,0.8166664242744446,-2.8123254776000977,2.8123254776000977,30,5
129,14704,base_enriched,max,-3.2041678428649902,1.1415857076644897,-2.806769371032715,2.806769371032715,24,5
130,6758,base_enriched,max,-2.4063451290130615,0.8583576679229736,-2.803429365158081,2.803429365158081,45,5
131,10096,base_enriched,max,-2.5026278495788574,0.8968080878257751,-2.7905945777893066,2.7905945777893066,50,5
132,13139,base_enriched,active_fraction,-0.07320007681846619,0.02624351903796196,-2.7892630100250244,2.7892630100250244,28,5
133,3090,base_enriched,max,-2.4791858196258545,0.8896975517272949,-2.7865490913391113,2.7865490913391113,38,5
134,5580,base_enriched,active_fraction,-0.010707439854741096,0.0038462721277028322,-2.783848762512207,2.783848762512207,7,5
135,5018,base_enriched,max,-0.9027960896492004,0.32545456290245056,-2.773954391479492,2.773954391479492,19,5
136,11003,base_enriched,active_fraction,-0.042386338114738464,0.015294969081878662,-2.7712600231170654,2.7712600231170654,50,5
137,5611,base_enriched,active_fraction,-0.030000194907188416,0.010826081968843937,-2.771103620529175,2.771103620529175,39,5
138,1202,base_enriched,active_fraction,-0.009700029157102108,0.003511494491249323,-2.7623648643493652,2.7623648643493652,38,5
139,4696,base_enriched,active_fraction,-0.07082381844520569,0.02566647343337536,-2.759390354156494,2.759390354156494,15,5
140,16088,base_enriched,max,-1.9051258563995361,0.6909364461898804,-2.757309913635254,2.757309913635254,49,5
141,14104,base_enriched,max,-2.1589691638946533,0.786268949508667,-2.745840549468994,2.745840549468994,40,5
142,11026,base_enriched,max,-1.6247293949127197,0.5924946665763855,-2.7421839237213135,2.7421839237213135,43,5
143,113,base_enriched,active_fraction,-0.09400434792041779,0.03428209573030472,-2.7420828342437744,2.7420828342437744,44,5
144,8131,base_enriched,max,-2.284677505493164,0.8337936401367188,-2.7400994300842285,2.7400994300842285,48,5
