rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,positive_support,minimum_support
1,8875,specialized_enriched,active_fraction,0.038992173969745636,0.007082414347678423,5.505491733551025,5.505491733551025,39,5
2,7588,specialized_enriched,mean,0.1441633701324463,0.026665598154067993,5.40634298324585,5.40634298324585,48,5
3,12895,specialized_enriched,active_fraction,0.06443868577480316,0.012514622882008553,5.149071216583252,5.149071216583252,50,5
4,447,specialized_enriched,mean,0.29996469616889954,0.05962056294083595,5.031229019165039,5.031229019165039,50,5
5,4634,specialized_enriched,active_fraction,0.059919409453868866,0.012459810823202133,4.809014320373535,4.809014320373535,46,5
6,5862,specialized_enriched,active_fraction,0.011910000815987587,0.002487147692590952,4.788618087768555,4.788618087768555,47,5
7,3366,specialized_enriched,mean,0.13375602662563324,0.027987666428089142,4.779106140136719,4.779106140136719,29,5
8,7486,specialized_enriched,mean,0.7919731140136719,0.17073360085487366,4.63864803314209,4.63864803314209,34,5
9,1017,specialized_enriched,active_fraction,0.028126318007707596,0.006191100459545851,4.543024063110352,4.543024063110352,34,5
10,5642,specialized_enriched,mean,0.728240966796875,0.1609433889389038,4.524827003479004,4.524827003479004,50,5
11,5284,specialized_enriched,active_fraction,0.026975711807608604,0.005966466851532459,4.5212202072143555,4.5212202072143555,36,5
12,15517,specialized_enriched,mean,0.2720174193382263,0.06038455665111542,4.504751682281494,4.504751682281494,42,5
13,14765,specialized_enriched,active_fraction,0.0290822833776474,0.006504432298243046,4.471148490905762,4.471148490905762,50,5
14,12623,specialized_enriched,mean,0.11520061641931534,0.02578531950712204,4.467682361602783,4.467682361602783,37,5
15,4043,specialized_enriched,mean,0.18875697255134583,0.04228958487510681,4.463438987731934,4.463438987731934,33,5
16,7088,specialized_enriched,mean,0.2173731029033661,0.048723477870225906,4.461362838745117,4.461362838745117,38,5
17,4933,specialized_enriched,active_fraction,0.05915189906954765,0.013298353180289268,4.448061943054199,4.448061943054199,40,5
18,8662,specialized_enriched,active_fraction,0.024776730686426163,0.005688037257641554,4.3559370040893555,4.3559370040893555,32,5
19,15164,specialized_enriched,active_fraction,0.014375630766153336,0.0033389939926564693,4.305377960205078,4.305377960205078,27,5
20,11618,specialized_enriched,mean,0.1349368542432785,0.03141419589519501,4.29541015625,4.29541015625,46,5
21,7744,specialized_enriched,mean,0.1781039535999298,0.0415150448679924,4.290106296539307,4.290106296539307,48,5
22,121,specialized_enriched,active_fraction,0.03221755474805832,0.007621305994689465,4.227301120758057,4.227301120758057,46,5
23,1231,specialized_enriched,mean,0.4321187436580658,0.10227195173501968,4.225193023681641,4.225193023681641,50,5
24,4966,specialized_enriched,mean,0.1455252468585968,0.034719862043857574,4.191411972045898,4.191411972045898,29,5
25,14186,specialized_enriched,active_fraction,0.025789882987737656,0.006155270617455244,4.189886093139648,4.189886093139648,37,5
26,9425,specialized_enriched,mean,0.15720240771770477,0.037542328238487244,4.187337875366211,4.187337875366211,44,5
27,6415,specialized_enriched,mean,0.16415110230445862,0.03923153504729271,4.184162139892578,4.184162139892578,35,5
28,14928,specialized_enriched,active_fraction,0.01849154755473137,0.004423107020556927,4.18066930770874,4.18066930770874,46,5
29,11316,specialized_enriched,mean,0.07773309201002121,0.018687130883336067,4.159712314605713,4.159712314605713,30,5
30,9577,specialized_enriched,active_fraction,0.056573979556560516,0.013612819835543633,4.155933856964111,4.155933856964111,49,5
