rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,positive_support,minimum_support
1,4173,specialized_enriched,active_fraction,0.07636934518814087,0.01371962670236826,5.56643009185791,5.56643009185791,37,5
2,15559,specialized_enriched,mean,0.3710303008556366,0.06732425093650818,5.511094570159912,5.511094570159912,34,5
3,12623,specialized_enriched,mean,0.38383495807647705,0.07328123599290848,5.2378339767456055,5.2378339767456055,17,5
4,15968,specialized_enriched,mean,0.3329086899757385,0.06665212661027908,4.994719505310059,4.994719505310059,40,5
5,8142,specialized_enriched,active_fraction,0.0790153294801712,0.016845623031258583,4.690555572509766,4.690555572509766,41,5
6,9419,specialized_enriched,active_fraction,0.06167946755886078,0.013150659389793873,4.690218448638916,4.690218448638916,36,5
7,13231,specialized_enriched,mean,0.34093087911605835,0.07290917634963989,4.6761040687561035,4.6761040687561035,14,5
8,414,specialized_enriched,active_fraction,0.04925529286265373,0.010741815902292728,4.585378646850586,4.585378646850586,21,5
9,13151,base_enriched,mean,-0.6013892889022827,0.1327987164258957,-4.52857780456543,4.52857780456543,17,5
10,13172,base_enriched,mean,-0.4934910237789154,0.11233586072921753,-4.392996311187744,4.392996311187744,14,5
11,7486,specialized_enriched,mean,0.9589847326278687,0.22025321424007416,4.354010105133057,4.354010105133057,15,5
12,765,specialized_enriched,active_fraction,0.029317928478121758,0.006798754911869764,4.312249660491943,4.312249660491943,14,5
13,3366,specialized_enriched,mean,0.4097866415977478,0.09612097591161728,4.263238430023193,4.263238430023193,14,5
14,1664,base_enriched,max,-3.489474296569824,0.8246358633041382,-4.231533527374268,4.231533527374268,50,5
15,6051,specialized_enriched,active_fraction,0.09516100585460663,0.022572947666049004,4.215710163116455,4.215710163116455,37,5
16,15890,specialized_enriched,mean,0.3156844973564148,0.07532446086406708,4.190995693206787,4.190995693206787,42,5
17,14859,specialized_enriched,mean,0.3367695212364197,0.08103154599666595,4.15602970123291,4.15602970123291,41,5
18,595,base_enriched,max,-2.1500144004821777,0.5211669206619263,-4.125385284423828,4.125385284423828,10,5
19,4861,specialized_enriched,mean,0.24410118162631989,0.05967207998037338,4.090710163116455,4.090710163116455,9,5
20,2774,specialized_enriched,mean,0.3101454973220825,0.07595442980527878,4.083310127258301,4.083310127258301,12,5
21,4614,specialized_enriched,active_fraction,0.08372659981250763,0.020545445382595062,4.07519006729126,4.07519006729126,43,5
22,7893,specialized_enriched,mean,0.2517884075641632,0.061809275299310684,4.073634624481201,4.073634624481201,20,5
23,15164,specialized_enriched,mean,0.1796068698167801,0.04412948712706566,4.0699968338012695,4.0699968338012695,12,5
24,104,base_enriched,mean,-0.13266071677207947,0.032828204333782196,-4.0410590171813965,4.0410590171813965,6,5
25,2187,specialized_enriched,mean,0.39234209060668945,0.09839794039726257,3.987299919128418,3.987299919128418,31,5
26,4075,specialized_enriched,mean,0.2056189477443695,0.05163443833589554,3.982205629348755,3.982205629348755,34,5
27,12673,specialized_enriched,active_fraction,0.05722002312541008,0.01443062350153923,3.9651801586151123,3.9651801586151123,36,5
28,3097,specialized_enriched,active_fraction,0.05175616592168808,0.013062385842204094,3.9622292518615723,3.9622292518615723,48,5
29,14969,specialized_enriched,mean,0.29844582080841064,0.07569188624620438,3.942903757095337,3.942903757095337,36,5
30,14186,specialized_enriched,active_fraction,0.05266081169247627,0.013425074517726898,3.9225711822509766,3.9225711822509766,20,5
31,1862,base_enriched,active_fraction,-0.030011704191565514,0.007695462089031935,-3.8999223709106445,3.8999223709106445,21,5
