rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,positive_support,minimum_support
1,13151,base_enriched,mean,-0.6013892889022827,0.1327987164258957,-4.52857780456543,4.52857780456543,17,5
2,13172,base_enriched,mean,-0.4934910237789154,0.11233586072921753,-4.392996311187744,4.392996311187744,14,5
3,1664,base_enriched,max,-3.489474296569824,0.8246358633041382,-4.231533527374268,4.231533527374268,50,5
4,595,base_enriched,max,-2.1500144004821777,0.5211669206619263,-4.125385284423828,4.125385284423828,10,5
5,104,base_enriched,mean,-0.13266071677207947,0.032828204333782196,-4.0410590171813965,4.0410590171813965,6,5
6,1862,base_enriched,active_fraction,-0.030011704191565514,0.007695462089031935,-3.8999223709106445,3.8999223709106445,21,5
7,7958,base_enriched,active_fraction,-0.17844441533088684,0.04645007848739624,-3.8416385650634766,3.8416385650634766,5,5
8,16193,base_enriched,max,-2.145496368408203,0.5741235613822937,-3.7369940280914307,3.7369940280914307,7,5
9,13329,base_enriched,active_fraction,-0.06869353353977203,0.01911640353500843,-3.5934338569641113,3.5934338569641113,34,5
10,5903,base_enriched,active_fraction,-0.035108260810375214,0.009841300547122955,-3.56744122505188,3.56744122505188,21,5
11,935,base_enriched,max,-1.8467379808425903,0.5237723588943481,-3.5258407592773438,3.5258407592773438,26,5
12,16281,base_enriched,max,-2.719454765319824,0.7750884890556335,-3.508573293685913,3.508573293685913,40,5
13,5815,base_enriched,active_fraction,-0.023238766938447952,0.006635306403040886,-3.5022900104522705,3.5022900104522705,17,5
14,11580,base_enriched,active_fraction,-0.07522151619195938,0.021592775359749794,-3.483642816543579,3.483642816543579,45,5
15,11109,base_enriched,active_fraction,-0.02126295305788517,0.006112033501267433,-3.478867292404175,3.478867292404175,12,5
16,11698,base_enriched,max,-3.7364020347595215,1.0777860879898071,-3.466737985610962,3.466737985610962,29,5
17,5611,base_enriched,max,-1.4951614141464233,0.43184709548950195,-3.462247133255005,3.462247133255005,19,5
18,8309,base_enriched,mean,-1.8449416160583496,0.5337180495262146,-3.4567720890045166,3.4567720890045166,45,5
19,11535,base_enriched,max,-1.5424548387527466,0.4469092786312103,-3.4513823986053467,3.4513823986053467,25,5
20,16080,base_enriched,mean,-0.2232184261083603,0.06516555696725845,-3.4254050254821777,3.4254050254821777,11,5
21,7436,base_enriched,active_fraction,-0.021454893052577972,0.006391607224941254,-3.356729030609131,3.356729030609131,5,5
22,2750,base_enriched,active_fraction,-0.07441650331020355,0.022260645404458046,-3.3429625034332275,3.3429625034332275,37,5
23,2325,base_enriched,mean,-0.3869994282722473,0.11577249318361282,-3.3427579402923584,3.3427579402923584,12,5
24,13674,base_enriched,mean,-0.16107548773288727,0.04890872910618782,-3.293389320373535,3.293389320373535,24,5
25,2889,base_enriched,active_fraction,-0.0613330602645874,0.01867828145623207,-3.283656597137451,3.283656597137451,43,5
26,12725,base_enriched,max,-0.9884881973266602,0.3017914891242981,-3.2754011154174805,3.2754011154174805,30,5
27,9898,base_enriched,active_fraction,-0.030356861650943756,0.009277955628931522,-3.2719342708587646,3.2719342708587646,23,5
28,10880,base_enriched,max,-1.5166500806808472,0.46356168389320374,-3.271733045578003,3.271733045578003,14,5
29,14322,base_enriched,max,-1.4408302307128906,0.44069817662239075,-3.2694263458251953,3.2694263458251953,15,5
30,10916,base_enriched,max,-1.2108685970306396,0.3750629723072052,-3.228440761566162,3.228440761566162,5,5
31,6875,base_enriched,max,-2.56735897064209,0.7960695624351501,-3.225043535232544,3.225043535232544,35,5
32,9396,base_enriched,active_fraction,-0.016703389585018158,0.005185250658541918,-3.221327304840088,3.221327304840088,17,5
33,14280,base_enriched,max,-1.8015530109405518,0.5596602559089661,-3.2190117835998535,3.2190117835998535,7,5
34,4179,base_enriched,active_fraction,-0.11679092049598694,0.036322347819805145,-3.2154011726379395,3.2154011726379395,15,5
35,7858,base_enriched,max,-2.3948192596435547,0.7487330436706543,-3.198495388031006,3.198495388031006,6,5
36,730,base_enriched,max,-1.286041021347046,0.40369951725006104,-3.1856391429901123,3.1856391429901123,11,5
37,9402,base_enriched,max,-2.883737564086914,0.9080818295478821,-3.1756362915039062,3.1756362915039062,10,5
