rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,positive_support,minimum_support
1,13879,specialized_enriched,max,2.5738117694854736,0.44219017028808594,5.82059907913208,5.82059907913208,70,8
2,6895,specialized_enriched,max,5.027618408203125,0.8771407008171082,5.7318267822265625,5.7318267822265625,78,8
3,1078,specialized_enriched,max,11.047821998596191,1.9310221672058105,5.7212300300598145,5.7212300300598145,76,8
4,596,specialized_enriched,max,2.5842809677124023,0.5175005793571472,4.993773937225342,4.993773937225342,80,8
5,8185,base_enriched,max,-4.763277053833008,0.9930400848388672,-4.796661376953125,4.796661376953125,80,8
6,14820,base_enriched,max,-2.813060998916626,0.5997129082679749,-4.690679550170898,4.690679550170898,57,8
7,1939,base_enriched,max,-4.381162643432617,0.9430779218673706,-4.645599842071533,4.645599842071533,61,8
8,15235,base_enriched,max,-3.552263021469116,0.7712194919586182,-4.606033802032471,4.606033802032471,35,8
9,15733,base_enriched,max,-11.07449722290039,2.420039176940918,-4.576164245605469,4.576164245605469,78,8
10,16205,base_enriched,max,-3.8032615184783936,0.8320732712745667,-4.570825099945068,4.570825099945068,58,8
11,6440,base_enriched,active_fraction,-0.05193020775914192,0.011565794236958027,-4.4899821281433105,4.4899821281433105,73,8
12,9666,base_enriched,active_fraction,-0.023920593783259392,0.005341635551303625,-4.478140354156494,4.478140354156494,71,8
13,7173,base_enriched,max,-4.696906566619873,1.0832488536834717,-4.335944175720215,4.335944175720215,63,8
14,14266,base_enriched,max,-2.219879150390625,0.5151109099388123,-4.309516906738281,4.309516906738281,80,8
15,6044,base_enriched,max,-6.3398542404174805,1.475354552268982,-4.297173500061035,4.297173500061035,70,8
16,3555,base_enriched,active_fraction,-0.02028619311749935,0.004733888898044825,-4.285312652587891,4.285312652587891,58,8
17,7804,base_enriched,max,-6.388796329498291,1.5001753568649292,-4.258699893951416,4.258699893951416,42,8
18,8840,specialized_enriched,max,2.5298824310302734,0.5955572128295898,4.247925281524658,4.247925281524658,80,8
19,6192,base_enriched,active_fraction,-0.038465242832899094,0.00908771064132452,-4.232666015625,4.232666015625,65,8
20,7864,base_enriched,active_fraction,-0.024963054805994034,0.005927265156060457,-4.211563587188721,4.211563587188721,67,8
21,1206,base_enriched,active_fraction,-0.04161766171455383,0.009924258105456829,-4.193528652191162,4.193528652191162,60,8
22,12252,base_enriched,active_fraction,-0.018764203414320946,0.004485218785703182,-4.18356466293335,4.18356466293335,26,8
23,7169,base_enriched,max,-3.321780204772949,0.8016328811645508,-4.143767356872559,4.143767356872559,51,8
24,1591,base_enriched,max,-3.8300113677978516,0.9243547916412354,-4.1434431076049805,4.1434431076049805,80,8
25,4191,base_enriched,max,-4.729720592498779,1.1454054117202759,-4.129298210144043,4.129298210144043,46,8
26,3446,base_enriched,max,-3.7796630859375,0.9180713891983032,-4.116960048675537,4.116960048675537,26,8
27,4835,base_enriched,max,-4.459880828857422,1.0850170850753784,-4.110424518585205,4.110424518585205,25,8
28,2447,specialized_enriched,max,3.2090959548950195,0.7830387949943542,4.098259449005127,4.098259449005127,80,8
29,11108,base_enriched,max,-2.9407339096069336,0.7192720174789429,-4.088486671447754,4.088486671447754,76,8
30,5765,base_enriched,max,-3.2737038135528564,0.8034391403198242,-4.074613094329834,4.074613094329834,73,8
31,14175,specialized_enriched,mean,0.07838679105043411,0.019253496080636978,4.071301460266113,4.071301460266113,75,8
32,6358,base_enriched,max,-2.773963212966919,0.6855534315109253,-4.04631233215332,4.04631233215332,59,8
33,2896,base_enriched,max,-7.239534378051758,1.7919243574142456,-4.040089130401611,4.040089130401611,33,8
34,4915,base_enriched,max,-3.607645034790039,0.9034202694892883,-3.993318557739258,3.993318557739258,51,8
35,7644,base_enriched,max,-2.9693727493286133,0.7492057085037231,-3.9633610248565674,3.9633610248565674,29,8
36,2085,base_enriched,max,-3.336160898208618,0.843464195728302,-3.955308198928833,3.955308198928833,69,8
37,5354,base_enriched,max,-4.335466384887695,1.0967212915420532,-3.953115940093994,3.953115940093994,33,8
38,9580,base_enriched,mean,-0.0040907543152570724,0.0010393463307991624,-3.9358913898468018,3.9358913898468018,26,8
39,13240,base_enriched,max,-2.5088393688201904,0.6396391987800598,-3.9222726821899414,3.9222726821899414,50,8
40,16144,base_enriched,max,-3.173826217651367,0.8159878253936768,-3.8895509243011475,3.8895509243011475,33,8
41,39,base_enriched,max,-4.950613498687744,1.2771285772323608,-3.8763625621795654,3.8763625621795654,40,8
42,3536,base_enriched,max,-2.0783963203430176,0.5363109707832336,-3.875356674194336,3.875356674194336,77,8
43,2884,base_enriched,max,-2.8917956352233887,0.7485636472702026,-3.863126039505005,3.863126039505005,78,8
44,13887,base_enriched,active_fraction,-0.01485310960561037,0.003845333820208907,-3.8626320362091064,3.8626320362091064,48,8
45,1357,base_enriched,active_fraction,-0.019236259162425995,0.005016099661588669,-3.8349037170410156,3.8349037170410156,28,8
46,6407,base_enriched,max,-2.8098011016845703,0.7327802181243896,-3.8344390392303467,3.8344390392303467,32,8
47,15272,base_enriched,active_fraction,-0.04325538128614426,0.01129557192325592,-3.8294105529785156,3.8294105529785156,42,8
48,6422,base_enriched,max,-5.296000957489014,1.388381004333496,-3.8145155906677246,3.8145155906677246,45,8
49,4283,base_enriched,max,-4.1308698654174805,1.0858662128448486,-3.804216146469116,3.804216146469116,77,8
50,2089,base_enriched,max,-4.559718132019043,1.2012083530426025,-3.795942783355713,3.795942783355713,64,8
51,11612,base_enriched,max,-2.7465322017669678,0.7241904139518738,-3.792555332183838,3.792555332183838,76,8
52,9826,specialized_enriched,max,3.2563915252685547,0.8626196980476379,3.7750024795532227,3.7750024795532227,80,8
53,14225,base_enriched,max,-5.058623313903809,1.343774437904358,-3.764488458633423,3.764488458633423,57,8
