rank,feature_id,orientation,summary,effect,null_sd,ev,abs_ev,positive_support,minimum_support
1,8185,base_enriched,max,-4.763277053833008,0.9930400848388672,-4.796661376953125,4.796661376953125,80,8
2,14820,base_enriched,max,-2.813060998916626,0.5997129082679749,-4.690679550170898,4.690679550170898,57,8
3,1939,base_enriched,max,-4.381162643432617,0.9430779218673706,-4.645599842071533,4.645599842071533,61,8
4,15235,base_enriched,max,-3.552263021469116,0.7712194919586182,-4.606033802032471,4.606033802032471,35,8
5,15733,base_enriched,max,-11.07449722290039,2.420039176940918,-4.576164245605469,4.576164245605469,78,8
6,16205,base_enriched,max,-3.8032615184783936,0.8320732712745667,-4.570825099945068,4.570825099945068,58,8
7,6440,base_enriched,active_fraction,-0.05193020775914192,0.011565794236958027,-4.4899821281433105,4.4899821281433105,73,8
8,9666,base_enriched,active_fraction,-0.023920593783259392,0.005341635551303625,-4.478140354156494,4.478140354156494,71,8
9,7173,base_enriched,max,-4.696906566619873,1.0832488536834717,-4.335944175720215,4.335944175720215,63,8
10,14266,base_enriched,max,-2.219879150390625,0.5151109099388123,-4.309516906738281,4.309516906738281,80,8
11,6044,base_enriched,max,-6.3398542404174805,1.475354552268982,-4.297173500061035,4.297173500061035,70,8
12,3555,base_enriched,active_fraction,-0.02028619311749935,0.004733888898044825,-4.285312652587891,4.285312652587891,58,8
13,7804,base_enriched,max,-6.388796329498291,1.5001753568649292,-4.258699893951416,4.258699893951416,42,8
14,6192,base_enriched,active_fraction,-0.038465242832899094,0.00908771064132452,-4.232666015625,4.232666015625,65,8
15,7864,base_enriched,active_fraction,-0.024963054805994034,0.005927265156060457,-4.211563587188721,4.211563587188721,67,8
16,1206,base_enriched,active_fraction,-0.04161766171455383,0.009924258105456829,-4.193528652191162,4.193528652191162,60,8
17,12252,base_enriched,active_fraction,-0.018764203414320946,0.004485218785703182,-4.18356466293335,4.18356466293335,26,8
18,7169,base_enriched,max,-3.321780204772949,0.8016328811645508,-4.143767356872559,4.143767356872559,51,8
19,1591,base_enriched,max,-3.8300113677978516,0.9243547916412354,-4.1434431076049805,4.1434431076049805,80,8
20,4191,base_enriched,max,-4.729720592498779,1.1454054117202759,-4.129298210144043,4.129298210144043,46,8
21,3446,base_enriched,max,-3.7796630859375,0.9180713891983032,-4.116960048675537,4.116960048675537,26,8
22,4835,base_enriched,max,-4.459880828857422,1.0850170850753784,-4.110424518585205,4.110424518585205,25,8
23,11108,base_enriched,max,-2.9407339096069336,0.7192720174789429,-4.088486671447754,4.088486671447754,76,8
24,5765,base_enriched,max,-3.2737038135528564,0.8034391403198242,-4.074613094329834,4.074613094329834,73,8
25,6358,base_enriched,max,-2.773963212966919,0.6855534315109253,-4.04631233215332,4.04631233215332,59,8
26,2896,base_enriched,max,-7.239534378051758,1.7919243574142456,-4.040089130401611,4.040089130401611,33,8
27,4915,base_enriched,max,-3.607645034790039,0.9034202694892883,-3.993318557739258,3.993318557739258,51,8
28,7644,base_enriched,max,-2.9693727493286133,0.7492057085037231,-3.9633610248565674,3.9633610248565674,29,8
29,2085,base_enriched,max,-3.336160898208618,0.843464195728302,-3.955308198928833,3.955308198928833,69,8
30,5354,base_enriched,max,-4.335466384887695,1.0967212915420532,-3.953115940093994,3.953115940093994,33,8
31,9580,base_enriched,mean,-0.0040907543152570724,0.0010393463307991624,-3.9358913898468018,3.9358913898468018,26,8
32,13240,base_enriched,max,-2.5088393688201904,0.6396391987800598,-3.9222726821899414,3.9222726821899414,50,8
33,16144,base_enriched,max,-3.173826217651367,0.8159878253936768,-3.8895509243011475,3.8895509243011475,33,8
34,39,base_enriched,max,-4.950613498687744,1.2771285772323608,-3.8763625621795654,3.8763625621795654,40,8
35,3536,base_enriched,max,-2.0783963203430176,0.5363109707832336,-3.875356674194336,3.875356674194336,77,8
36,2884,base_enriched,max,-2.8917956352233887,0.7485636472702026,-3.863126039505005,3.863126039505005,78,8
37,13887,base_enriched,active_fraction,-0.01485310960561037,0.003845333820208907,-3.8626320362091064,3.8626320362091064,48,8
38,1357,base_enriched,active_fraction,-0.019236259162425995,0.005016099661588669,-3.8349037170410156,3.8349037170410156,28,8
39,6407,base_enriched,max,-2.8098011016845703,0.7327802181243896,-3.8344390392303467,3.8344390392303467,32,8
40,15272,base_enriched,active_fraction,-0.04325538128614426,0.01129557192325592,-3.8294105529785156,3.8294105529785156,42,8
41,6422,base_enriched,max,-5.296000957489014,1.388381004333496,-3.8145155906677246,3.8145155906677246,45,8
42,4283,base_enriched,max,-4.1308698654174805,1.0858662128448486,-3.804216146469116,3.804216146469116,77,8
43,2089,base_enriched,max,-4.559718132019043,1.2012083530426025,-3.795942783355713,3.795942783355713,64,8
44,11612,base_enriched,max,-2.7465322017669678,0.7241904139518738,-3.792555332183838,3.792555332183838,76,8
45,14225,base_enriched,max,-5.058623313903809,1.343774437904358,-3.764488458633423,3.764488458633423,57,8
46,13137,base_enriched,max,-4.245058536529541,1.1334598064422607,-3.7452218532562256,3.7452218532562256,41,8
47,14135,base_enriched,active_fraction,-0.010874180123209953,0.0029315499123185873,-3.709362030029297,3.709362030029297,51,8
48,8351,base_enriched,active_fraction,-0.026499053463339806,0.007148209493607283,-3.70708966255188,3.70708966255188,53,8
49,13732,base_enriched,max,-4.479002952575684,1.2095025777816772,-3.7031776905059814,3.7031776905059814,54,8
50,276,base_enriched,active_fraction,-0.02807561680674553,0.007594252470880747,-3.696955919265747,3.696955919265747,68,8
51,13717,base_enriched,active_fraction,-0.022799042984843254,0.006188998464494944,-3.6838016510009766,3.6838016510009766,36,8
52,6239,base_enriched,max,-2.1600937843322754,0.5873571634292603,-3.67764949798584,3.67764949798584,28,8
53,1993,base_enriched,max,-3.4812936782836914,0.9466491341590881,-3.6774909496307373,3.6774909496307373,61,8
54,3234,base_enriched,active_fraction,-0.011596008203923702,0.0031661358661949635,-3.6625113487243652,3.6625113487243652,48,8
55,15142,base_enriched,max,-1.6370573043823242,0.44711560010910034,-3.6613736152648926,3.6613736152648926,77,8
56,4852,base_enriched,max,-3.1807777881622314,0.8719719648361206,-3.6477982997894287,3.6477982997894287,31,8
57,15900,base_enriched,active_fraction,-0.010321751236915588,0.0028321249410510063,-3.6445252895355225,3.6445252895355225,34,8
58,6904,base_enriched,max,-5.519108772277832,1.5168609619140625,-3.6385066509246826,3.6385066509246826,22,8
59,5624,base_enriched,max,-3.760249137878418,1.0343356132507324,-3.6354246139526367,3.6354246139526367,78,8
60,1872,base_enriched,active_fraction,-0.018147356808185577,0.005004773382097483,-3.626009702682495,3.626009702682495,58,8
61,996,base_enriched,max,-6.634737968444824,1.8333302736282349,-3.6189539432525635,3.6189539432525635,47,8
62,914,base_enriched,max,-2.674989700317383,0.7485887408256531,-3.5733768939971924,3.5733768939971924,38,8
63,13659,base_enriched,max,-2.8025665283203125,0.787345290184021,-3.559514045715332,3.559514045715332,79,8
